NO_OF_FRAMES	1558
NO_OF_CAMERAS	2
NO_OF_MARKERS	1
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-18, 15:52:39.154	683294.01175850
DATA_INCLUDED	3D
MARKER_NAMES	h23_3g
TRAJECTORY_TYPES	Mixed
Frame	Time	h23_3g X	h23_3g Y	h23_3g Z	
939	1.87600	355.401	886.057	196.425
940	1.87800	355.344	885.505	196.416
941	1.88000	355.325	884.944	196.354
942	1.88200	355.337	884.374	196.342
943	1.88400	355.259	883.840	196.383
944	1.88600	355.250	883.292	196.394
945	1.88800	355.229	882.750	196.420
946	1.89000	355.209	882.207	196.447
947	1.89200	355.166	881.687	196.495
948	1.89400	355.148	881.132	196.491
949	1.89600	355.133	880.572	196.471
950	1.89800	355.096	880.051	196.521
951	1.90000	355.098	879.467	196.439
952	1.90200	355.047	878.928	196.507
953	1.90400	355.027	878.359	196.433
954	1.90600	355.016	877.793	196.399
955	1.90800	354.964	877.257	196.444
956	1.91000	354.930	876.677	196.336
957	1.91200	354.818	876.103	196.307
958	1.91400	354.858	875.552	196.325
959	1.91600	354.797	874.996	196.281
960	1.91800	354.673	874.458	196.350
961	1.92000	354.684	873.863	196.283
962	1.92200	354.636	873.356	196.339
963	1.92400	354.597	872.792	196.350
964	1.92600	354.541	872.243	196.365
965	1.92800	354.515	871.712	196.362
966	1.93000	354.471	871.157	196.363
967	1.93200	354.433	870.646	196.449
968	1.93400	354.430	870.082	196.397
969	1.93600	354.368	869.527	196.395
970	1.93800	354.348	868.988	196.446
971	1.94000	354.311	868.439	196.395
972	1.94200	354.301	867.868	196.395
973	1.94400	354.253	867.295	196.283
974	1.94600	354.232	866.732	196.269
975	1.94800	354.216	866.164	196.244
976	1.95000	354.143	865.627	196.226
977	1.95200	354.112	865.068	196.190
978	1.95400	354.075	864.500	196.162
979	1.95600	354.077	863.946	196.143
980	1.95800	354.017	863.420	196.158
981	1.96000	353.978	862.872	196.222
982	1.96200	353.936	862.330	196.234
983	1.96400	353.921	861.803	196.252
984	1.96600	353.908	861.248	196.301
985	1.96800	353.840	860.710	196.285
986	1.97000	353.835	860.179	196.331
987	1.97200	353.811	859.616	196.323
988	1.97400	353.749	859.063	196.303
989	1.97600	353.733	858.520	196.317
990	1.97800	353.730	857.937	196.264
991	1.98000	353.680	857.411	196.283
992	1.98200	353.658	856.811	196.181
993	1.98400	353.652	856.237	196.186
994	1.98600	353.624	855.667	196.098
995	1.98800	353.621	855.105	196.067
996	1.99000	353.583	854.532	196.071
997	1.99200	353.569	853.986	196.046
998	1.99400	353.532	853.443	196.061
999	1.99600	353.513	852.884	196.071
1000	1.99800	353.476	852.371	196.099
1001	2.00000	353.425	851.826	196.072
1002	2.00200	353.386	851.273	196.097
1003	2.00400	353.323	850.761	196.125
1004	2.00600	353.331	850.222	196.159
1005	2.00800	353.315	849.663	196.173
1006	2.01000	353.296	849.116	196.151
1007	2.01200	353.245	848.596	196.229
1008	2.01400	353.187	848.008	196.165
1009	2.01600	353.130	847.455	196.125
1010	2.01800	353.091	846.884	196.108
1011	2.02000	353.097	846.296	196.021
1012	2.02200	353.045	845.761	196.031
1013	2.02400	353.003	845.184	195.998
1014	2.02600	352.992	844.632	196.004
1015	2.02800	352.944	844.085	195.984
1016	2.03000	352.919	843.516	196.011
1017	2.03200	352.879	842.962	195.974
1018	2.03400	352.848	842.445	196.033
1019	2.03600	352.842	841.878	196.036
1020	2.03800	352.813	841.373	196.125
1021	2.04000	352.791	840.830	196.123
1022	2.04200	352.708	840.278	196.154
1023	2.04400	352.687	839.747	196.181
1024	2.04600	352.645	839.193	196.148
1025	2.04800	352.636	838.620	196.137
1026	2.05000	352.583	838.105	196.170
1027	2.05200	352.574	837.519	196.129
1028	2.05400	352.540	836.952	196.133
