NO_OF_FRAMES	775
NO_OF_CAMERAS	2
NO_OF_MARKERS	1
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-18, 16:00:59.078	683793.93011830
DATA_INCLUDED	3D
MARKER_NAMES	h23_3g
TRAJECTORY_TYPES	Measured
Frame	Time	h23_3g X	h23_3g Y	h23_3g Z	
668	1.33400	356.974	913.847	196.679
669	1.33600	356.809	912.674	196.653
670	1.33800	356.690	911.457	196.586
671	1.34000	356.644	910.247	196.513
672	1.34200	356.585	909.077	196.560
673	1.34400	356.533	907.883	196.537
674	1.34600	356.334	906.697	196.515
675	1.34800	356.268	905.537	196.630
676	1.35000	356.204	904.294	196.509
677	1.35200	356.152	903.098	196.488
678	1.35400	355.987	901.923	196.552
679	1.35600	355.985	900.699	196.503
680	1.35800	355.897	899.514	196.520
681	1.36000	355.875	898.304	196.475
682	1.36200	355.797	897.101	196.445
683	1.36400	355.779	895.895	196.420
684	1.36600	355.692	894.712	196.417
685	1.36800	355.683	893.511	196.411
686	1.37000	355.593	892.332	196.425
687	1.37200	355.557	891.157	196.458
688	1.37400	355.495	889.969	196.419
689	1.37600	355.429	888.773	196.430
690	1.37800	355.383	887.580	196.420
691	1.38000	355.289	886.388	196.408
692	1.38200	355.242	885.179	196.396
693	1.38400	355.070	884.008	196.403
694	1.38600	355.027	882.743	196.277
695	1.38800	354.952	881.568	196.293
696	1.39000	354.890	880.334	196.291
697	1.39200	354.781	879.171	196.340
698	1.39400	354.696	877.961	196.334
699	1.39600	354.669	876.748	196.264
700	1.39800	354.560	875.582	196.343
701	1.40000	354.516	874.402	196.328
702	1.40200	354.466	873.224	196.357
703	1.40400	354.406	872.023	196.320
704	1.40600	354.319	870.840	196.268
705	1.40800	354.283	869.643	196.251
706	1.41000	354.214	868.471	196.234
707	1.41200	354.149	867.241	196.168
708	1.41400	354.080	866.065	196.177
709	1.41600	354.032	864.879	196.200
710	1.41800	353.978	863.659	196.168
711	1.42000	353.908	862.490	196.173
712	1.42200	353.859	861.272	196.187
713	1.42400	353.802	860.088	196.187
714	1.42600	353.752	858.881	196.169
715	1.42800	353.699	857.695	196.174
716	1.43000	353.611	856.498	196.146
717	1.43200	353.514	855.279	196.096
718	1.43400	353.453	854.102	196.095
719	1.43600	353.348	852.882	196.048
720	1.43800	353.277	851.716	196.081
721	1.44000	353.186	850.505	196.029
722	1.44200	353.118	849.314	196.002
723	1.44400	353.035	848.141	196.022
724	1.44600	352.945	846.922	196.028
725	1.44800	352.861	845.754	196.066
726	1.45000	352.765	844.525	196.085
727	1.45200	352.706	843.328	196.090
728	1.45400	352.650	842.122	196.040
729	1.45600	352.585	840.928	196.022
730	1.45800	352.514	839.752	196.051
731	1.46000	352.416	838.558	196.036
732	1.46200	352.375	837.377	196.028
733	1.46400	352.289	836.179	196.041
734	1.46600	352.232	834.995	195.995
735	1.46800	352.153	833.820	196.004
736	1.47000	352.080	832.595	195.960
737	1.47200	351.971	831.417	195.929
738	1.47400	351.912	830.225	195.938
739	1.47600	351.815	829.012	195.860
740	1.47800	351.772	827.835	195.879
741	1.48000	351.723	826.641	195.893
742	1.48200	351.644	825.445	195.867
743	1.48400	351.566	824.246	195.868
744	1.48600	351.512	823.045	195.871
745	1.48800	351.424	821.876	195.884
746	1.49000	351.365	820.662	195.860
747	1.49200	351.336	819.450	195.813
748	1.49400	351.283	818.257	195.811
749	1.49600	351.217	817.049	195.807
750	1.49800	351.163	815.858	195.782
751	1.50000	351.120	814.663	195.785
752	1.50200	351.058	813.472	195.763
753	1.50400	351.001	812.299	195.789
754	1.50600	350.950	811.097	195.781
755	1.50800	350.896	809.914	195.753
756	1.51000	350.818	808.734	195.767
757	1.51200	350.758	807.531	195.763
758	1.51400	350.722	806.337	195.751
759	1.51600	350.649	805.154	195.794
760	1.51800	350.518	803.961	195.780
761	1.52000	350.455	802.751	195.766
762	1.52200	350.384	801.553	195.784
763	1.52400	350.308	800.355	195.803
764	1.52600	350.243	799.141	195.820
765	1.52800	350.177	797.945	195.816
766	1.53000	350.132	796.744	195.774
767	1.53200	350.057	795.560	195.802
768	1.53400	350.009	794.372	195.793
769	1.53600	349.973	793.154	195.751
770	1.53800	349.876	791.975	195.733
771	1.54000	349.800	790.811	195.722
772	1.54200	349.723	789.627	195.667
773	1.54400	349.653	788.446	195.655
774	1.54600	349.550	787.259	195.628
775	1.54800	349.480	786.066	195.654
776	1.55000	349.349	784.877	195.653
777	1.55200	349.279	783.695	195.646
778	1.55400	349.161	782.489	195.643
779	1.55600	349.087	781.291	195.635
780	1.55800	349.030	780.101	195.617
781	1.56000	348.932	778.900	195.635
782	1.56200	348.900	777.722	195.651
783	1.56400	348.819	776.510	195.617
784	1.56600	348.744	775.323	195.645
785	1.56800	348.648	774.132	195.633
786	1.57000	348.564	772.939	195.648
787	1.57200	348.493	771.747	195.640
788	1.57400	348.433	770.554	195.633
789	1.57600	348.362	769.352	195.638
790	1.57800	348.314	768.161	195.610
791	1.58000	348.249	766.965	195.632
792	1.58200	348.152	765.768	195.587
793	1.58400	348.085	764.567	195.572
794	1.58600	348.007	763.358	195.568
795	1.58800	347.958	762.165	195.546
796	1.59000	347.911	760.976	195.566
797	1.59200	347.840	759.767	195.541
798	1.59400	347.791	758.587	195.552
799	1.59600	347.713	757.385	195.545
800	1.59800	347.656	756.195	195.570
801	1.60000	347.608	755.009	195.545
802	1.60200	347.553	753.812	195.558
803	1.60400	347.504	752.630	195.576
804	1.60600	347.463	751.437	195.541
805	1.60800	347.401	750.250	195.522
806	1.61000	347.355	749.060	195.531
807	1.61200	347.285	747.891	195.491
808	1.61400	347.218	746.695	195.488
809	1.61600	347.148	745.491	195.470
810	1.61800	347.100	744.319	195.462
811	1.62000	347.026	743.131	195.452
812	1.62200	346.950	741.926	195.438
813	1.62400	346.874	740.744	195.445
814	1.62600	346.793	739.572	195.442
815	1.62800	346.709	738.380	195.462
816	1.63000	346.634	737.189	195.484
817	1.63200	346.561	736.017	195.461
818	1.63400	346.470	734.818	195.470
819	1.63600	346.409	733.620	195.457
820	1.63800	346.335	732.425	195.420
821	1.64000	346.254	731.232	195.450
822	1.64200	346.200	730.042	195.430
823	1.64400	346.133	728.859	195.426
824	1.64600	346.030	727.668	195.433
825	1.64800	345.955	726.465	195.480
826	1.65000	345.900	725.281	195.480
827	1.65200	345.838	724.097	195.480
828	1.65400	345.782	722.888	195.491
829	1.65600	345.727	721.696	195.479
830	1.65800	345.657	720.504	195.470
831	1.66000	345.602	719.319	195.476
832	1.66200	345.509	718.105	195.450
833	1.66400	345.433	716.920	195.458
834	1.66600	345.348	715.736	195.441
835	1.66800	345.285	714.527	195.436
836	1.67000	345.216	713.343	195.423
837	1.67200	345.146	712.151	195.397
838	1.67400	345.076	710.958	195.399
839	1.67600	345.020	709.763	195.402
840	1.67800	344.967	708.603	195.388
841	1.68000	344.912	707.415	195.410
842	1.68200	344.849	706.206	195.389
843	1.68400	344.775	705.036	195.390
844	1.68600	344.700	703.860	195.353
845	1.68800	344.632	702.667	195.340
846	1.69000	344.551	701.482	195.318
847	1.69200	344.484	700.304	195.311
848	1.69400	344.414	699.108	195.327
849	1.69600	344.341	697.920	195.335
850	1.69800	344.259	696.734	195.318
851	1.70000	344.185	695.555	195.317
852	1.70200	344.116	694.360	195.314
853	1.70400	344.055	693.171	195.327
854	1.70600	343.986	691.977	195.301
855	1.70800	343.890	690.791	195.290
856	1.71000	343.800	689.595	195.292
857	1.71200	343.738	688.398	195.296
858	1.71400	343.670	687.217	195.304
859	1.71600	343.579	686.021	195.310
860	1.71800	343.495	684.816	195.303
861	1.72000	343.425	683.628	195.300
862	1.72200	343.377	682.431	195.286
863	1.72400	343.301	681.235	195.273
864	1.72600	343.245	680.051	195.314
865	1.72800	343.183	678.856	195.279
866	1.73000	343.129	677.673	195.298
867	1.73200	343.074	676.482	195.306
868	1.73400	343.018	675.292	195.314
869	1.73600	342.971	674.102	195.299
870	1.73800	342.902	672.913	195.284
871	1.74000	342.833	671.747	195.287
872	1.74200	342.792	670.547	195.313
873	1.74400	342.731	669.373	195.306
874	1.74600	342.676	668.192	195.285
875	1.74800	342.614	667.009	195.292
876	1.75000	342.552	665.824	195.325
877	1.75200	342.512	664.633	195.322
878	1.75400	342.449	663.449	195.332
879	1.75600	342.388	662.258	195.331
880	1.75800	342.312	661.076	195.319
881	1.76000	342.242	659.876	195.331
882	1.76200	342.151	658.686	195.307
883	1.76400	342.061	657.496	195.284
884	1.76600	341.985	656.297	195.275
885	1.76800	341.930	655.105	195.283
