NO_OF_FRAMES	577
NO_OF_CAMERAS	2
NO_OF_MARKERS	1
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-18, 16:02:49.703	683904.55384840
DATA_INCLUDED	3D
TITLE	Luftmostståndspåverkan av rörelsemängd 23.3g #5
MARKER_NAMES	h23_3g
COLLISION_TIME	0
TRAJECTORY_TYPES	Mixed
Frame	Time	h23_3g X	h23_3g Y	h23_3g Z	
459	0.91600	355.666	888.326	196.525
460	0.91800	355.565	886.837	196.540
461	0.92000	355.491	885.327	196.470
462	0.92200	355.397	883.849	196.456
463	0.92400	355.309	882.362	196.454
464	0.92600	355.238	880.890	196.502
465	0.92800	355.220	879.376	196.446
466	0.93000	355.167	877.885	196.453
467	0.93200	355.076	876.398	196.434
468	0.93400	354.970	874.946	196.510
469	0.93600	354.893	873.445	196.466
470	0.93800	354.812	871.965	196.445
471	0.94000	354.640	870.481	196.403
472	0.94200	354.514	869.000	196.384
473	0.94400	354.423	867.494	196.309
474	0.94600	354.277	865.979	196.308
475	0.94800	354.175	864.490	196.282
476	0.95000	354.056	863.037	196.285
477	0.95200	353.945	861.535	196.233
478	0.95400	353.854	860.067	196.209
479	0.95600	353.796	858.532	196.151
480	0.95800	353.673	857.064	196.196
481	0.96000	353.621	855.548	196.096
482	0.96200	353.531	854.063	196.075
483	0.96400	353.456	852.598	196.077
484	0.96600	353.277	851.111	196.077
485	0.96800	353.214	849.614	196.007
486	0.97000	353.057	848.147	195.970
487	0.97200	352.989	846.657	195.960
488	0.97400	352.905	845.171	195.993
489	0.97600	352.837	843.677	196.012
490	0.97800	352.759	842.211	196.003
491	0.98000	352.667	840.708	195.970
492	0.98200	352.569	839.211	196.020
493	0.98400	352.513	837.702	196.018
494	0.98600	352.457	836.223	196.030
495	0.98800	352.403	834.741	196.001
496	0.99000	352.321	833.247	196.009
497	0.99200	352.246	831.749	195.978
498	0.99400	352.202	830.267	195.931
499	0.99600	352.144	828.816	195.962
500	0.99800	352.073	827.335	195.984
501	1.00000	351.979	825.847	195.991
502	1.00200	351.913	824.364	195.952
503	1.00400	351.815	822.868	195.948
504	1.00600	351.758	821.393	195.970
505	1.00800	351.671	819.905	195.962
506	1.01000	351.582	818.433	195.961
507	1.01200	351.503	816.944	195.958
508	1.01400	351.402	815.467	195.921
509	1.01600	351.328	813.973	195.882
510	1.01800	351.269	812.494	195.851
511	1.02000	351.139	811.013	195.846
512	1.02200	351.078	809.545	195.849
513	1.02400	350.964	808.075	195.812
514	1.02600	350.882	806.572	195.769
515	1.02800	350.811	805.087	195.774
516	1.03000	350.755	803.604	195.755
517	1.03200	350.674	802.127	195.754
518	1.03400	350.572	800.648	195.779
519	1.03600	350.500	799.152	195.804
520	1.03800	350.387	797.662	195.778
521	1.04000	350.293	796.184	195.783
522	1.04200	350.130	794.669	195.765
523	1.04400	350.043	793.174	195.772
524	1.04600	349.945	791.688	195.769
525	1.04800	349.880	790.203	195.744
526	1.05000	349.799	788.733	195.724
527	1.05200	349.733	787.234	195.674
528	1.05400	349.628	785.780	195.664
529	1.05600	349.519	784.316	195.666
530	1.05800	349.427	782.824	195.613
531	1.06000	349.313	781.357	195.646
532	1.06200	349.184	779.863	195.620
533	1.06400	349.076	778.375	195.611
534	1.06600	348.969	776.870	195.602
535	1.06800	348.887	775.412	195.608
536	1.07000	348.786	773.915	195.591
537	1.07200	348.722	772.432	195.582
538	1.07400	348.606	770.953	195.550
539	1.07600	348.521	769.484	195.574
540	1.07800	348.470	767.999	195.573
541	1.08000	348.384	766.511	195.531
542	1.08200	348.303	765.024	195.557
543	1.08400	348.232	763.532	195.546
544	1.08600	348.178	762.055	195.542
545	1.08800	348.098	760.553	195.546
546	1.09000	347.987	759.038	195.520
547	1.09200	347.907	757.574	195.550
548	1.09400	347.818	756.080	195.548
549	1.09600	347.737	754.608	195.568
550	1.09800	347.664	753.124	195.535
551	1.10000	347.614	751.650	195.561
552	1.10200	347.549	750.164	195.534
553	1.10400	347.483	748.685	195.523
554	1.10600	347.419	747.206	195.514
555	1.10800	347.361	745.735	195.497
556	1.11000	347.280	744.262	195.506
557	1.11200	347.208	742.772	195.515
558	1.11400	347.158	741.291	195.516
559	1.11600	347.122	739.822	195.550
560	1.11800	347.035	738.338	195.579
561	1.12000	346.933	736.859	195.558
562	1.12200	346.860	735.360	195.562
563	1.12400	346.788	733.879	195.548
564	1.12600	346.696	732.395	195.470
565	1.12800	346.596	730.914	195.459
566	1.13000	346.463	729.453	195.403
567	1.13200	346.351	727.989	195.375
568	1.13400	346.226	726.521	195.401
569	1.13600	346.092	725.048	195.388
570	1.13800	346.021	723.563	195.390
571	1.14000	345.925	722.079	195.396
572	1.14200	345.825	720.586	195.411
573	1.14400	345.705	719.100	195.445
574	1.14600	345.591	717.608	195.439
575	1.14800	345.511	716.113	195.462
576	1.15000	345.424	714.621	195.435
577	1.15200	345.308	713.139	195.399
578	1.15400	345.227	711.654	195.390
579	1.15600	345.112	710.185	195.387
580	1.15800	345.033	708.701	195.358
581	1.16000	344.932	707.231	195.359
582	1.16200	344.854	705.762	195.339
583	1.16400	344.810	704.266	195.330
584	1.16600	344.717	702.788	195.325
585	1.16800	344.637	701.299	195.333
586	1.17000	344.519	699.839	195.310
587	1.17200	344.423	698.384	195.306
588	1.17400	344.345	696.895	195.322
589	1.17600	344.220	695.440	195.320
590	1.17800	344.135	693.966	195.344
591	1.18000	344.037	692.487	195.330
592	1.18200	343.931	690.999	195.328
593	1.18400	343.852	689.504	195.290
594	1.18600	343.760	688.039	195.284
595	1.18800	343.653	686.548	195.315
596	1.19000	343.553	685.067	195.310
597	1.19200	343.474	683.571	195.280
598	1.19400	343.387	682.089	195.280
599	1.19600	343.329	680.620	195.311
600	1.19800	343.242	679.121	195.313
601	1.20000	343.162	677.648	195.282
602	1.20200	343.098	676.163	195.318
603	1.20400	343.054	674.696	195.307
604	1.20600	342.974	673.197	195.293
605	1.20800	342.910	671.729	195.286
606	1.21000	342.852	670.260	195.308
607	1.21200	342.801	668.770	195.264
608	1.21400	342.729	667.303	195.238
609	1.21600	342.657	665.824	195.277
610	1.21800	342.607	664.348	195.269
611	1.22000	342.534	662.855	195.258
612	1.22200	342.463	661.387	195.242
613	1.22400	342.405	659.916	195.278
614	1.22600	342.341	658.445	195.292
615	1.22800	342.275	656.944	195.277
616	1.23000	342.203	655.481	195.308
617	1.23200	342.139	654.010	195.329
618	1.23400	342.046	652.533	195.310
619	1.23600	341.974	651.033	195.253
620	1.23800	341.880	649.564	195.252
621	1.24000	341.738	648.080	195.225
622	1.24200	341.637	646.581	195.148
623	1.24400	341.574	645.117	195.171
624	1.24600	341.489	643.646	195.181
625	1.24800	341.335	642.154	195.151
626	1.25000	341.210	640.683	195.167
627	1.25200	341.119	639.210	195.210
628	1.25400	340.994	637.741	195.204
629	1.25600	340.929	636.260	195.212
630	1.25800	340.838	634.804	195.237
631	1.26000	340.765	633.324	195.222
632	1.26200	340.673	631.845	195.210
633	1.26400	340.608	630.364	195.201
634	1.26600	340.523	628.901	195.195
635	1.26800	340.445	627.429	195.178
636	1.27000	340.394	625.947	195.176
637	1.27200	340.273	624.476	195.161
638	1.27400	340.144	622.980	195.157
639	1.27600	340.036	621.492	195.120
640	1.27800	339.965	620.025	195.153
641	1.28000	339.879	618.544	195.161
642	1.28200	339.786	617.053	195.182
643	1.28400	339.722	615.595	195.185
644	1.28600	339.636	614.113	195.200
645	1.28800	339.565	612.639	195.180
646	1.29000	339.501	611.164	195.188
647	1.29200	339.409	609.700	195.159
648	1.29400	339.324	608.209	195.171
649	1.29600	339.267	606.751	195.162
650	1.29800	339.181	605.251	195.163
651	1.30000	339.110	603.791	195.209
652	1.30200	339.038	602.292	195.190
653	1.30400	338.952	600.816	195.212
654	1.30600	338.880	599.331	195.249
655	1.30800	338.844	597.864	195.240
656	1.31000	338.757	596.371	195.268
657	1.31200	338.700	594.911	195.275
658	1.31400	338.642	593.418	195.283
659	1.31600	338.577	591.951	195.256
660	1.31800	338.478	590.476	195.242
661	1.32000	338.357	589.002	195.203
662	1.32200	338.251	587.520	195.155
663	1.32400	338.166	586.053	195.137
664	1.32600	338.068	584.602	195.123
665	1.32800	337.962	583.126	195.120
666	1.33000	337.870	581.658	195.109
667	1.33200	337.791	580.181	195.138
668	1.33400	337.679	578.713	195.130
669	1.33600	337.614	577.243	195.176
670	1.33800	337.522	575.766	195.160
671	1.34000	337.437	574.281	195.159
