NO_OF_FRAMES	430
NO_OF_CAMERAS	2
NO_OF_MARKERS	1
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-18, 16:04:28.387	684003.23641750
DATA_INCLUDED	3D
TITLE	Luftmostståndspåverkan av rörelsemängd 23.3 g #6
MARKER_NAMES	h23_3g
COLLISION_TIME	0
TRAJECTORY_TYPES	Measured
Frame	Time	h23_3g X	h23_3g Y	h23_3g Z	
552	1.10200	355.903	896.292	196.438
553	1.10400	355.768	894.178	196.424
554	1.10600	355.693	892.096	196.451
555	1.10800	355.585	890.007	196.458
556	1.11000	355.469	887.912	196.457
557	1.11200	355.345	885.808	196.401
558	1.11400	355.285	883.688	196.388
559	1.11600	355.184	881.606	196.382
560	1.11800	355.097	879.476	196.319
561	1.12000	354.959	877.371	196.295
562	1.12200	354.836	875.294	196.355
563	1.12400	354.686	873.215	196.377
564	1.12600	354.580	871.105	196.371
565	1.12800	354.469	869.004	196.357
566	1.13000	354.323	866.879	196.285
567	1.13200	354.205	864.772	196.307
568	1.13400	354.072	862.692	196.299
569	1.13600	353.966	860.574	196.207
570	1.13800	353.856	858.490	196.212
571	1.14000	353.740	856.378	196.184
572	1.14200	353.635	854.262	196.120
573	1.14400	353.499	852.166	196.145
574	1.14600	353.433	850.085	196.158
575	1.14800	353.242	847.964	196.058
576	1.15000	353.127	845.870	196.045
577	1.15200	352.989	843.775	196.037
578	1.15400	352.868	841.666	196.002
579	1.15600	352.703	839.563	195.986
580	1.15800	352.590	837.467	196.033
581	1.16000	352.438	835.361	196.095
582	1.16200	352.316	833.260	196.108
583	1.16400	352.224	831.153	196.085
584	1.16600	352.106	829.067	196.021
585	1.16800	351.943	826.993	195.991
586	1.17000	351.807	824.887	195.955
587	1.17200	351.630	822.786	195.870
588	1.17400	351.480	820.687	195.898
589	1.17600	351.369	818.567	195.819
590	1.17800	351.226	816.456	195.800
591	1.18000	351.136	814.370	195.823
592	1.18200	351.044	812.251	195.775
593	1.18400	350.899	810.165	195.805
594	1.18600	350.756	808.076	195.774
595	1.18800	350.670	805.951	195.765
596	1.19000	350.537	803.864	195.783
597	1.19200	350.353	801.736	195.735
598	1.19400	350.253	799.632	195.731
599	1.19600	350.163	797.534	195.746
600	1.19800	350.046	795.438	195.740
601	1.20000	349.959	793.334	195.724
602	1.20200	349.841	791.245	195.716
603	1.20400	349.718	789.158	195.688
604	1.20600	349.639	787.059	195.674
605	1.20800	349.510	784.992	195.674
606	1.21000	349.393	782.888	195.627
