NO_OF_FRAMES	2000
NO_OF_CAMERAS	2
NO_OF_MARKERS	2
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-18, 15:08:52.940	680667.81676820
DATA_INCLUDED	3D
TITLE	Bevaring av rörelsemängd i en dimension 23.1g vs 23.3g #1 
MARKER_NAMES	v23_1g	h23_3g
COLLISION_TIME	2.09
TRAJECTORY_TYPES	Measured	Measured
Frame	Time	v23_1g X	v23_1g Y	v23_1g Z	h23_3g X	h23_3g Y	h23_3g Z	
1	0.00000	322.914	349.777	195.564	345.385	733.654	195.758
2	0.00200	322.868	349.804	195.596	345.317	733.311	195.809
3	0.00400	322.869	349.812	195.582	345.305	732.946	195.817
4	0.00600	322.862	349.821	195.594	345.301	732.582	195.801
5	0.00800	322.869	349.820	195.593	345.274	732.226	195.797
6	0.01000	322.856	349.837	195.590	345.247	731.886	195.797
7	0.01200	322.863	349.837	195.590	345.229	731.525	195.755
8	0.01400	322.856	349.837	195.590	345.245	731.168	195.754
9	0.01600	322.856	349.846	195.602	345.212	730.835	195.769
10	0.01800	322.857	349.853	195.587	345.178	730.493	195.795
11	0.02000	322.856	349.853	195.588	345.188	730.138	195.769
12	0.02200	322.850	349.870	195.584	345.176	729.804	195.785
13	0.02400	322.864	349.870	195.610	345.127	729.460	195.836
14	0.02600	322.851	349.878	195.595	345.115	729.097	195.820
15	0.02800	322.858	349.887	195.607	345.126	728.742	195.795
16	0.03000	322.851	349.903	195.605	345.098	728.399	195.821
17	0.03200	322.852	349.903	195.604	345.064	728.043	195.818
18	0.03400	322.845	349.912	195.616	345.081	727.679	195.804
19	0.03600	322.845	349.920	195.601	345.061	727.324	195.778
20	0.03800	322.846	349.928	195.613	345.020	726.991	195.793
21	0.04000	322.832	349.938	195.624	345.022	726.618	195.790
22	0.04200	322.832	349.946	195.635	345.011	726.270	195.779
23	0.04400	322.825	349.947	195.636	344.977	725.914	195.777
24	0.04600	322.818	349.954	195.622	344.965	725.571	195.806
25	0.04800	322.818	349.971	195.620	344.961	725.216	195.781
26	0.05000	322.811	349.971	195.619	344.941	724.859	195.781
27	0.05200	322.818	349.971	195.620	344.908	724.526	195.797
28	0.05400	322.804	349.980	195.631	344.889	724.162	195.783
29	0.05600	322.804	349.980	195.631	344.891	723.805	195.785
30	0.05800	322.804	349.988	195.617	344.844	723.472	195.801
31	0.06000	322.804	349.995	195.603	344.831	723.115	195.802
32	0.06200	322.811	349.988	195.617	344.841	722.759	195.778
33	0.06400	322.811	349.995	195.603	344.793	722.405	195.752
34	0.06600	322.811	349.988	195.617	344.774	722.046	195.778
35	0.06800	322.819	350.004	195.614	344.770	721.698	195.769
36	0.07000	322.819	350.002	195.588	344.721	721.335	195.754
37	0.07200	322.833	350.003	195.614	344.701	720.999	195.798
38	0.07400	322.840	350.003	195.614	344.675	720.651	195.788
39	0.07600	322.854	350.003	195.614	344.684	720.291	195.816
40	0.07800	322.854	350.010	195.600	344.666	719.950	195.821
41	0.08000	322.854	350.018	195.586	344.632	719.616	195.840
42	0.08200	322.869	350.009	195.599	344.620	719.259	195.842
43	0.08400	322.883	350.018	195.611	344.615	718.906	195.793
44	0.08600	322.890	350.009	195.599	344.595	718.540	195.805
45	0.08800	322.890	350.018	195.611	344.553	718.185	195.781
46	0.09000	322.919	350.025	195.622	344.557	717.838	195.748
47	0.09200	322.912	350.033	195.608	344.528	717.456	195.757
48	0.09400	322.933	350.033	195.608	344.503	717.131	195.766
49	0.09600	322.933	350.033	195.608	344.512	716.759	195.741
50	0.09800	322.940	350.032	195.608	344.499	716.394	195.729
51	0.10000	322.940	350.040	195.594	344.466	716.054	195.735
52	0.10200	322.947	350.040	195.595	344.432	715.697	195.737
53	0.10400	322.990	350.032	195.633	344.434	715.341	195.716
54	0.10600	322.939	350.041	195.621	344.437	714.999	195.723
55	0.10800	322.946	350.049	195.607	344.417	714.646	195.766
56	0.11000	322.924	350.050	195.607	344.392	714.307	195.748
57	0.11200	322.932	350.057	195.593	344.400	713.933	195.749
58	0.11400	322.917	350.058	195.593	344.345	713.592	195.754
59	0.11600	322.925	350.066	195.605	344.335	713.260	195.751
60	0.11800	322.910	350.074	195.591	344.336	712.879	195.738
61	0.12000	322.925	350.066	195.605	344.303	712.544	195.759
62	0.12200	322.918	350.075	195.616	344.268	712.187	195.763
63	0.12400	322.925	350.082	195.602	344.263	711.815	195.739
64	0.12600	322.911	350.083	195.602	344.246	711.484	195.711
65	0.12800	322.918	350.099	195.599	344.226	711.118	195.727
66	0.13000	322.918	350.083	195.602	344.201	710.785	195.724
67	0.13200	322.918	350.091	195.613	344.189	710.444	195.732
68	0.13400	322.926	350.100	195.625	344.148	710.086	195.736
69	0.13600	322.919	350.107	195.610	344.143	709.751	195.759
70	0.13800	322.905	350.108	195.611	344.118	709.396	195.739
71	0.14000	322.906	350.108	195.610	344.098	709.052	195.773
72	0.14200	322.899	350.115	195.595	344.086	708.726	195.785
