NO_OF_FRAMES	1182
NO_OF_CAMERAS	2
NO_OF_MARKERS	2
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-18, 16:56:56.584	687151.40421170
DATA_INCLUDED	3D
TITLE	Bevaring av rörelsemängd i en dimension 23.1 g vs 23.3 g #10
MARKER_NAMES	v23_1g	h23_3g
COLLISION_TIME	0.64
TRAJECTORY_TYPES	Mixed	Mixed
Frame	Time	v23_1g X	v23_1g Y	v23_1g Z	h23_3g X	h23_3g Y	h23_3g Z	
769	1.53600	345.228	722.355	195.729	355.996	889.570	196.731
770	1.53800	345.207	721.980	195.751	355.963	888.775	196.758
771	1.54000	345.202	721.639	195.756	355.870	887.933	196.686
772	1.54200	345.177	721.284	195.731	355.810	887.132	196.695
773	1.54400	345.177	720.917	195.743	355.785	886.316	196.707
774	1.54600	345.132	720.586	195.737	355.758	885.475	196.614
775	1.54800	345.132	720.196	195.732	355.698	884.673	196.628
776	1.55000	345.120	719.846	195.749	355.615	883.890	196.689
777	1.55200	345.083	719.516	195.718	355.621	883.046	196.561
778	1.55400	345.082	719.132	195.752	355.521	882.300	196.689
779	1.55600	345.051	718.793	195.733	355.496	881.470	196.632
780	1.55800	345.027	718.443	195.751	355.413	880.683	196.655
781	1.56000	345.031	718.067	195.773	355.388	879.867	196.604
782	1.56200	344.973	717.731	195.728	355.390	879.039	196.562
783	1.56400	344.969	717.364	195.744	355.259	878.256	196.625
784	1.56600	344.963	717.014	195.760	355.273	877.453	196.583
785	1.56800	344.911	716.661	195.712	355.238	876.638	196.574
786	1.57000	344.898	716.297	195.700	355.112	875.881	196.675
787	1.57200	344.873	715.947	195.718	355.158	875.011	196.531
788	1.57400	344.853	715.589	195.721	355.074	874.264	196.667
789	1.57600	344.834	715.223	195.736	355.098	873.405	196.553
790	1.57800	344.808	714.857	195.750	355.067	872.581	196.490
791	1.58000	344.802	714.490	195.766	354.941	871.835	196.625
