NO_OF_FRAMES	548
NO_OF_CAMERAS	2
NO_OF_MARKERS	2
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-18, 16:58:16.629	687231.44904450
DATA_INCLUDED	3D
TITLE	Bevaring av rörelsemängd i en dimension 23.1g vs 23.3g #11
MARKER_NAMES	v23_1g	h23_3g
COLLISION_TIME	0
TRAJECTORY_TYPES	Mixed	Mixed
Frame	Time	v23_1g X	v23_1g Y	v23_1g Z	h23_3g X	h23_3g Y	h23_3g Z	
559	1.11600	343.262	684.499	195.631	357.031	906.619	196.715
560	1.11800	343.230	684.018	195.636	356.872	904.645	196.805
561	1.12000	343.227	683.503	195.664	356.717	902.658	196.795
562	1.12200	343.210	683.020	195.695	356.654	900.640	196.790
563	1.12400	343.186	682.500	195.683	356.518	898.619	196.736
564	1.12600	343.176	682.031	195.744	356.440	896.614	196.747
565	1.12800	343.138	681.520	195.720	356.187	894.674	196.923
566	1.13000	343.127	681.021	195.750	356.016	892.596	196.769
567	1.13200	343.084	680.547	195.773	355.923	890.597	196.711
568	1.13400	343.086	680.033	195.775	355.719	888.590	196.657
569	1.13600	343.029	679.569	195.786	355.606	886.595	196.618
570	1.13800	343.032	679.057	195.764	355.545	884.544	196.512
571	1.14000	342.982	678.608	195.778	355.361	882.585	196.612
572	1.14200	342.964	678.095	195.781	355.321	880.536	196.531
573	1.14400	342.929	677.640	195.757	355.193	878.576	196.614
574	1.14600	342.910	677.141	195.788	355.157	876.525	196.542
575	1.14800	342.745	676.713	195.669	355.022	874.542	196.610
576	1.15000	342.708	676.246	195.707	355.042	872.502	196.487
577	1.15200	342.666	675.761	195.654	354.864	870.548	196.639
578	1.15400	342.585	675.250	195.631	354.832	868.522	196.526
579	1.15600	342.517	674.755	195.611	354.686	866.494	196.432
580	1.15800	342.494	674.242	195.618	354.608	864.486	196.411
581	1.16000	342.368	673.732	195.592	354.427	862.534	196.527
582	1.16200	342.329	673.204	195.570	354.402	860.466	196.402
583	1.16400	342.298	672.726	195.646	354.280	858.486	196.470
584	1.16600	342.253	672.207	195.613	354.207	856.449	196.401
585	1.16800	342.229	671.715	195.662	354.090	854.449	196.430
586	1.17000	342.191	671.234	195.674	353.971	852.460	196.425
587	1.17200	342.180	670.705	195.654	353.880	850.421	196.371
588	1.17400	342.137	670.254	195.697	353.771	848.432	196.350
589	1.17600	342.118	669.718	195.662	353.689	846.402	196.270
590	1.17800	342.089	669.267	195.707	353.564	844.424	196.354
591	1.18000	342.071	668.764	195.652	353.477	842.401	196.270
592	1.18200	342.035	668.293	195.629	353.340	840.365	196.290
593	1.18400	342.025	667.812	195.617	353.227	838.340	196.278
594	1.18600	341.995	667.320	195.528	353.106	836.326	196.234
595	1.18800	341.977	666.845	195.555	353.006	834.329	196.241
596	1.19000	341.962	666.351	195.492	352.825	832.346	196.214
597	1.19200	341.952	665.884	195.535	352.723	830.312	196.114
598	1.19400	341.929	665.388	195.497	352.593	828.331	196.113
599	1.19600	341.932	664.880	195.522	352.488	826.283	195.990
600	1.19800	341.887	664.391	195.523	352.359	824.343	196.102
601	1.20000	341.904	663.859	195.533	352.277	822.282	195.996
602	1.20200	341.874	663.408	195.579	352.141	820.306	196.000
603	1.20400	341.869	662.862	195.561	352.035	818.288	196.010
604	1.20600	341.853	662.394	195.606	351.886	816.264	196.008
605	1.20800	341.828	661.872	195.603	351.673	814.262	196.024
606	1.21000	341.826	661.391	195.596	351.540	812.213	196.010
607	1.21200	341.765	660.892	195.634	351.421	810.237	196.048
608	1.21400	341.784	660.395	195.600	351.282	808.226	195.973
609	1.21600	341.739	659.919	195.657	351.120	806.245	195.911
610	1.21800	341.715	659.408	195.593	350.984	804.260	195.883
611	1.22000	341.699	658.940	195.640	350.824	802.255	195.876
612	1.22200	341.662	658.461	195.607	350.718	800.252	195.849
613	1.22400	341.631	657.955	195.610	350.578	798.229	195.845
614	1.22600	341.601	657.506	195.607	350.469	796.221	195.851
615	1.22800	341.585	656.994	195.573	350.327	794.217	195.808
616	1.23000	341.555	656.551	195.610	350.181	792.208	195.822
617	1.23200	341.538	656.030	195.586	350.079	790.205	195.830
618	1.23400	341.514	655.564	195.583	349.941	788.167	195.792
619	1.23600	341.469	655.050	195.598	349.837	786.172	195.797
620	1.23800	341.460	654.552	195.593	349.753	784.182	195.822
621	1.24000	341.415	654.076	195.652	349.658	782.158	195.774
622	1.24200	341.426	653.555	195.605	349.560	780.144	195.786
623	1.24400	341.380	653.070	195.676	349.498	778.153	195.797
624	1.24600	341.370	652.548	195.654	349.403	776.133	195.777
625	1.24800	341.340	652.071	195.715	349.261	774.104	195.768
626	1.25000	341.314	651.565	195.720	349.169	772.104	195.775
627	1.25200	341.298	651.075	195.704	349.075	770.115	195.749
628	1.25400	341.260	650.591	195.750	348.993	768.106	195.749
629	1.25600	341.251	650.087	195.707	348.893	766.113	195.757
630	1.25800	341.212	649.610	195.768	348.800	764.101	195.699
631	1.26000	341.196	649.107	195.700	348.715	762.095	195.660
632	1.26200	341.158	648.625	195.722	348.617	760.101	195.655
633	1.26400	341.128	648.160	195.697	348.530	758.088	195.675
634	1.26600	341.118	647.656	195.654	348.413	756.114	195.721
635	1.26800	341.060	647.207	195.656	348.319	754.113	195.687
636	1.27000	341.072	646.703	195.589	348.170	752.108	195.706
637	1.27200	341.020	646.253	195.616	348.067	750.099	195.666
638	1.27400	340.966	645.695	195.527	347.944	748.112	195.648
639	1.27600	340.929	645.235	195.568	347.804	746.113	195.578
640	1.27800	340.817	644.692	195.527	347.670	744.120	195.529
641	1.28000	340.793	644.202	195.514	347.539	742.122	195.534
642	1.28200	340.783	643.708	195.577	347.443	740.108	195.515
643	1.28400	340.738	643.189	195.508	347.311	738.108	195.527
644	1.28600	340.720	642.694	195.596	347.224	736.095	195.491
645	1.28800	340.696	642.182	195.543	347.052	734.092	195.538
646	1.29000	340.671	641.681	195.592	346.920	732.058	195.556
647	1.29200	340.641	641.193	195.555	346.825	730.033	195.543
648	1.29400	340.629	640.684	195.591	346.691	728.048	195.552
649	1.29600	340.607	640.210	195.582	346.601	726.039	195.524
650	1.29800	340.603	639.695	195.580	346.467	724.047	195.500
651	1.30000	340.566	639.253	195.600	346.355	722.060	195.497
652	1.30200	340.569	638.722	195.572	346.244	720.043	195.466
653	1.30400	340.512	638.273	195.578	346.117	718.030	195.478
654	1.30600	340.529	637.758	195.553	346.015	716.052	195.451
655	1.30800	340.479	637.294	195.532	345.830	714.080	195.467
656	1.31000	340.469	636.810	195.561	345.712	712.092	195.463
657	1.31200	340.453	636.329	195.515	345.553	710.079	195.467
658	1.31400	340.422	635.861	195.570	345.390	708.090	195.468
659	1.31600	340.413	635.365	195.498	345.245	706.070	195.440
660	1.31800	340.381	634.873	195.538	345.107	704.056	195.431
661	1.32000	340.365	634.375	195.517	344.952	702.037	195.383
662	1.32200	340.333	633.882	195.559	344.827	700.039	195.358
663	1.32400	340.303	633.400	195.564	344.686	698.040	195.362
664	1.32600	340.292	632.867	195.590	344.589	696.043	195.411
665	1.32800	340.233	632.400	195.622	344.477	694.049	195.438
666	1.33000	340.257	631.867	195.623	344.395	692.062	195.461
667	1.33200	340.178	631.393	195.641	344.283	690.067	195.470
668	1.33400	340.189	630.877	195.646	344.187	688.066	195.446
669	1.33600	340.145	630.402	195.666	344.104	686.056	195.437
670	1.33800	340.128	629.919	195.673	344.001	684.070	195.423
671	1.34000	340.104	629.421	195.654	343.892	682.069	195.385
672	1.34200	340.047	628.954	195.688	343.789	680.075	195.366
673	1.34400	340.051	628.441	195.617	343.660	678.096	195.353
674	1.34600	340.007	627.982	195.639	343.543	676.085	195.339
675	1.34800	339.978	627.488	195.546	343.425	674.065	195.314
676	1.35000	339.880	627.031	195.570	343.265	672.077	195.322
677	1.35200	339.806	626.579	195.470	343.149	670.078	195.348
678	1.35400	339.768	626.096	195.479	343.032	668.068	195.299
679	1.35600	339.745	625.622	195.476	342.927	666.061	195.292
680	1.35800	339.714	625.099	195.469	342.839	664.063	195.281
681	1.36000	339.676	624.638	195.518	342.729	662.065	195.273
682	1.36200	339.652	624.106	195.524	342.604	660.050	195.264
683	1.36400	339.614	623.646	195.573	342.514	658.043	195.250
684	1.36600	339.576	623.123	195.567	342.425	656.056	195.307
685	1.36800	339.566	622.647	195.591	342.342	654.063	195.302
686	1.37000	339.521	622.139	195.612	342.244	652.053	195.324
687	1.37200	339.511	621.640	195.596	342.154	650.069	195.316
688	1.37400	339.459	621.155	195.658	342.065	648.067	195.310
689	1.37600	339.442	620.641	195.616	341.983	646.074	195.297
690	1.37800	339.397	620.165	195.666	341.885	644.066	195.259
691	1.38000	339.381	619.659	195.638	341.761	642.073	195.252
692	1.38200	339.321	619.161	195.620	341.686	640.078	195.251
693	1.38400	339.297	618.663	195.581	341.611	638.097	195.282
694	1.38600	339.272	618.156	195.578	341.435	636.065	195.241
695	1.38800	339.221	617.690	195.566	341.274	634.072	195.222
696	1.39000	339.232	617.175	195.526	341.213	632.076	195.213
697	1.39200	339.183	616.755	195.597	341.137	630.026	195.138
698	1.39400	339.327	615.490	195.792	341.226	628.810	195.344
699	1.39600	339.310	613.861	196.151	341.076	628.239	195.900
700	1.39800	339.300	612.272	196.527	340.912	627.587	196.281
701	1.40000	339.381	610.629	196.948	340.737	626.928	196.652
702	1.40200	339.359	609.042	197.278	340.511	626.289	196.978
703	1.40400	339.384	607.440	197.559	340.354	625.619	197.219
704	1.40600	339.336	605.869	197.757	340.247	624.941	197.421
705	1.40800	339.309	604.338	197.923	340.159	624.218	197.544
706	1.41000	339.291	602.826	198.042	339.960	623.514	197.638
707	1.41200	339.275	601.316	198.089	339.789	622.788	197.670
708	1.41400	339.257	599.814	198.149	339.529	622.099	197.686
709	1.41600	339.234	598.315	198.138	339.408	621.398	197.685
710	1.41800	339.231	596.784	198.075	339.272	620.652	197.602
711	1.42000	339.193	595.286	198.016	339.172	619.915	197.459
712	1.42200	339.145	593.826	197.835	338.973	619.157	197.297
713	1.42400	339.096	592.380	197.682	338.809	618.384	197.084
714	1.42600	339.057	590.964	197.395	338.568	617.640	196.817
715	1.42800	339.004	589.572	197.099	338.508	616.871	196.622
716	1.43000	338.938	588.165	196.751	338.545	616.147	196.483
717	1.43200	338.849	586.747	196.494	338.710	615.408	196.379
718	1.43400	338.633	585.299	196.499	338.789	614.676	196.204
719	1.43600	338.312	583.802	196.310	338.895	613.935	196.016
720	1.43800	337.923	582.445	196.178	339.073	613.214	195.899
721	1.44000	337.649	581.102	196.018	339.182	612.521	195.744
722	1.44200	337.289	579.681	195.750	339.215	611.875	195.668
723	1.44400	336.854	578.386	195.511	339.200	611.253	195.657
724	1.44600	336.744	576.991	195.523	339.246	610.621	195.632
725	1.44800	336.716	575.586	195.577	339.328	610.028	195.625
726	1.45000	336.690	574.221	195.622	339.417	609.442	195.658
727	1.45200	336.643	572.858	195.644	339.473	608.836	195.601
728	1.45400	336.596	571.495	195.641	339.557	608.228	195.572
729	1.45600	336.556	570.116	195.615	339.731	607.572	195.468
730	1.45800	336.509	568.746	195.578	339.839	606.894	195.314
731	1.46000	336.441	567.367	195.580	339.944	606.189	195.222
732	1.46200	336.400	565.957	195.481	339.912	605.678	195.302
733	1.46400	336.340	564.587	195.425	339.872	605.143	195.392
734	1.46600	336.279	563.223	195.433	339.854	604.601	195.420
735	1.46800	336.211	561.836	195.429	339.814	604.044	195.420
736	1.47000	336.141	560.423	195.440	339.781	603.494	195.434
737	1.47200	336.087	559.058	195.531	339.735	602.956	195.385
738	1.47400	336.019	557.685	195.584	339.654	602.386	195.333
739	1.47600	335.950	556.288	195.627	339.488	601.803	195.226
740	1.47800	335.902	554.883	195.633	339.412	601.207	195.185
741	1.48000	335.764	553.489	195.599	339.365	600.627	195.147
742	1.48200	335.584	552.104	195.552	339.303	600.045	195.159
743	1.48400	335.551	550.732	195.517	339.242	599.473	195.135
744	1.48600	335.477	549.361	195.507	339.195	598.915	195.163
745	1.48800	335.409	547.997	195.484	339.127	598.350	195.178
746	1.49000	335.335	546.642	195.478	339.087	597.785	195.169
747	1.49200	335.303	545.254	195.399	339.006	597.236	195.211
748	1.49400	335.235	543.890	195.384	338.974	596.687	195.204
749	1.49600	335.175	542.534	195.408	338.899	596.130	195.233
