NO_OF_FRAMES	1233
NO_OF_CAMERAS	2
NO_OF_MARKERS	2
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-18, 15:27:34.946	681789.82068140
DATA_INCLUDED	3D
TITLE	Bevaring av rörelsemängd i en dimension 23.1 g vs 23.3 g #2
MARKER_NAMES	v23_1g	h23_3g
COLLISION_TIME	0.76
TRAJECTORY_TYPES	Mixed	Measured
Frame	Time	v23_1g X	v23_1g Y	v23_1g Z	h23_3g X	h23_3g Y	h23_3g Z	
552	1.10200	332.960	528.582	195.633	355.944	914.824	196.914
553	1.10400	332.967	528.574	195.620	355.971	913.863	196.870
554	1.10600	332.966	528.549	195.632	355.925	912.918	196.821
555	1.10800	332.966	528.541	195.620	355.877	911.969	196.803
556	1.11000	332.979	528.516	195.632	355.839	911.011	196.727
557	1.11200	332.992	528.491	195.595	355.785	910.071	196.740
558	1.11400	332.998	528.475	195.595	355.716	909.139	196.773
559	1.11600	332.998	528.458	195.595	355.594	908.217	196.829
560	1.11800	332.997	528.434	195.582	355.617	907.269	196.796
561	1.12000	332.997	528.426	195.569	355.599	906.341	196.781
562	1.12200	332.989	528.409	195.569	355.412	905.427	196.893
563	1.12400	332.995	528.385	195.556	355.430	904.479	196.902
564	1.12600	332.995	528.368	195.556	355.353	903.533	196.903
565	1.12800	332.994	528.352	195.556	355.303	902.567	196.815
566	1.13000	332.987	528.336	195.555	355.282	901.629	196.815
567	1.13200	332.986	528.311	195.542	355.231	900.680	196.819
568	1.13400	332.985	528.295	195.542	355.206	899.724	196.772
569	1.13600	332.978	528.278	195.541	355.120	898.803	196.815
570	1.13800	332.991	528.270	195.529	355.081	897.852	196.783
571	1.14000	332.984	528.254	195.528	355.072	896.897	196.780
572	1.14200	332.983	528.237	195.528	355.035	895.978	196.806
573	1.14400	332.983	528.213	195.515	355.001	895.025	196.775
574	1.14600	332.989	528.196	195.514	354.937	894.108	196.841
575	1.14800	332.995	528.179	195.515	354.886	893.140	196.767
576	1.15000	332.995	528.163	195.514	354.840	892.197	196.730
577	1.15200	333.008	528.146	195.514	354.772	891.254	196.693
578	1.15400	333.001	528.130	195.513	354.720	890.318	196.715
579	1.15600	333.007	528.113	195.513	354.683	889.394	196.705
580	1.15800	333.013	528.096	195.513	354.625	888.458	196.730
581	1.16000	333.020	528.080	195.513	354.548	887.515	196.697
582	1.16200	333.019	528.055	195.500	354.512	886.543	196.630
583	1.16400	333.018	528.039	195.500	354.507	885.593	196.628
584	1.16600	333.025	528.022	195.500	354.396	884.651	196.640
585	1.16800	333.031	528.006	195.500	354.301	883.698	196.622
586	1.17000	333.024	527.997	195.512	354.209	882.753	196.594
587	1.17200	333.023	527.981	195.512	354.069	881.812	196.536
588	1.17400	333.016	527.973	195.499	353.998	880.862	196.538
589	1.17600	333.015	527.948	195.512	353.903	879.905	196.479
590	1.17800	333.008	527.940	195.498	353.823	878.955	196.481
591	1.18000	333.001	527.924	195.498	353.738	878.037	196.536
592	1.18200	332.993	527.908	195.498	353.688	877.095	196.529
593	1.18400	332.993	527.900	195.511	353.658	876.167	196.531
594	1.18600	332.992	527.883	195.511	353.600	875.228	196.500
