NO_OF_FRAMES	649
NO_OF_CAMERAS	2
NO_OF_MARKERS	2
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-18, 15:42:18.389	682673.25415600
DATA_INCLUDED	3D
MARKER_NAMES	v23_1g	h23_3g
TRAJECTORY_TYPES	Mixed	Measured
Frame	Time	v23_1g X	v23_1g Y	v23_1g Z	h23_3g X	h23_3g Y	h23_3g Z	
387	0.77200	338.871	617.022	195.472	356.895	909.338	196.494
388	0.77400	338.878	617.022	195.473	356.747	907.598	196.492
389	0.77600	338.878	617.039	195.449	356.503	905.903	196.572
390	0.77800	338.892	617.046	195.463	356.487	904.135	196.482
391	0.78000	338.893	617.054	195.476	356.255	902.408	196.484
392	0.78200	338.893	617.070	195.478	356.053	900.715	196.588
393	0.78400	338.901	617.086	195.480	356.039	898.955	196.536
394	0.78600	338.901	617.086	195.480	355.940	897.180	196.472
395	0.78800	338.909	617.110	195.496	355.834	895.482	196.592
396	0.79000	338.902	617.119	195.484	355.731	893.715	196.524
397	0.79200	338.916	617.118	195.510	355.637	891.984	196.529
398	0.79400	338.917	617.134	195.512	355.537	890.250	196.494
399	0.79600	338.917	617.135	195.486	355.466	888.500	196.461
400	0.79800	338.918	617.143	195.501	355.326	886.739	196.393
401	0.80000	338.918	617.151	195.489	355.225	885.019	196.417
402	0.80200	338.918	617.159	195.502	355.123	883.258	196.331
403	0.80400	338.932	617.167	195.491	355.044	881.479	196.313
404	0.80600	338.919	617.168	195.490	354.943	879.726	196.332
405	0.80800	338.926	617.169	195.465	354.813	877.988	196.355
406	0.81000	338.919	617.169	195.466	354.761	876.245	196.346
407	0.81200	338.926	617.177	195.454	354.611	874.509	196.350
408	0.81400	338.920	617.186	195.442	354.552	872.796	196.399
409	0.81600	338.927	617.186	195.442	354.467	871.046	196.313
410	0.81800	338.934	617.195	195.430	354.407	869.329	196.326
411	0.82000	338.928	617.211	195.432	354.326	867.574	196.272
412	0.82200	338.928	617.220	195.420	354.260	865.831	196.226
413	0.82400	338.928	617.227	195.433	354.206	864.112	196.249
414	0.82600	338.935	617.236	195.421	354.121	862.356	196.246
415	0.82800	338.928	617.252	195.422	354.042	860.602	196.220
416	0.83000	338.929	617.269	195.424	353.981	858.862	196.270
417	0.83200	338.929	617.285	195.425	353.857	857.111	196.224
418	0.83400	338.929	617.292	195.438	353.824	855.362	196.199
419	0.83600	338.915	617.300	195.451	353.743	853.644	196.189
420	0.83800	338.916	617.324	195.466	353.619	851.912	196.172
421	0.84000	338.916	617.341	195.467	353.549	850.180	196.137
422	0.84200	338.909	617.348	195.481	353.434	848.442	196.087
423	0.84400	338.917	617.372	195.496	353.265	846.732	196.138
424	0.84600	338.910	617.380	195.510	353.164	844.986	196.078
425	0.84800	338.918	617.404	195.525	353.037	843.243	196.060
426	0.85000	338.904	617.413	195.513	352.927	841.499	196.048
427	0.85200	338.904	617.420	195.526	352.806	839.751	196.064
428	0.85400	338.898	617.428	195.540	352.693	838.011	196.071
429	0.85600	338.906	617.444	195.542	352.631	836.281	196.116
430	0.85800	338.892	617.445	195.542	352.487	834.527	196.100
431	0.86000	338.892	617.461	195.544	352.350	832.761	196.124
432	0.86200	338.893	617.461	195.544	352.228	831.002	196.140
433	0.86400	338.893	617.461	195.544	352.141	829.254	196.057
434	0.86600	338.893	617.477	195.546	352.022	827.539	196.028
435	0.86800	338.894	617.486	195.534	351.890	825.822	196.025
436	0.87000	338.887	617.479	195.521	351.663	824.068	195.932
437	0.87200	338.894	617.487	195.509	351.533	822.329	195.889
438	0.87400	338.887	617.487	195.509	351.412	820.591	195.917
439	0.87600	338.895	617.512	195.499	351.336	818.814	195.832
440	0.87800	338.888	617.513	195.473	351.236	817.070	195.826
441	0.88000	338.888	617.522	195.461	351.096	815.332	195.837
442	0.88200	338.881	617.522	195.460	351.028	813.575	195.781
443	0.88400	338.888	617.532	195.423	350.905	811.850	195.805
444	0.88600	338.895	617.531	195.423	350.795	810.108	195.759
445	0.88800	338.896	617.556	195.413	350.707	808.362	195.743
446	0.89000	338.896	617.556	195.412	350.559	806.617	195.726
447	0.89200	338.896	617.565	195.400	350.479	804.878	195.705
448	0.89400	338.889	617.582	195.401	350.343	803.146	195.697
449	0.89600	338.889	617.590	195.389	350.280	801.396	195.693
450	0.89800	338.897	617.606	195.391	350.208	799.661	195.696
451	0.90000	338.898	617.623	195.393	350.100	797.937	195.756
452	0.90200	338.891	617.630	195.406	350.038	796.174	195.704
453	0.90400	338.885	617.655	195.421	349.969	794.434	195.742
454	0.90600	338.899	617.662	195.435	349.884	792.693	195.716
455	0.90800	338.892	617.678	195.437	349.816	790.976	195.754
456	0.91000	338.893	617.694	195.464	349.740	789.223	195.679
457	0.91200	338.887	617.710	195.467	349.678	787.507	195.697
458	0.91400	338.880	617.718	195.480	349.597	785.785	195.702
459	0.91600	338.874	617.742	195.495	349.522	784.055	195.697
460	0.91800	338.874	617.750	195.509	349.448	782.331	195.709
461	0.92000	338.868	617.766	195.511	349.327	780.594	195.692
462	0.92200	338.869	617.781	195.538	349.246	778.867	195.735
463	0.92400	338.862	617.789	195.552	349.122	777.120	195.734
464	0.92600	338.862	617.798	195.540	349.050	775.389	195.718
465	0.92800	338.863	617.806	195.553	348.898	773.670	195.758
466	0.93000	338.856	617.822	195.555	348.822	771.924	195.718
467	0.93200	338.856	617.838	195.556	348.735	770.208	195.714
468	0.93400	338.864	617.847	195.545	348.645	768.468	195.694
469	0.93600	338.865	617.863	195.547	348.544	766.743	195.681
470	0.93800	338.872	617.872	195.535	348.462	764.997	195.627
471	0.94000	338.879	617.888	195.537	348.373	763.264	195.606
472	0.94200	338.893	617.896	195.525	348.246	761.502	195.552
473	0.94400	338.886	617.889	195.511	348.102	759.758	195.571
474	0.94600	338.901	617.906	195.488	347.977	758.015	195.568
475	0.94800	338.908	617.914	195.476	347.903	756.256	195.540
476	0.95000	338.922	617.914	195.476	347.765	754.494	195.565
477	0.95200	338.915	617.931	195.452	347.657	752.755	195.587
478	0.95400	338.929	617.931	195.452	347.585	751.019	195.561
479	0.95600	338.929	617.932	195.426	347.496	749.283	195.538
480	0.95800	338.937	617.948	195.429	347.415	747.539	195.503
481	0.96000	338.944	617.948	195.428	347.327	745.811	195.474
482	0.96200	338.937	617.957	195.417	347.232	744.086	195.489
483	0.96400	338.945	617.973	195.419	347.147	742.350	195.453
484	0.96600	338.946	617.989	195.421	347.040	740.627	195.450
485	0.96800	338.939	617.990	195.421	346.880	738.920	195.453
486	0.97000	338.953	617.997	195.435	346.725	737.188	195.465
487	0.97200	338.954	618.013	195.437	346.591	735.448	195.467
488	0.97400	338.947	618.021	195.450	346.413	733.693	195.466
489	0.97600	338.948	618.037	195.452	346.320	731.957	195.489
490	0.97800	338.948	618.054	195.454	346.178	730.200	195.496
491	0.98000	338.935	618.062	195.467	346.039	728.473	195.510
492	0.98200	338.943	618.085	195.483	345.974	726.742	195.465
493	0.98400	338.929	618.086	195.483	345.878	725.022	195.475
494	0.98600	338.929	618.110	195.498	345.783	723.288	195.460
495	0.98800	338.922	618.110	195.498	345.709	721.544	195.460
496	0.99000	338.923	618.126	195.499	345.605	719.821	195.504
497	0.99200	338.923	618.142	195.501	345.508	718.055	195.466
498	0.99400	338.917	618.151	195.489	345.419	716.332	195.491
499	0.99600	338.917	618.159	195.502	345.309	714.580	195.487
500	0.99800	338.924	618.167	195.490	345.227	712.851	195.479
501	1.00000	338.924	618.176	195.478	345.139	711.121	195.474
502	1.00200	338.931	618.185	195.466	345.043	709.378	195.443
503	1.00400	338.938	618.193	195.454	344.983	707.655	195.434
504	1.00600	338.931	618.193	195.454	344.887	705.903	195.394
505	1.00800	338.939	618.202	195.443	344.857	704.172	195.379
506	1.01000	338.939	618.210	195.430	344.753	702.426	195.359
507	1.01200	338.954	618.226	195.433	344.722	700.694	195.350
508	1.01400	338.947	618.228	195.407	344.605	698.940	195.322
509	1.01600	338.947	618.235	195.420	344.546	697.215	195.332
510	1.01800	338.940	618.244	195.408	344.472	695.489	195.343
511	1.02000	338.941	618.253	195.396	344.391	693.754	195.369
512	1.02200	338.955	618.269	195.399	344.317	692.020	195.373
513	1.02400	338.948	618.277	195.412	344.230	690.287	195.380
514	1.02600	338.949	618.285	195.401	344.157	688.553	195.364
515	1.02800	338.936	618.310	195.416	344.083	686.805	195.324
516	1.03000	338.929	618.310	195.415	343.949	685.114	195.308
517	1.03200	338.936	618.325	195.443	343.831	683.391	195.266
518	1.03400	338.930	618.341	195.445	343.681	681.658	195.261
519	1.03600	338.924	618.365	195.460	343.505	679.918	195.247
520	1.03800	338.924	618.365	195.460	343.356	678.188	195.314
521	1.04000	338.925	618.389	195.476	343.205	676.430	195.301
522	1.04200	338.925	618.397	195.489	343.132	674.715	195.353
523	1.04400	338.926	618.413	195.491	343.002	672.981	195.336
524	1.04600	338.934	618.437	195.506	342.950	671.250	195.367
525	1.04800	338.933	618.437	195.506	342.834	669.522	195.371
526	1.05000	338.941	618.461	195.522	342.747	667.809	195.383
527	1.05200	338.941	618.469	195.510	342.644	666.059	195.326
528	1.05400	338.949	618.477	195.524	342.564	664.344	195.344
529	1.05600	338.956	618.494	195.500	342.483	662.593	195.295
530	1.05800	338.956	618.502	195.513	342.382	660.886	195.331
531	1.06000	338.970	618.502	195.488	342.301	659.124	195.301
532	1.06200	338.957	618.520	195.464	342.186	657.417	195.342
533	1.06400	338.964	618.529	195.452	342.033	655.649	195.300
534	1.06600	338.964	618.537	195.440	341.924	653.934	195.309
535	1.06800	338.965	618.554	195.441	341.780	652.174	195.262
536	1.07000	338.965	618.562	195.430	341.682	650.460	195.255
537	1.07200	338.972	618.571	195.418	341.546	648.724	195.206
538	1.07400	338.965	618.563	195.404	341.406	647.002	195.191
539	1.07600	338.965	618.580	195.405	341.251	645.257	195.162
540	1.07800	338.959	618.588	195.393	341.136	643.542	195.164
541	1.08000	338.959	618.605	195.395	341.049	641.794	195.141
542	1.08200	338.967	618.621	195.396	340.955	640.076	195.175
543	1.08400	338.960	618.629	195.410	340.861	638.359	195.187
544	1.08600	338.933	618.646	195.411	340.780	636.624	195.200
545	1.08800	338.940	618.654	195.399	340.700	634.889	195.242
546	1.09000	338.934	618.678	195.415	340.570	633.135	195.166
547	1.09200	338.961	618.636	195.424	340.531	631.373	195.033
548	1.09400	338.974	617.226	195.624	340.795	631.102	195.246
549	1.09600	338.849	615.864	195.927	340.953	630.826	195.274
550	1.09800	338.709	614.495	196.218	340.964	630.608	195.376
551	1.10000	338.433	613.183	196.421	341.025	630.418	195.559
552	1.10200	338.204	611.828	196.625	341.087	630.214	195.690
553	1.10400	337.936	610.396	196.692	341.199	630.041	195.827
554	1.10600	337.840	609.049	196.816	341.333	629.832	195.847
555	1.10800	337.746	607.723	196.842	341.374	629.656	195.916
556	1.11000	337.679	606.371	196.855	341.375	629.467	195.933
557	1.11200	337.591	605.038	196.820	341.396	629.286	195.938
558	1.11400	337.485	603.731	196.751	341.398	629.109	195.867
559	1.11600	337.398	602.408	196.658	341.400	628.931	195.822
560	1.11800	337.313	601.069	196.567	341.368	628.771	195.753
561	1.12000	337.260	599.743	196.528	341.294	628.603	195.720
562	1.12200	337.225	598.476	196.433	341.112	628.423	195.628
563	1.12400	337.197	597.210	196.291	341.002	628.235	195.500
564	1.12600	337.176	595.938	196.087	340.880	628.045	195.427
565	1.12800	337.157	594.733	195.836	340.686	627.890	195.335
566	1.13000	337.186	593.532	195.626	340.517	627.735	195.239
567	1.13200	337.191	592.260	195.616	340.365	627.546	195.162
