NO_OF_FRAMES	1445
NO_OF_CAMERAS	2
NO_OF_MARKERS	2
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-18, 15:47:12.116	682966.97682430
DATA_INCLUDED	3D
TITLE	Bevaring av rörelsemängd i en dimension 23.1g vs 23.3g #4
MARKER_NAMES	v23_1g	h23_3g
COLLISION_TIME	1.46
TRAJECTORY_TYPES	Measured	Mixed
Frame	Time	v23_1g X	v23_1g Y	v23_1g Z	h23_3g X	h23_3g Y	h23_3g Z	
556	1.11000	336.530	575.198	195.497	356.881	909.521	196.586
557	1.11200	336.531	575.214	195.499	356.860	909.112	196.642
558	1.11400	336.537	575.214	195.499	356.753	908.721	196.738
559	1.11600	336.524	575.215	195.499	356.739	908.266	196.666
560	1.11800	336.524	575.215	195.499	356.787	907.851	196.645
561	1.12000	336.524	575.215	195.499	356.689	907.407	196.629
562	1.12200	336.524	575.215	195.499	356.662	907.011	196.648
563	1.12400	336.524	575.223	195.512	356.650	906.544	196.545
564	1.12600	336.524	575.231	195.500	356.609	906.156	196.622
565	1.12800	336.531	575.231	195.501	356.516	905.725	196.608
566	1.13000	336.524	575.231	195.500	356.464	905.314	196.622
567	1.13200	336.524	575.231	195.500	356.488	904.892	196.651
568	1.13400	336.525	575.247	195.501	356.411	904.501	196.684
569	1.13600	336.525	575.247	195.501	356.401	904.066	196.635
570	1.13800	336.525	575.247	195.501	356.369	903.649	196.639
571	1.14000	336.518	575.248	195.501	356.314	903.228	196.661
572	1.14200	336.525	575.255	195.514	356.256	902.794	196.608
573	1.14400	336.532	575.255	195.514	356.249	902.365	196.577
574	1.14600	336.519	575.264	195.502	356.112	902.001	196.754
575	1.14800	336.532	575.264	195.502	356.095	901.578	196.738
576	1.15000	336.526	575.272	195.515	356.127	901.125	196.647
577	1.15200	336.532	575.271	195.515	356.082	900.713	196.660
578	1.15400	336.539	575.271	195.515	356.010	900.270	196.619
579	1.15600	336.519	575.272	195.515	356.077	899.838	196.594
580	1.15800	336.525	575.272	195.515	355.917	899.436	196.658
581	1.16000	336.525	575.272	195.515	355.973	898.989	196.585
582	1.16200	336.526	575.279	195.528	355.969	898.543	196.550
583	1.16400	336.526	575.288	195.516	355.921	898.109	196.501
584	1.16600	336.526	575.280	195.503	355.852	897.706	196.613
585	1.16800	336.519	575.288	195.515	355.918	897.250	196.482
586	1.17000	336.526	575.280	195.502	355.889	896.839	196.542
587	1.17200	336.519	575.288	195.515	355.817	896.456	196.634
588	1.17400	336.533	575.288	195.516	355.843	896.013	196.575
589	1.17600	336.526	575.289	195.490	355.849	895.597	196.553
590	1.17800	336.526	575.289	195.490	355.809	895.176	196.618
591	1.18000	336.526	575.289	195.490	355.832	894.758	196.558
592	1.18200	336.526	575.289	195.490	355.834	894.297	196.517
593	1.18400	336.526	575.289	195.490	355.734	893.923	196.598
594	1.18600	336.533	575.297	195.477	355.802	893.453	196.506
595	1.18800	336.533	575.297	195.477	355.803	893.026	196.454
596	1.19000	336.533	575.305	195.491	355.775	892.612	196.472
597	1.19200	336.540	575.313	195.504	355.719	892.221	196.513
598	1.19400	336.533	575.297	195.477	355.742	891.773	196.480
599	1.19600	336.547	575.304	195.491	355.684	891.370	196.488
600	1.19800	336.547	575.313	195.479	355.653	890.970	196.579
601	1.20000	336.547	575.313	195.479	355.640	890.542	196.529
602	1.20200	336.540	575.313	195.478	355.613	890.119	196.556
603	1.20400	336.547	575.313	195.479	355.567	889.706	196.577
604	1.20600	336.555	575.321	195.467	355.578	889.274	196.552
605	1.20800	336.555	575.321	195.467	355.566	888.822	196.505
606	1.21000	336.548	575.329	195.480	355.542	888.402	196.508
607	1.21200	336.562	575.329	195.480	355.456	887.973	196.480
608	1.21400	336.548	575.337	195.493	355.499	887.516	196.392
609	1.21600	336.556	575.338	195.468	355.501	887.081	196.395
610	1.21800	336.556	575.346	195.482	355.468	886.699	196.469
611	1.22000	336.556	575.337	195.494	355.410	886.254	196.435
612	1.22200	336.556	575.354	195.495	355.420	885.825	196.386
613	1.22400	336.556	575.354	195.495	355.380	885.424	196.480
614	1.22600	336.556	575.361	195.509	355.359	884.990	196.414
615	1.22800	336.563	575.361	195.509	355.356	884.566	196.446
616	1.23000	336.556	575.361	195.509	355.310	884.161	196.460
617	1.23200	336.556	575.353	195.521	355.288	883.730	196.435
618	1.23400	336.557	575.369	195.522	355.273	883.314	196.459
619	1.23600	336.550	575.370	195.522	355.236	882.906	196.497
620	1.23800	336.557	575.378	195.510	355.165	882.504	196.551
