NO_OF_FRAMES	370
NO_OF_CAMERAS	2
NO_OF_MARKERS	2
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-18, 16:06:51.318	684146.16648770
DATA_INCLUDED	3D
TITLE	Bevaring av rörelsemängd i en dimension 23.1g vs 23.3g #5
MARKER_NAMES	v23_1g	h23_3g
COLLISION_TIME	0
TRAJECTORY_TYPES	Measured	Measured
Frame	Time	v23_1g X	v23_1g Y	v23_1g Z	h23_3g X	h23_3g Y	h23_3g Z	
512	1.02200	337.225	589.587	195.490	355.811	896.029	196.478
513	1.02400	337.226	589.596	195.478	355.623	892.549	196.393
514	1.02600	337.226	589.612	195.479	355.442	889.124	196.413
515	1.02800	337.226	589.612	195.479	355.294	885.631	196.268
516	1.03000	337.213	589.629	195.480	355.035	882.185	196.301
517	1.03200	337.213	589.629	195.480	354.783	878.705	196.264
518	1.03400	337.214	589.654	195.470	354.596	875.262	196.288
519	1.03600	337.214	589.654	195.470	354.438	871.843	196.294
520	1.03800	337.200	589.671	195.471	354.251	868.401	196.220
521	1.04000	337.215	589.687	195.472	354.078	864.951	196.187
522	1.04200	337.201	589.695	195.485	353.927	861.508	196.195
523	1.04400	337.202	589.704	195.473	353.784	858.029	196.164
524	1.04600	337.202	589.720	195.474	353.621	854.571	196.138
525	1.04800	337.203	589.736	195.476	353.464	851.151	196.166
526	1.05000	337.196	589.744	195.488	353.245	847.676	196.061
527	1.05200	337.203	589.760	195.490	353.083	844.220	196.034
528	1.05400	337.204	589.777	195.491	352.925	840.778	195.999
529	1.05600	337.205	589.793	195.493	352.731	837.349	196.046
530	1.05800	337.204	589.793	195.492	352.563	833.867	195.984
531	1.06000	337.198	589.810	195.493	352.380	830.413	195.941
532	1.06200	337.198	589.818	195.481	352.175	826.981	195.975
533	1.06400	337.206	589.842	195.496	351.965	823.493	195.921
534	1.06600	337.200	589.859	195.497	351.738	820.014	195.908
535	1.06800	337.206	589.859	195.497	351.566	816.552	195.862
536	1.07000	337.214	589.875	195.499	351.356	813.141	195.859
537	1.07200	337.214	589.883	195.486	351.089	809.709	195.820
