NO_OF_FRAMES	1496
NO_OF_CAMERAS	2
NO_OF_MARKERS	2
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-18, 16:11:18.562	684413.40693700
DATA_INCLUDED	3D
MARKER_NAMES	v23_1g	h23_3g
TRAJECTORY_TYPES	Mixed	Mixed
Frame	Time	v23_1g X	v23_1g Y	v23_1g Z	h23_3g X	h23_3g Y	h23_3g Z	
457	0.91200	321.951	322.143	195.329	356.029	901.997	196.734
458	0.91400	321.989	323.086	195.337	355.993	900.714	196.654
459	0.91600	322.021	324.036	195.330	355.939	899.500	196.700
460	0.91800	322.066	324.988	195.351	355.859	898.245	196.701
461	0.92000	322.091	325.932	195.361	355.784	897.015	196.701
462	0.92200	322.156	326.889	195.344	355.827	895.740	196.600
463	0.92400	322.228	327.840	195.343	355.806	894.495	196.573
464	0.92600	322.306	328.816	195.353	355.694	893.281	196.622
465	0.92800	322.397	329.785	195.403	355.656	892.064	196.678
466	0.93000	322.436	330.729	195.418	355.624	890.800	196.607
467	0.93200	322.465	331.657	195.437	355.501	889.622	196.727
468	0.93400	322.530	332.584	195.457	355.471	888.392	196.755
469	0.93600	322.588	333.534	195.435	355.403	887.133	196.703
470	0.93800	322.640	334.452	195.446	355.361	885.891	196.702
471	0.94000	322.669	335.381	195.468	355.301	884.626	196.638
472	0.94200	322.743	336.330	195.449	355.283	883.375	196.587
473	0.94400	322.803	337.280	195.429	355.240	882.136	196.605
474	0.94600	322.855	338.230	195.411	355.160	880.903	196.600
475	0.94800	322.893	339.172	195.383	355.124	879.631	196.570
476	0.95000	322.946	340.115	195.381	355.034	878.408	196.599
477	0.95200	322.998	341.058	195.380	354.984	877.184	196.630
478	0.95400	323.095	342.013	195.324	354.915	875.944	196.588
479	0.95600	323.133	342.964	195.310	354.834	874.699	196.599
480	0.95800	323.177	343.908	195.313	354.744	873.448	196.528
481	0.96000	323.231	344.859	195.300	354.645	872.196	196.526
482	0.96200	323.305	345.809	195.289	354.561	870.964	196.480
483	0.96400	323.364	346.760	195.279	354.451	869.700	196.450
484	0.96600	323.403	347.719	195.256	354.353	868.482	196.481
485	0.96800	323.541	348.696	195.288	354.272	867.217	196.389
486	0.97000	323.634	349.657	195.345	354.179	865.999	196.356
487	0.97200	323.693	350.586	195.381	354.099	864.759	196.372
488	0.97400	323.731	351.523	195.404	354.028	863.518	196.320
489	0.97600	323.769	352.467	195.414	353.940	862.274	196.362
490	0.97800	323.822	353.395	195.426	353.896	861.032	196.315
491	0.98000	323.881	354.323	195.466	353.818	859.768	196.314
492	0.98200	323.926	355.267	195.453	353.728	858.550	196.329
493	0.98400	323.963	356.194	195.443	353.699	857.291	196.282
494	0.98600	324.022	357.137	195.432	353.577	856.058	196.292
495	0.98800	324.108	358.055	195.413	353.514	854.790	196.189
496	0.99000	324.140	359.006	195.389	353.400	853.561	196.219
497	0.99200	324.186	359.950	195.379	353.295	852.314	196.138
498	0.99400	324.232	360.909	195.343	353.204	851.078	196.158
499	0.99600	324.270	361.853	195.336	353.097	849.842	196.112
500	0.99800	324.316	362.788	195.318	352.993	848.579	196.098
501	1.00000	324.369	363.724	195.326	352.913	847.344	196.097
502	1.00200	324.408	364.668	195.321	352.842	846.091	196.117
503	1.00400	324.454	365.627	195.289	352.793	844.836	196.075
504	1.00600	324.500	366.571	195.286	352.726	843.597	196.104
505	1.00800	324.560	367.508	195.324	352.652	842.352	196.052
506	1.01000	324.584	368.461	195.309	352.601	841.120	196.074
507	1.01200	324.622	369.406	195.309	352.525	839.899	196.087
508	1.01400	324.753	370.301	195.392	352.480	838.651	196.106
509	1.01600	324.799	371.238	195.407	352.432	837.418	196.133
510	1.01800	324.859	372.175	195.449	352.404	836.185	196.162
511	1.02000	324.875	373.128	195.439	352.354	834.942	196.135
512	1.02200	324.934	374.057	195.472	352.321	833.692	196.095
513	1.02400	324.978	374.995	195.492	352.268	832.474	196.132
514	1.02600	325.030	375.947	195.485	352.229	831.236	196.125
515	1.02800	325.143	376.901	195.532	352.184	829.985	196.089
516	1.03000	325.236	377.903	195.548	352.144	828.755	196.076
517	1.03200	325.275	378.847	195.531	352.090	827.522	196.089
518	1.03400	325.306	379.792	195.516	352.044	826.292	196.078
519	1.03600	325.352	380.744	195.487	351.988	825.043	196.088
520	1.03800	325.412	381.679	195.486	351.907	823.812	196.079
521	1.04000	325.458	382.624	195.473	351.836	822.563	196.025
522	1.04200	325.504	383.576	195.446	351.780	821.324	196.006
