NO_OF_FRAMES	1374
NO_OF_CAMERAS	2
NO_OF_MARKERS	2
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-18, 16:14:04.988	684579.83169310
DATA_INCLUDED	3D
TITLE	Bevaring av rörelsemängd i en dimension 23.1g vs 23.3g #7
MARKER_NAMES	v23_1g	h23_3g
COLLISION_TIME	0
TRAJECTORY_TYPES	Mixed	Measured
Frame	Time	v23_1g X	v23_1g Y	v23_1g Z	h23_3g X	h23_3g Y	h23_3g Z	
603	1.20400	320.012	288.096	195.200	351.064	811.735	195.863
604	1.20600	320.074	288.649	195.174	350.982	810.599	195.850
605	1.20800	320.050	289.237	195.259	350.907	809.447	195.831
606	1.21000	320.090	289.793	195.260	350.818	808.326	195.825
607	1.21200	320.079	290.345	195.301	350.713	807.161	195.779
608	1.21400	320.129	290.936	195.346	350.644	806.002	195.818
609	1.21600	320.168	291.490	195.322	350.481	804.858	195.816
610	1.21800	320.164	292.058	195.361	350.420	803.688	195.801
611	1.22000	320.215	292.645	195.354	350.365	802.540	195.806
612	1.22200	320.202	293.193	195.321	350.315	801.406	195.818
613	1.22400	320.252	293.803	195.297	350.225	800.267	195.814
614	1.22600	320.248	294.377	195.297	350.179	799.143	195.818
615	1.22800	320.298	294.962	195.241	350.104	798.003	195.818
616	1.23000	320.295	295.570	195.260	350.076	796.835	195.760
617	1.23200	320.358	296.138	195.208	350.001	795.710	195.767
618	1.23400	320.369	296.718	195.195	349.954	794.571	195.746
619	1.23600	320.425	297.333	195.225	349.905	793.416	195.721
620	1.23800	320.465	297.893	195.164	349.849	792.277	195.702
621	1.24000	320.517	298.468	195.193	349.783	791.157	195.729
622	1.24200	320.579	299.041	195.221	349.712	790.017	195.712
623	1.24400	320.638	299.596	195.202	349.683	788.867	195.708
624	1.24600	320.790	300.130	195.304	349.637	787.728	195.669
625	1.24800	320.883	300.738	195.355	349.568	786.594	195.671
626	1.25000	320.978	301.322	195.423	349.509	785.463	195.715
627	1.25200	321.016	301.904	195.439	349.426	784.322	195.702
628	1.25400	321.048	302.470	195.458	349.352	783.174	195.679
629	1.25600	321.087	303.032	195.426	349.288	782.023	195.682
630	1.25800	321.101	303.641	195.474	349.206	780.887	195.691
631	1.26000	321.121	304.219	195.413	349.143	779.738	195.672
632	1.26200	321.160	304.790	195.393	349.064	778.602	195.682
633	1.26400	321.180	305.404	195.377	349.007	777.458	195.680
634	1.26600	321.218	305.949	195.325	348.955	776.317	195.655
635	1.26800	321.253	306.561	195.309	348.898	775.179	195.671
636	1.27000	321.272	307.132	195.265	348.835	774.028	195.657
637	1.27200	321.312	307.713	195.257	348.789	772.892	195.650
638	1.27400	321.325	308.304	195.287	348.713	771.757	195.644
639	1.27600	321.363	308.844	195.276	348.666	770.604	195.636
640	1.27800	321.396	309.426	195.296	348.608	769.470	195.606
641	1.28000	321.409	309.978	195.347	348.539	768.336	195.579
642	1.28200	321.439	310.543	195.345	348.442	767.175	195.582
643	1.28400	321.458	311.111	195.395	348.396	766.039	195.557
644	1.28600	321.490	311.675	195.368	348.295	764.880	195.538
645	1.28800	321.509	312.233	195.380	348.216	763.736	195.526
646	1.29000	321.530	312.832	195.397	348.159	762.584	195.501
647	1.29200	321.561	313.395	195.372	348.084	761.421	195.513
648	1.29400	321.595	313.985	195.378	348.002	760.283	195.520
649	1.29600	321.609	314.583	195.371	347.928	759.128	195.524
650	1.29800	321.641	315.145	195.320	347.839	757.971	195.554
651	1.30000	321.662	315.760	195.336	347.777	756.834	195.538
652	1.30200	321.687	316.332	195.297	347.708	755.707	195.579
653	1.30400	321.720	316.921	195.280	347.662	754.553	195.563
654	1.30600	321.721	317.529	195.311	347.616	753.405	195.563
655	1.30800	321.759	318.084	195.277	347.548	752.290	195.571
656	1.31000	321.778	318.658	195.290	347.481	751.151	195.563
657	1.31200	321.791	319.233	195.303	347.428	750.018	195.570
658	1.31400	321.830	319.789	195.295	347.357	748.897	195.544
659	1.31600	321.842	320.375	195.346	347.263	747.776	195.517
660	1.31800	321.881	320.922	195.327	347.197	746.637	195.514
661	1.32000	321.913	321.497	195.343	347.109	745.483	195.482
662	1.32200	321.932	322.074	195.409	347.052	744.358	195.487
663	1.32400	321.978	322.637	195.363	346.945	743.214	195.447
664	1.32600	321.997	323.229	195.402	346.885	742.050	195.432
665	1.32800	322.065	323.825	195.376	346.775	740.908	195.459
666	1.33000	322.115	324.398	195.369	346.729	739.784	195.441
667	1.33200	322.235	325.031	195.419	346.663	738.635	195.434
668	1.33400	322.254	325.612	195.396	346.581	737.492	195.466
669	1.33600	322.313	326.189	195.324	346.548	736.344	195.434
670	1.33800	322.320	326.789	195.349	346.482	735.210	195.433
671	1.34000	322.354	327.370	195.327	346.422	734.069	195.419
672	1.34200	322.414	327.934	195.309	346.382	732.912	195.403
673	1.34400	322.427	328.534	195.336	346.336	731.784	195.420
674	1.34600	322.485	329.057	195.315	346.275	730.642	195.409
675	1.34800	322.519	329.658	195.368	346.209	729.500	195.400
676	1.35000	322.565	330.200	195.395	346.141	728.365	195.406
677	1.35200	322.590	330.775	195.415	346.080	727.237	195.428
678	1.35400	322.618	331.351	195.460	346.027	726.101	195.437
679	1.35600	322.662	331.891	195.437	345.961	724.974	195.437
680	1.35800	322.720	332.488	195.439	345.907	723.822	195.445
681	1.36000	322.709	333.063	195.436	345.848	722.669	195.456
682	1.36200	322.793	333.650	195.403	345.788	721.519	195.442
683	1.36400	322.778	334.251	195.433	345.715	720.368	195.429
684	1.36600	322.854	334.827	195.339	345.668	719.222	195.457
685	1.36800	322.853	335.427	195.344	345.614	718.077	195.461
686	1.37000	322.882	336.024	195.323	345.561	716.925	195.452
687	1.37200	322.904	336.597	195.297	345.508	715.798	195.436
688	1.37400	322.934	337.187	195.290	345.432	714.646	195.428
689	1.37600	322.937	337.761	195.265	345.349	713.517	195.438
690	1.37800	322.978	338.326	195.277	345.288	712.374	195.423
691	1.38000	322.971	338.926	195.283	345.213	711.237	195.422
692	1.38200	323.037	339.458	195.278	345.145	710.086	195.394
693	1.38400	323.029	340.043	195.315	345.084	708.956	195.411
694	1.38600	323.048	340.609	195.303	345.038	707.811	195.402
695	1.38800	323.086	341.159	195.322	344.963	706.684	195.370
696	1.39000	323.086	341.753	195.370	344.917	705.539	195.363
697	1.39200	323.138	342.293	195.352	344.849	704.392	195.382
698	1.39400	323.137	342.884	195.351	344.809	703.238	195.363
699	1.39600	323.179	343.459	195.377	344.728	702.102	195.348
700	1.39800	323.203	344.047	195.327	344.674	700.965	195.334
701	1.40000	323.232	344.639	195.350	344.614	699.825	195.348
702	1.40200	323.249	345.219	195.289	344.546	698.679	195.348
703	1.40400	323.284	345.800	195.277	344.480	697.549	195.353
704	1.40600	323.284	346.414	195.234	344.414	696.436	195.337
705	1.40800	323.323	346.971	195.216	344.334	695.305	195.345
706	1.41000	323.331	347.586	195.199	344.235	694.169	195.316
707	1.41200	323.384	348.143	195.181	344.150	693.047	195.316
708	1.41400	323.396	348.719	195.212	344.064	691.918	195.303
709	1.41600	323.424	349.312	195.265	343.936	690.773	195.287
710	1.41800	323.454	349.862	195.263	343.842	689.635	195.286
711	1.42000	323.474	350.415	195.336	343.698	688.472	195.295
712	1.42200	323.505	350.999	195.356	343.617	687.333	195.297
713	1.42400	323.531	351.541	195.366	343.528	686.186	195.285
714	1.42600	323.550	352.142	195.409	343.454	685.047	195.290
715	1.42800	323.603	352.700	195.419	343.407	683.899	195.282
716	1.43000	323.682	353.291	195.427	343.332	682.758	195.289
717	1.43200	323.763	353.909	195.495	343.286	681.617	195.299
718	1.43400	323.789	354.489	195.437	343.219	680.478	195.284
719	1.43600	323.823	355.080	195.443	343.173	679.345	195.284
720	1.43800	323.850	355.677	195.410	343.119	678.211	195.311
721	1.44000	323.890	356.251	195.394	343.059	677.078	195.314
722	1.44200	323.924	356.850	195.386	342.985	675.945	195.317
723	1.44400	323.964	357.423	195.371	342.946	674.811	195.323
724	1.44600	324.004	358.005	195.342	342.899	673.670	195.316
725	1.44800	324.031	358.588	195.363	342.846	672.537	195.323
726	1.45000	324.084	359.145	195.352	342.806	671.395	195.319
727	1.45200	324.123	359.720	195.364	342.754	670.270	195.319
728	1.45400	324.162	360.271	195.392	342.707	669.128	195.317
729	1.45600	324.222	360.828	195.382	342.669	668.003	195.294
730	1.45800	324.242	361.404	195.419	342.615	666.861	195.294
731	1.46000	324.314	361.944	195.387	342.576	665.719	195.296
732	1.46200	324.335	362.521	195.449	342.515	664.577	195.299
733	1.46400	324.408	363.061	195.418	342.483	663.426	195.291
734	1.46600	324.487	363.619	195.482	342.437	662.292	195.285
735	1.46800	324.529	364.209	195.467	342.384	661.150	195.267
736	1.47000	324.581	364.774	195.445	342.331	660.007	195.276
737	1.47200	324.589	365.381	195.427	342.277	658.864	195.286
738	1.47400	324.634	365.946	195.381	342.217	657.729	195.285
739	1.47600	324.656	366.536	195.366	342.142	656.588	195.271
740	1.47800	324.655	367.128	195.353	342.082	655.454	195.247
741	1.48000	324.708	367.693	195.333	342.008	654.312	195.236
742	1.48200	324.714	368.293	195.332	341.926	653.170	195.226
743	1.48400	324.767	368.851	195.326	341.851	652.020	195.203
744	1.48600	324.759	369.418	195.330	341.806	650.885	195.186
745	1.48800	324.805	369.979	195.401	341.739	649.751	195.169
746	1.49000	324.816	370.538	195.396	341.679	648.617	195.153
747	1.49200	324.849	371.115	195.465	341.618	647.473	195.151
748	1.49400	324.881	371.657	195.463	341.559	646.337	195.165
749	1.49600	324.893	372.233	195.481	341.479	645.202	195.153
750	1.49800	324.940	372.826	195.524	341.427	644.083	195.146
751	1.50000	325.045	373.400	195.523	341.334	642.948	195.138
752	1.50200	325.092	374.026	195.587	341.247	641.796	195.155
753	1.50400	325.159	374.607	195.543	341.161	640.661	195.151
754	1.50600	325.151	375.191	195.524	341.102	639.524	195.172
755	1.50800	325.192	375.798	195.514	341.015	638.388	195.169
756	1.51000	325.218	376.363	195.472	340.956	637.251	195.193
757	1.51200	325.246	376.970	195.462	340.897	636.131	195.195
758	1.51400	325.287	377.568	195.417	340.830	635.002	195.209
759	1.51600	325.300	378.135	195.426	340.778	633.865	195.211
760	1.51800	325.327	378.743	195.418	340.718	632.737	195.202
761	1.52000	325.359	379.294	195.432	340.644	631.600	195.206
762	1.52200	325.372	379.877	195.415	340.577	630.472	195.200
763	1.52400	325.411	380.436	195.441	340.525	629.343	195.195
764	1.52600	325.430	381.003	195.427	340.458	628.222	195.205
765	1.52800	325.470	381.572	195.490	340.392	627.093	195.203
766	1.53000	325.488	382.122	195.480	340.295	625.949	195.197
767	1.53200	325.514	382.690	195.517	340.163	624.790	195.164
768	1.53400	325.554	383.281	195.515	340.075	623.645	195.162
769	1.53600	325.574	383.848	195.502	340.009	622.524	195.153
770	1.53800	325.593	384.441	195.526	339.935	621.395	195.158
771	1.54000	325.620	385.015	195.500	339.854	620.240	195.173
