NO_OF_FRAMES	2027
NO_OF_CAMERAS	2
NO_OF_MARKERS	2
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-18, 16:15:35.277	684670.11994660
DATA_INCLUDED	3D
MARKER_NAMES	v23_1g	h23_3g
TRAJECTORY_TYPES	Measured	Mixed
Frame	Time	v23_1g X	v23_1g Y	v23_1g Z	h23_3g X	h23_3g Y	h23_3g Z	
474	0.94600	325.806	386.765	195.344	357.083	913.655	196.675
475	0.94800	325.831	387.471	195.327	357.051	913.103	196.680
476	0.95000	325.868	388.168	195.301	356.886	912.520	196.611
477	0.95200	325.938	388.815	195.257	356.865	911.989	196.683
478	0.95400	325.955	389.524	195.293	356.758	911.405	196.660
479	0.95600	325.993	390.206	195.320	356.766	910.785	196.478
480	0.95800	326.047	390.863	195.316	356.684	910.263	196.571
481	0.96000	326.064	391.538	195.332	356.626	909.684	196.546
482	0.96200	326.088	392.230	195.372	356.569	909.122	196.580
483	0.96400	326.150	392.886	195.343	356.491	908.650	196.847
484	0.96600	326.159	393.561	195.360	356.427	908.006	196.656
485	0.96800	326.190	394.269	195.401	356.380	907.441	196.697
486	0.97000	326.239	394.909	195.374	356.369	906.839	196.602
487	0.97200	326.255	395.600	195.366	356.376	906.260	196.576
488	0.97400	326.278	396.291	195.384	356.272	905.698	196.655
489	0.97600	326.295	396.990	195.388	356.290	905.102	196.582
490	0.97800	326.352	397.654	195.348	356.193	904.527	196.517
491	0.98000	326.395	398.344	195.343	356.227	903.929	196.514
492	0.98200	326.406	399.069	195.359	356.133	903.418	196.672
493	0.98400	326.482	399.733	195.321	356.147	902.826	196.614
494	0.98600	326.566	400.431	195.332	356.122	902.291	196.711
495	0.98800	326.629	401.140	195.405	356.079	901.698	196.678
496	0.99000	326.672	401.789	195.394	356.149	901.161	196.719
497	0.99200	326.680	402.455	195.381	356.087	900.593	196.716
498	0.99400	326.718	403.163	195.427	356.097	899.986	196.654
499	0.99600	326.740	403.830	195.441	356.092	899.426	196.651
500	0.99800	326.769	404.487	195.418	356.014	898.898	196.764
501	1.00000	326.793	405.186	195.427	356.059	898.284	196.688
502	1.00200	326.816	405.869	195.441	355.980	897.707	196.698
503	1.00400	326.859	406.542	195.392	355.993	897.117	196.620
504	1.00600	326.869	407.233	195.391	355.935	896.549	196.621
505	1.00800	326.907	407.931	195.378	355.979	895.955	196.569
506	1.01000	326.950	408.605	195.357	355.991	895.364	196.558
507	1.01200	326.966	409.271	195.347	355.966	894.797	196.538
508	1.01400	327.011	409.962	195.375	355.925	894.224	196.570
509	1.01600	327.033	410.645	195.391	355.884	893.626	196.499
510	1.01800	327.070	411.294	195.385	355.835	893.126	196.630
511	1.02000	327.099	411.978	195.429	355.830	892.522	196.546
512	1.02200	327.142	412.653	195.461	355.772	891.990	196.623
513	1.02400	327.178	413.310	195.443	355.745	891.432	196.598
514	1.02600	327.215	413.993	195.462	355.692	890.879	196.654
515	1.02800	327.259	414.676	195.481	355.626	890.287	196.598
516	1.03000	327.281	415.341	195.452	355.635	889.742	196.650
517	1.03200	327.331	416.007	195.449	355.605	889.185	196.664
518	1.03400	327.369	416.706	195.442	355.520	888.624	196.729
519	1.03600	327.399	417.395	195.399	355.510	888.062	196.735
520	1.03800	327.476	418.051	195.361	355.485	887.445	196.620
521	1.04000	327.508	418.775	195.365	355.459	886.831	196.548
522	1.04200	327.517	419.442	195.363	355.453	886.240	196.473
523	1.04400	327.608	420.096	195.275	355.425	885.683	196.492
524	1.04600	327.632	420.820	195.282	355.345	885.102	196.471
525	1.04800	327.649	421.479	195.319	355.378	884.485	196.336
526	1.05000	327.738	422.127	195.273	355.263	883.954	196.416
527	1.05200	327.762	422.819	195.334	355.272	883.341	196.322
528	1.05400	327.800	423.502	195.358	355.188	882.805	196.429
529	1.05600	327.923	424.167	195.341	355.146	882.237	196.417
530	1.05800	327.968	424.857	195.377	355.055	881.658	196.372
531	1.06000	328.005	425.582	195.414	354.960	881.101	196.458
532	1.06200	328.088	426.231	195.396	354.934	880.492	196.342
533	1.06400	328.092	426.939	195.382	354.960	879.930	196.399
534	1.06600	328.110	427.663	195.393	354.794	879.349	196.373
535	1.06800	328.187	428.311	195.349	354.735	878.798	196.411
536	1.07000	328.191	429.010	195.324	354.649	878.257	196.437
537	1.07200	328.207	429.693	195.353	354.629	877.675	196.398
538	1.07400	328.271	430.359	195.360	354.599	877.102	196.415
539	1.07600	328.273	431.035	195.378	354.602	876.503	196.330
540	1.07800	328.318	431.718	195.433	354.566	875.928	196.305
541	1.08000	328.298	432.402	195.439	354.601	875.343	196.336
