NO_OF_FRAMES	1336
NO_OF_CAMERAS	2
NO_OF_MARKERS	2
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-18, 16:17:46.167	684801.00815560
DATA_INCLUDED	3D
TITLE	Bevaring av rörelsemängd i en dimension 23.1 g vs 23.3 g #9
MARKER_NAMES	v23_1g	h23_3g
COLLISION_TIME	0.71
TRAJECTORY_TYPES	Measured	Mixed
Frame	Time	v23_1g X	v23_1g Y	v23_1g Z	h23_3g X	h23_3g Y	h23_3g Z	
424	0.84600	317.283	237.351	195.278	357.264	914.875	196.694
425	0.84800	317.337	238.386	195.282	357.119	914.106	196.816
426	0.85000	317.363	239.411	195.251	357.211	913.213	196.613
427	0.85200	317.411	240.478	195.248	356.996	912.476	196.785
428	0.85400	317.457	241.522	195.265	356.956	911.640	196.713
429	0.85600	317.489	242.556	195.248	356.976	910.790	196.614
430	0.85800	317.530	243.574	195.236	356.939	910.015	196.704
431	0.86000	317.583	244.615	195.207	356.894	909.144	196.519
432	0.86200	317.655	245.657	195.203	356.705	908.422	196.745
433	0.86400	317.703	246.701	195.201	356.714	907.559	196.668
434	0.86600	317.735	247.745	195.200	356.617	906.738	196.627
435	0.86800	317.777	248.773	195.204	356.488	905.971	196.770
436	0.87000	317.824	249.785	195.213	356.459	905.115	196.640
437	0.87200	317.877	250.813	195.220	356.252	904.375	196.814
438	0.87400	317.930	251.834	195.244	356.223	903.501	196.633
439	0.87600	317.990	252.872	195.264	356.207	902.661	196.550
440	0.87800	318.070	253.909	195.286	356.132	901.863	196.616
441	0.88000	318.220	254.948	195.339	356.088	901.020	196.562
442	0.88200	318.294	255.983	195.337	355.962	900.243	196.646
443	0.88400	318.349	257.001	195.313	355.980	899.409	196.628
444	0.88600	318.388	258.038	195.312	355.986	898.567	196.549
445	0.88800	318.436	259.074	195.311	355.879	897.767	196.575
446	0.89000	318.491	260.110	195.312	355.858	896.959	196.592
447	0.89200	318.534	261.170	195.293	355.811	896.146	196.592
448	0.89400	318.596	262.181	195.289	355.702	895.362	196.665
449	0.89600	318.635	263.208	195.257	355.806	894.477	196.488
450	0.89800	318.676	264.234	195.225	355.717	893.704	196.597
451	0.90000	318.745	265.278	195.216	355.665	892.868	196.535
452	0.90200	318.800	266.308	195.238	355.644	892.085	196.593
453	0.90400	318.855	267.361	195.242	355.650	891.235	196.504
454	0.90600	318.903	268.390	195.240	355.607	890.452	196.562
455	0.90800	318.942	269.404	195.244	355.578	889.637	196.566
456	0.91000	318.997	270.432	195.244	355.545	888.842	196.594
457	0.91200	319.057	271.455	195.262	355.468	888.033	196.614
458	0.91400	319.139	272.464	195.335	355.461	887.188	196.544
459	0.91600	319.219	273.502	195.352	355.431	886.360	196.520
460	0.91800	319.342	274.552	195.409	355.421	885.537	196.514
461	0.92000	319.452	275.603	195.397	355.394	884.709	196.492
462	0.92200	319.506	276.622	195.368	355.330	883.891	196.459
463	0.92400	319.559	277.642	195.339	355.336	883.056	196.425
464	0.92600	319.630	278.676	195.306	355.225	882.285	196.516
465	0.92800	319.670	279.707	195.317	355.258	881.454	196.500
466	0.93000	319.703	280.729	195.317	355.245	880.604	196.395
467	0.93200	319.746	281.790	195.294	355.159	879.829	196.516
468	0.93400	319.781	282.836	195.277	355.151	879.001	196.473
469	0.93600	319.867	283.870	195.249	355.066	878.208	196.548
