NO_OF_FRAMES	2121
NO_OF_CAMERAS	2
NO_OF_MARKERS	2
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-18, 16:34:57.398	685832.22981860
DATA_INCLUDED	3D
TITLE	Bevaring av rörelsemängd i en dimension 31.4g vs 23.3g
MARKER_NAMES	v31_4g	h23_3g
COLLISION_TIME	0
TRAJECTORY_TYPES	Measured	Measured
Frame	Time	v31_4g X	v31_4g Y	v31_4g Z	h23_3g X	h23_3g Y	h23_3g Z	
380	0.75800	320.980	278.066	196.514	356.107	888.322	196.766
381	0.76000	321.034	278.874	196.512	356.019	887.561	196.775
382	0.76200	321.086	279.634	196.523	355.973	886.749	196.648
383	0.76400	321.159	280.415	196.490	355.877	886.030	196.813
384	0.76600	321.226	281.231	196.476	355.773	885.247	196.764
385	0.76800	321.285	282.000	196.500	355.766	884.421	196.611
386	0.77000	321.350	282.759	196.488	355.686	883.682	196.690
387	0.77200	321.493	283.533	196.477	355.708	882.890	196.639
388	0.77400	321.575	284.285	196.505	355.607	882.121	196.598
389	0.77600	321.615	285.078	196.512	355.537	881.386	196.653
390	0.77800	321.675	285.862	196.509	355.470	880.619	196.593
391	0.78000	321.715	286.641	196.546	355.343	879.898	196.719
392	0.78200	321.755	287.425	196.543	355.396	879.084	196.582
393	0.78400	321.794	288.210	196.542	355.301	878.343	196.623
394	0.78600	321.835	288.987	196.554	355.311	877.576	196.609
395	0.78800	321.853	289.772	196.554	355.247	876.801	196.597
396	0.79000	321.908	290.563	196.539	355.223	876.025	196.592
397	0.79200	321.933	291.342	196.554	355.199	875.257	196.575
398	0.79400	321.959	292.136	196.566	355.146	874.521	196.637
399	0.79600	321.976	292.906	196.572	355.167	873.695	196.509
400	0.79800	322.017	293.681	196.563	355.100	872.935	196.508
401	0.80000	322.035	294.458	196.554	355.092	872.178	196.526
402	0.80200	322.060	295.221	196.576	355.009	871.424	196.541
403	0.80400	322.107	296.005	196.580	354.972	870.668	196.559
