NO_OF_FRAMES	1872
NO_OF_CAMERAS	2
NO_OF_MARKERS	2
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-18, 16:36:43.939	685938.76911570
DATA_INCLUDED	3D
TITLE	Bevaring av rörelsemängd i en dimension 60.9g vs 23.3g
MARKER_NAMES	v60_9g	h23_3g
COLLISION_TIME	0
TRAJECTORY_TYPES	Measured	Mixed
Frame	Time	v60_9g X	v60_9g Y	v60_9g Z	h23_3g X	h23_3g Y	h23_3g Z	
566	1.13000	313.116	163.647	195.996	356.421	895.324	196.765
567	1.13200	313.149	164.245	195.989	356.437	894.587	196.778
568	1.13400	313.239	164.890	195.852	356.355	893.869	196.829
569	1.13600	313.349	165.494	195.855	356.406	893.075	196.687
570	1.13800	313.306	166.126	195.839	356.258	892.348	196.704
571	1.14000	313.323	166.712	195.866	356.204	891.606	196.698
572	1.14200	313.435	167.319	195.827	356.119	890.842	196.625
573	1.14400	313.383	167.923	195.851	356.038	890.163	196.789
574	1.14600	313.494	168.543	195.849	355.972	889.388	196.691
575	1.14800	313.442	169.136	195.837	355.960	888.656	196.720
576	1.15000	313.468	169.734	195.833	355.819	887.952	196.847
577	1.15200	313.502	170.357	195.834	355.776	887.178	196.722
578	1.15400	313.541	170.898	195.975	355.742	886.479	196.805
579	1.15600	313.560	171.545	195.819	355.747	885.681	196.622
580	1.15800	313.579	172.150	195.800	355.718	884.952	196.625
581	1.16000	313.612	172.752	195.825	355.659	884.209	196.624
582	1.16200	313.645	173.341	195.813	355.616	883.474	196.613
583	1.16400	313.665	173.947	195.796	355.544	882.743	196.642
584	1.16600	313.697	174.549	195.821	355.507	881.972	196.606
585	1.16800	313.801	175.157	195.787	355.401	881.282	196.744
586	1.17000	313.902	175.882	195.958	355.425	880.505	196.629
587	1.17200	314.020	176.496	195.977	355.367	879.764	196.604
588	1.17400	313.968	177.102	196.006	355.371	879.021	196.582
589	1.17600	314.085	177.698	196.005	355.234	878.329	196.679
590	1.17800	314.112	178.303	195.991	355.300	877.546	196.594
591	1.18000	314.139	178.906	196.018	355.237	876.833	196.648
592	1.18200	314.080	179.515	196.006	355.258	876.063	196.594
593	1.18400	314.191	180.102	195.996	355.189	875.333	196.601
594	1.18600	314.210	180.718	195.994	355.183	874.593	196.624
595	1.18800	314.237	181.311	196.012	355.130	873.840	196.612
596	1.19000	314.249	181.912	195.947	355.065	873.131	196.643
597	1.19200	314.198	182.525	195.963	355.083	872.346	196.519
598	1.19400	314.309	183.134	195.933	355.019	871.638	196.592
599	1.19600	314.258	183.741	195.966	354.974	870.875	196.487
600	1.19800	314.363	184.334	195.942	354.953	870.172	196.579
601	1.20000	314.389	184.950	195.942	354.919	869.407	196.540
602	1.20200	314.409	185.560	195.958	354.910	868.656	196.510
603	1.20400	314.426	186.158	195.938	354.796	867.961	196.616
604	1.20600	314.453	186.759	195.944	354.848	867.164	196.507
605	1.20800	314.486	187.375	195.945	354.770	866.456	196.585
606	1.21000	314.512	187.982	195.936	354.774	865.669	196.464
607	1.21200	314.530	188.571	195.907	354.706	864.964	196.517
608	1.21400	314.564	189.175	195.941	354.675	864.213	196.489
609	1.21600	314.604	189.788	195.918	354.604	863.445	196.412
610	1.21800	314.630	190.380	195.916	354.564	862.723	196.462
611	1.22000	314.656	190.987	195.909	354.524	861.980	196.492
612	1.22200	314.690	191.597	195.928	354.424	861.260	196.540
613	1.22400	314.709	192.196	195.911	354.431	860.471	196.423
614	1.22600	314.742	192.779	195.900	354.349	859.762	196.505
615	1.22800	314.774	193.396	195.905	354.284	859.008	196.437
616	1.23000	314.801	194.010	195.884	354.267	858.297	196.525
617	1.23200	314.827	194.600	195.859	354.193	857.545	196.497
618	1.23400	314.868	195.194	195.885	354.181	856.801	196.467
619	1.23600	314.910	195.811	195.891	354.107	856.067	196.490
620	1.23800	314.942	196.410	195.877	354.060	855.308	196.455
621	1.24000	314.976	197.002	195.879	354.024	854.573	196.480
622	1.24200	315.095	197.695	196.000	353.978	853.792	196.421
623	1.24400	315.135	198.299	196.039	353.898	853.052	196.432
624	1.24600	315.181	198.907	196.038	353.837	852.326	196.448
625	1.24800	315.290	199.555	196.108	353.806	851.572	196.429
626	1.25000	315.249	200.124	196.034	353.774	850.848	196.422
627	1.25200	315.350	200.754	196.084	353.735	850.064	196.327
628	1.25400	315.392	201.363	196.015	353.700	849.343	196.363
629	1.25600	315.410	201.959	196.046	353.654	848.603	196.351
630	1.25800	315.460	202.580	196.014	353.609	847.873	196.329
631	1.26000	315.470	203.165	196.009	353.578	847.130	196.345
632	1.26200	315.521	203.779	195.993	353.527	846.391	196.335
633	1.26400	315.524	204.376	196.026	353.523	845.659	196.317
634	1.26600	315.565	204.973	195.990	353.483	844.895	196.247
635	1.26800	315.591	205.573	195.981	353.435	844.158	196.278
636	1.27000	315.618	206.189	195.967	353.410	843.426	196.261
637	1.27200	315.658	206.772	196.032	353.350	842.661	196.191
638	1.27400	315.685	207.374	195.956	353.338	841.910	196.196
639	1.27600	315.711	207.970	195.991	353.266	841.177	196.205
640	1.27800	315.731	208.586	195.978	353.222	840.429	196.183
641	1.28000	315.772	209.168	195.950	353.147	839.701	196.205
642	1.28200	315.798	209.771	195.970	353.146	838.968	196.193
643	1.28400	315.833	210.394	195.943	353.075	838.233	196.203
644	1.28600	315.915	211.014	195.820	353.031	837.492	196.199
645	1.28800	315.884	211.577	195.911	352.980	836.747	196.220
646	1.29000	315.989	212.224	195.821	352.924	836.027	196.237
647	1.29200	316.016	212.822	195.789	352.913	835.284	196.237
648	1.29400	316.041	213.414	195.775	352.866	834.529	196.203
649	1.29600	316.069	214.033	195.792	352.817	833.778	196.147
650	1.29800	316.088	214.619	195.793	352.811	833.022	196.117
651	1.30000	316.058	215.176	195.901	352.709	832.308	196.149
652	1.30200	316.154	215.824	195.813	352.729	831.539	196.092
653	1.30400	316.167	216.441	195.806	352.622	830.810	196.121
654	1.30600	316.200	217.027	195.808	352.626	830.044	196.038
655	1.30800	316.218	217.615	195.838	352.571	829.341	196.106
656	1.31000	316.253	218.241	195.842	352.537	828.578	196.064
657	1.31200	316.265	218.843	195.841	352.483	827.869	196.118
658	1.31400	316.298	219.443	195.814	352.451	827.128	196.097
659	1.31600	316.331	220.047	195.840	352.443	826.383	196.103
660	1.31800	316.430	220.746	195.934	352.364	825.659	196.153
661	1.32000	316.462	221.339	195.925	352.344	824.876	196.067
662	1.32200	316.496	221.973	195.916	352.278	824.160	196.109
663	1.32400	316.521	222.584	195.928	352.245	823.397	196.070
664	1.32600	316.555	223.193	195.914	352.192	822.670	196.057
665	1.32800	316.573	223.786	195.906	352.166	821.919	196.051
666	1.33000	316.600	224.407	195.929	352.114	821.174	196.059
667	1.33200	316.626	225.009	195.932	352.043	820.449	196.115
668	1.33400	316.666	225.609	195.909	352.027	819.696	196.109
669	1.33600	316.769	226.275	195.992	351.987	818.963	196.150
670	1.33800	316.789	226.884	195.979	351.923	818.218	196.161
671	1.34000	316.822	227.461	195.978	351.876	817.463	196.117
672	1.34200	316.841	228.073	195.993	351.837	816.732	196.134
673	1.34400	316.883	228.682	195.982	351.794	815.993	196.160
674	1.34600	316.894	229.260	195.981	351.756	815.234	196.143
675	1.34800	316.942	229.869	195.971	351.688	814.485	196.112
676	1.35000	316.954	230.473	195.976	351.647	813.728	196.070
677	1.35200	316.981	231.057	195.961	351.597	813.004	196.103
678	1.35400	317.014	231.658	195.942	351.546	812.247	196.061
679	1.35600	317.049	232.251	195.937	351.530	811.505	196.026
680	1.35800	317.067	232.846	195.934	351.470	810.761	196.015
681	1.36000	317.115	233.428	195.894	351.431	810.033	196.011
682	1.36200	317.127	234.025	195.917	351.404	809.297	195.993
683	1.36400	317.174	234.609	195.904	351.327	808.549	195.942
684	1.36600	317.208	235.203	195.902	351.322	807.835	196.012
685	1.36800	317.234	235.804	195.885	351.270	807.091	196.003
686	1.37000	317.260	236.392	195.899	351.250	806.361	196.004
687	1.37200	317.293	236.970	195.903	351.204	805.600	195.992
688	1.37400	317.327	237.573	195.912	351.164	804.844	195.931
689	1.37600	317.353	238.170	195.938	351.135	804.133	195.978
690	1.37800	317.386	238.762	195.912	351.101	803.364	195.887
691	1.38000	317.426	239.350	195.928	351.035	802.628	195.873
692	1.38200	317.460	239.967	195.908	351.027	801.885	195.912
693	1.38400	317.486	240.546	195.914	350.965	801.139	195.908
694	1.38600	317.527	241.170	195.881	350.926	800.415	195.927
695	1.38800	317.547	241.777	195.919	350.870	799.691	195.945
696	1.39000	317.653	242.464	195.965	350.838	798.966	195.963
697	1.39200	317.691	243.045	195.999	350.792	798.222	195.939
698	1.39400	317.733	243.690	196.014	350.755	797.482	195.952
699	1.39600	317.759	244.285	196.017	350.700	796.738	195.929
700	1.39800	317.785	244.878	195.995	350.645	796.006	195.934
701	1.40000	317.811	245.501	196.032	350.612	795.272	195.967
702	1.40200	317.854	246.109	196.005	350.557	794.521	195.928
703	1.40400	317.885	246.696	196.000	350.533	793.760	195.902
704	1.40600	317.918	247.316	196.011	350.491	793.037	195.900
705	1.40800	318.014	247.966	196.086	350.453	792.285	195.865
706	1.41000	318.061	248.559	196.066	350.399	791.540	195.842
707	1.41200	318.079	249.155	196.073	350.368	790.821	195.883
708	1.41400	318.107	249.758	196.063	350.314	790.066	195.873
709	1.41600	318.140	250.360	196.055	350.240	789.324	195.827
710	1.41800	318.173	250.956	196.062	350.200	788.591	195.840
711	1.42000	318.192	251.557	196.029	350.133	787.859	195.849
712	1.42200	318.226	252.152	196.037	350.093	787.119	195.847
713	1.42400	318.252	252.744	195.993	350.050	786.379	195.846
714	1.42600	318.279	253.340	196.001	349.991	785.637	195.869
715	1.42800	318.314	253.950	195.979	349.944	784.897	195.867
716	1.43000	318.333	254.537	195.977	349.891	784.164	195.884
717	1.43200	318.360	255.140	195.972	349.834	783.404	195.838
718	1.43400	318.387	255.752	195.977	349.796	782.664	195.840
719	1.43600	318.413	256.339	195.977	349.734	781.901	195.822
720	1.43800	318.441	256.935	195.987	349.681	781.143	195.844
721	1.44000	318.461	257.548	195.993	349.627	780.416	195.875
722	1.44200	318.487	258.133	195.968	349.592	779.652	195.860
723	1.44400	318.521	258.745	195.975	349.561	778.926	195.868
724	1.44600	318.527	259.342	195.986	349.522	778.185	195.872
725	1.44800	318.567	259.937	195.973	349.466	777.444	195.875
726	1.45000	318.665	260.593	195.848	349.453	776.702	195.881
727	1.45200	318.692	261.204	195.831	349.413	775.950	195.831
728	1.45400	318.793	261.787	195.806	349.353	775.231	195.855
729	1.45600	318.668	262.350	195.939	349.346	774.475	195.833
730	1.45800	318.833	263.004	195.814	349.249	773.721	195.806
731	1.46000	318.791	263.585	195.808	349.216	772.972	195.799
732	1.46200	318.893	264.202	195.802	349.203	772.222	195.794
733	1.46400	318.838	264.812	195.830	349.145	771.470	195.747
734	1.46600	318.947	265.394	195.807	349.109	770.745	195.734
735	1.46800	318.898	265.995	195.825	349.056	769.999	195.703
736	1.47000	318.994	266.612	195.819	349.016	769.256	195.713
737	1.47200	318.951	267.194	195.817	349.000	768.541	195.758
738	1.47400	319.118	267.874	195.893	348.944	767.806	195.783
739	1.47600	319.077	268.476	195.938	348.928	767.064	195.772
740	1.47800	319.198	269.094	195.936	348.868	766.324	195.758
741	1.48000	319.157	269.694	195.956	348.852	765.598	195.750
742	1.48200	319.177	270.299	195.959	348.804	764.870	195.768
743	1.48400	319.217	270.894	195.952	348.754	764.100	195.722
744	1.48600	319.319	271.486	195.944	348.721	763.356	195.738
745	1.48800	319.339	272.105	195.918	348.680	762.608	195.713
746	1.49000	319.386	272.684	195.916	348.634	761.876	195.693
747	1.49200	319.426	273.280	195.911	348.580	761.141	195.697
748	1.49400	319.439	273.876	195.905	348.561	760.414	195.694
749	1.49600	319.479	274.472	195.900	348.521	759.670	195.712
750	1.49800	319.506	275.059	195.884	348.488	758.925	195.730
751	1.50000	319.553	275.656	195.907	348.441	758.183	195.723
752	1.50200	319.656	276.306	195.974	348.416	757.463	195.736
753	1.50400	319.690	276.893	195.959	348.372	756.743	195.749
754	1.50600	319.723	277.500	195.993	348.316	756.003	195.717
755	1.50800	319.742	278.096	195.990	348.290	755.244	195.709
756	1.51000	319.782	278.683	195.977	348.251	754.499	195.731
757	1.51200	319.809	279.289	195.986	348.199	753.765	195.718
758	1.51400	319.843	279.885	195.984	348.145	753.018	195.673
759	1.51600	319.875	280.463	195.961	348.084	752.291	195.674
760	1.51800	319.909	281.068	195.971	348.076	751.556	195.663
761	1.52000	319.936	281.663	195.944	347.971	750.801	195.630
762	1.52200	319.968	282.251	195.934	347.949	750.066	195.621
763	1.52400	320.010	282.865	195.955	347.897	749.322	195.621
764	1.52600	320.044	283.467	195.915	347.836	748.588	195.609
765	1.52800	320.069	284.057	195.931	347.812	747.859	195.615
766	1.53000	320.103	284.676	195.913	347.743	747.123	195.629
767	1.53200	320.203	285.353	196.018	347.712	746.385	195.647
768	1.53400	320.250	285.941	196.009	347.652	745.628	195.620
769	1.53600	320.276	286.563	196.019	347.572	744.900	195.627
770	1.53800	320.325	287.184	196.029	347.541	744.149	195.617
771	1.54000	320.337	287.766	196.036	347.487	743.398	195.606
772	1.54200	320.386	288.369	196.023	347.425	742.654	195.609
773	1.54400	320.404	288.968	196.053	347.345	741.903	195.600
774	1.54600	320.440	289.568	195.990	347.298	741.144	195.576
775	1.54800	320.465	290.151	196.024	347.252	740.411	195.638
776	1.55000	320.501	290.764	196.024	347.206	739.675	195.634
777	1.55200	320.527	291.342	195.981	347.165	738.937	195.655
778	1.55400	320.554	291.964	195.994	347.140	738.191	195.664
779	1.55600	320.580	292.560	195.974	347.108	737.447	195.647
780	1.55800	320.621	293.139	195.958	347.053	736.727	195.648
781	1.56000	320.647	293.728	195.953	347.050	735.989	195.648
782	1.56200	320.675	294.340	195.930	346.996	735.239	195.617
783	1.56400	320.707	294.912	195.930	346.963	734.493	195.628
784	1.56600	320.734	295.526	195.934	346.931	733.742	195.600
785	1.56800	320.754	296.115	195.931	346.876	732.998	195.585
786	1.57000	320.794	296.703	195.928	346.865	732.253	195.573
787	1.57200	320.820	297.310	195.948	346.781	731.503	195.543
788	1.57400	320.925	297.950	195.991	346.764	730.758	195.533
789	1.57600	320.965	298.541	196.016	346.746	730.012	195.522
790	1.57800	320.979	299.146	196.010	346.691	729.291	195.528
791	1.58000	321.004	299.735	196.010	346.660	728.562	195.522
792	1.58200	321.040	300.356	196.001	346.590	727.825	195.524
793	1.58400	321.052	300.938	196.015	346.572	727.100	195.559
794	1.58600	321.094	301.549	195.971	346.510	726.347	195.560
795	1.58800	321.107	302.156	195.993	346.456	725.616	195.580
796	1.59000	321.135	302.769	195.975	346.453	724.885	195.578
797	1.59200	321.153	303.351	195.991	346.385	724.159	195.547
798	1.59400	321.195	303.971	195.959	346.373	723.410	195.567
799	1.59600	321.200	304.564	196.013	346.334	722.658	195.547
800	1.59800	321.249	305.182	195.956	346.288	721.928	195.545
801	1.60000	321.253	305.759	196.014	346.243	721.191	195.530
802	1.60200	321.289	306.393	195.954	346.209	720.452	195.539
803	1.60400	321.398	307.025	195.894	346.184	719.713	195.551
804	1.60600	321.350	307.589	195.957	346.137	718.988	195.590
805	1.60800	321.452	308.235	195.868	346.114	718.250	195.578
806	1.61000	321.403	308.784	195.962	346.081	717.512	195.565
807	1.61200	321.505	309.422	195.862	346.041	716.789	195.581
808	1.61400	321.532	310.044	195.860	346.037	716.050	195.570
809	1.61600	321.558	310.618	195.869	345.968	715.303	195.593
810	1.61800	321.592	311.230	195.831	345.951	714.557	195.570
811	1.62000	321.619	311.821	195.863	345.905	713.826	195.573
812	1.62200	321.645	312.424	195.815	345.844	713.098	195.551
813	1.62400	321.752	313.086	195.941	345.828	712.338	195.501
814	1.62600	321.779	313.700	195.930	345.760	711.615	195.519
815	1.62800	321.819	314.273	195.941	345.748	710.852	195.495
816	1.63000	321.853	314.887	195.931	345.702	710.114	195.487
817	1.63200	321.879	315.477	195.939	345.615	709.402	195.472
818	1.63400	321.906	316.064	195.896	345.592	708.655	195.452
819	1.63600	321.940	316.664	195.942	345.525	707.932	195.475
820	1.63800	321.960	317.261	195.911	345.473	707.200	195.484
821	1.64000	321.992	317.836	195.950	345.414	706.462	195.480
822	1.64200	322.026	318.452	195.967	345.354	705.730	195.489
823	1.64400	322.045	319.008	195.958	345.316	704.984	195.473
824	1.64600	322.093	319.629	195.937	345.264	704.236	195.481
825	1.64800	322.112	320.212	195.962	345.210	703.490	195.464
826	1.65000	322.213	320.804	195.906	345.172	702.743	195.448
827	1.65200	322.179	321.390	195.934	345.097	701.990	195.417
828	1.65400	322.273	322.007	195.886	345.043	701.235	195.413
829	1.65600	322.253	322.577	195.919	344.976	700.494	195.437
830	1.65800	322.273	323.184	195.928	344.908	699.739	195.434
831	1.66000	322.306	323.782	195.927	344.854	699.000	195.433
832	1.66200	322.414	324.375	195.898	344.785	698.275	195.461
833	1.66400	322.453	325.020	195.960	344.745	697.527	195.448
834	1.66600	322.554	325.622	195.943	344.706	696.810	195.467
835	1.66800	322.507	326.224	195.946	344.659	696.063	195.456
836	1.67000	322.614	326.819	195.944	344.619	695.332	195.447
837	1.67200	322.567	327.413	195.961	344.574	694.607	195.455
838	1.67400	322.667	328.016	195.946	344.519	693.853	195.429
839	1.67600	322.627	328.609	195.964	344.487	693.112	195.435
840	1.67800	322.655	329.207	195.965	344.461	692.378	195.455
841	1.68000	322.673	329.789	195.945	344.408	691.632	195.421
842	1.68200	322.788	330.400	195.943	344.404	690.899	195.418
843	1.68400	322.734	330.986	195.950	344.344	690.175	195.427
844	1.68600	322.848	331.581	195.952	344.310	689.412	195.392
845	1.68800	322.869	332.196	195.952	344.293	688.693	195.419
846	1.69000	322.902	332.784	195.919	344.254	687.968	195.430
847	1.69200	322.936	333.383	195.924	344.214	687.227	195.440
848	1.69400	322.948	333.982	195.928	344.196	686.499	195.479
849	1.69600	323.054	334.625	196.020	344.142	685.751	195.474
850	1.69800	323.089	335.265	196.032	344.118	685.026	195.464
851	1.70000	323.041	335.852	196.068	344.085	684.285	195.475
852	1.70200	323.149	336.454	196.032	344.052	683.537	195.448
853	1.70400	323.169	337.054	196.064	344.021	682.804	195.450
854	1.70600	323.203	337.670	196.069	343.974	682.056	195.423
855	1.70800	323.236	338.252	196.079	343.962	681.314	195.438
856	1.71000	323.243	338.875	196.068	343.930	680.587	195.455
857	1.71200	323.195	339.445	196.084	343.891	679.831	195.442
858	1.71400	323.296	340.048	196.077	343.859	679.112	195.475
859	1.71600	323.317	340.647	196.084	343.826	678.371	195.465
860	1.71800	323.343	341.244	196.042	343.794	677.637	195.471
861	1.72000	323.378	341.859	196.048	343.762	676.910	195.490
862	1.72200	323.391	342.457	196.032	343.729	676.169	195.483
863	1.72400	323.424	343.048	196.031	343.696	675.428	195.475
864	1.72600	323.445	343.655	196.027	343.685	674.700	195.497
865	1.72800	323.473	344.261	196.023	343.652	673.944	195.464
866	1.73000	323.492	344.851	195.997	343.606	673.210	195.472
867	1.73200	323.526	345.450	196.008	343.574	672.478	195.455
868	1.73400	323.539	346.057	196.006	343.555	671.713	195.410
869	1.73600	323.573	346.639	195.995	343.515	670.979	195.419
870	1.73800	323.592	347.239	196.008	343.462	670.239	195.391
871	1.74000	323.627	347.844	195.981	343.445	669.498	195.364
872	1.74200	323.653	348.426	195.972	343.377	668.781	195.376
873	1.74400	323.687	349.042	195.982	343.346	668.047	195.364
874	1.74600	323.714	349.624	195.974	343.256	667.299	195.347
875	1.74800	323.748	350.213	195.950	343.205	666.581	195.363
876	1.75000	323.775	350.813	195.965	343.158	665.832	195.349
877	1.75200	323.809	351.402	195.943	343.056	665.107	195.350
878	1.75400	323.835	351.986	195.961	343.031	664.373	195.341
879	1.75600	323.862	352.601	195.949	342.924	663.603	195.287
880	1.75800	323.889	353.182	195.916	342.872	662.877	195.292
881	1.76000	324.010	353.832	195.981	342.791	662.128	195.281
882	1.76200	324.030	354.460	195.890	342.697	661.372	195.257
883	1.76400	324.144	355.063	195.866	342.666	660.644	195.290
884	1.76600	324.091	355.650	195.888	342.606	659.900	195.319
885	1.76800	324.212	356.244	195.853	342.545	659.150	195.310
886	1.77000	324.239	356.836	195.885	342.535	658.438	195.347
887	1.77200	324.266	357.435	195.878	342.474	657.711	195.354
888	1.77400	324.306	358.010	195.888	342.435	656.968	195.361
889	1.77600	324.332	358.610	195.908	342.396	656.241	195.371
890	1.77800	324.380	359.200	195.916	342.349	655.507	195.367
891	1.78000	324.406	359.791	195.899	342.318	654.788	195.366
892	1.78200	324.508	360.451	196.004	342.285	654.045	195.375
893	1.78400	324.568	361.067	196.024	342.239	653.295	195.345
894	1.78600	324.595	361.659	196.060	342.207	652.568	195.358
895	1.78800	324.642	362.266	196.042	342.175	651.824	195.369
896	1.79000	324.676	362.847	196.015	342.135	651.074	195.341
897	1.79200	324.696	363.454	195.998	342.110	650.355	195.343
898	1.79400	324.729	364.045	196.009	342.064	649.612	195.330
899	1.79600	324.762	364.628	196.010	342.017	648.870	195.316
900	1.79800	324.790	365.244	196.005	342.007	648.156	195.361
901	1.80000	324.824	365.844	196.029	341.953	647.407	195.335
902	1.80200	324.857	366.434	195.991	341.921	646.695	195.354
903	1.80400	324.878	367.034	196.014	341.896	645.965	195.397
904	1.80600	324.912	367.633	196.014	341.849	645.207	195.359
905	1.80800	324.952	368.223	196.002	341.810	644.494	195.405
906	1.81000	324.965	368.832	196.013	341.771	643.751	195.395
907	1.81200	325.012	369.406	196.005	341.745	642.985	195.346
908	1.81400	325.026	370.022	196.003	341.655	642.250	195.349
909	1.81600	325.060	370.604	195.980	341.601	641.500	195.328
910	1.81800	325.109	371.217	195.928	341.554	640.750	195.281
911	1.82000	325.136	371.810	195.969	341.493	640.021	195.326
912	1.82200	325.155	372.383	195.936	341.482	639.286	195.310
913	1.82400	325.189	372.983	195.938	341.413	638.526	195.301
914	1.82600	325.210	373.581	195.915	341.404	637.821	195.342
915	1.82800	325.249	374.156	195.910	341.378	637.078	195.312
916	1.83000	325.270	374.772	195.910	341.310	636.335	195.307
917	1.83200	325.376	375.380	195.956	341.313	635.612	195.348
918	1.83400	325.404	375.988	195.947	341.246	634.863	195.305
919	1.83600	325.424	376.571	195.953	341.220	634.135	195.306
920	1.83800	325.457	377.162	195.947	341.223	633.390	195.306
921	1.84000	325.471	377.779	195.949	341.148	632.640	195.265
922	1.84200	325.497	378.354	195.945	341.108	631.888	195.251
923	1.84400	325.531	378.953	195.951	341.098	631.159	195.255
924	1.84600	325.544	379.538	195.985	341.058	630.409	195.217
925	1.84800	325.578	380.145	195.953	341.019	629.673	195.207
926	1.85000	325.585	380.728	195.961	340.987	628.952	195.225
927	1.85200	325.611	381.319	195.931	340.934	628.225	195.204
928	1.85400	325.710	381.924	195.924	340.895	627.488	195.221
929	1.85600	325.666	382.526	195.933	340.864	626.758	195.254
930	1.85800	325.685	383.118	195.930	340.817	626.014	195.258
931	1.86000	325.706	383.734	195.911	340.771	625.285	195.264
932	1.86200	325.733	384.317	195.922	340.746	624.549	195.259
933	1.86400	325.760	384.933	195.904	340.673	623.805	195.266
934	1.86600	325.788	385.525	195.928	340.613	623.059	195.298
935	1.86800	325.808	386.133	195.925	340.548	622.334	195.258
936	1.87000	325.834	386.734	195.935	340.501	621.580	195.278
937	1.87200	325.848	387.341	195.907	340.449	620.852	195.288
938	1.87400	325.882	387.950	195.930	340.410	620.115	195.287
939	1.87600	325.909	388.541	195.930	340.331	619.403	195.300
940	1.87800	326.008	389.138	195.915	340.299	618.674	195.312
941	1.88000	325.962	389.742	195.955	340.246	617.929	195.324
942	1.88200	326.064	390.392	196.017	340.173	617.210	195.325
943	1.88400	326.149	390.998	196.015	340.156	616.489	195.327
944	1.88600	326.125	391.609	196.043	340.117	615.744	195.315
945	1.88800	326.157	392.193	196.060	340.063	615.015	195.329
946	1.89000	326.185	392.793	196.048	340.025	614.278	195.332
947	1.89200	326.218	393.358	196.017	340.000	613.550	195.322
948	1.89400	326.245	393.974	196.004	339.953	612.805	195.310
949	1.89600	326.278	394.542	196.024	339.928	612.068	195.314
950	1.89800	326.312	395.141	195.989	339.889	611.323	195.305
951	1.90000	326.418	395.737	195.977	339.793	610.596	195.269
952	1.90200	326.386	396.315	195.961	339.775	609.859	195.273
953	1.90400	326.479	396.912	195.975	339.722	609.122	195.253
954	1.90600	326.454	397.514	195.970	339.633	608.387	195.231
955	1.90800	326.560	398.095	195.987	339.608	607.649	195.238
956	1.91000	326.515	398.682	196.008	339.547	606.912	195.243
957	1.91200	326.627	399.279	196.000	339.515	606.191	195.253
958	1.91400	326.730	399.938	195.880	339.469	605.453	195.260
959	1.91600	326.777	400.513	195.890	339.416	604.717	195.243
960	1.91800	326.796	401.097	195.885	339.397	603.970	195.264
961	1.92000	326.838	401.688	195.867	339.350	603.233	195.248
962	1.92200	326.878	402.280	195.876	339.311	602.489	195.220
963	1.92400	326.832	402.858	195.889	339.279	601.760	195.193
964	1.92600	327.019	403.496	195.921	339.253	600.998	195.190
965	1.92800	327.053	404.088	195.905	339.221	600.259	195.202
966	1.93000	327.093	404.671	195.903	339.182	599.538	195.216
967	1.93200	327.107	405.279	195.886	339.163	598.799	195.230
968	1.93400	327.139	405.830	195.913	339.131	598.053	195.230
969	1.93600	327.094	406.450	195.911	339.085	597.331	195.245
970	1.93800	327.206	407.014	195.910	339.067	596.593	195.235
971	1.94000	327.241	407.638	195.868	339.041	595.856	195.225
972	1.94200	327.267	408.223	195.919	339.009	595.126	195.229
973	1.94400	327.254	408.885	195.957	338.977	594.379	195.233
974	1.94600	327.395	409.483	196.030	338.945	593.650	195.213
975	1.94800	327.443	410.073	195.992	338.898	592.904	195.216
976	1.95000	327.470	410.665	196.006	338.880	592.151	195.184
977	1.95200	327.490	411.266	196.006	338.848	591.428	195.204
978	1.95400	327.524	411.849	195.982	338.802	590.699	195.184
979	1.95600	327.566	412.457	195.995	338.777	589.945	195.178
980	1.95800	327.592	413.040	195.972	338.724	589.231	195.188
981	1.96000	327.519	413.628	196.003	338.678	588.486	195.170
982	1.96200	327.567	414.219	195.993	338.653	587.772	195.180
983	1.96400	327.673	414.800	195.993	338.593	587.041	195.215
984	1.96600	327.701	415.416	195.969	338.554	586.302	195.238
985	1.96800	327.734	415.984	196.000	338.530	585.580	195.238
986	1.97000	327.755	416.600	195.976	338.477	584.867	195.250
987	1.97200	327.781	417.185	196.007	338.424	584.112	195.274
988	1.97400	327.795	417.793	195.972	338.372	583.382	195.287
989	1.97600	327.814	418.378	196.029	338.312	582.644	195.287
