NO_OF_FRAMES	2030
NO_OF_CAMERAS	2
NO_OF_MARKERS	2
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-18, 16:41:50.537	686245.36502260
DATA_INCLUDED	3D
TITLE	Bevaring av rörelsemängd i en dimension 60.9g vs 31.4g
MARKER_NAMES	v60_9g	h31_4g
COLLISION_TIME	0.95
TRAJECTORY_TYPES	Measured	Measured
Frame	Time	v60_9g X	v60_9g Y	v60_9g Z	h31_4g X	h31_4g Y	h31_4g Z	
471	0.94000	315.034	182.188	196.172	355.735	898.871	197.363
472	0.94200	315.062	182.383	196.183	355.637	897.622	197.379
473	0.94400	315.069	182.586	196.179	355.660	896.352	197.356
474	0.94600	315.097	182.778	196.165	355.590	895.104	197.420
475	0.94800	315.017	182.981	196.137	355.580	893.823	197.367
476	0.95000	315.139	183.166	196.162	355.515	892.563	197.334
477	0.95200	315.145	183.361	196.174	355.417	891.315	197.400
478	0.95400	315.166	183.554	196.160	355.346	890.077	197.433
479	0.95600	315.172	183.750	196.172	355.263	888.968	197.859
480	0.95800	315.179	183.949	196.142	355.209	887.519	197.349
481	0.96000	315.192	184.154	196.165	355.224	886.196	197.237
482	0.96200	315.205	184.341	196.166	355.053	884.973	197.344
483	0.96400	315.212	184.527	196.168	354.927	883.691	197.297
484	0.96600	315.217	184.730	196.165	354.895	882.411	197.274
485	0.96800	315.215	184.926	196.178	354.792	881.274	197.562
486	0.97000	315.222	185.128	196.174	354.672	879.955	197.425
487	0.97200	315.228	185.321	196.160	354.601	878.740	197.513
488	0.97400	315.233	185.515	196.147	354.476	877.616	197.882
489	0.97600	315.246	185.720	196.170	354.296	876.377	197.803
490	0.97800	315.246	185.909	196.198	354.218	875.086	197.686
491	0.98000	315.245	186.103	196.184	354.181	873.853	197.774
492	0.98200	315.244	186.302	196.155	354.144	872.632	197.893
493	0.98400	315.264	186.498	196.167	354.107	871.381	197.935
494	0.98600	315.257	186.710	196.174	354.022	870.128	197.934
495	0.98800	315.263	186.897	196.177	353.978	868.912	198.074
496	0.99000	315.285	187.089	196.163	353.941	867.604	197.937
497	0.99200	315.276	187.286	196.176	353.884	866.385	198.036
498	0.99400	315.297	187.494	196.157	353.826	865.112	197.995
499	0.99600	315.283	187.697	196.153	353.782	863.859	197.978
500	0.99800	315.304	187.899	196.150	353.724	862.543	197.830
501	1.00000	315.310	188.095	196.163	353.673	861.298	197.873
502	1.00200	315.317	188.297	196.160	353.623	860.047	197.903
503	1.00400	315.324	188.486	196.188	353.538	858.775	197.842
504	1.00600	315.331	188.689	196.186	353.494	857.514	197.818
505	1.00800	315.330	188.889	196.157	353.443	856.258	197.810
506	1.01000	315.329	189.085	196.170	353.392	854.984	197.757
507	1.01200	315.343	189.287	196.167	353.307	853.741	197.781
508	1.01400	315.336	189.490	196.164	353.285	852.474	197.723
509	1.01600	315.341	189.670	196.183	353.227	851.220	197.762
510	1.01800	315.348	189.864	196.169	353.141	849.963	197.760
511	1.02000	315.337	190.052	196.173	353.057	848.739	197.812
512	1.02200	315.330	190.261	196.155	352.978	847.496	197.886
513	1.02400	315.336	190.445	196.131	352.914	846.246	197.880
514	1.02600	315.266	190.648	196.104	352.863	844.987	197.887
515	1.02800	315.362	190.821	196.164	352.785	843.712	197.821
516	1.03000	315.277	191.041	196.132	352.720	842.470	197.877
517	1.03200	315.360	191.211	196.165	352.649	841.219	197.878
518	1.03400	315.366	191.414	196.162	352.567	840.023	197.886
519	1.03600	315.373	191.616	196.160	352.503	838.776	197.906
520	1.03800	315.379	191.812	196.173	352.419	837.546	197.931
521	1.04000	315.386	192.021	196.155	352.315	836.271	197.786
522	1.04200	315.408	192.207	196.158	352.190	835.019	197.795
523	1.04400	315.405	192.411	196.157	352.033	833.776	197.732
524	1.04600	315.426	192.622	196.165	351.948	832.528	197.758
525	1.04800	315.434	192.815	196.152	351.884	831.261	197.740
526	1.05000	315.447	193.009	196.140	351.805	829.962	197.646
527	1.05200	315.461	193.202	196.127	351.726	828.719	197.691
528	1.05400	315.483	193.404	196.125	351.669	827.491	197.744
529	1.05600	315.488	193.600	196.140	351.597	826.218	197.691
530	1.05800	315.509	193.777	196.132	351.470	824.966	197.681
531	1.06000	315.529	193.970	196.120	351.405	823.727	197.748
532	1.06200	315.542	194.164	196.108	351.347	822.485	197.777
533	1.06400	315.555	194.376	196.117	351.304	821.203	197.717
534	1.06600	315.569	194.571	196.131	351.239	819.935	197.687
535	1.06800	315.589	194.749	196.125	351.188	818.700	197.710
536	1.07000	315.601	194.929	196.145	351.137	817.434	197.724
537	1.07200	315.692	195.193	196.194	351.067	816.195	197.710
538	1.07400	315.713	195.389	196.208	351.030	814.958	197.738
539	1.07600	315.719	195.573	196.186	350.994	813.709	197.737
540	1.07800	315.723	195.761	196.190	350.937	812.475	197.743
541	1.08000	315.750	195.956	196.205	350.873	811.219	197.729
542	1.08200	315.833	196.217	196.297	350.823	809.975	197.748
543	1.08400	315.853	196.406	196.327	350.758	808.718	197.737
544	1.08600	315.873	196.590	196.305	350.708	807.482	197.748
545	1.08800	315.899	196.802	196.316	350.651	806.246	197.761
546	1.09000	315.906	197.011	196.299	350.608	805.003	197.760
547	1.09200	315.912	197.198	196.303	350.536	803.767	197.775
548	1.09400	315.932	197.385	196.307	350.493	802.501	197.758
549	1.09600	315.939	197.585	196.280	350.429	801.248	197.772
550	1.09800	315.959	197.781	196.295	350.359	800.001	197.737
551	1.10000	315.980	197.983	196.294	350.301	798.737	197.698
552	1.10200	315.979	198.184	196.267	350.199	797.501	197.631
553	1.10400	315.993	198.377	196.255	350.123	796.274	197.621
554	1.10600	315.999	198.567	196.286	350.073	795.024	197.592
555	1.10800	316.006	198.776	196.269	349.981	793.797	197.582
556	1.11000	316.031	198.954	196.264	349.910	792.553	197.570
557	1.11200	316.044	199.132	196.258	349.762	791.311	197.558
558	1.11400	316.057	199.332	196.231	349.664	790.065	197.575
559	1.11600	316.070	199.544	196.241	349.497	788.869	197.586
560	1.11800	316.062	199.732	196.246	349.447	787.602	197.562
561	1.12000	316.067	199.919	196.251	349.368	786.350	197.542
562	1.12200	316.081	200.103	196.229	349.311	785.117	197.570
563	1.12400	316.093	200.290	196.234	349.246	783.845	197.575
564	1.12600	316.107	200.486	196.249	349.189	782.598	197.577
565	1.12800	316.106	200.687	196.223	349.117	781.329	197.559
566	1.13000	316.113	200.881	196.212	349.016	780.109	197.621
567	1.13200	316.117	201.062	196.233	348.958	778.843	197.648
568	1.13400	316.118	201.274	196.242	348.888	777.619	197.648
569	1.13600	316.124	201.461	196.247	348.810	776.374	197.631
570	1.13800	316.124	201.655	196.236	348.752	775.125	197.641
571	1.14000	316.131	201.858	196.236	348.689	773.873	197.588
572	1.14200	316.144	202.061	196.236	348.624	772.637	197.630
573	1.14400	316.137	202.264	196.236	348.553	771.405	197.623
574	1.14600	316.136	202.467	196.236	348.481	770.135	197.595
575	1.14800	316.142	202.652	196.215	348.308	768.919	197.614
576	1.15000	316.142	202.851	196.256	348.245	767.693	197.628
577	1.15200	316.156	203.054	196.256	348.173	766.453	197.612
578	1.15400	316.162	203.257	196.256	348.064	765.241	197.567
579	1.15600	316.167	203.435	196.251	347.995	764.021	197.600
580	1.15800	316.174	203.638	196.251	347.946	762.779	197.590
581	1.16000	316.179	203.835	196.267	347.868	761.552	197.610
582	1.16200	316.186	204.029	196.257	347.812	760.332	197.622
583	1.16400	316.185	204.201	196.267	347.756	759.070	197.572
584	1.16600	316.198	204.394	196.257	347.684	757.848	197.612
585	1.16800	316.212	204.597	196.258	347.628	756.614	197.598
586	1.17000	316.225	204.794	196.274	347.570	755.366	197.556
587	1.17200	316.223	204.979	196.253	347.515	754.152	197.591
588	1.17400	316.223	205.173	196.243	347.451	752.917	197.581
589	1.17600	316.222	205.360	196.249	347.382	751.705	197.593
590	1.17800	316.242	205.550	196.281	347.311	750.479	197.576
591	1.18000	316.249	205.760	196.266	347.240	749.218	197.578
592	1.18200	316.249	205.944	196.245	347.171	747.965	197.598
593	1.18400	316.261	206.138	196.235	347.019	746.757	197.567
594	1.18600	316.275	206.328	196.267	346.956	745.514	197.553
595	1.18800	316.280	206.525	196.284	346.891	744.277	197.554
596	1.19000	316.287	206.719	196.274	346.812	743.061	197.599
597	1.19200	316.308	206.903	196.253	346.631	741.820	197.583
598	1.19400	316.315	207.113	196.238	346.595	740.560	197.546
599	1.19600	316.320	207.310	196.255	346.501	739.330	197.566
600	1.19800	316.341	207.510	196.230	346.445	738.091	197.576
601	1.20000	316.339	207.698	196.236	346.373	736.853	197.586
602	1.20200	316.359	207.876	196.232	346.309	735.629	197.602
603	1.20400	316.374	208.088	196.243	346.247	734.392	197.591
604	1.20600	316.388	208.290	196.244	346.153	733.134	197.535
605	1.20800	316.408	208.468	196.240	346.098	731.933	197.574
606	1.21000	316.422	208.653	196.220	346.034	730.681	197.538
607	1.21200	316.427	208.857	196.222	345.970	729.449	197.547
608	1.21400	316.433	209.062	196.249	345.906	728.210	197.543
609	1.21600	316.440	209.247	196.229	345.829	726.966	197.500
610	1.21800	316.467	209.434	196.235	345.699	725.742	197.438
611	1.22000	316.474	209.626	196.200	345.643	724.502	197.439
612	1.22200	316.487	209.829	196.202	345.490	723.280	197.439
613	1.22400	316.507	210.016	196.208	345.530	722.051	197.478
614	1.22600	316.513	210.194	196.204	345.354	720.771	197.389
615	1.22800	316.518	210.364	196.190	345.298	719.555	197.389
616	1.23000	316.531	210.558	196.181	345.264	718.355	197.485
617	1.23200	316.537	210.752	196.172	345.178	717.095	197.425
618	1.23400	316.558	210.946	196.163	345.115	715.887	197.417
619	1.23600	316.570	211.124	196.160	345.022	714.621	197.320
620	1.23800	316.576	211.309	196.140	344.981	713.396	197.313
621	1.24000	316.589	211.497	196.147	344.919	712.187	197.311
622	1.24200	316.595	211.703	196.175	344.834	710.970	197.319
623	1.24400	316.608	211.888	196.156	344.756	709.723	197.273
624	1.24600	316.622	212.082	196.147	344.721	708.504	197.286
625	1.24800	316.636	212.276	196.138	344.651	707.280	197.261
626	1.25000	316.649	212.488	196.151	344.601	706.031	197.245
627	1.25200	316.655	212.676	196.158	344.526	704.822	197.226
628	1.25400	316.654	212.870	196.150	344.471	703.604	197.220
629	1.25600	316.668	213.055	196.130	344.406	702.359	197.248
630	1.25800	316.681	213.267	196.143	344.300	701.112	197.211
631	1.26000	316.695	213.455	196.150	344.148	699.913	197.191
632	1.26200	316.702	213.656	196.126	344.099	698.700	197.230
633	1.26400	316.721	213.827	196.138	343.940	697.445	197.179
634	1.26600	316.720	214.031	196.141	343.876	696.217	197.193
635	1.26800	316.733	214.219	196.148	343.711	694.986	197.162
636	1.27000	316.739	214.413	196.140	343.655	693.766	197.168
637	1.27200	316.751	214.598	196.121	343.599	692.538	197.161
638	1.27400	316.766	214.801	196.124	343.543	691.325	197.183
639	1.27600	316.786	214.989	196.131	343.487	690.111	197.208
640	1.27800	316.784	215.179	196.165	343.425	688.883	197.206
641	1.28000	316.783	215.374	196.157	343.362	687.671	197.207
642	1.28200	316.795	215.555	196.180	343.292	686.459	197.210
643	1.28400	316.800	215.752	196.199	343.154	685.228	197.147
644	1.28600	316.807	215.946	196.191	343.070	683.985	197.121
645	1.28800	316.814	216.134	196.198	343.000	682.764	197.114
646	1.29000	316.828	216.312	196.195	342.936	681.535	197.121
647	1.29200	316.833	216.500	196.203	342.873	680.305	197.128
648	1.29400	316.831	216.688	196.211	342.816	679.068	197.124
649	1.29600	316.830	216.883	196.203	342.738	677.816	197.092
650	1.29800	316.822	217.077	196.195	342.566	676.575	197.044
651	1.30000	316.844	217.278	196.171	342.502	675.346	197.033
652	1.30200	316.851	217.472	196.164	342.447	674.149	197.028
653	1.30400	316.858	217.676	196.166	342.392	672.926	197.034
654	1.30600	316.856	217.871	196.159	342.336	671.718	197.070
655	1.30800	316.863	218.065	196.151	342.287	670.496	197.054
656	1.31000	316.868	218.262	196.170	342.232	669.298	197.055
657	1.31200	316.882	218.475	196.184	342.170	668.076	197.042
658	1.31400	316.897	218.675	196.160	342.114	666.854	197.030
659	1.31600	316.903	218.863	196.169	342.059	665.657	197.010
660	1.31800	316.993	219.114	196.255	342.003	664.434	197.001
661	1.32000	316.921	219.255	196.181	341.955	663.226	197.022
662	1.32200	316.921	219.445	196.215	341.893	662.027	197.032
663	1.32400	316.927	219.631	196.197	341.844	660.811	197.042
664	1.32600	316.941	219.841	196.184	341.781	659.601	197.092
665	1.32800	316.968	220.019	196.183	341.705	658.387	197.078
666	1.33000	317.110	220.334	196.347	341.634	657.164	197.052
667	1.33200	317.045	220.458	196.277	341.551	655.957	197.055
668	1.33400	317.043	220.653	196.270	341.488	654.735	197.032
669	1.33600	317.127	220.895	196.346	341.392	653.527	197.039
670	1.33800	317.133	221.090	196.339	341.237	652.332	197.013
671	1.34000	317.147	221.284	196.332	341.066	651.082	196.933
672	1.34200	317.168	221.494	196.320	341.002	649.849	196.928
673	1.34400	317.167	221.682	196.329	340.940	648.640	196.940
674	1.34600	317.179	221.863	196.354	340.884	647.425	196.915
675	1.34800	317.184	222.067	196.358	340.815	646.208	196.917
676	1.35000	317.197	222.273	196.388	340.706	644.994	196.897
677	1.35200	317.204	222.466	196.355	340.651	643.778	196.876
678	1.35400	317.218	222.673	196.317	340.588	642.561	196.883
679	1.35600	317.244	222.854	196.342	340.533	641.351	196.905
680	1.35800	317.258	223.042	196.351	340.484	640.134	196.889
681	1.36000	317.249	223.237	196.345	340.428	638.938	196.941
682	1.36200	317.262	223.416	196.343	340.372	637.713	196.940
683	1.36400	317.276	223.610	196.336	340.323	636.494	196.953
684	1.36600	317.296	223.811	196.315	340.261	635.293	196.945
685	1.36800	317.310	224.005	196.308	340.205	634.076	196.937
686	1.37000	317.316	224.184	196.306	340.150	632.882	196.945
687	1.37200	317.360	224.355	196.319	340.101	631.671	196.953
688	1.37400	317.380	224.549	196.313	340.031	630.462	196.936
689	1.37600	317.410	224.736	196.322	339.961	629.237	196.919
690	1.37800	317.438	224.930	196.315	339.870	628.034	196.943
691	1.38000	317.451	225.109	196.314	339.800	626.808	196.929
692	1.38200	317.471	225.294	196.297	339.730	625.598	196.944
693	1.38400	317.485	225.491	196.317	339.574	624.359	196.875
694	1.38600	317.506	225.687	196.337	339.511	623.157	196.881
695	1.38800	317.511	225.880	196.305	339.456	621.945	196.902
696	1.39000	317.535	226.041	196.284	339.401	620.742	196.911
697	1.39200	317.555	226.235	196.278	339.352	619.530	196.934
698	1.39400	317.560	226.423	196.288	339.283	618.319	196.933
699	1.39600	317.573	226.618	196.282	339.227	617.117	196.922
700	1.39800	317.593	226.797	196.282	339.159	615.923	196.901
701	1.40000	317.599	226.982	196.265	339.091	614.721	196.893
702	1.40200	317.605	227.177	196.259	339.029	613.534	196.888
703	1.40400	317.618	227.374	196.280	338.968	612.331	196.883
704	1.40600	317.631	227.560	196.264	338.906	611.128	196.879
705	1.40800	317.637	227.739	196.263	338.844	609.933	196.865
706	1.41000	317.643	227.934	196.257	338.789	608.729	196.890
707	1.41200	317.649	228.122	196.267	338.707	607.526	196.891
708	1.41400	317.663	228.316	196.261	338.571	606.334	196.858
709	1.41600	317.670	228.511	196.255	338.416	605.143	196.827
710	1.41800	317.676	228.699	196.265	338.367	603.938	196.832
711	1.42000	317.683	228.901	196.244	338.298	602.727	196.824
712	1.42200	317.683	229.105	196.249	338.235	601.522	196.831
713	1.42400	317.702	229.293	196.260	338.179	600.309	196.852
714	1.42600	317.715	229.472	196.259	338.095	599.098	196.822
715	1.42800	317.722	229.667	196.253	338.033	597.893	196.834
716	1.43000	317.722	229.871	196.258	337.856	596.645	196.760
717	1.43200	317.735	230.065	196.253	337.801	595.432	196.762
718	1.43400	317.741	230.235	196.242	337.752	594.227	196.754
719	1.43600	317.753	230.428	196.211	337.704	593.030	196.760
720	1.43800	317.752	230.616	196.222	337.649	591.825	196.754
721	1.44000	317.759	230.804	196.231	337.594	590.629	196.738
722	1.44200	317.772	230.990	196.216	337.545	589.423	196.761
723	1.44400	317.778	231.185	196.211	337.491	588.227	196.747
724	1.44600	317.790	231.355	196.200	337.442	587.029	196.761
725	1.44800	317.783	231.553	196.221	337.387	585.832	196.776
726	1.45000	317.790	231.757	196.227	337.325	584.634	196.792
727	1.45200	317.810	231.944	196.237	337.284	583.436	196.810
728	1.45400	317.808	232.124	196.237	337.222	582.231	196.816
729	1.45600	317.814	232.319	196.233	337.173	581.025	196.823
730	1.45800	317.801	232.523	196.238	337.125	579.818	196.858
731	1.46000	317.822	232.734	196.228	337.062	578.604	196.881
732	1.46200	317.827	232.922	196.240	336.999	577.390	196.879
733	1.46400	317.825	233.109	196.224	336.951	576.176	196.879
734	1.46600	317.833	233.306	196.245	336.896	574.978	196.883
735	1.46800	317.838	233.494	196.256	336.834	573.789	196.875
736	1.47000	317.844	233.689	196.252	336.772	572.599	196.893
737	1.47200	317.843	233.875	196.237	336.718	571.417	196.926
738	1.47400	317.863	234.070	196.232	336.656	570.227	196.922
739	1.47600	317.863	234.252	196.258	336.574	569.039	196.920
740	1.47800	317.869	234.440	196.269	336.519	567.832	196.918
741	1.48000	317.881	234.642	196.250	336.428	566.604	196.851
742	1.48200	317.888	234.828	196.235	336.345	565.382	196.825
743	1.48400	317.894	235.007	196.235	336.191	564.155	196.757
744	1.48600	317.901	235.211	196.241	336.129	562.957	196.749
745	1.48800	317.913	235.390	196.242	336.014	561.777	196.745
746	1.49000	317.933	235.578	196.253	335.952	560.579	196.740
747	1.49200	317.939	235.757	196.254	335.898	559.397	196.738
748	1.49400	317.945	235.946	196.265	335.836	558.206	196.748
749	1.49600	317.952	236.141	196.261	335.774	557.008	196.748
750	1.49800	317.979	236.319	196.261	335.712	555.810	196.723
751	1.50000	317.985	236.498	196.262	335.672	554.619	196.713
752	1.50200	317.991	236.678	196.263	335.603	553.429	196.705
753	1.50400	318.004	236.873	196.259	335.542	552.255	196.698
754	1.50600	318.018	237.059	196.244	335.481	551.065	196.718
755	1.50800	318.030	237.245	196.230	335.419	549.857	196.765
756	1.51000	318.043	237.424	196.231	335.249	548.703	196.742
757	1.51200	318.057	237.628	196.238	335.201	547.504	196.752
758	1.51400	318.070	237.830	196.219	335.146	546.313	196.753
759	1.51600	318.076	238.025	196.215	335.091	545.122	196.754
760	1.51800	318.096	238.211	196.201	335.036	543.915	196.756
761	1.52000	318.102	238.408	196.224	334.968	542.732	196.772
762	1.52200	318.116	238.612	196.231	334.898	541.524	196.802
763	1.52400	318.129	238.808	196.227	334.837	540.333	196.809
764	1.52600	318.149	238.986	196.229	334.768	539.134	196.830
765	1.52800	318.155	239.182	196.225	334.663	537.911	196.785
766	1.53000	318.169	239.386	196.232	334.503	536.673	196.739
767	1.53200	318.174	239.574	196.244	334.455	535.482	196.752
768	1.53400	318.252	239.824	196.309	334.386	534.274	196.740
769	1.53600	318.259	240.009	196.295	334.318	533.084	196.730
770	1.53800	318.265	240.189	196.296	334.271	531.908	196.748
771	1.54000	318.278	240.384	196.293	334.209	530.717	196.766
772	1.54200	318.305	240.579	196.290	334.162	529.533	196.774
773	1.54400	318.310	240.765	196.277	334.100	528.334	196.757
774	1.54600	318.323	240.947	196.304	334.045	527.134	196.768
775	1.54800	318.329	241.126	196.305	333.984	525.942	196.767
776	1.55000	318.342	241.330	196.313	333.929	524.742	196.780
777	1.55200	318.361	241.526	196.311	333.881	523.542	196.770
778	1.55400	318.375	241.711	196.297	333.826	522.343	196.761
779	1.55600	318.382	241.907	196.294	333.778	521.134	196.766
780	1.55800	318.388	242.095	196.306	333.716	519.926	196.772
781	1.56000	318.472	242.354	196.383	333.599	518.737	196.757
782	1.56200	318.478	242.533	196.385	333.537	517.537	196.780
783	1.56400	318.484	242.719	196.371	333.489	516.345	196.790
784	1.56600	318.498	242.914	196.368	333.421	515.161	196.815
785	1.56800	318.427	243.072	196.292	333.353	513.978	196.815
786	1.57000	318.512	243.314	196.373	333.278	512.811	196.817
787	1.57200	318.446	243.430	196.296	333.224	511.635	196.808
788	1.57400	318.445	243.619	196.308	333.094	510.453	196.808
789	1.57600	318.522	243.871	196.400	332.963	509.213	196.721
790	1.57800	318.536	244.066	196.397	332.895	508.022	196.717
791	1.58000	318.472	244.214	196.311	332.841	506.846	196.713
792	1.58200	318.478	244.385	196.302	332.793	505.645	196.725
793	1.58400	318.484	244.573	196.315	332.739	504.461	196.712
794	1.58600	318.568	244.831	196.392	332.671	503.294	196.701
795	1.58800	318.567	245.020	196.405	332.616	502.094	196.717
796	1.59000	318.573	245.207	196.392	332.555	500.894	196.708
797	1.59200	318.579	245.386	196.394	332.500	499.693	196.727
798	1.59400	318.592	245.588	196.377	332.439	498.509	196.721
799	1.59600	318.598	245.777	196.390	332.391	497.325	196.742
800	1.59800	318.605	245.972	196.388	332.336	496.117	196.753
801	1.60000	318.609	246.152	196.391	332.282	494.933	196.726
802	1.60200	318.623	246.331	196.393	332.214	493.757	196.714
803	1.60400	318.629	246.527	196.391	332.118	492.583	196.729
804	1.60600	318.636	246.722	196.389	331.967	491.427	196.696
805	1.60800	318.634	246.909	196.376	331.913	490.251	196.713
806	1.61000	318.647	247.088	196.379	331.858	489.058	196.706
807	1.61200	318.653	247.284	196.377	331.811	487.882	196.726
808	1.61400	318.659	247.463	196.379	331.750	486.682	196.710
809	1.61600	318.666	247.668	196.388	331.681	485.482	196.720
810	1.61800	318.672	247.848	196.391	331.613	484.289	196.718
811	1.62000	318.685	248.048	196.348	331.538	483.106	196.730
812	1.62200	318.691	248.229	196.377	331.463	481.905	196.718
813	1.62400	318.691	248.425	196.374	331.277	480.657	196.627
814	1.62600	318.704	248.621	196.373	331.160	479.475	196.645
815	1.62800	318.710	248.800	196.376	331.084	478.283	196.652
816	1.63000	318.723	248.996	196.375	331.016	477.083	196.672
817	1.63200	318.723	249.191	196.373	330.962	475.907	196.681
