NO_OF_FRAMES	2062
NO_OF_CAMERAS	2
NO_OF_MARKERS	2
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-18, 16:39:16.655	686091.48508060
DATA_INCLUDED	3D
TITLE	Bevaring av rörelsemängd i en dimension 75.7g vs 23.3g
MARKER_NAMES	v75_7g	h23_3g
COLLISION_TIME	0.95
TRAJECTORY_TYPES	Measured	Mixed
Frame	Time	v75_7g X	v75_7g Y	v75_7g Z	h23_3g X	h23_3g Y	h23_3g Z	
439	0.87600	319.030	242.396	195.343	357.095	909.120	196.871
440	0.87800	319.069	242.994	195.372	357.068	908.487	196.930
441	0.88000	319.086	243.587	195.350	357.060	907.821	196.904
442	0.88200	319.091	244.190	195.338	357.009	907.176	197.005
443	0.88400	319.227	244.728	195.372	357.053	906.437	196.814
444	0.88600	319.209	245.337	195.320	356.943	905.802	196.863
445	0.88800	319.241	245.928	195.366	356.949	905.108	196.800
446	0.89000	319.254	246.535	195.314	356.879	904.472	196.852
447	0.89200	319.293	247.092	195.344	356.868	903.783	196.801
448	0.89400	319.326	247.733	195.311	356.846	903.114	196.806
449	0.89600	319.344	248.318	195.373	356.867	902.436	196.792
450	0.89800	319.355	248.905	195.369	356.764	901.779	196.823
451	0.90000	319.403	249.500	195.375	356.758	901.114	196.774
452	0.90200	319.400	250.100	195.315	356.671	900.468	196.838
453	0.90400	319.462	250.674	195.368	356.731	899.791	196.803
454	0.90600	319.428	251.286	195.346	356.664	899.161	196.916
455	0.90800	319.513	251.839	195.351	356.683	898.463	196.815
456	0.91000	319.541	252.476	195.268	356.603	897.831	196.888
457	0.91200	319.475	253.049	195.339	356.595	897.145	196.820
458	0.91400	319.585	253.678	195.297	356.535	896.503	196.904
459	0.91600	319.592	254.265	195.271	356.538	895.822	196.854
460	0.91800	319.655	254.862	195.306	356.451	895.158	196.870
461	0.92000	319.694	255.479	195.365	356.453	894.494	196.870
462	0.92200	319.725	256.055	195.329	356.399	893.814	196.818
463	0.92400	319.890	256.656	195.348	356.363	893.158	196.833
464	0.92600	319.824	257.268	195.400	356.339	892.465	196.751
465	0.92800	319.872	257.827	195.367	356.274	891.829	196.786
466	0.93000	319.913	258.424	195.379	356.244	891.159	196.767
467	0.93200	319.999	259.023	195.349	356.177	890.499	196.736
468	0.93400	320.043	259.625	195.322	356.153	889.869	196.830
469	0.93600	320.083	260.205	195.339	356.074	889.188	196.780
470	0.93800	320.139	260.799	195.325	356.027	888.554	196.864
471	0.94000	320.215	261.369	195.332	355.891	887.872	196.835
472	0.94200	320.242	261.973	195.331	355.825	887.158	196.736
473	0.94400	320.324	262.527	195.320	355.773	886.515	196.761
474	0.94600	320.363	263.089	195.317	355.759	885.810	196.655
475	0.94800	320.403	263.668	195.310	355.671	885.144	196.613
476	0.95000	320.451	264.263	195.299	355.681	884.477	196.620
477	0.95200	320.484	264.833	195.282	355.623	883.773	196.513
478	0.95400	320.509	265.416	195.328	355.551	883.124	196.525
479	0.95600	320.543	266.002	195.307	355.494	882.457	196.488
480	0.95800	320.570	266.579	195.275	355.468	881.825	196.586
481	0.96000	320.587	267.177	195.293	355.439	881.150	196.602
482	0.96200	320.628	267.747	195.277	355.400	880.499	196.612
483	0.96400	320.640	268.343	195.269	355.374	879.837	196.595
484	0.96600	320.690	268.954	195.256	355.330	879.159	196.568
485	0.96800	320.693	269.550	195.249	355.248	878.546	196.711
486	0.97000	320.734	270.122	195.260	355.244	877.844	196.626
487	0.97200	320.753	270.726	195.238	355.164	877.229	196.732
488	0.97400	320.786	271.309	195.288	355.197	876.523	196.608
489	0.97600	320.806	271.901	195.229	355.095	875.875	196.660
490	0.97800	320.818	272.492	195.264	355.155	875.188	196.626
491	0.98000	320.859	273.099	195.295	355.126	874.527	196.651
492	0.98200	320.870	273.661	195.272	355.117	873.829	196.583
493	0.98400	320.906	274.282	195.273	354.985	873.197	196.639
494	0.98600	320.917	274.873	195.310	355.057	872.498	196.511
495	0.98800	320.944	275.451	195.283	355.033	871.848	196.569
496	0.99000	320.981	276.061	195.344	355.031	871.153	196.478
497	0.99200	320.990	276.687	195.305	354.948	870.531	196.571
498	0.99400	321.019	277.236	195.316	354.947	869.859	196.543
499	0.99600	321.041	277.855	195.293	354.913	869.239	196.614
500	0.99800	321.067	278.437	195.320	354.895	868.568	196.585
501	1.00000	321.101	279.048	195.288	354.867	867.896	196.624
502	1.00200	321.106	279.640	195.327	354.827	867.221	196.621
503	1.00400	321.140	280.225	195.289	354.798	866.547	196.553
504	1.00600	321.160	280.824	195.313	354.783	865.881	196.543
505	1.00800	321.180	281.442	195.268	354.760	865.239	196.595
506	1.01000	321.206	282.021	195.245	354.753	864.527	196.502
507	1.01200	321.227	282.619	195.270	354.666	863.865	196.530
508	1.01400	321.247	283.231	195.241	354.643	863.163	196.427
509	1.01600	321.259	283.821	195.257	354.538	862.534	196.507
510	1.01800	321.280	284.434	195.253	354.538	861.819	196.376
511	1.02000	321.307	285.022	195.243	354.444	861.199	196.514
512	1.02200	321.319	285.619	195.245	354.422	860.495	196.412
513	1.02400	321.347	286.216	195.246	354.369	859.877	196.531
514	1.02600	321.379	286.813	195.249	354.315	859.208	196.482
515	1.02800	321.420	287.417	195.238	354.277	858.537	196.501
516	1.03000	321.452	288.017	195.268	354.251	857.876	196.512
517	1.03200	321.472	288.621	195.256	354.206	857.242	196.558
518	1.03400	321.505	289.211	195.275	354.142	856.545	196.474
519	1.03600	321.524	289.800	195.268	354.120	855.899	196.492
520	1.03800	321.571	290.390	195.288	354.053	855.186	196.404
521	1.04000	321.605	291.005	195.315	354.037	854.515	196.428
522	1.04200	321.631	291.543	195.294	353.978	853.817	196.347
523	1.04400	321.678	292.165	195.308	353.954	853.158	196.336
524	1.04600	321.717	292.748	195.344	353.902	852.478	196.302
525	1.04800	321.767	293.372	195.265	353.839	851.798	196.268
526	1.05000	321.787	293.974	195.206	353.800	851.145	196.340
527	1.05200	321.826	294.539	195.220	353.797	850.448	196.238
528	1.05400	321.880	295.197	195.281	353.737	849.798	196.285
529	1.05600	321.939	295.752	195.260	353.679	849.127	196.242
530	1.05800	321.985	296.339	195.233	353.661	848.484	196.280
531	1.06000	322.024	296.920	195.246	353.608	847.840	196.344
532	1.06200	322.064	297.516	195.229	353.566	847.180	196.335
533	1.06400	322.124	298.098	195.243	353.506	846.529	196.315
534	1.06600	322.190	298.738	195.163	353.508	845.846	196.288
535	1.06800	322.230	299.341	195.133	353.449	845.187	196.282
536	1.07000	322.278	299.935	195.091	353.424	844.510	196.269
537	1.07200	322.329	300.508	195.097	353.345	843.844	196.245
538	1.07400	322.371	301.128	195.063	353.299	843.196	196.269
539	1.07600	322.412	301.709	195.078	353.243	842.502	196.212
540	1.07800	322.431	302.314	195.049	353.204	841.825	196.201
541	1.08000	322.471	302.888	195.080	353.169	841.164	196.197
542	1.08200	322.505	303.467	195.043	353.122	840.493	196.201
543	1.08400	322.523	304.042	195.075	353.079	839.838	196.213
544	1.08600	322.594	304.670	195.055	353.072	839.179	196.250
545	1.08800	322.642	305.246	195.112	353.054	838.522	196.264
546	1.09000	322.676	305.874	195.067	352.992	837.855	196.243
547	1.09200	322.701	306.434	195.129	352.967	837.211	196.287
548	1.09400	322.735	307.046	195.088	352.947	836.536	196.255
549	1.09600	322.788	307.638	195.145	352.897	835.868	196.237
550	1.09800	322.823	308.250	195.105	352.906	835.195	196.248
551	1.10000	322.855	308.818	195.153	352.855	834.521	196.215
552	1.10200	322.896	309.456	195.149	352.815	833.839	196.168
553	1.10400	322.923	310.049	195.205	352.780	833.170	196.152
