NO_OF_FRAMES	1899
NO_OF_CAMERAS	2
NO_OF_MARKERS	2
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-18, 16:45:45.108	686479.93376530
DATA_INCLUDED	3D
TITLE	Bevaring av rörelsemängd i en dimension 75.7 g vs 31.4 g
MARKER_NAMES	v75_7g	h31_4g
COLLISION_TIME	0.39
TRAJECTORY_TYPES	Mixed	Measured
Frame	Time	v75_7g X	v75_7g Y	v75_7g Z	h31_4g X	h31_4g Y	h31_4g Z	
352	0.70200	343.107	656.074	196.323	354.792	879.801	196.951
353	0.70400	343.069	655.799	196.281	354.718	878.913	197.260
354	0.70600	343.062	655.592	196.341	354.582	877.934	197.313
355	0.70800	342.959	655.238	196.119	354.586	876.874	197.169
356	0.71000	342.929	654.978	196.107	354.538	875.912	197.251
357	0.71200	342.914	654.749	196.125	354.396	875.055	197.639
358	0.71400	342.876	654.459	196.056	354.359	873.981	197.428
359	0.71600	342.848	654.230	196.075	354.181	873.019	197.474
360	0.71800	342.833	653.993	196.080	354.066	872.099	197.734
361	0.72000	342.810	653.748	196.096	354.017	871.135	197.887
362	0.72200	342.760	653.498	196.046	353.954	870.101	197.849
363	0.72400	342.731	653.277	196.078	353.951	869.006	197.661
364	0.72600	342.708	653.022	196.106	353.909	868.017	197.753
365	0.72800	342.700	652.778	196.097	353.847	867.021	197.788
366	0.73000	342.678	652.513	196.021	353.790	865.997	197.788
367	0.73200	342.656	652.283	196.040	353.776	864.993	197.812
368	0.73400	342.655	652.045	196.071	353.739	863.947	197.793
369	0.73600	342.640	651.825	196.053	353.649	862.897	197.689
370	0.73800	342.599	651.432	196.242	353.620	861.901	197.772
371	0.74000	342.585	651.208	196.159	353.598	860.884	197.769
372	0.74200	342.569	650.953	196.188	353.535	859.852	197.758
373	0.74400	342.561	650.715	196.219	353.493	858.850	197.762
374	0.74600	342.540	650.496	196.201	353.451	857.848	197.765
375	0.74800	342.531	650.235	196.191	353.402	856.824	197.749
376	0.75000	342.521	649.965	196.191	353.353	855.813	197.697
377	0.75200	342.500	649.737	196.186	353.319	854.834	197.767
378	0.75400	342.492	649.501	196.166	353.263	853.782	197.649
379	0.75600	342.477	649.286	196.213	353.207	852.815	197.750
380	0.75800	342.453	649.004	196.160	353.055	851.808	197.737
381	0.76000	342.406	648.784	196.170	352.999	850.814	197.805
382	0.76200	342.398	648.554	196.190	353.031	849.719	197.628
383	0.76400	342.461	648.435	196.082	352.921	848.780	197.767
384	0.76600	342.409	648.184	196.058	352.852	847.787	197.810
385	0.76800	342.363	647.840	196.255	352.817	846.760	197.738
386	0.77000	342.422	647.716	196.085	352.775	845.794	197.821
387	0.77200	342.413	647.461	196.115	352.732	844.755	197.786
388	0.77400	342.404	647.218	196.081	352.719	843.793	197.888
389	0.77600	342.396	646.981	196.088	352.663	842.781	197.825
390	0.77800	342.380	646.735	196.105	352.615	841.780	197.794
391	0.78000	342.386	646.481	196.110	352.546	840.796	197.834
392	0.78200	342.377	646.237	196.078	352.511	839.773	197.852
393	0.78400	342.344	645.879	196.222	352.469	838.762	197.834
394	0.78600	342.367	645.739	196.075	352.381	837.798	197.833
395	0.78800	342.373	645.503	196.057	352.313	836.812	197.812
396	0.79000	342.371	645.256	196.075	352.257	835.788	197.766
397	0.79200	342.364	645.014	196.018	352.189	834.783	197.767
398	0.79400	342.362	644.766	196.062	352.133	833.759	197.790
399	0.79600	342.360	644.498	196.039	351.999	832.776	197.752
400	0.79800	342.351	644.258	196.096	351.929	831.770	197.754
401	0.80000	342.374	644.142	196.275	351.894	830.756	197.744
402	0.80200	342.334	643.768	196.083	351.859	829.743	197.735
403	0.80400	342.363	643.641	196.324	351.775	828.724	197.709
404	0.80600	342.362	643.411	196.345	351.754	827.700	197.646
405	0.80800	342.326	643.176	196.300	351.684	826.680	197.623
406	0.81000	342.337	642.905	196.329	351.642	825.687	197.638
407	0.81200	342.337	642.660	196.324	351.579	824.660	197.602
408	0.81400	342.307	642.432	196.318	351.537	823.670	197.659
409	0.81600	342.306	642.187	196.312	351.488	822.661	197.672
410	0.81800	342.297	641.925	196.304	351.433	821.668	197.690
411	0.82000	342.296	641.687	196.338	351.299	820.661	197.700
412	0.82200	342.280	641.449	196.345	351.257	819.632	197.670
413	0.82400	342.266	641.206	196.314	351.222	818.603	197.642
414	0.82600	342.258	640.961	196.308	351.152	817.605	197.623
415	0.82800	342.250	640.731	196.330	351.103	816.613	197.687
416	0.83000	342.234	640.478	196.335	351.068	815.608	197.656
417	0.83200	342.212	640.249	196.331	351.027	814.621	197.672
418	0.83400	342.203	639.988	196.324	350.972	813.638	197.729
419	0.83600	342.195	639.743	196.318	350.924	812.638	197.716
420	0.83800	342.172	639.491	196.298	350.868	811.639	197.704
421	0.84000	342.150	639.260	196.345	350.819	810.655	197.763
422	0.84200	342.105	638.977	196.295	350.771	809.664	197.743
