NO_OF_FRAMES	2500
NO_OF_CAMERAS	2
NO_OF_MARKERS	2
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-18, 16:52:57.830	686912.65249090
DATA_INCLUDED	3D
TITLE	Bevaring av rörelsemängd i en dimension 75.7 g vs 60.9 g
MARKER_NAMES	v75_7g	h60_9g
COLLISION_TIME	2.49
TRAJECTORY_TYPES	Measured	Measured
Frame	Time	v75_7g X	v75_7g Y	v75_7g Z	h60_9g X	h60_9g Y	h60_9g Z	
1	0.00000	319.519	249.793	195.191	361.465	981.922	198.170
2	0.00200	319.488	249.760	195.268	361.452	981.937	198.220
3	0.00400	319.495	249.750	195.257	361.452	981.918	198.152
4	0.00600	319.509	249.759	195.268	361.459	981.922	198.169
5	0.00800	319.509	249.764	195.226	361.459	981.922	198.170
6	0.01000	319.501	249.750	195.257	361.459	981.927	198.186
7	0.01200	319.501	249.750	195.257	361.459	981.927	198.186
8	0.01400	319.501	249.750	195.257	361.465	981.927	198.187
9	0.01600	319.494	249.751	195.257	361.452	981.927	198.186
10	0.01800	319.501	249.750	195.257	361.459	981.927	198.186
11	0.02000	319.515	249.741	195.246	361.452	981.932	198.203
12	0.02200	319.500	249.751	195.258	361.452	981.932	198.203
13	0.02400	319.508	249.768	195.279	361.452	981.946	198.210
14	0.02600	319.546	249.756	195.241	361.446	981.952	198.227
15	0.02800	319.508	249.759	195.268	361.446	981.952	198.227
16	0.03000	319.508	249.743	195.272	361.432	981.952	198.227
17	0.03200	319.501	249.752	195.283	361.446	981.956	198.244
18	0.03400	319.493	249.760	195.269	361.439	981.952	198.227
19	0.03600	319.501	249.759	195.268	361.446	981.976	198.268
20	0.03800	319.508	249.759	195.268	361.433	981.971	198.251
21	0.04000	319.500	249.753	195.284	361.440	981.971	198.251
22	0.04200	319.508	249.761	195.294	361.440	981.971	198.251
23	0.04400	319.514	249.759	195.269	361.433	981.971	198.251
24	0.04600	319.500	249.746	195.299	361.440	981.980	198.242
25	0.04800	319.506	249.746	195.299	361.453	981.975	198.226
26	0.05000	319.512	249.744	195.274	361.460	981.970	198.209
27	0.05200	319.506	249.735	195.262	361.453	981.970	198.209
28	0.05400	319.520	249.741	195.247	361.460	981.970	198.209
29	0.05600	319.520	249.741	195.247	361.467	981.979	198.201
30	0.05800	319.572	249.746	195.231	361.467	981.974	198.184
31	0.06000	319.519	249.741	195.248	361.467	981.979	198.201
32	0.06200	319.526	249.732	195.237	361.467	981.983	198.174
33	0.06400	319.531	249.741	195.249	361.474	981.988	198.192
34	0.06600	319.511	249.740	195.222	361.461	981.993	198.208
35	0.06800	319.540	249.734	195.263	361.468	982.002	198.199
36	0.07000	319.519	249.741	195.248	361.475	982.011	198.190
37	0.07200	319.526	249.743	195.274	361.468	982.002	198.199
38	0.07400	319.534	249.734	195.263	361.462	982.017	198.206
39	0.07600	319.527	249.750	195.259	361.455	982.026	198.196
40	0.07800	319.506	249.751	195.258	361.455	982.026	198.196
41	0.08000	319.521	249.755	195.217	361.455	982.031	198.214
42	0.08200	319.513	249.751	195.258	361.442	982.046	198.221
43	0.08400	319.505	249.749	195.233	361.449	982.046	198.221
44	0.08600	319.513	249.760	195.269	361.443	982.055	198.212
45	0.08800	319.499	249.753	195.284	361.436	982.055	198.212
46	0.09000	319.499	249.742	195.247	361.436	982.060	198.229
47	0.09200	319.512	249.744	195.274	361.450	982.064	198.203
48	0.09400	319.497	249.742	195.248	361.436	982.069	198.219
49	0.09600	319.505	249.735	195.263	361.430	982.060	198.185
50	0.09800	319.506	249.726	195.252	361.436	982.069	198.219
51	0.10000	319.497	249.735	195.263	361.436	982.065	198.203
52	0.10200	319.504	249.726	195.252	361.443	982.064	198.203
53	0.10400	319.498	249.735	195.263	361.436	982.065	198.203
54	0.10600	319.512	249.732	195.237	361.436	982.065	198.203
55	0.10800	319.512	249.726	195.252	361.449	982.064	198.203
56	0.11000	319.504	249.726	195.252	361.449	982.064	198.203
57	0.11200	319.511	249.710	195.257	361.442	982.050	198.195
58	0.11400	319.512	249.726	195.252	361.449	982.050	198.195
59	0.11600	319.519	249.711	195.282	361.449	982.055	198.212
60	0.11800	319.519	249.725	195.252	361.449	982.046	198.221
61	0.12000	319.498	249.701	195.245	361.442	982.041	198.204
62	0.12200	319.520	249.709	195.256	361.442	982.046	198.221
63	0.12400	319.514	249.709	195.255	361.436	982.036	198.187
64	0.12600	319.506	249.709	195.256	361.436	982.046	198.220
65	0.12800	319.514	249.709	195.255	361.442	982.032	198.212
66	0.13000	319.506	249.702	195.271	361.435	982.037	198.230
67	0.13200	319.506	249.709	195.256	361.435	982.028	198.238
68	0.13400	319.507	249.709	195.255	361.442	982.022	198.222
69	0.13600	319.521	249.700	195.244	361.448	982.022	198.222
70	0.13800	319.512	249.711	195.282	361.442	982.022	198.222
71	0.14000	319.520	249.718	195.267	361.448	982.013	198.231
72	0.14200	319.513	249.709	195.256	361.441	982.008	198.214
73	0.14400	319.513	249.709	195.256	361.448	982.013	198.231
74	0.14600	319.513	249.718	195.267	361.455	982.013	198.232
75	0.14800	319.520	249.709	195.256	361.455	982.003	198.198
76	0.15000	319.512	249.702	195.271	361.461	981.998	198.225
77	0.15200	319.518	249.693	195.261	361.454	981.989	198.190
78	0.15400	319.512	249.702	195.271	361.460	981.984	198.217
79	0.15600	319.512	249.693	195.260	361.460	981.984	198.217
80	0.15800	319.512	249.695	195.286	361.454	981.989	198.233
81	0.16000	319.512	249.693	195.260	361.454	981.984	198.216
82	0.16200	319.498	249.703	195.271	361.461	981.984	198.216
83	0.16400	319.527	249.693	195.260	361.454	981.984	198.216
84	0.16600	319.527	249.702	195.271	361.460	981.980	198.242
85	0.16800	319.513	249.693	195.260	361.454	981.970	198.208
86	0.17000	319.521	249.693	195.260	361.454	981.970	198.208
87	0.17200	319.507	249.693	195.259	361.453	981.961	198.217
88	0.17400	319.522	249.699	195.244	361.453	981.971	198.251
89	0.17600	319.515	249.700	195.244	361.453	981.966	198.234
90	0.17800	319.522	249.699	195.244	361.446	981.957	198.243
91	0.18000	319.501	249.700	195.244	361.453	981.952	198.226
92	0.18200	319.516	249.708	195.254	361.459	981.942	198.236
93	0.18400	319.514	249.686	195.274	361.459	981.942	198.236
94	0.18600	319.522	249.692	195.259	361.466	981.932	198.202
95	0.18800	319.521	249.693	195.260	361.472	981.937	198.220
96	0.19000	319.529	249.697	195.218	361.472	981.918	198.195
97	0.19200	319.535	249.692	195.260	361.465	981.918	198.195
98	0.19400	319.521	249.684	195.249	361.472	981.908	198.204
99	0.19600	319.527	249.677	195.264	361.484	981.894	198.198
100	0.19800	319.518	249.693	195.261	361.471	981.899	198.214
101	0.20000	319.518	249.691	195.235	361.477	981.879	198.190
102	0.20200	319.518	249.684	195.250	361.477	981.875	198.173
103	0.20400	319.570	249.696	195.219	361.476	981.861	198.209
104	0.20600	319.540	249.684	195.250	361.476	981.856	198.192
105	0.20800	319.517	249.701	195.246	361.476	981.856	198.192
106	0.21000	319.517	249.701	195.246	361.469	981.833	198.193
107	0.21200	319.525	249.693	195.261	361.469	981.833	198.194
108	0.21400	319.519	249.702	195.272	361.455	981.819	198.185
109	0.21600	319.511	249.710	195.257	361.461	981.814	198.212
110	0.21800	319.519	249.702	195.272	361.454	981.805	198.220
111	0.22000	319.511	249.712	195.283	361.454	981.805	198.220
112	0.22200	319.511	249.703	195.272	361.447	981.782	198.222
113	0.22400	319.511	249.703	195.272	361.446	981.763	198.198
114	0.22600	319.511	249.701	195.246	361.439	981.758	198.223
115	0.22800	319.505	249.701	195.245	361.445	981.739	198.199
116	0.23000	319.518	249.725	195.252	361.445	981.730	198.209
117	0.23200	319.519	249.702	195.272	361.437	981.706	198.210
118	0.23400	319.525	249.693	195.261	361.444	981.687	198.186
119	0.23600	319.518	249.710	195.257	361.450	981.682	198.212
120	0.23800	319.517	249.701	195.246	361.449	981.663	198.188
121	0.24000	319.531	249.700	195.246	361.442	981.640	198.146
122	0.24200	319.571	249.705	195.229	361.441	981.621	198.164
123	0.24400	319.517	249.694	195.261	361.461	981.616	198.192
124	0.24600	319.524	249.691	195.236	361.467	981.606	198.201
125	0.24800	319.531	249.684	195.251	361.460	981.583	198.160
126	0.25000	319.531	249.698	195.220	361.460	981.568	198.151
127	0.25200	319.517	249.691	195.235	361.459	981.554	198.144
128	0.25400	319.525	249.691	195.235	361.472	981.530	198.146
129	0.25600	319.531	249.691	195.236	361.458	981.521	198.155
130	0.25800	319.531	249.684	195.251	361.458	981.507	198.147
131	0.26000	319.525	249.693	195.261	361.464	981.498	198.156
132	0.26200	319.532	249.693	195.261	361.464	981.488	198.165
133	0.26400	319.526	249.693	195.261	361.470	981.479	198.175
134	0.26600	319.520	249.700	195.245	361.457	981.470	198.183
135	0.26800	319.520	249.693	195.260	361.457	981.465	198.166
136	0.27000	319.520	249.700	195.245	361.450	981.470	198.183
137	0.27200	319.504	249.694	195.261	361.456	981.456	198.176
138	0.27400	319.504	249.694	195.261	361.456	981.461	198.192
139	0.27600	319.498	249.694	195.260	361.443	981.461	198.192
140	0.27800	319.512	249.702	195.271	361.450	981.466	198.209
141	0.28000	319.512	249.693	195.260	361.436	981.461	198.192
142	0.28200	319.520	249.702	195.271	361.443	981.480	198.217
143	0.28400	319.504	249.685	195.250	361.443	981.470	198.183
144	0.28600	319.512	249.693	195.260	361.443	981.461	198.192
145	0.28800	319.519	249.677	195.265	361.436	981.466	198.166
146	0.29000	319.504	249.669	195.254	361.443	981.470	198.183
147	0.29200	319.511	249.677	195.265	361.443	981.470	198.183
148	0.29400	319.519	249.675	195.239	361.456	981.470	198.184
149	0.29600	319.511	249.668	195.254	361.437	981.480	198.174
150	0.29800	319.526	249.659	195.243	361.443	981.480	198.174
151	0.30000	319.503	249.660	195.244	361.443	981.480	198.174
152	0.30200	319.504	249.652	195.258	361.437	981.480	198.173
153	0.30400	319.497	249.660	195.243	361.451	981.494	198.182
154	0.30600	319.497	249.653	195.258	361.450	981.479	198.174
155	0.30800	319.504	249.643	195.247	361.450	981.489	198.165
156	0.31000	319.505	249.659	195.243	361.451	981.494	198.182
157	0.31200	319.498	249.659	195.243	361.451	981.494	198.182
158	0.31400	319.498	249.652	195.258	361.451	981.494	198.182
159	0.31600	319.490	249.651	195.232	361.444	981.494	198.181
160	0.31800	319.498	249.662	195.269	361.444	981.499	198.198
161	0.32000	319.491	249.667	195.228	361.437	981.499	198.198
162	0.32200	319.491	249.671	195.280	361.424	981.490	198.163
163	0.32400	319.499	249.675	195.238	361.437	981.499	198.198
164	0.32600	319.498	249.664	195.295	361.430	981.490	198.207
165	0.32800	319.490	249.653	195.258	361.417	981.485	198.190
166	0.33000	319.529	249.676	195.263	361.424	981.495	198.224
167	0.33200	319.491	249.669	195.254	361.437	981.494	198.225
168	0.33400	319.491	249.662	195.269	361.430	981.480	198.216
169	0.33600	319.505	249.671	195.280	361.416	981.476	198.199
170	0.33800	319.497	249.669	195.254	361.416	981.476	198.199
171	0.34000	319.489	249.662	195.269	361.410	981.466	198.165
172	0.34200	319.504	249.652	195.258	361.436	981.480	198.217
173	0.34400	319.497	249.669	195.254	361.429	981.466	198.209
174	0.34600	319.503	249.662	195.270	361.436	981.456	198.176
175	0.34800	319.504	249.646	195.273	361.435	981.452	198.202
176	0.35000	319.503	249.646	195.274	361.429	981.442	198.168
177	0.35200	319.511	249.652	195.259	361.428	981.438	198.194
178	0.35400	319.497	249.651	195.232	361.435	981.438	198.194
179	0.35600	319.512	249.659	195.243	361.422	981.438	198.193
180	0.35800	319.512	249.661	195.269	361.428	981.424	198.186
181	0.36000	319.490	249.653	195.258	361.428	981.409	198.178
182	0.36200	319.483	249.653	195.258	361.434	981.409	198.179
183	0.36400	319.504	249.643	195.247	361.434	981.400	198.188
184	0.36600	319.498	249.643	195.247	361.427	981.400	198.188
185	0.36800	319.498	249.643	195.247	361.426	981.381	198.206
186	0.37000	319.498	249.652	195.258	361.413	981.367	198.155
187	0.37200	319.544	249.664	195.226	361.426	981.362	198.182
188	0.37400	319.498	249.652	195.258	361.420	981.358	198.164
189	0.37600	319.498	249.643	195.247	361.426	981.348	198.174
190	0.37800	319.498	249.659	195.243	361.432	981.324	198.175
191	0.38000	319.504	249.643	195.247	361.418	981.315	198.141
192	0.38200	319.497	249.637	195.262	361.418	981.311	198.167
193	0.38400	319.504	249.643	195.247	361.424	981.296	198.160
194	0.38600	319.496	249.644	195.248	361.423	981.287	198.170
195	0.38800	319.498	249.652	195.258	361.416	981.264	198.171
196	0.39000	319.497	249.651	195.232	361.409	981.250	198.163
197	0.39200	319.510	249.634	195.237	361.415	981.235	198.155
198	0.39400	319.517	249.643	195.248	361.415	981.226	198.165
199	0.39600	319.517	249.659	195.244	361.434	981.211	198.158
