NO_OF_FRAMES	921
NO_OF_DATA_TYPES	1
FREQUENCY	500
TIME_STAMP	2024-10-20, 20:23:10
DATA_INCLUDED	Angular Velocity
DATA_TYPES	Angular_Velocity

Frame	Time	Angular_Velocity	
2747	5.49200	21.769
2748	5.49400	21.963
2749	5.49600	21.684
2750	5.49800	25.286
2751	5.50000	28.140
2752	5.50200	26.891
2753	5.50400	25.140
2754	5.50600	23.724
2755	5.50800	22.269
2756	5.51000	21.856
2757	5.51200	20.853
2758	5.51400	16.266
2759	5.51600	13.283
2760	5.51800	11.146
2761	5.52000	8.138
2762	5.52200	6.825
2763	5.52400	4.553
2764	5.52600	-0.092
2765	5.52800	-1.524
2766	5.53000	-0.783
2767	5.53200	-3.081
2768	5.53400	-7.335
2769	5.53600	-10.258
2770	5.53800	-12.549
2771	5.54000	-12.835
2772	5.54200	-12.431
2773	5.54400	-15.698
2774	5.54600	-19.555
2775	5.54800	-21.796
2776	5.55000	-23.000
2777	5.55200	-24.307
2778	5.55400	-24.398
2779	5.55600	-24.511
2780	5.55800	-27.259
2781	5.56000	-29.527
2782	5.56200	-28.074
2783	5.56400	-29.127
2784	5.56600	-30.275
2785	5.56800	-28.973
2786	5.57000	-28.176
2787	5.57200	-29.404
2788	5.57400	-30.373
2789	5.57600	-29.454
2790	5.57800	-29.680
2791	5.58000	-30.166
2792	5.58200	-29.017
2793	5.58400	-26.407
2794	5.58600	-27.169
2795	5.58800	-26.449
2796	5.59000	-23.017
2797	5.59200	-20.256
2798	5.59400	-19.319
2799	5.59600	-19.026
2800	5.59800	-15.823
2801	5.60000	-12.971
2802	5.60200	-10.699
2803	5.60400	-10.279
2804	5.60600	-9.679
2805	5.60800	-8.195
2806	5.61000	-6.924
2807	5.61200	-5.958
2808	5.61400	-4.930
2809	5.61600	-0.080
2810	5.61800	5.311
2811	5.62000	7.035
2812	5.62200	6.790
2813	5.62400	7.829
2814	5.62600	8.621
2815	5.62800	8.977
2816	5.63000	10.256
2817	5.63200	12.581
2818	5.63400	10.825
2819	5.63600	10.957
2820	5.63800	10.027
2821	5.64000	10.201
2822	5.64200	11.781
2823	5.64400	12.182
2824	5.64600	11.938
2825	5.64800	12.491
2826	5.65000	11.468
2827	5.65200	7.722
2828	5.65400	8.485
2829	5.65600	7.098
2830	5.65800	4.139
2831	5.66000	3.193
2832	5.66200	1.229
2833	5.66400	-4.950
2834	5.66600	-8.115
2835	5.66800	-10.315
2836	5.67000	-11.596
2837	5.67200	-12.907
2838	5.67400	-13.575
2839	5.67600	-13.881
2840	5.67800	-16.401
2841	5.68000	-17.535
2842	5.68200	-17.322
2843	5.68400	-16.177
2844	5.68600	-14.269
2845	5.68800	-13.285
2846	5.69000	-15.213
2847	5.69200	-16.298
2848	5.69400	-14.393
2849	5.69600	-14.424
2850	5.69800	-14.278
2851	5.70000	-12.489
2852	5.70200	-11.599
2853	5.70400	-9.645
2854	5.70600	-6.310
2855	5.70800	-5.004
2856	5.71000	-4.055
2857	5.71200	-0.926
2858	5.71400	2.391
2859	5.71600	4.221
2860	5.71800	4.745
2861	5.72000	5.965
2862	5.72200	8.822
2863	5.72400	11.385
2864	5.72600	12.608
2865	5.72800	15.252
2866	5.73000	17.937
2867	5.73200	19.287
2868	5.73400	19.830
2869	5.73600	21.816
2870	5.73800	21.861
2871	5.74000	23.240
2872	5.74200	23.547
2873	5.74400	25.191
2874	5.74600	25.826
2875	5.74800	25.419
2876	5.75000	24.773
2877	5.75200	23.688
2878	5.75400	23.926
2879	5.75600	20.496
2880	5.75800	18.464
2881	5.76000	17.902
2882	5.76200	17.332
2883	5.76400	18.852
2884	5.76600	23.294
2885	5.76800	24.383
2886	5.77000	22.935
2887	5.77200	20.369
2888	5.77400	19.573
2889	5.77600	19.361
2890	5.77800	20.096
2891	5.78000	22.586
2892	5.78200	23.764
2893	5.78400	22.446
2894	5.78600	19.309
2895	5.78800	17.621
2896	5.79000	18.104
2897	5.79200	20.543
2898	5.79400	18.273
2899	5.79600	13.879
2900	5.79800	13.903
2901	5.80000	14.207
2902	5.80200	15.519
2903	5.80400	14.525
2904	5.80600	12.096
2905	5.80800	9.927
2906	5.81000	7.980
2907	5.81200	6.086
2908	5.81400	1.143
2909	5.81600	-0.714
2910	5.81800	-3.468
2911	5.82000	-6.582
2912	5.82200	-7.751
2913	5.82400	-9.947
2914	5.82600	-8.660
2915	5.82800	-8.636
2916	5.83000	-12.551
2917	5.83200	-20.286
2918	5.83400	-24.220
2919	5.83600	-23.486
2920	5.83800	-25.206
2921	5.84000	-25.829
2922	5.84200	-27.662
2923	5.84400	-28.124
2924	5.84600	-29.541
2925	5.84800	-31.291
2926	5.85000	-31.906
2927	5.85200	-31.378
2928	5.85400	-30.701
2929	5.85600	-30.451
2930	5.85800	-31.198
2931	5.86000	-31.044
2932	5.86200	-31.382
2933	5.86400	-33.406
2934	5.86600	-30.818
2935	5.86800	-31.238
2936	5.87000	-31.942
2937	5.87200	-29.637
2938	5.87400	-30.672
2939	5.87600	-28.858
2940	5.87800	-25.816
2941	5.88000	-25.472
2942	5.88200	-24.003
2943	5.88400	-22.003
2944	5.88600	-23.307
2945	5.88800	-22.874
2946	5.89000	-17.195
2947	5.89200	-14.904
2948	5.89400	-14.827
2949	5.89600	-13.370
2950	5.89800	-11.605
2951	5.90000	-10.927
2952	5.90200	-9.141
2953	5.90400	-6.568
2954	5.90600	-4.289
2955	5.90800	-4.942
2956	5.91000	-2.602
2957	5.91200	0.168
2958	5.91400	0.629
2959	5.91600	4.676
2960	5.91800	6.127
2961	5.92000	8.313
2962	5.92200	11.373
2963	5.92400	11.732
2964	5.92600	11.548
2965	5.92800	9.901
2966	5.93000	9.091
2967	5.93200	8.708
2968	5.93400	8.237
2969	5.93600	8.033
2970	5.93800	8.886
2971	5.94000	11.629
2972	5.94200	8.793
2973	5.94400	7.648
2974	5.94600	7.423
2975	5.94800	10.085
2976	5.95000	11.043
2977	5.95200	8.051
2978	5.95400	6.766
2979	5.95600	4.638
2980	5.95800	1.109
2981	5.96000	-0.495
2982	5.96200	-3.534
2983	5.96400	-9.672
2984	5.96600	-12.802
2985	5.96800	-14.216
2986	5.97000	-11.743
2987	5.97200	-11.349
2988	5.97400	-11.124
2989	5.97600	-9.959
2990	5.97800	-9.655
2991	5.98000	-9.867
2992	5.98200	-10.800
2993	5.98400	-10.605
2994	5.98600	-10.915
2995	5.98800	-9.870
2996	5.99000	-6.612
2997	5.99200	-7.201
2998	5.99400	-7.612
2999	5.99600	-5.235
3000	5.99800	-2.878
3001	6.00000	-3.127
3002	6.00200	-2.344
3003	6.00400	1.853
3004	6.00600	2.471
3005	6.00800	3.197
3006	6.01000	7.882
3007	6.01200	7.102
3008	6.01400	7.862
3009	6.01600	10.105
3010	6.01800	9.531
3011	6.02000	10.750
3012	6.02200	10.665
3013	6.02400	11.567
3014	6.02600	12.831
3015	6.02800	15.433
3016	6.03000	19.316
3017	6.03200	20.016
3018	6.03400	20.716
3019	6.03600	24.018
3020	6.03800	25.659
3021	6.04000	25.058
3022	6.04200	23.385
3023	6.04400	25.004
