NO_OF_FRAMES	921
NO_OF_DATA_TYPES	3
FREQUENCY	500
TIME_STAMP	2024-10-20, 19:21:13
DATA_INCLUDED	Velocity
DATA_TYPES	Puck1 - 2_vel_X	Puck1 - 2_vel_Y	Puck1 - 2_vel_Z

Frame	Time	Puck1 - 2_vel_X	Puck1 - 2_vel_Y	Puck1 - 2_vel_Z	
2747	5.49200	-1.202	-49.676	-0.034
2748	5.49400	-1.038	-49.678	-0.846
2749	5.49600	-0.508	-49.833	-1.150
2750	5.49800	0.052	-49.908	-1.083
2751	5.50000	0.136	-49.788	-0.822
2752	5.50200	0.117	-49.512	-0.296
2753	5.50400	0.147	-49.201	-0.021
2754	5.50600	0.201	-48.861	0.027
2755	5.50800	0.627	-48.727	0.271
2756	5.51000	0.925	-48.910	0.605
2757	5.51200	0.841	-49.332	0.829
2758	5.51400	0.788	-49.897	1.289
2759	5.51600	0.473	-50.037	1.624
2760	5.51800	0.103	-49.589	1.772
2761	5.52000	0.278	-48.623	1.763
2762	5.52200	0.160	-47.881	1.855
2763	5.52400	-0.511	-47.846	2.141
2764	5.52600	-0.802	-48.195	2.320
2765	5.52800	-0.654	-48.586	2.758
2766	5.53000	-0.138	-48.663	3.279
2767	5.53200	0.383	-48.436	3.678
2768	5.53400	0.622	-48.291	3.711
2769	5.53600	0.690	-48.478	3.327
2770	5.53800	0.557	-48.821	3.056
2771	5.54000	0.740	-48.876	3.279
2772	5.54200	1.127	-48.865	3.923
2773	5.54400	1.385	-48.961	4.466
2774	5.54600	1.311	-49.141	4.327
2775	5.54800	1.141	-49.262	3.529
2776	5.55000	1.292	-49.153	2.829
2777	5.55200	1.370	-48.951	2.283
2778	5.55400	1.625	-48.674	1.831
2779	5.55600	1.998	-48.569	1.678
2780	5.55800	2.071	-48.851	1.504
2781	5.56000	2.208	-49.197	1.413
2782	5.56200	2.555	-49.608	1.453
2783	5.56400	2.970	-49.906	1.270
2784	5.56600	3.529	-49.761	1.120
2785	5.56800	4.104	-49.584	0.822
2786	5.57000	4.518	-49.566	0.328
2787	5.57200	4.777	-49.732	-0.011
2788	5.57400	5.010	-49.985	-0.328
2789	5.57600	5.427	-50.182	-0.411
2790	5.57800	5.978	-50.203	-0.273
2791	5.58000	6.436	-50.197	-0.135
2792	5.58200	6.806	-50.165	-0.406
2793	5.58400	7.257	-50.015	-0.950
2794	5.58600	7.701	-49.809	-1.437
2795	5.58800	8.137	-49.548	-1.873
2796	5.59000	8.632	-49.442	-2.139
2797	5.59200	9.252	-49.438	-2.346
2798	5.59400	9.956	-49.345	-2.171
2799	5.59600	10.514	-49.127	-1.749
2800	5.59800	10.967	-48.807	-1.807
2801	5.60000	11.264	-48.514	-1.999
2802	5.60200	11.613	-48.342	-2.041
2803	5.60400	11.941	-48.317	-2.124
2804	5.60600	12.119	-48.146	-1.922
2805	5.60800	12.309	-48.086	-1.673
2806	5.61000	12.090	-48.138	-1.649
2807	5.61200	11.741	-47.955	-1.548
2808	5.61400	11.382	-47.420	-1.564
2809	5.61600	11.121	-46.575	-1.607
2810	5.61800	11.396	-45.906	-1.680
2811	5.62000	11.775	-45.744	-1.479
2812	5.62200	11.589	-46.092	-0.888
2813	5.62400	11.384	-46.434	-0.522
2814	5.62600	11.951	-46.384	-0.457
2815	5.62800	12.512	-45.896	-0.330
2816	5.63000	12.761	-45.167	-0.314
2817	5.63200	12.741	-44.663	-0.895
2818	5.63400	12.660	-44.734	-1.697
2819	5.63600	12.623	-44.865	-1.934
2820	5.63800	12.490	-44.815	-1.445
2821	5.64000	12.427	-44.661	-0.754
2822	5.64200	12.319	-44.447	-0.382
2823	5.64400	12.348	-44.205	-0.678
2824	5.64600	12.340	-44.022	-1.201
2825	5.64800	12.377	-43.598	-1.475
2826	5.65000	12.607	-42.951	-1.403
2827	5.65200	12.744	-42.521	-1.077
2828	5.65400	12.759	-42.176	-0.876
2829	5.65600	12.503	-42.050	-0.798
2830	5.65800	12.277	-42.038	-0.817
2831	5.66000	12.441	-41.887	-0.681
2832	5.66200	12.731	-41.703	-0.585
2833	5.66400	13.094	-41.542	-0.611
2834	5.66600	13.419	-41.385	-0.303
2835	5.66800	13.217	-41.421	-0.135
2836	5.67000	12.707	-41.597	0.211
2837	5.67200	12.229	-41.653	0.510
2838	5.67400	11.770	-41.517	0.454
2839	5.67600	11.507	-41.147	0.492
2840	5.67800	11.371	-40.694	0.404
2841	5.68000	11.309	-40.325	0.182
2842	5.68200	11.185	-39.883	-0.132
2843	5.68400	10.848	-39.568	-0.377
2844	5.68600	10.430	-39.384	-0.703
