NO_OF_FRAMES	921
NO_OF_DATA_TYPES	1
FREQUENCY	500
TIME_STAMP	2024-10-20, 19:19:27
DATA_INCLUDED	Velocity
DATA_TYPES	Puck1 - 2_vel

Frame	Time	Puck1 - 2_vel	
2747	5.49200	49.691
2748	5.49400	49.696
2749	5.49600	49.849
2750	5.49800	49.920
2751	5.50000	49.795
2752	5.50200	49.513
2753	5.50400	49.201
2754	5.50600	48.862
2755	5.50800	48.731
2756	5.51000	48.922
2757	5.51200	49.346
2758	5.51400	49.920
2759	5.51600	50.065
2760	5.51800	49.620
2761	5.52000	48.656
2762	5.52200	47.917
2763	5.52400	47.897
2764	5.52600	48.257
2765	5.52800	48.669
2766	5.53000	48.774
2767	5.53200	48.577
2768	5.53400	48.437
2769	5.53600	48.597
2770	5.53800	48.920
2771	5.54000	48.991
2772	5.54200	49.035
2773	5.54400	49.184
2774	5.54600	49.348
2775	5.54800	49.402
2776	5.55000	49.252
2777	5.55200	49.024
2778	5.55400	48.735
2779	5.55600	48.639
2780	5.55800	48.918
2781	5.56000	49.267
2782	5.56200	49.695
2783	5.56400	50.011
2784	5.56600	49.898
2785	5.56800	49.760
2786	5.57000	49.772
2787	5.57200	49.961
2788	5.57400	50.236
2789	5.57600	50.476
2790	5.57800	50.558
2791	5.58000	50.609
2792	5.58200	50.626
2793	5.58400	50.548
2794	5.58600	50.421
2795	5.58800	50.247
2796	5.59000	50.235
2797	5.59200	50.351
2798	5.59400	50.386
2799	5.59600	50.270
2800	5.59800	50.056
2801	5.60000	49.844
2802	5.60200	49.759
2803	5.60400	49.816
2804	5.60600	49.685
2805	5.60800	49.665
2806	5.61000	49.660
2807	5.61200	49.396
2808	5.61400	48.792
2809	5.61600	47.911
2810	5.61800	47.330
2811	5.62000	47.259
2812	5.62200	47.535
2813	5.62400	47.812
2814	5.62600	47.901
2815	5.62800	47.572
2816	5.63000	46.936
2817	5.63200	46.453
2818	5.63400	46.521
2819	5.63600	46.647
2820	5.63800	46.545
2821	5.64000	46.364
2822	5.64200	46.124
2823	5.64400	45.903
2824	5.64600	45.735
2825	5.64800	45.345
2826	5.65000	44.785
2827	5.65200	44.403
2828	5.65400	44.072
2829	5.65600	43.876
2830	5.65800	43.801
2831	5.66000	43.701
2832	5.66200	43.607
2833	5.66400	43.561
