NO_OF_FRAMES	921
NO_OF_DATA_TYPES	3
FREQUENCY	500
TIME_STAMP	2024-10-20, 19:26:21
DATA_INCLUDED	Angular Velocity
DATA_TYPES	Angular_Velocity_YZ	Angular_Velocity_XZ	Angular_Velocity_XY

Frame	Time	Angular_Velocity_YZ	Angular_Velocity_XZ	Angular_Velocity_XY	
2747	5.49200	-58.739	60.797	-37.591
2748	5.49400	31.731	-49.419	27.333
2749	5.49600	-4.047	0.162	-1.467
2750	5.49800	-2.582	0.472	-0.634
2751	5.50000	-2.392	0.694	-0.815
2752	5.50200	-0.767	1.294	-2.509
2753	5.50400	0.688	-1.306	-0.881
2754	5.50600	-2.227	-2.695	0.409
2755	5.50800	-2.900	-2.449	-0.683
2756	5.51000	-1.708	-2.192	-1.855
2757	5.51200	-1.811	-0.605	-1.699
2758	5.51400	-1.031	-1.703	-0.949
2759	5.51600	0.523	-2.548	0.191
2760	5.51800	3.946	-1.515	0.008
2761	5.52000	2.286	-1.152	0.960
2762	5.52200	-1.510	-0.576	1.109
2763	5.52400	1.124	-1.100	1.238
2764	5.52600	2.718	0.936	0.064
2765	5.52800	3.404	0.188	0.819
2766	5.53000	0.827	-1.770	2.212
2767	5.53200	-1.672	0.102	-0.233
2768	5.53400	-1.174	-1.102	-0.889
2769	5.53600	-6.106	-0.206	-1.678
2770	5.53800	-4.898	-0.826	-1.355
2771	5.54000	-3.229	-1.593	-1.496
2772	5.54200	-2.982	-0.661	-2.188
2773	5.54400	-2.397	-1.857	-1.564
2774	5.54600	-5.533	-0.712	-1.770
2775	5.54800	-2.125	-0.151	-1.268
2776	5.55000	-2.334	0.770	-1.887
2777	5.55200	-4.337	1.968	-1.519
2778	5.55400	-2.268	-0.035	0.015
2779	5.55600	-1.798	-0.314	-0.704
2780	5.55800	-0.095	0.854	-0.546
2781	5.56000	-0.538	-1.140	0.408
2782	5.56200	-1.078	-1.643	-0.129
2783	5.56400	2.641	-2.304	0.545
2784	5.56600	2.582	-0.494	-0.004
2785	5.56800	-0.256	-0.358	-0.838
2786	5.57000	-2.677	-0.474	-1.030
2787	5.57200	-1.916	1.972	-2.562
2788	5.57400	-0.049	-0.644	-1.142
2789	5.57600	-1.825	0.109	-1.742
2790	5.57800	0.784	1.468	-1.931
2791	5.58000	-0.616	0.461	-1.777
2792	5.58200	-4.890	0.169	-2.391
2793	5.58400	-2.840	-1.115	-1.290
2794	5.58600	-3.134	-0.719	-2.302
2795	5.58800	-1.365	-1.841	-2.787
2796	5.59000	-5.529	-4.262	-1.240
2797	5.59200	-9.137	-2.534	-1.451
2798	5.59400	-7.108	-1.137	-2.505
2799	5.59600	-7.429	-1.432	-1.918
2800	5.59800	-8.753	-0.760	-1.223
2801	5.60000	-6.651	-1.369	-1.756
2802	5.60200	-3.069	0.548	-2.042
2803	5.60400	-3.086	1.336	-0.870
2804	5.60600	-1.287	0.858	-1.087
2805	5.60800	2.763	2.112	-1.493
2806	5.61000	6.034	2.304	-0.894
2807	5.61200	5.304	0.867	-0.096
2808	5.61400	5.392	-3.202	0.581
2809	5.61600	4.181	-2.371	-1.146
2810	5.61800	3.528	-1.867	-1.934
2811	5.62000	-0.561	-4.136	-1.409
2812	5.62200	-4.195	-4.123	-0.689
2813	5.62400	-3.217	-2.643	-0.975
