NO_OF_FRAMES	921
NO_OF_DATA_TYPES	3
FREQUENCY	500
TIME_STAMP	2024-10-20, 19:22:16
DATA_INCLUDED	Velocity
DATA_TYPES	Pucky - 1_vel_X	Pucky - 1_vel_Y	Pucky - 1_vel_Z

Frame	Time	Pucky - 1_vel_X	Pucky - 1_vel_Y	Pucky - 1_vel_Z	
2747	5.49200	-183.758	-27.169	-0.223
2748	5.49400	-183.632	-27.183	-0.293
2749	5.49600	-184.036	-27.547	0.176
2750	5.49800	-184.019	-27.776	0.276
2751	5.50000	-184.019	-27.813	0.027
2752	5.50200	-184.448	-27.812	0.259
2753	5.50400	-183.948	-27.761	-0.141
2754	5.50600	-183.814	-28.157	0.141
2755	5.50800	-183.991	-27.909	0.060
2756	5.51000	-184.061	-27.539	-0.051
2757	5.51200	-183.955	-27.585	0.471
2758	5.51400	-183.547	-27.155	-0.057
2759	5.51600	-183.614	-26.755	-0.067
2760	5.51800	-183.305	-26.373	-0.337
2761	5.52000	-182.992	-26.245	-0.085
2762	5.52200	-183.229	-26.383	0.705
2763	5.52400	-183.006	-26.008	0.331
2764	5.52600	-183.288	-25.948	0.608
2765	5.52800	-183.273	-25.997	0.656
2766	5.53000	-182.943	-26.091	0.847
2767	5.53200	-183.649	-26.570	1.367
2768	5.53400	-183.884	-26.637	0.997
2769	5.53600	-183.804	-27.071	1.594
2770	5.53800	-183.773	-27.332	1.511
2771	5.54000	-183.791	-27.361	0.949
2772	5.54200	-184.171	-27.787	1.259
2773	5.54400	-183.957	-27.816	0.699
2774	5.54600	-183.900	-28.030	0.724
2775	5.54800	-184.017	-28.109	0.700
2776	5.55000	-183.781	-27.940	0.389
2777	5.55200	-183.599	-27.995	0.575
2778	5.55400	-183.445	-27.673	-0.034
2779	5.55600	-183.376	-27.555	0.037
2780	5.55800	-182.943	-27.438	-0.136
2781	5.56000	-182.751	-27.076	-0.588
2782	5.56200	-182.763	-26.841	-0.747
2783	5.56400	-182.419	-26.547	-1.505
2784	5.56600	-182.383	-26.628	-1.381
2785	5.56800	-182.557	-26.573	-1.243
2786	5.57000	-182.669	-26.648	-1.069
2787	5.57200	-182.954	-26.934	-0.690
2788	5.57400	-183.082	-26.859	-1.111
2789	5.57600	-182.969	-27.338	-0.858
2790	5.57800	-182.962	-27.624	-0.770
2791	5.58000	-183.487	-27.907	-0.403
2792	5.58200	-183.792	-28.453	0.274
2793	5.58400	-183.600	-28.359	-0.173
2794	5.58600	-183.735	-28.488	0.152
2795	5.58800	-183.521	-28.426	0.081
2796	5.59000	-183.171	-28.382	0.295
2797	5.59200	-183.058	-28.421	0.883
2798	5.59400	-183.012	-28.027	0.545
2799	5.59600	-182.764	-27.957	0.707
2800	5.59800	-182.239	-27.661	0.357
2801	5.60000	-182.385	-27.246	-0.012
2802	5.60200	-182.134	-27.027	0.136
2803	5.60400	-181.639	-26.748	-0.272
2804	5.60600	-182.202	-26.569	-0.224
2805	5.60800	-182.177	-26.187	-0.283
2806	5.61000	-181.966	-26.048	-0.517
2807	5.61200	-182.125	-26.118	-0.318
2808	5.61400	-182.182	-26.054	-0.426
2809	5.61600	-182.628	-26.223	-0.055
2810	5.61800	-182.696	-26.453	0.158
2811	5.62000	-183.029	-26.838	0.626
2812	5.62200	-183.250	-27.091	1.248
2813	5.62400	-183.215	-27.069	0.924
2814	5.62600	-183.869	-27.571	1.123
2815	5.62800	-183.702	-27.762	1.380
