NO_OF_FRAMES	921
NO_OF_DATA_TYPES	1
FREQUENCY	500
TIME_STAMP	2024-10-20, 19:18:02
DATA_INCLUDED	Velocity
DATA_TYPES	Pucky - 1_vel

Frame	Time	Pucky - 1_vel	
2747	5.49200	185.756
2748	5.49400	185.633
2749	5.49600	186.086
2750	5.49800	186.103
2751	5.50000	186.109
2752	5.50200	186.533
2753	5.50400	186.031
2754	5.50600	185.959
2755	5.50800	186.095
2756	5.51000	186.110
2757	5.51200	186.012
2758	5.51400	185.545
2759	5.51600	185.553
2760	5.51800	185.193
2761	5.52000	184.865
2762	5.52200	185.120
2763	5.52400	184.845
2764	5.52600	185.116
2765	5.52800	185.109
2766	5.53000	184.796
2767	5.53200	185.566
2768	5.53400	185.805
2769	5.53600	185.793
2770	5.53800	185.801
2771	5.54000	185.819
2772	5.54200	186.260
2773	5.54400	186.050
2774	5.54600	186.025
2775	5.54800	186.153
2776	5.55000	185.893
2777	5.55200	185.722
2778	5.55400	185.520
2779	5.55600	185.434
2780	5.55800	184.989
2781	5.56000	184.747
2782	5.56200	184.725
2783	5.56400	184.347
2784	5.56600	184.321
2785	5.56800	184.485
2786	5.57000	184.606
2787	5.57200	184.927
2788	5.57400	185.045
2789	5.57600	185.002
2790	5.57800	185.037
2791	5.58000	185.597
2792	5.58200	185.981
2793	5.58400	185.777
2794	5.58600	185.931
2795	5.58800	185.709
2796	5.59000	185.357
2797	5.59200	185.253
2798	5.59400	185.146
2799	5.59600	184.892
2800	5.59800	184.327
2801	5.60000	184.409
2802	5.60200	184.128
2803	5.60400	183.598
2804	5.60600	184.129
2805	5.60800	184.050
2806	5.61000	183.822
2807	5.61200	183.988
2808	5.61400	184.036
2809	5.61600	184.501
2810	5.61800	184.601
2811	5.62000	184.987
2812	5.62200	185.246
2813	5.62400	185.206
2814	5.62600	185.928
2815	5.62800	185.793
2816	5.63000	185.586
2817	5.63200	185.825
2818	5.63400	185.454
2819	5.63600	185.292
2820	5.63800	185.220
2821	5.64000	185.300
2822	5.64200	185.040
2823	5.64400	184.343
2824	5.64600	184.562
2825	5.64800	184.320
