NO_OF_FRAMES	921
NO_OF_CAMERAS	2
NO_OF_MARKERS	6
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-20, 19:07:19.004	867773.02854140
DATA_INCLUDED	3D
MARKER_NAMES	Puck1 - 1	Puck1 - 2	Puck1 - 3	Pucky - 1	Pucky - 2	Pucky - 3
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Mixed	Measured
Frame	Time	Puck1 - 1 X	Puck1 - 1 Y	Puck1 - 1 Z	Puck1 - 2 X	Puck1 - 2 Y	Puck1 - 2 Z	Puck1 - 3 X	Puck1 - 3 Y	Puck1 - 3 Z	Pucky - 1 X	Pucky - 1 Y	Pucky - 1 Z	Pucky - 2 X	Pucky - 2 Y	Pucky - 2 Z	Pucky - 3 X	Pucky - 3 Y	Pucky - 3 Z	
2747	5.49200	279.524	352.874	165.655	295.156	365.084	165.867	293.195	337.666	165.728	501.283	366.301	164.798	487.541	382.656	165.171	483.401	355.940	165.099	
2748	5.49400	279.517	352.776	165.656	294.854	365.278	165.807	293.494	337.870	165.711	500.910	366.245	164.736	487.200	382.593	165.089	483.065	355.867	165.040	
2749	5.49600	279.493	352.677	165.626	294.577	365.538	165.757	293.818	338.087	165.657	500.535	366.184	164.789	486.797	382.512	165.113	482.718	355.772	165.098	
2750	5.49800	279.493	352.588	165.609	294.307	365.749	165.750	294.110	338.307	165.635	500.171	366.138	164.741	486.366	382.430	165.103	482.351	355.699	165.074	
2751	5.50000	279.485	352.491	165.611	293.955	365.965	165.836	294.401	338.516	165.681	499.796	366.084	164.777	486.044	382.377	165.069	482.040	355.604	165.100	
2752	5.50200	279.460	352.403	165.596	293.635	366.118	165.800	294.694	338.742	165.755	499.450	366.039	164.761	485.579	382.261	165.097	481.643	355.542	165.121	
2753	5.50400	279.451	352.314	165.581	293.318	366.362	165.755	294.940	338.982	165.761	499.067	365.994	164.746	485.211	382.216	165.081	481.326	355.452	165.098	
2754	5.50600	279.450	352.208	165.569	293.051	366.556	165.780	295.193	339.193	165.725	498.705	365.932	164.801	484.807	382.092	165.126	480.963	355.356	165.159	
2755	5.50800	279.448	352.095	165.575	292.704	366.744	165.824	295.446	339.421	165.685	498.351	365.895	164.734	484.440	382.064	165.074	480.597	355.284	165.131	
2756	5.51000	279.465	351.990	165.593	292.361	366.897	165.789	295.709	339.660	165.691	497.974	365.851	164.785	483.991	381.947	165.103	480.277	355.195	165.143	
2757	5.51200	279.481	351.867	165.615	292.021	367.096	165.735	295.980	339.928	165.738	497.623	365.803	164.739	483.638	381.902	165.087	479.864	355.103	165.123	
2758	5.51400	279.489	351.770	165.617	291.746	367.278	165.714	296.257	340.188	165.774	497.244	365.759	164.755	483.187	381.795	165.129	479.589	355.016	165.131	
2759	5.51600	279.489	351.673	165.619	291.376	367.427	165.699	296.485	340.467	165.694	496.876	365.688	164.795	482.850	381.759	165.095	479.180	354.936	165.157	
2760	5.51800	279.480	351.577	165.622	291.040	367.555	165.685	296.662	340.718	165.745	496.509	365.651	164.763	482.447	381.660	165.122	478.825	354.869	165.084	
2761	5.52000	279.487	351.481	165.624	290.700	367.707	165.704	296.878	340.960	165.782	496.126	365.572	164.818	482.054	381.588	165.126	478.533	354.757	165.147	
2762	5.52200	279.479	351.384	165.626	290.386	367.856	165.720	297.101	341.199	165.788	495.750	365.517	164.789	481.644	381.517	165.130	478.106	354.691	165.105	
2763	5.52400	279.494	351.287	165.628	290.034	367.972	165.774	297.302	341.488	165.751	495.404	365.471	164.776	481.234	381.418	165.157	477.801	354.628	165.094	
2764	5.52600	279.510	351.183	165.647	289.673	368.094	165.779	297.501	341.815	165.740	495.016	365.374	164.801	480.913	381.365	165.124	477.445	354.506	165.141	
2765	5.52800	279.525	351.095	165.664	289.336	368.214	165.752	297.686	342.099	165.753	494.671	365.346	164.783	480.415	381.239	165.171	477.133	354.451	165.114	
2766	5.53000	279.509	350.982	165.669	289.022	368.318	165.759	297.879	342.373	165.752	494.256	365.250	164.842	480.111	381.211	165.120	476.735	354.364	165.154	
2767	5.53200	279.501	350.893	165.653	288.605	368.413	165.722	298.003	342.629	165.753	493.896	365.201	164.798	479.662	381.096	165.145	476.400	354.291	165.131	
2768	5.53400	279.509	350.805	165.669	288.253	368.499	165.731	298.173	342.917	165.829	493.550	365.159	164.812	479.292	381.032	165.134	476.093	354.203	165.140	
2769	5.53600	279.508	350.726	165.669	287.905	368.592	165.663	298.366	343.260	165.814	493.170	365.087	164.819	478.900	380.952	165.122	475.713	354.096	165.154	
2770	5.53800	279.507	350.630	165.671	287.523	368.667	165.657	298.505	343.557	165.759	492.842	365.067	164.783	478.527	380.891	165.174	475.398	354.042	165.124	
2771	5.54000	279.522	350.533	165.673	287.168	368.746	165.654	298.653	343.837	165.739	492.461	364.980	164.823	478.143	380.818	165.146	475.008	353.950	165.105	
2772	5.54200	279.531	350.428	165.692	286.762	368.797	165.669	298.794	344.141	165.810	492.114	364.951	164.808	477.757	380.747	165.150	474.671	353.863	165.147	
2773	5.54400	279.555	350.322	165.711	286.417	368.839	165.671	298.885	344.468	165.799	491.745	364.915	164.806	477.366	380.684	165.136	474.358	353.794	165.150	
2774	5.54600	279.549	350.227	165.744	286.016	368.901	165.671	298.974	344.787	165.775	491.368	364.845	164.811	476.953	380.587	165.193	473.971	353.696	165.180	
