NO_OF_FRAMES	1028
NO_OF_CAMERAS	2
NO_OF_MARKERS	6
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-21, 20:18:07.737	958421.33704540
DATA_INCLUDED	3D
TITLE	Bevaring av rörelsemängdsmoment i plastisk stöt 28.3g vs 28.3g #1
MARKER_NAMES	h28_3g	hx	hy	v28_3g	vx	vy
COLLISION_TIME	0.56
TRAJECTORY_TYPES	Measured	Measured	Measured	Mixed	Measured	Measured
Frame	Time	h28_3g X	h28_3g Y	h28_3g Z	hx X	hx Y	hx Z	hy X	hy Y	hy Z	v28_3g X	v28_3g Y	v28_3g Z	vx X	vx Y	vx Z	vy X	vy Y	vy Z	
7185	14.36800	528.683	579.969	165.652	514.605	567.349	165.908	542.555	565.452	166.059	510.342	323.671	165.017	530.254	324.344	164.857	509.589	342.555	165.478
7186	14.37000	528.358	579.524	165.660	514.627	566.582	165.897	542.584	565.366	165.994	510.137	323.945	164.855	529.972	324.172	164.845	509.862	342.769	165.647
7187	14.37200	528.047	579.106	165.684	514.619	565.833	165.887	542.604	565.270	165.944	509.976	324.189	164.833	529.763	324.017	164.762	510.183	343.079	165.675
7188	14.37400	527.723	578.638	165.673	514.622	565.091	165.926	542.617	565.174	165.894	509.838	324.445	165.002	529.545	323.756	164.737	510.404	343.308	165.559
7189	14.37600	527.416	578.231	165.649	514.652	564.323	165.918	542.626	565.096	165.876	509.552	324.654	165.061	529.383	323.402	164.824	510.646	343.543	165.468
7190	14.37800	527.110	577.796	165.703	514.673	563.618	165.927	542.635	565.016	165.858	509.292	324.873	165.057	529.144	323.143	164.907	510.940	343.775	165.490
7191	14.38000	526.817	577.347	165.692	514.701	562.884	165.953	542.637	564.955	165.840	509.166	325.165	164.963	528.870	322.927	164.852	511.250	343.971	165.592
7192	14.38200	526.497	576.920	165.731	514.741	562.171	165.916	542.621	564.902	165.838	509.000	325.458	164.901	528.640	322.687	164.820	511.429	344.165	165.589
7193	14.38400	526.189	576.487	165.723	514.803	561.464	165.991	542.598	564.849	165.837	508.803	325.703	164.987	528.353	322.437	164.807	511.700	344.358	165.521
7194	14.38600	525.880	576.035	165.715	514.852	560.759	165.941	542.572	564.778	165.864	508.603	325.926	165.015	528.049	322.190	164.823	512.114	344.507	165.520
7195	14.38800	525.547	575.627	165.724	514.910	560.078	165.971	542.548	564.733	165.879	508.395	326.159	164.980	527.787	321.969	164.818	512.393	344.643	165.543
7196	14.39000	525.262	575.193	165.717	514.979	559.391	165.953	542.509	564.698	165.876	508.217	326.406	164.990	527.473	321.670	164.847	512.647	344.768	165.556
7197	14.39200	524.945	574.732	165.725	515.069	558.738	165.969	542.457	564.673	165.859	508.018	326.653	164.997	527.157	321.415	164.846	512.890	344.897	165.555
7198	14.39400	524.630	574.341	165.705	515.150	558.042	165.999	542.389	564.663	165.842	507.816	326.893	165.023	526.796	321.211	164.871	513.177	345.037	165.534
7199	14.39600	524.331	573.873	165.757	515.239	557.433	165.940	542.312	564.644	165.841	507.602	327.178	164.978	526.450	320.980	164.851	513.450	345.134	165.504
7200	14.39800	524.035	573.448	165.705	515.331	556.763	166.017	542.232	564.654	165.793	507.412	327.417	164.971	526.120	320.739	164.817	513.671	345.222	165.525
7201	14.40000	523.725	573.022	165.715	515.418	556.128	165.974	542.118	564.645	165.775	507.222	327.651	164.935	525.704	320.500	164.849	513.950	345.293	165.515
