NO_OF_FRAMES	1117
NO_OF_CAMERAS	2
NO_OF_MARKERS	6
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-21, 20:18:07.737	958421.33704540
DATA_INCLUDED	3D
TITLE	Bevaring av rörelsemängdsmoment i plastisk stöt 28.3g vs 28.3g #2
MARKER_NAMES	h28_3g	hx	hy	v28_3g	vx	vy
COLLISION_TIME	0.64
TRAJECTORY_TYPES	Mixed	Measured	Measured	Mixed	Measured	Mixed
Frame	Time	h28_3g X	h28_3g Y	h28_3g Z	hx X	hx Y	hx Z	hy X	hy Y	hy Z	v28_3g X	v28_3g Y	v28_3g Z	vx X	vx Y	vx Z	vy X	vy Y	vy Z	
12624	25.24600	562.099	569.045	165.563	545.579	559.818	165.836	572.457	551.866	166.095	525.437	332.902	164.912	506.115	328.562	164.851	529.602	314.445	165.242
12625	25.24800	562.054	568.692	165.550	545.763	559.114	165.758	572.769	551.762	166.067	525.421	333.077	164.909	506.189	328.361	164.879	529.975	314.699	165.173
12626	25.25000	561.940	568.320	165.598	545.895	558.363	165.820	573.091	551.651	166.022	525.422	333.270	164.902	506.265	328.153	164.957	530.314	314.964	165.185
12627	25.25200	561.875	567.968	165.553	546.044	557.638	165.868	573.388	551.531	165.992	525.434	333.438	164.882	506.348	327.970	164.981	530.669	315.247	165.192
12628	25.25400	561.786	567.588	165.585	546.186	556.916	165.821	573.652	551.419	165.977	525.430	333.595	164.850	506.461	327.756	164.930	530.979	315.503	165.189
12629	25.25600	561.708	567.242	165.588	546.352	556.201	165.854	573.946	551.330	165.982	525.412	333.756	164.881	506.586	327.569	164.892	531.333	315.758	165.152
12630	25.25800	561.628	566.887	165.607	546.560	555.496	165.842	574.240	551.225	166.047	525.396	333.897	164.884	506.693	327.400	164.883	531.645	316.039	165.127
12631	25.26000	561.563	566.502	165.560	546.737	554.764	165.844	574.481	551.147	166.034	525.365	334.065	164.897	506.804	327.226	164.922	531.972	316.333	165.180
12632	25.26200	561.440	566.134	165.627	546.944	554.104	165.847	574.758	551.116	165.973	525.374	334.241	164.893	506.934	327.026	164.949	532.342	316.640	165.134
12633	25.26400	561.401	565.822	165.551	547.097	553.389	165.852	575.046	551.076	165.960	525.374	334.427	164.904	507.058	326.824	164.945	532.659	316.927	165.059
12634	25.26600	561.272	565.394	165.600	547.328	552.737	165.843	575.285	551.004	165.964	525.374	334.586	164.904	507.188	326.638	164.939	532.968	317.220	165.079
12635	25.26800	561.207	565.061	165.555	547.527	552.040	165.848	575.517	550.952	165.966	525.361	334.752	164.885	507.339	326.472	164.962	533.300	317.538	165.080
12636	25.27000	561.102	564.713	165.591	547.736	551.370	165.839	575.748	550.922	165.905	525.345	334.904	164.902	507.492	326.314	164.966	533.612	317.846	165.065
12637	25.27200	561.034	564.326	165.577	547.979	550.736	165.862	575.991	550.906	165.877	525.330	335.062	164.902	507.622	326.155	164.971	533.930	318.178	164.995
12638	25.27400	560.965	563.957	165.563	548.188	550.047	165.855	576.228	550.882	165.833	525.321	335.244	164.848	507.784	325.963	164.981	534.239	318.505	165.009
12639	25.27600	560.860	563.611	165.599	548.451	549.413	165.911	576.430	550.874	165.820	525.324	335.429	164.826	507.976	325.778	164.976	534.534	318.827	165.073
12640	25.27800	560.749	563.255	165.557	548.717	548.746	165.872	576.641	550.850	165.807	525.314	335.590	164.857	508.156	325.636	164.945	534.851	319.168	165.018
12641	25.28000	560.697	562.878	165.527	548.970	548.154	165.883	576.851	550.843	165.794	525.295	335.767	164.887	508.333	325.502	164.929	535.175	319.545	164.957
