NO_OF_FRAMES	1304
NO_OF_CAMERAS	2
NO_OF_MARKERS	6
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-21, 20:32:35.717	959289.31345980
DATA_INCLUDED	3D
TITLE	Bevaring av rörelsemängdsmoment i plastisk stöt 28.3g vs 43.3g
MARKER_NAMES	h43_3g	hx	hy	v28_3g	vx	vy
COLLISION_TIME	0
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Mixed
Frame	Time	h43_3g X	h43_3g Y	h43_3g Z	hx X	hx Y	hx Z	hy X	hy Y	hy Z	v28_3g X	v28_3g Y	v28_3g Z	vx X	vx Y	vx Z	vy X	vy Y	vy Z	
5945	11.88800	522.372	606.269	163.858	470.048	628.780	164.144	506.738	553.172	164.362	449.942	298.724	164.837	456.181	317.468	165.076	431.825	304.618	164.960
5946	11.89000	522.202	605.936	163.768	469.709	628.074	164.133	506.918	552.679	164.416	449.804	298.874	164.846	456.190	317.558	165.087	431.732	304.892	164.975
5947	11.89200	522.006	605.563	163.801	469.374	627.341	164.166	507.079	552.273	164.319	449.657	299.016	164.874	456.174	317.657	165.113	431.642	305.163	164.958
5948	11.89400	521.821	605.216	163.883	469.060	626.626	164.142	507.258	551.788	164.390	449.519	299.159	164.900	456.165	317.765	165.152	431.560	305.452	164.936
5949	11.89600	521.637	604.875	163.776	468.710	625.937	164.164	507.518	551.360	164.306	449.411	299.292	164.914	456.150	317.862	165.147	431.454	305.726	164.949
5950	11.89800	521.459	604.521	163.779	468.395	625.188	164.136	507.673	550.927	164.287	449.283	299.440	164.892	456.126	317.950	165.160	431.393	305.965	164.972
5951	11.90000	521.291	604.148	163.844	468.062	624.481	164.160	507.854	550.425	164.326	449.147	299.598	164.883	456.103	318.064	165.151	431.293	306.229	164.973
5952	11.90200	521.114	603.836	163.837	467.754	623.767	164.136	508.035	550.038	164.167	449.015	299.738	164.880	456.089	318.175	165.111	431.204	306.535	164.948
5953	11.90400	520.920	603.459	163.759	467.432	623.045	164.096	508.178	549.570	164.209	448.851	299.887	164.892	456.067	318.279	165.089	431.118	306.809	164.965
5954	11.90600	520.758	603.077	163.838	467.098	622.328	164.136	508.459	549.106	164.156	448.723	300.028	164.886	456.076	318.366	165.069	431.042	307.056	164.970
5955	11.90800	520.583	602.769	163.798	466.820	621.587	164.128	508.627	548.736	164.061	448.593	300.161	164.899	456.086	318.453	165.050	430.973	307.305	165.006
5956	11.91000	520.412	602.408	163.724	466.504	620.881	164.122	508.798	548.233	164.133	448.462	300.311	164.910	456.094	318.542	165.062	430.896	307.581	165.053
5957	11.91200	520.198	602.017	163.788	466.164	620.139	164.115	509.014	547.821	164.020	448.347	300.461	164.919	456.094	318.631	165.074	430.823	307.868	165.001
5958	11.91400	520.020	601.696	163.797	465.902	619.398	164.108	509.132	547.413	163.988	448.202	300.616	164.881	456.078	318.703	165.090	430.732	308.127	164.941
5959	11.91600	519.846	601.353	163.754	465.601	618.709	164.107	509.427	546.921	164.046	448.089	300.764	164.859	456.086	318.792	165.102	430.662	308.376	164.979
5960	11.91800	519.703	600.946	163.786	465.278	617.941	164.083	509.642	546.553	163.950	447.976	300.894	164.841	456.077	318.863	165.119	430.610	308.645	165.041
5961	11.92000	519.518	600.620	163.776	464.997	617.217	164.110	509.742	546.146	163.948	447.790	301.034	164.838	456.061	318.952	165.131	430.527	308.907	165.012
5962	11.92200	519.320	600.284	163.750	464.707	616.503	164.062	509.995	545.681	163.959	447.651	301.184	164.849	456.047	319.049	165.125	430.434	309.183	164.950
5963	11.92400	519.124	599.875	163.784	464.383	615.743	164.057	510.169	545.310	163.896	447.544	301.317	164.862	456.048	319.135	165.106	430.360	309.447	164.951
5964	11.92600	518.956	599.540	163.759	464.108	615.019	164.115	510.395	544.875	163.944	447.412	301.452	164.907	456.026	319.222	165.088	430.274	309.706	165.003
5965	11.92800	518.802	599.230	163.752	463.828	614.297	164.021	510.628	544.429	163.924	447.282	301.602	164.916	456.012	319.316	165.051	430.206	309.953	165.008
5966	11.93000	518.607	598.816	163.767	463.536	613.563	164.006	510.740	544.077	163.859	447.139	301.765	164.859	456.013	319.413	165.046	430.140	310.215	164.978
5967	11.93200	518.422	598.472	163.756	463.267	612.795	164.078	510.931	543.644	163.874	447.026	301.903	164.825	455.991	319.500	165.026	430.049	310.479	164.980
5968	11.93400	518.200	598.152	163.733	462.958	612.075	163.953	511.183	543.205	163.903	446.880	302.036	164.838	455.977	319.569	165.011	429.980	310.763	165.010
5969	11.93600	518.019	597.763	163.767	462.664	611.367	163.956	511.385	542.870	163.872	446.736	302.194	164.829	455.962	319.658	165.023	429.919	311.010	165.017
5970	11.93800	517.843	597.392	163.740	462.413	610.572	164.013	511.535	542.454	163.919	446.596	302.353	164.854	455.948	319.728	165.007	429.850	311.257	165.024
5971	11.94000	517.682	597.083	163.733	462.124	609.868	163.923	511.718	542.006	163.931	446.473	302.486	164.868	455.932	319.807	165.006	429.774	311.513	165.044
5972	11.94200	517.479	596.719	163.755	461.817	609.172	163.880	511.914	541.701	163.882	446.341	302.629	164.897	455.925	319.886	165.004	429.722	311.795	165.042
5973	11.94400	517.293	596.331	163.757	461.580	608.349	163.954	512.144	541.267	163.992	446.212	302.752	164.896	455.909	319.958	165.020	429.671	312.074	165.010
5974	11.94600	517.086	596.012	163.734	461.304	607.660	163.930	512.373	540.832	164.012	446.083	302.900	164.875	455.903	320.037	165.018	429.594	312.311	165.003
5975	11.94800	516.922	595.667	163.757	461.022	606.964	163.859	512.524	540.536	163.946	445.954	303.065	164.849	455.887	320.109	165.034	429.534	312.578	165.037
5976	11.95000	516.733	595.277	163.792	460.762	606.141	163.933	512.606	540.115	164.059	445.799	303.215	164.860	455.864	320.178	165.019	429.465	312.835	165.058
5977	11.95200	516.561	594.950	163.723	460.505	605.425	163.956	512.865	539.706	164.009	445.653	303.379	164.836	455.847	320.266	165.033	429.397	313.104	165.013
5978	11.95400	516.362	594.594	163.792	460.242	604.730	163.825	513.168	539.393	163.977	445.530	303.529	164.846	455.826	320.336	165.017	429.313	313.349	164.989
5979	11.95600	516.167	594.231	163.814	460.012	603.952	163.919	513.292	538.999	164.138	445.398	303.664	164.893	455.817	320.424	165.030	429.252	313.615	165.024
5980	11.95800	515.973	593.879	163.727	459.729	603.181	164.001	513.497	538.577	164.075	445.267	303.805	164.890	455.802	320.504	165.029	429.190	313.864	165.063
5981	11.96000	515.785	593.523	163.767	459.484	602.505	163.812	513.619	538.271	163.996	445.130	303.945	164.886	455.779	320.583	165.027	429.144	314.111	165.071
5982	11.96200	515.640	593.168	163.836	459.237	601.742	163.942	513.692	537.871	164.224	445.007	304.085	164.883	455.755	320.654	165.044	429.068	314.390	165.040
5983	11.96400	515.444	592.814	163.782	458.999	600.911	164.034	514.122	537.483	164.144	444.866	304.220	164.929	455.717	320.733	165.041	428.992	314.662	165.027
5984	11.96600	515.247	592.462	163.726	458.738	600.278	163.866	514.337	537.162	164.063	444.721	304.368	164.908	455.703	320.793	165.012	428.952	314.903	165.084
5985	11.96800	515.033	592.089	163.794	458.493	599.525	163.951	514.393	536.794	164.208	444.585	304.531	164.852	455.680	320.854	165.015	428.907	315.143	165.108
5986	11.97000	514.842	591.745	163.755	458.270	598.658	164.046	514.550	536.390	164.177	444.454	304.681	164.863	455.658	320.924	164.999	428.838	315.405	165.083
5987	11.97200	514.675	591.383	163.716	458.051	597.998	163.952	514.749	536.053	164.089	444.323	304.816	164.909	455.651	320.986	165.001	428.762	315.667	165.056
5988	11.97400	514.501	591.019	163.770	457.792	597.295	163.869	514.952	535.705	164.235	444.192	304.956	164.906	455.634	321.040	165.022	428.733	315.934	165.090
5989	11.97600	514.298	590.690	163.796	457.506	596.414	164.015	515.214	535.325	164.137	444.040	305.114	164.898	455.620	321.102	165.023	428.679	316.156	165.119
5990	11.97800	514.093	590.309	163.757	457.356	595.741	164.065	515.447	535.004	164.027	443.925	305.254	164.895	455.613	321.164	165.025	428.626	316.410	165.111
5991	11.98000	513.891	589.957	163.763	457.181	595.061	163.829	515.551	534.680	164.065	443.794	305.379	164.927	455.597	321.226	165.028	428.566	316.680	165.066
5992	11.98200	513.727	589.622	163.771	456.889	594.201	163.942	515.669	534.298	164.024	443.663	305.529	164.938	455.575	321.295	165.013	428.528	316.922	165.123
5993	11.98400	513.544	589.250	163.748	456.542	593.453	164.083	515.918	533.918	163.981	443.526	305.692	164.882	455.545	321.364	164.997	428.483	317.169	165.131
5994	11.98600	513.351	588.886	163.742	456.430	592.791	163.818	516.100	533.619	164.015	443.381	305.850	164.875	455.513	321.436	165.014	428.431	317.414	165.108
5995	11.98800	513.157	588.548	163.753	456.300	591.994	163.925	516.319	533.292	163.886	443.274	305.983	164.889	455.485	321.503	164.967	428.352	317.670	165.132
5996	11.99000	512.972	588.186	163.745	456.045	591.211	164.066	516.533	532.948	163.812	443.144	306.116	164.903	455.446	321.582	164.966	428.305	317.919	165.172
5997	11.99200	512.807	587.827	163.673	455.757	590.500	163.820	516.726	532.642	163.885	442.998	306.273	164.897	455.423	321.651	164.951	428.285	318.165	165.149
5998	11.99400	512.595	587.454	163.713	455.552	589.760	163.862	516.841	532.289	163.793	442.843	306.420	164.878	455.391	321.705	164.971	428.233	318.402	165.143
5999	11.99600	512.376	587.098	163.754	455.389	588.972	163.985	517.061	531.947	163.749	442.728	306.556	164.923	455.378	321.757	164.958	428.170	318.649	165.153
6000	11.99800	512.181	586.733	163.688	455.194	588.224	163.863	517.273	531.648	163.784	442.637	306.696	164.920	455.361	321.811	164.979	428.130	318.898	165.194
6001	12.00000	512.034	586.390	163.681	454.959	587.521	163.937	517.459	531.305	163.770	442.484	306.854	164.913	455.331	321.856	164.984	428.086	319.135	165.189
6002	12.00200	511.845	586.037	163.720	454.754	586.715	164.001	517.656	530.989	163.712	442.329	307.011	164.907	455.323	321.910	165.003	428.024	319.380	165.168
6003	12.00400	511.647	585.657	163.682	454.581	585.963	163.856	517.843	530.704	163.688	442.216	307.142	164.890	455.309	321.945	164.995	427.988	319.618	165.162
6004	12.00600	511.454	585.294	163.676	454.432	585.275	163.877	517.979	530.360	163.706	442.102	307.275	164.904	455.285	321.999	165.014	427.958	319.865	165.171
