NO_OF_FRAMES	1050
NO_OF_CAMERAS	2
NO_OF_MARKERS	6
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-21, 20:24:55.591	958829.18844160
DATA_INCLUDED	3D
TITLE	Bevaring av rörelsemängdsmoment i plastisk stöt 28.3g vs 82.4g
MARKER_NAMES	h82_4g	hx	hy	v28_3g	vx	vy
COLLISION_TIME	0
TRAJECTORY_TYPES	Measured	Measured	Measured	Mixed	Measured	Measured
Frame	Time	h82_4g X	h82_4g Y	h82_4g Z	hx X	hx Y	hx Z	hy X	hy Y	hy Z	v28_3g X	v28_3g Y	v28_3g Z	vx X	vx Y	vx Z	vy X	vy Y	vy Z	
9239	18.47600	439.083	558.258	180.190	414.994	567.206	180.151	430.099	533.863	180.274	460.967	366.448	165.084	442.131	360.153	165.092	466.947	348.468	165.280
9240	18.47800	438.828	558.055	180.196	414.504	566.642	180.155	430.224	533.549	180.183	460.638	366.746	165.060	441.804	360.486	165.057	466.621	348.778	165.329
9241	18.48000	438.545	557.878	180.217	414.120	566.060	180.191	430.378	533.260	180.138	460.323	367.080	165.061	441.526	360.884	165.095	466.314	349.129	165.322
9242	18.48200	438.213	557.673	180.284	413.646	565.453	180.180	430.539	532.909	180.263	460.044	367.425	165.110	441.188	361.226	165.078	465.957	349.434	165.274
9243	18.48400	438.008	557.515	180.276	413.232	564.872	180.184	430.699	532.619	180.252	459.740	367.749	165.066	440.868	361.578	165.073	465.630	349.754	165.336
9244	18.48600	437.681	557.355	180.268	412.833	564.247	180.203	430.863	532.322	180.164	459.418	368.066	165.070	440.565	361.967	165.128	465.318	350.091	165.396
9245	18.48800	437.393	557.240	180.216	412.404	563.657	180.194	431.022	532.050	180.212	459.130	368.428	165.117	440.262	362.308	165.078	464.962	350.404	165.331
9246	18.49000	437.077	557.028	180.236	412.020	563.023	180.230	431.193	531.771	180.243	458.817	368.736	165.106	439.923	362.661	165.107	464.648	350.748	165.340
9247	18.49200	436.838	556.851	180.259	411.623	562.434	180.192	431.278	531.499	180.200	458.497	369.077	165.060	439.613	363.041	165.148	464.344	351.077	165.416
9248	18.49400	436.548	556.648	180.264	411.217	561.818	180.197	431.393	531.226	180.187	458.209	369.422	165.109	439.303	363.390	165.081	463.969	351.365	165.373
9249	18.49600	436.236	556.462	180.270	410.855	561.201	180.235	431.605	530.946	180.222	457.887	369.722	165.117	438.971	363.743	165.110	463.642	351.707	165.351
9250	18.49800	435.962	556.312	180.246	410.481	560.604	180.181	431.811	530.745	180.211	457.591	370.055	165.087	438.663	364.114	165.137	463.349	352.060	165.376
9251	18.50000	435.657	556.179	180.224	410.111	559.917	180.247	431.961	530.500	180.212	457.296	370.408	165.120	438.344	364.455	165.088	462.982	352.347	165.334
9252	18.50200	435.372	556.011	180.261	409.729	559.407	180.199	432.150	530.256	180.213	456.974	370.716	165.111	438.051	364.825	165.115	462.636	352.656	165.350
9253	18.50400	435.071	555.815	180.314	409.449	558.668	180.295	432.262	529.975	180.278	456.668	371.033	165.115	437.734	365.171	165.162	462.343	353.009	165.375
9254	18.50600	434.825	555.647	180.352	409.038	558.140	180.215	432.387	529.764	180.253	456.365	371.378	165.166	437.414	365.513	165.144	462.000	353.314	165.329
9255	18.50800	434.504	555.426	180.356	408.714	557.435	180.286	432.602	529.590	180.163	456.066	371.695	165.171	437.113	365.901	165.169	461.645	353.623	165.347
9256	18.51000	434.210	555.277	180.270	408.505	556.864	180.312	432.777	529.424	180.152	455.747	372.019	165.128	436.799	366.243	165.153	461.333	353.962	165.439
9257	18.51200	433.929	555.117	180.266	408.086	556.179	180.227	432.974	529.223	180.170	455.475	372.364	165.178	436.478	366.587	165.167	461.006	354.284	165.390
9258	18.51400	433.675	554.959	180.256	407.767	555.579	180.364	433.144	528.978	180.264	455.146	372.680	165.153	436.162	366.974	165.162	460.655	354.590	165.344
9259	18.51600	433.381	554.772	180.323	407.557	555.001	180.194	433.288	528.759	180.283	454.833	373.005	165.141	435.865	367.316	165.145	460.342	354.938	165.450
9260	18.51800	433.080	554.576	180.407	407.259	554.313	180.385	433.419	528.592	180.241	454.556	373.367	165.157	435.536	367.659	165.129	460.005	355.245	165.437
9261	18.52000	432.822	554.400	180.399	406.929	553.762	180.140	433.626	528.462	180.198	454.241	373.674	165.150	435.244	368.037	165.140	459.664	355.551	165.390
9262	18.52200	432.512	554.207	180.297	406.693	553.082	180.322	433.803	528.339	180.172	453.936	373.990	165.125	434.933	368.378	165.093	459.370	355.914	165.430
9263	18.52400	432.210	554.067	180.196	406.434	552.521	180.244	433.985	528.208	180.192	453.636	374.341	165.127	434.603	368.730	165.091	459.048	356.213	165.434
9264	18.52600	431.943	553.907	180.222	406.164	551.844	180.272	434.138	528.069	180.163	453.352	374.668	165.147	434.318	369.101	165.120	458.657	356.500	165.392
9265	18.52800	431.702	553.748	180.274	405.946	551.210	180.349	434.320	527.904	180.178	453.022	374.968	165.157	433.982	369.441	165.074	458.382	356.862	165.400
9266	18.53000	431.392	553.533	180.390	405.696	550.614	180.212	434.486	527.764	180.213	452.739	375.311	165.144	433.691	369.813	165.101	458.075	357.188	165.415
9267	18.53200	431.109	553.357	180.410	405.483	549.961	180.380	434.654	527.633	180.201	452.439	375.654	165.164	433.390	370.158	165.150	457.701	357.484	165.357
9268	18.53400	430.805	553.172	180.355	405.273	549.348	180.213	434.791	527.527	180.205	452.135	375.961	165.124	433.062	370.499	165.103	457.378	357.819	165.386
9269	18.53600	430.503	553.006	180.237	405.067	548.731	180.384	434.974	527.414	180.194	451.819	376.287	165.146	432.771	370.878	165.114	457.079	358.154	165.385
9270	18.53800	430.192	552.856	180.183	404.855	548.108	180.261	435.132	527.309	180.227	451.535	376.640	165.148	432.448	371.231	165.146	456.720	358.451	165.356
9271	18.54000	429.967	552.686	180.287	404.630	547.501	180.326	435.285	527.223	180.227	451.223	376.946	165.109	432.127	371.564	165.116	456.366	358.777	165.372
9272	18.54200	429.703	552.465	180.384	404.408	546.877	180.300	435.446	527.136	180.199	450.923	377.272	165.132	431.826	371.962	165.158	456.072	359.105	165.420
9273	18.54400	429.357	552.278	180.453	404.254	546.254	180.269	435.592	527.075	180.187	450.615	377.616	165.152	431.530	372.313	165.126	455.721	359.403	165.392
9274	18.54600	429.092	552.121	180.351	404.083	545.629	180.306	435.738	527.014	180.144	450.311	377.941	165.110	431.191	372.639	165.146	455.368	359.754	165.388
9275	18.54800	428.811	551.961	180.346	403.884	545.032	180.262	435.883	526.962	180.148	450.005	378.266	165.101	430.875	373.035	165.157	455.063	360.066	165.472
9276	18.55000	428.523	551.821	180.243	403.688	544.425	180.360	436.042	526.911	180.179	449.694	378.611	165.153	430.589	373.385	165.093	454.705	360.363	165.444
9277	18.55200	428.192	551.617	180.312	403.582	543.829	180.257	436.194	526.876	180.181	449.404	378.919	165.146	430.258	373.728	165.111	454.368	360.706	165.425
9278	18.55400	427.983	551.431	180.382	403.417	543.212	180.372	436.330	526.833	180.198	449.084	379.260	165.103	429.941	374.099	165.142	454.074	361.058	165.455
9279	18.55600	427.698	551.218	180.435	403.303	542.607	180.286	436.452	526.807	180.185	448.790	379.606	165.155	429.638	374.448	165.079	453.730	361.348	165.445
9280	18.55800	427.356	551.051	180.380	403.162	542.009	180.341	436.575	526.790	180.187	448.483	379.913	165.149	429.332	374.810	165.094	453.363	361.681	165.413
9281	18.56000	427.083	550.901	180.328	403.046	541.403	180.348	436.720	526.791	180.189	448.185	380.248	165.154	429.014	375.164	165.160	453.084	362.035	165.473
9282	18.56200	426.810	550.742	180.290	402.908	540.814	180.294	436.872	526.774	180.222	447.892	380.609	165.174	428.677	375.515	165.130	452.773	362.324	165.431
9283	18.56400	426.496	550.574	180.297	402.820	540.208	180.365	437.002	526.792	180.194	447.571	380.915	165.137	428.411	375.894	165.141	452.391	362.639	165.402
9284	18.56600	426.219	550.396	180.351	402.720	539.620	180.311	437.149	526.793	180.165	447.279	381.225	165.162	428.085	376.239	165.193	452.086	362.985	165.482
9285	18.56800	425.973	550.193	180.388	402.625	539.022	180.367	437.263	526.811	180.166	446.978	381.586	165.181	427.764	376.572	165.167	451.776	363.299	165.420
9286	18.57000	425.660	549.998	180.380	402.525	538.434	180.316	437.386	526.813	180.167	446.666	381.893	165.144	427.481	376.951	165.180	451.410	363.597	165.393
