NO_OF_FRAMES	953
NO_OF_CAMERAS	2
NO_OF_MARKERS	6
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-21, 20:35:32.987	959466.58207490
DATA_INCLUDED	3D
TITLE	Bevaring av rörelsemängdsmoment i plastisk stöt 43.5 g vs 28.3 g
MARKER_NAMES	h28_3g	hx	hy	v43_5g	vx	vy
COLLISION_TIME	0.46
TRAJECTORY_TYPES	Mixed	Mixed	Measured	Measured	Measured	Measured
Frame	Time	h28_3g X	h28_3g Y	h28_3g Z	hx X	hx Y	hx Z	hy X	hy Y	hy Z	v43_5g X	v43_5g Y	v43_5g Z	vx X	vx Y	vx Z	vy X	vy Y	vy Z	
705	1.40800	563.979	629.281	165.714	547.067	620.741	165.871	573.599	611.646	166.320	518.982	270.910	162.856	525.830	326.333	163.898	464.050	277.102	163.154
706	1.41000	563.627	628.668	165.761	547.009	619.594	165.895	573.816	611.388	166.239	518.807	271.357	162.809	526.411	326.697	163.909	463.946	278.260	163.066
707	1.41200	563.338	628.132	165.720	546.990	618.483	165.924	574.069	611.156	166.176	518.634	271.850	162.837	526.852	327.060	163.957	463.903	279.408	163.004
708	1.41400	562.986	627.519	165.767	546.976	617.382	165.908	574.274	610.935	166.209	518.390	272.265	162.870	527.438	327.445	163.851	463.923	280.552	162.997
709	1.41600	562.668	626.983	165.696	546.996	616.299	165.927	574.478	610.699	166.179	518.308	272.767	162.842	527.961	327.765	163.889	463.896	281.672	163.127
710	1.41800	562.321	626.370	165.774	547.021	615.212	165.978	574.644	610.499	166.149	518.127	273.216	162.831	528.517	328.070	163.928	463.786	282.798	163.239
711	1.42000	561.991	625.804	165.749	547.042	614.145	166.001	574.841	610.327	166.106	517.914	273.659	162.907	529.002	328.408	163.963	463.720	283.951	163.249
712	1.42200	561.656	625.219	165.784	547.093	613.078	166.026	575.008	610.207	166.067	517.776	274.155	162.817	529.547	328.774	163.752	463.679	285.130	163.237
713	1.42400	561.330	624.655	165.728	547.163	612.056	166.008	575.147	610.069	166.058	517.579	274.598	162.859	530.055	329.068	163.779	463.663	286.290	163.200
714	1.42600	560.995	624.098	165.749	547.267	611.053	165.962	575.289	609.937	166.035	517.327	275.071	162.861	530.568	329.339	163.859	463.662	287.442	163.180
715	1.42800	560.641	623.504	165.738	547.372	610.044	165.900	575.400	609.822	166.013	517.269	275.552	162.775	531.118	329.656	163.800	463.666	288.555	163.221
716	1.43000	560.298	622.952	165.779	547.481	609.057	165.889	575.478	609.717	166.006	517.049	276.002	162.913	531.583	329.955	163.670	463.668	289.668	163.265
717	1.43200	559.928	622.343	165.766	547.571	608.070	165.910	575.573	609.640	165.985	516.835	276.445	162.876	532.100	330.218	163.623	463.650	290.803	163.255
718	1.43400	559.609	621.803	165.791	547.712	607.126	165.951	575.657	609.562	165.995	516.682	276.959	162.897	532.586	330.454	163.711	463.633	291.954	163.211
719	1.43600	559.305	621.194	165.809	547.868	606.172	166.008	575.705	609.501	165.976	516.465	277.372	162.900	533.136	330.767	163.588	463.634	293.112	163.149
720	1.43800	558.953	620.644	165.789	548.022	605.238	166.006	575.730	609.458	165.957	516.220	277.927	162.816	533.605	331.009	163.516	463.665	294.245	163.112
721	1.44000	558.595	620.052	165.809	548.196	604.322	166.036	575.767	609.433	165.909	516.134	278.327	162.853	534.107	331.228	163.462	463.691	295.374	163.126
722	1.44200	558.279	619.477	165.802	548.377	603.440	166.071	575.770	609.416	165.877	515.981	278.783	162.941	534.596	331.465	163.439	463.708	296.461	163.168
723	1.44400	557.932	618.920	165.796	548.556	602.561	166.042	575.747	609.416	165.877	515.750	279.290	162.788	535.087	331.696	163.430	463.751	297.562	163.175
