NO_OF_FRAMES	928
NO_OF_CAMERAS	2
NO_OF_MARKERS	6
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-21, 20:37:15.940	959569.53551280
DATA_INCLUDED	3D
MARKER_NAMES	h43_3g	hx	hy	v43_5g	vx	vy
TRAJECTORY_TYPES	Mixed	Measured	Measured	Measured	Mixed	Mixed
Frame	Time	h43_3g X	h43_3g Y	h43_3g Z	hx X	hx Y	hx Z	hy X	hy Y	hy Z	v43_5g X	v43_5g Y	v43_5g Z	vx X	vx Y	vx Z	vy X	vy Y	vy Z	
5190	10.37800	557.589	647.315	163.844	566.920	703.251	165.261	501.633	649.800	164.027	526.742	300.109	162.828	470.670	299.076	163.015	529.128	244.846	163.997
5191	10.38000	557.235	646.949	163.907	565.952	703.018	165.320	501.275	648.937	164.043	526.410	300.321	162.835	470.237	299.958	163.055	528.131	245.051	164.031
5192	10.38200	556.818	646.631	163.834	564.998	702.770	165.376	500.923	648.041	163.995	526.087	300.568	162.835	469.898	300.907	163.014	527.129	245.254	163.951
5193	10.38400	556.436	646.330	163.795	564.048	702.554	165.328	500.453	647.113	163.991	525.738	300.813	162.837	469.663	301.840	163.012	526.125	245.477	163.899
5194	10.38600	556.072	645.991	163.875	563.107	702.303	165.274	500.171	646.183	164.000	525.417	301.016	162.829	469.272	302.762	162.961	525.096	245.760	163.927
5195	10.38800	555.642	645.653	163.863	562.132	701.984	165.379	499.694	645.318	164.043	525.055	301.211	162.840	468.958	303.647	163.040	524.040	246.004	164.015
5196	10.39000	555.243	645.342	163.839	561.146	701.710	165.445	499.354	644.404	164.026	524.724	301.464	162.822	468.702	304.578	162.972	523.060	246.188	164.024
5197	10.39200	554.901	644.989	163.856	560.191	701.531	165.371	498.924	643.499	163.904	524.407	301.720	162.837	468.434	305.487	162.883	522.078	246.409	164.055
5198	10.39400	554.493	644.674	163.925	559.218	701.250	165.389	498.550	642.562	163.951	524.074	301.938	162.793	468.148	306.385	162.896	521.060	246.743	164.068
5199	10.39600	554.087	644.345	163.900	558.281	700.837	165.493	498.230	641.681	163.972	523.728	302.147	162.770	467.855	307.255	162.978	520.027	247.014	163.970
5200	10.39800	553.723	643.984	163.899	557.263	700.596	165.423	497.888	640.770	164.009	523.385	302.371	162.824	467.636	308.186	162.915	518.988	247.246	163.932
5201	10.40000	553.315	643.682	163.892	556.302	700.382	165.344	497.554	639.817	164.025	523.045	302.586	162.898	467.354	309.124	162.873	517.925	247.534	164.023
5202	10.40200	552.940	643.357	163.946	555.366	700.015	165.521	497.199	638.936	164.019	522.717	302.813	162.870	467.121	310.003	162.972	516.859	247.826	164.146
5203	10.40400	552.514	642.995	163.946	554.381	699.640	165.507	496.859	638.043	164.030	522.369	303.038	162.809	466.928	310.895	162.970	515.849	248.109	164.014
5204	10.40600	552.175	642.690	163.859	553.401	699.418	165.299	496.527	637.150	164.042	522.065	303.283	162.777	466.677	311.816	162.935	514.835	248.470	163.956
5205	10.40800	551.794	642.357	163.898	552.461	699.082	165.372	496.208	636.232	164.066	521.706	303.531	162.810	466.427	312.685	163.024	513.825	248.776	164.045
5206	10.41000	551.370	641.974	163.959	551.464	698.687	165.499	495.875	635.323	164.076	521.391	303.696	162.894	466.263	313.579	163.057	512.817	249.056	164.041
5207	10.41200	550.961	641.690	163.893	550.482	698.404	165.296	495.541	634.404	164.102	521.011	303.913	162.888	466.052	314.509	163.006	511.801	249.410	164.002
5208	10.41400	550.633	641.338	163.850	549.572	698.069	165.227	495.288	633.503	164.162	520.686	304.148	162.841	465.859	315.386	163.078	510.812	249.783	163.955
5209	10.41600	550.223	640.965	163.926	548.508	697.675	165.374	495.012	632.612	164.147	520.403	304.413	162.836	465.712	316.266	163.183	509.797	250.099	164.054
5210	10.41800	549.772	640.667	163.908	547.562	697.387	165.265	494.700	631.694	164.175	520.071	304.618	162.861	465.510	317.197	163.134	508.771	250.432	164.069
5211	10.42000	549.456	640.371	163.807	546.587	697.017	165.160	494.398	630.795	164.174	519.695	304.840	162.806	465.307	318.064	163.198	507.708	250.837	164.016
5212	10.42200	549.085	639.964	163.881	545.573	696.614	165.241	494.111	629.901	164.194	519.344	305.057	162.876	465.195	318.906	163.248	506.700	251.212	164.002
5213	10.42400	548.629	639.637	163.907	544.658	696.297	165.205	493.850	628.993	164.180	519.000	305.281	162.968	465.047	319.820	163.206	505.719	251.560	164.062
5214	10.42600	548.253	639.387	163.794	543.679	695.899	165.142	493.548	628.093	164.182	518.637	305.485	162.881	464.873	320.698	163.173	504.661	251.978	164.054
5215	10.42800	547.888	638.975	163.901	542.669	695.503	165.159	493.283	627.168	164.198	518.346	305.747	162.775	464.745	321.557	163.222	503.670	252.366	164.005
5216	10.43000	547.521	638.621	163.859	541.773	695.146	165.181	493.039	626.276	164.250	518.081	305.961	162.817	464.601	322.449	163.235	502.699	252.776	164.062
5217	10.43200	547.060	638.357	163.763	540.752	694.728	165.147	492.794	625.402	164.213	517.618	306.206	162.853	464.458	323.330	163.235	501.694	253.170	164.078
5218	10.43400	546.716	638.006	163.893	539.791	694.318	165.130	492.534	624.513	164.173	517.292	306.418	162.864	464.377	324.197	163.270	500.671	253.613	164.046
5219	10.43600	546.374	637.598	163.908	538.846	693.913	165.193	492.280	623.614	164.149	516.940	306.599	162.832	464.258	325.059	163.244	499.677	254.039	164.099
5220	10.43800	545.852	637.326	163.733	537.849	693.489	165.141	492.016	622.715	164.156	516.498	306.807	162.887	464.140	325.922	163.218	498.659	254.468	164.104
5221	10.44000	545.572	637.008	163.818	536.892	693.050	165.167	491.799	621.831	164.169	516.275	307.115	162.892	464.041	326.779	163.243	497.634	254.942	164.112
