NO_OF_FRAMES	963
NO_OF_CAMERAS	2
NO_OF_MARKERS	6
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-21, 20:37:15.940	959569.53551280
DATA_INCLUDED	3D
TITLE	Bevaring av rörelsemängdsmoment i plastisk stöt 43.5g vs 43.3g #2
MARKER_NAMES	h43_3g	hx	hy	v43_5g	vx	vy
COLLISION_TIME	0
TRAJECTORY_TYPES	Mixed	Measured	Measured	Measured	Mixed	Measured
Frame	Time	h43_3g X	h43_3g Y	h43_3g Z	hx X	hx Y	hx Z	hy X	hy Y	hy Z	v43_5g X	v43_5g Y	v43_5g Z	vx X	vx Y	vx Z	vy X	vy Y	vy Z	
19132	38.26200	543.295	630.714	163.789	488.802	643.713	164.126	531.518	576.882	165.530	483.194	395.373	163.092	447.309	439.376	164.105	444.912	355.156	163.690
19133	38.26400	542.895	630.374	163.784	488.345	642.900	164.154	531.561	576.440	165.483	482.986	395.390	163.087	446.826	439.152	164.070	445.013	354.899	163.659
19134	38.26600	542.558	630.000	163.837	487.898	642.105	164.153	531.654	575.948	165.554	482.783	395.415	163.097	446.315	438.903	164.086	445.058	354.676	163.622
19135	38.26800	542.191	629.613	163.793	487.399	641.363	164.128	531.682	575.568	165.493	482.575	395.431	163.092	445.814	438.680	164.084	445.127	354.438	163.619
19136	38.27000	541.819	629.294	163.727	486.978	640.579	164.084	531.784	575.083	165.551	482.407	395.449	163.086	445.286	438.438	164.019	445.257	354.177	163.666
19137	38.27200	541.459	628.880	163.870	486.512	639.773	164.131	531.840	574.652	165.518	482.176	395.466	163.079	444.784	438.188	164.004	445.324	353.930	163.682
19138	38.27400	541.088	628.537	163.785	486.087	638.986	164.150	531.873	574.219	165.579	481.967	395.482	163.074	444.297	437.930	164.036	445.392	353.707	163.646
19139	38.27600	540.745	628.184	163.747	485.606	638.209	164.094	531.980	573.754	165.574	481.766	395.491	163.086	443.803	437.717	164.047	445.470	353.495	163.622
19140	38.27800	540.370	627.780	163.875	485.187	637.452	164.098	531.999	573.349	165.528	481.572	395.517	163.095	443.256	437.457	164.017	445.585	353.249	163.636
19141	38.28000	540.013	627.462	163.809	484.740	636.628	164.118	532.054	572.897	165.681	481.358	395.534	163.087	442.762	437.199	164.018	445.660	353.013	163.665
19142	38.28200	539.645	627.082	163.783	484.279	635.834	164.090	532.134	572.503	165.557	481.133	395.560	163.097	442.285	436.933	164.034	445.750	352.774	163.664
19143	38.28400	539.260	626.697	163.852	483.824	635.090	164.103	532.156	572.034	165.648	480.926	395.567	163.076	441.791	436.710	164.033	445.849	352.556	163.689
19144	38.28600	538.909	626.378	163.818	483.449	634.309	164.030	532.231	571.664	165.666	480.717	395.576	163.087	441.258	436.451	164.034	445.942	352.335	163.683
19145	38.28800	538.526	625.991	163.775	482.970	633.486	164.050	532.319	571.252	165.543	480.523	395.602	163.096	440.804	436.177	164.035	446.012	352.140	163.656
19146	38.29000	538.143	625.599	163.827	482.544	632.698	164.074	532.330	570.800	165.666	480.284	395.611	163.106	440.280	435.909	164.022	446.103	351.919	163.651
19147	38.29200	537.796	625.278	163.825	482.088	631.917	163.973	532.398	570.466	165.592	480.076	395.628	163.100	439.789	435.684	163.958	446.208	351.685	163.712
19148	38.29400	537.414	624.890	163.783	481.713	631.158	163.924	532.479	570.011	165.543	479.875	395.636	163.112	439.294	435.418	163.976	446.282	351.458	163.754
19149	38.29600	537.024	624.508	163.820	481.270	630.335	163.977	532.514	569.613	165.576	479.667	395.653	163.106	438.849	435.134	163.962	446.382	351.245	163.733
