NO_OF_FRAMES	964
NO_OF_CAMERAS	2
NO_OF_MARKERS	6
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-21, 20:43:54.482	959968.07571280
DATA_INCLUDED	3D
TITLE	Bevaring av rörelsemängdsmoment i plastisk stöt 43.5g vs 82.4g 
MARKER_NAMES	h82_4g	hx	hy	v43_5g	vx	vy
COLLISION_TIME	0.71
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured
Frame	Time	h82_4g X	h82_4g Y	h82_4g Z	hx X	hx Y	hx Z	hy X	hy Y	hy Z	v43_5g X	v43_5g Y	v43_5g Z	vx X	vx Y	vx Z	vy X	vy Y	vy Z	
1650	3.29800	561.795	601.785	179.795	557.102	576.553	179.908	587.201	596.962	179.515	508.023	277.119	162.863	503.141	332.721	164.276	452.892	271.894	163.385
1651	3.30000	561.623	601.542	179.683	557.263	576.171	179.863	587.049	597.057	179.443	507.959	277.408	162.833	503.165	333.016	164.184	452.827	272.328	163.294
1652	3.30200	561.331	601.213	179.735	557.373	575.794	179.894	586.888	597.158	179.428	507.865	277.704	162.784	503.385	333.450	164.140	452.723	272.780	163.351
1653	3.30400	561.008	600.867	179.783	557.481	575.471	179.835	586.568	597.217	179.382	507.795	278.004	162.801	503.520	333.701	164.151	452.616	273.196	163.267
1654	3.30600	560.777	600.604	179.761	557.642	575.123	179.792	586.379	597.285	179.385	507.686	278.270	162.827	503.472	333.920	164.156	452.598	273.703	163.228
1655	3.30800	560.565	600.360	179.680	557.725	574.718	179.868	586.153	597.367	179.359	507.612	278.552	162.815	503.500	334.290	164.180	452.469	274.096	163.202
1656	3.31000	560.273	599.977	179.729	557.808	574.419	179.827	586.002	597.492	179.333	507.551	278.876	162.811	503.643	334.663	164.057	452.378	274.554	163.208
1657	3.31200	559.987	599.665	179.782	557.945	574.129	179.803	585.839	597.586	179.331	507.469	279.175	162.795	503.677	334.892	164.043	452.258	274.997	163.137
1658	3.31400	559.768	599.433	179.714	558.070	573.706	179.882	585.609	597.656	179.392	507.355	279.455	162.785	503.696	335.136	164.172	452.137	275.424	163.218
1659	3.31600	559.477	599.123	179.676	558.149	573.392	179.869	585.192	597.742	179.432	507.268	279.738	162.807	503.728	335.515	164.213	452.045	275.892	163.123
1660	3.31800	559.194	598.762	179.775	558.300	573.174	179.816	585.007	597.813	179.433	507.225	280.064	162.801	503.814	335.846	164.005	451.962	276.333	163.134
1661	3.32000	558.968	598.473	179.767	558.432	572.811	179.853	584.826	597.886	179.463	507.119	280.352	162.774	503.942	336.094	163.987	451.826	276.760	163.215
1662	3.32200	558.694	598.223	179.667	558.472	572.396	179.945	584.499	597.902	179.510	507.018	280.635	162.796	504.037	336.422	164.215	451.792	277.219	163.105
1663	3.32400	558.395	597.873	179.721	558.633	572.207	179.847	584.172	598.004	179.482	506.921	280.937	162.847	504.029	336.708	164.178	451.727	277.689	163.160
1664	3.32600	558.140	597.528	179.771	558.797	571.981	179.779	583.989	598.086	179.467	506.832	281.226	162.819	504.119	337.024	163.969	451.553	278.080	163.219
1665	3.32800	557.959	597.301	179.722	558.921	571.575	179.919	583.809	598.190	179.420	506.776	281.532	162.785	504.270	337.370	164.089	451.569	278.589	163.179
1666	3.33000	557.619	597.009	179.685	559.008	571.251	179.923	583.370	598.273	179.380	506.714	281.850	162.799	504.355	337.635	164.212	451.427	279.010	163.162
1667	3.33200	557.333	596.652	179.752	559.153	571.052	179.840	583.172	598.371	179.367	506.587	282.125	162.840	504.356	337.873	164.213	451.313	279.459	163.308
1668	3.33400	557.116	596.336	179.728	559.244	570.794	179.851	582.957	598.475	179.349	506.469	282.408	162.863	504.431	338.243	164.060	451.223	279.896	163.252
1669	3.33600	556.874	596.091	179.677	559.313	570.461	179.900	582.564	598.564	179.307	506.409	282.716	162.863	504.523	338.625	164.097	451.131	280.382	163.307
1670	3.33800	556.540	595.810	179.706	559.441	570.182	179.891	582.291	598.631	179.339	506.326	283.025	162.862	504.558	338.833	164.166	450.971	280.781	163.344
1671	3.34000	556.303	595.431	179.815	559.556	569.971	179.825	581.977	598.700	179.399	506.220	283.305	162.853	504.583	339.050	164.252	450.967	281.289	163.309
1672	3.34200	556.100	595.143	179.747	559.655	569.736	179.884	581.639	598.785	179.400	506.117	283.609	162.902	504.606	339.495	164.217	450.839	281.703	163.311
1673	3.34400	555.770	594.876	179.698	559.747	569.459	179.873	581.324	598.850	179.401	506.058	283.918	162.902	504.657	339.813	164.075	450.721	282.143	163.442
1674	3.34600	555.497	594.556	179.767	559.863	569.190	179.848	581.041	598.902	179.461	505.948	284.231	162.851	504.743	340.028	164.095	450.709	282.601	163.299
1675	3.34800	555.255	594.196	179.786	559.963	568.953	179.887	580.738	599.019	179.415	505.870	284.521	162.857	504.822	340.329	164.278	450.588	283.053	163.362
1676	3.35000	555.006	593.961	179.721	560.074	568.731	179.899	580.340	599.063	179.416	505.748	284.816	162.927	504.826	340.676	164.213	450.418	283.466	163.367
1677	3.35200	554.731	593.692	179.673	560.213	568.522	179.893	580.065	599.142	179.401	505.632	285.089	162.937	504.869	340.981	164.030	450.430	283.956	163.300
1678	3.35400	554.448	593.310	179.815	560.356	568.307	179.839	579.625	599.218	179.415	505.577	285.413	162.899	505.020	341.249	164.075	450.256	284.395	163.318
1679	3.35600	554.211	593.015	179.760	560.449	568.105	179.819	579.339	599.278	179.369	505.528	285.737	162.864	505.107	341.547	164.303	450.141	284.826	163.319
1680	3.35800	553.931	592.749	179.681	560.528	567.881	179.862	579.062	599.350	179.367	505.397	286.010	162.872	505.157	341.818	164.267	450.109	285.314	163.258
1681	3.36000	553.662	592.455	179.708	560.617	567.653	179.916	578.563	599.433	179.367	505.265	286.293	162.896	505.203	342.156	164.046	449.924	285.725	163.233
1682	3.36200	553.388	592.075	179.818	560.728	567.445	179.879	578.264	599.467	179.364	505.210	286.611	162.911	505.330	342.498	164.139	449.879	286.208	163.223
1683	3.36400	553.181	591.823	179.723	560.827	567.272	179.812	577.955	599.545	179.379	505.125	286.908	162.865	505.386	342.739	164.279	449.785	286.633	163.124
1684	3.36600	552.908	591.556	179.645	560.946	567.099	179.777	577.441	599.594	179.375	505.011	287.196	162.839	505.437	342.983	164.233	449.683	287.095	163.205
1685	3.36800	552.606	591.190	179.758	561.004	566.887	179.802	577.189	599.672	179.361	504.908	287.506	162.873	505.508	343.384	164.015	449.633	287.537	163.067
1686	3.37000	552.381	590.886	179.750	561.105	566.707	179.862	576.715	599.694	179.423	504.834	287.805	162.860	505.536	343.714	164.063	449.589	288.024	163.125
1687	3.37200	552.103	590.602	179.701	561.204	566.540	179.874	576.360	599.792	179.294	504.750	288.110	162.796	505.589	343.930	164.116	449.397	288.427	163.117
1688	3.37400	551.849	590.344	179.669	561.282	566.357	179.853	575.931	599.853	179.297	504.655	288.420	162.830	505.638	344.194	164.097	449.421	288.920	163.086
1689	3.37600	551.593	589.960	179.844	561.376	566.208	179.834	575.489	599.909	179.320	504.541	288.705	162.888	505.686	344.583	163.977	449.290	289.333	163.094
