NO_OF_FRAMES	965
NO_OF_CAMERAS	2
NO_OF_MARKERS	6
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-21, 20:30:11.787	959145.38396330
DATA_INCLUDED	3D
TITLE	Bevaring av rörelsemängdsmoment i plastisk stöt 82.2g vs 28.3g 
MARKER_NAMES	h28_3g	hx	hy	v82_2g	vx	vy
COLLISION_TIME	0.93
TRAJECTORY_TYPES	Measured	Measured	Mixed	Mixed	Mixed	Measured
Frame	Time	h28_3g X	h28_3g Y	h28_3g Z	hx X	hx Y	hx Z	hy X	hy Y	hy Z	v82_2g X	v82_2g Y	v82_2g Z	vx X	vx Y	vx Z	vy X	vy Y	vy Z	
12692	25.38200	442.083	534.454	165.673	433.151	517.831	165.905	460.124	525.423	165.797	494.638	279.766	179.278	476.086	298.454	180.022	476.877	261.152	179.817
12693	25.38400	441.872	534.100	165.730	433.072	517.416	165.925	459.992	525.290	165.812	494.439	279.823	179.323	475.898	298.528	180.062	476.662	261.206	179.831
12694	25.38600	441.649	533.738	165.709	433.001	517.027	165.930	459.823	525.131	165.810	494.261	279.874	179.305	475.677	298.548	180.120	476.402	261.275	179.839
12695	25.38800	441.388	533.436	165.675	432.986	516.551	165.905	459.684	524.989	165.809	494.056	279.918	179.304	475.476	298.633	180.095	476.180	261.336	179.834
12696	25.39000	441.163	533.101	165.701	432.891	516.171	165.927	459.537	524.847	165.807	493.819	279.995	179.297	475.266	298.717	180.039	475.951	261.420	179.808
12697	25.39200	440.945	532.747	165.728	432.844	515.738	165.918	459.392	524.697	165.790	493.588	280.080	179.271	475.064	298.813	180.025	475.741	261.505	179.778
12698	25.39400	440.708	532.402	165.678	432.796	515.288	165.941	459.248	524.546	165.743	493.370	280.141	179.266	474.871	298.884	180.036	475.537	261.593	179.780
12699	25.39600	440.475	532.083	165.705	432.732	514.917	165.976	459.102	524.413	165.726	493.160	280.214	179.308	474.608	298.948	180.132	475.285	261.673	179.800
12700	25.39800	440.221	531.747	165.701	432.686	514.484	165.937	458.949	524.262	165.709	492.932	280.275	179.303	474.426	299.052	180.103	475.016	261.756	179.774
12701	25.40000	440.013	531.401	165.683	432.638	514.061	165.943	458.801	524.120	165.741	492.696	280.369	179.291	474.224	299.158	180.101	474.768	261.839	179.827
12702	25.40200	439.773	531.056	165.696	432.581	513.681	165.996	458.631	523.960	165.739	492.452	280.464	179.278	473.976	299.253	180.090	474.525	261.944	179.824
12703	25.40400	439.550	530.738	165.691	432.514	513.239	165.911	458.469	523.818	165.738	492.230	280.551	179.282	473.789	299.365	180.076	474.289	262.065	179.818
12704	25.40600	439.294	530.392	165.704	432.496	512.834	165.948	458.306	523.677	165.767	491.983	280.665	179.297	473.600	299.470	180.079	474.051	262.169	179.817
12705	25.40800	439.086	530.038	165.701	432.426	512.436	165.940	458.145	523.535	165.735	491.732	280.760	179.284	473.298	299.583	180.096	473.833	262.277	179.843
12706	25.41000	438.838	529.710	165.715	432.344	512.020	165.838	457.977	523.392	165.703	491.517	280.867	179.315	473.104	299.730	180.072	473.573	262.398	179.837
12707	25.41200	438.607	529.401	165.696	432.323	511.615	165.939	457.809	523.259	165.687	491.262	280.979	179.298	472.894	299.869	180.068	473.281	262.529	179.845
12708	25.41400	438.391	529.030	165.693	432.269	511.217	165.932	457.647	523.117	165.686	491.068	281.084	179.298	472.706	299.992	180.065	473.028	262.667	179.834
12709	25.41600	438.152	528.676	165.690	432.194	510.810	165.847	457.460	522.958	165.715	490.823	281.223	179.290	472.406	300.083	180.135	472.761	262.802	179.793
12710	25.41800	437.898	528.382	165.675	432.187	510.423	165.978	457.297	522.807	165.729	490.549	281.355	179.298	472.184	300.248	180.105	472.529	262.958	179.775
12711	25.42000	437.696	528.046	165.703	432.125	510.034	165.955	457.135	522.673	165.744	490.334	281.473	179.264	471.986	300.386	180.102	472.294	263.090	179.781
12712	25.42200	437.488	527.658	165.699	432.081	509.654	165.886	456.958	522.540	165.726	490.084	281.615	179.286	471.767	300.541	180.058	472.035	263.238	179.782
12713	25.42400	437.211	527.339	165.667	432.067	509.257	166.003	456.774	522.424	165.710	489.838	281.723	179.316	471.540	300.673	180.070	471.758	263.362	179.807
12714	25.42600	436.957	527.055	165.665	432.007	508.859	165.934	456.599	522.300	165.678	489.571	281.851	179.295	471.271	300.799	180.132	471.504	263.479	179.850
12715	25.42800	436.769	526.674	165.711	431.970	508.471	165.880	456.415	522.167	165.661	489.316	281.975	179.323	471.060	300.969	180.088	471.212	263.643	179.848
12716	25.43000	436.549	526.330	165.629	431.950	508.092	165.966	456.200	522.006	165.629	489.087	282.090	179.336	470.837	301.106	180.053	470.959	263.767	179.873
12717	25.43200	436.270	526.011	165.660	431.883	507.703	165.881	455.999	521.855	165.644	488.838	282.219	179.313	470.602	301.249	180.073	470.687	263.930	179.838
12718	25.43400	436.021	525.683	165.704	431.851	507.323	165.875	455.830	521.731	165.641	488.576	282.350	179.323	470.321	301.359	180.172	470.446	264.086	179.820
12719	25.43600	435.836	525.312	165.673	431.817	506.961	165.930	455.651	521.608	165.669	488.309	282.480	179.300	470.118	301.514	180.131	470.184	264.232	179.788
12720	25.43800	435.621	525.002	165.655	431.741	506.563	165.893	455.474	521.483	165.669	488.067	282.594	179.313	469.889	301.661	180.107	469.884	264.366	179.826
12721	25.44000	435.342	524.675	165.700	431.709	506.184	165.886	455.273	521.358	165.667	487.823	282.699	179.313	469.646	301.808	180.080	469.559	264.486	179.822
12722	25.44200	435.110	524.329	165.685	431.668	505.848	165.926	455.035	521.215	165.666	487.563	282.824	179.339	469.411	301.957	180.089	469.305	264.613	179.877
12723	25.44400	434.896	523.967	165.636	431.621	505.460	165.934	454.833	521.074	165.695	487.270	282.941	179.307	469.165	302.047	180.162	469.016	264.751	179.865
12724	25.44600	434.668	523.639	165.743	431.573	505.072	165.944	454.640	520.949	165.694	487.013	283.064	179.301	468.891	302.193	180.104	468.728	264.887	179.822
12725	25.44800	434.447	523.373	165.681	431.526	504.744	165.937	454.472	520.807	165.662	486.754	283.162	179.317	468.630	302.339	180.081	468.471	265.005	179.861
12726	25.45000	434.162	522.975	165.666	431.509	504.357	165.946	454.252	520.645	165.726	486.463	283.256	179.305	468.431	302.454	180.096	468.182	265.116	179.842
12727	25.45200	433.958	522.595	165.741	431.486	503.960	165.940	454.026	520.531	165.644	486.170	283.362	179.336	468.147	302.545	180.167	467.867	265.253	179.832
12728	25.45400	433.734	522.338	165.727	431.409	503.650	165.903	453.814	520.433	165.564	485.918	283.450	179.341	467.879	302.689	180.111	467.562	265.381	179.807
12729	25.45600	433.476	522.010	165.618	431.400	503.279	165.912	453.592	520.317	165.546	485.683	283.572	179.336	467.663	302.846	180.101	467.290	265.517	179.765
12730	25.45800	433.248	521.576	165.728	431.390	502.848	165.968	453.413	520.192	165.577	485.376	283.693	179.332	467.450	302.976	180.082	467.020	265.646	179.738
12731	25.46000	433.016	521.285	165.741	431.328	502.564	165.917	453.185	520.032	165.670	485.109	283.788	179.319	467.159	303.058	180.174	466.738	265.778	179.743
12732	25.46200	432.775	521.027	165.602	431.268	502.228	165.865	452.904	519.889	165.730	484.856	283.903	179.331	466.894	303.200	180.160	466.397	265.903	179.800
12733	25.46400	432.525	520.611	165.649	431.239	501.788	165.969	452.718	519.730	165.759	484.621	284.007	179.332	466.678	303.328	180.144	466.157	265.993	179.836
12734	25.46600	432.358	520.257	165.776	431.170	501.477	165.936	452.526	519.596	165.743	484.355	284.112	179.331	466.460	303.467	180.139	465.851	266.141	179.838
12735	25.46800	432.085	519.974	165.649	431.111	501.202	165.836	452.375	519.490	165.680	484.056	284.230	179.298	466.217	303.581	180.121	465.554	266.279	179.826
12736	25.47000	431.810	519.602	165.588	431.099	500.770	165.925	452.072	519.373	165.569	483.792	284.353	179.292	465.898	303.703	180.152	465.298	266.404	179.847
12737	25.47200	431.610	519.213	165.745	431.064	500.408	165.983	451.829	519.266	165.503	483.539	284.450	179.310	465.663	303.874	180.110	465.026	266.533	179.822
12738	25.47400	431.412	518.956	165.669	431.021	500.169	165.883	451.582	519.133	165.518	483.255	284.554	179.311	465.480	304.011	180.074	464.703	266.656	179.847
12739	25.47600	431.147	518.620	165.573	430.983	499.798	165.863	451.443	519.018	165.531	482.969	284.660	179.343	465.223	304.126	180.052	464.402	266.794	179.838
12740	25.47800	430.877	518.212	165.732	430.935	499.374	166.033	451.147	518.892	165.593	482.716	284.775	179.356	464.901	304.225	180.138	464.129	266.929	179.796
12741	25.48000	430.700	517.930	165.732	430.906	499.109	165.979	450.887	518.731	165.685	482.460	284.887	179.337	464.725	304.338	180.123	463.853	267.076	179.764
12742	25.48200	430.466	517.620	165.592	430.863	498.809	165.895	450.669	518.589	165.746	482.177	284.999	179.320	464.461	304.475	180.086	463.581	267.215	179.751
12743	25.48400	430.263	517.249	165.656	430.803	498.385	166.003	450.486	518.448	165.711	481.909	285.097	179.337	464.217	304.615	180.077	463.281	267.328	179.763
12744	25.48600	429.942	516.902	165.768	430.787	498.076	165.996	450.238	518.341	165.584	481.651	285.199	179.305	464.010	304.750	180.121	463.009	267.420	179.830
12745	25.48800	429.778	516.611	165.627	430.791	497.821	165.893	449.970	518.216	165.553	481.409	285.314	179.319	463.719	304.854	180.160	462.681	267.541	179.823
12746	25.49000	429.525	516.231	165.582	430.761	497.467	165.843	449.709	518.082	165.535	481.148	285.421	179.350	463.502	304.992	180.121	462.406	267.686	179.795
12747	25.49200	429.349	515.894	165.711	430.663	497.079	165.950	449.477	517.967	165.547	480.867	285.540	179.315	463.235	305.132	180.113	462.137	267.826	179.780
12748	25.49400	429.059	515.583	165.636	430.687	496.797	165.926	449.238	517.851	165.562	480.616	285.652	179.298	463.039	305.254	180.111	461.880	267.965	179.768
12749	25.49600	428.853	515.248	165.573	430.715	496.515	165.809	448.981	517.716	165.609	480.356	285.749	179.315	462.757	305.362	180.180	461.605	268.096	179.775
12750	25.49800	428.618	514.885	165.654	430.602	496.143	165.886	448.733	517.574	165.638	480.110	285.863	179.330	462.499	305.507	180.124	461.296	268.219	179.801
12751	25.50000	428.402	514.574	165.642	430.552	495.843	165.959	448.487	517.450	165.634	479.802	285.960	179.349	462.284	305.655	180.099	460.982	268.347	179.779
12752	25.50200	428.150	514.238	165.580	430.577	495.561	165.904	448.228	517.290	165.570	479.543	286.064	179.349	462.059	305.801	180.078	460.724	268.478	179.784
12753	25.50400	427.941	513.893	165.598	430.524	495.234	165.869	447.936	517.156	165.553	479.286	286.187	179.343	461.789	305.876	180.186	460.454	268.614	179.740
12754	25.50600	427.715	513.566	165.649	430.442	494.898	165.944	447.691	517.041	165.534	478.989	286.295	179.296	461.506	306.014	180.145	460.165	268.756	179.759
12755	25.50800	427.477	513.212	165.619	430.417	494.625	165.970	447.428	516.907	165.548	478.743	286.403	179.327	461.290	306.151	180.109	459.902	268.862	179.790
12756	25.51000	427.238	512.875	165.593	430.413	494.316	165.871	447.171	516.772	165.595	478.472	286.517	179.341	461.088	306.281	180.091	459.617	268.972	179.851
12757	25.51200	427.029	512.565	165.610	430.328	493.988	165.867	446.918	516.674	165.576	478.256	286.630	179.323	460.844	306.414	180.100	459.288	269.109	179.840
12758	25.51400	426.792	512.203	165.565	430.317	493.706	165.910	446.616	516.532	165.605	477.983	286.745	179.335	460.554	306.512	180.153	459.002	269.253	179.779
12759	25.51600	426.558	511.848	165.601	430.286	493.397	165.906	446.348	516.381	165.588	477.732	286.850	179.334	460.292	306.682	180.112	458.746	269.399	179.749
12760	25.51800	426.327	511.547	165.605	430.211	493.078	165.823	446.063	516.238	165.586	477.439	286.960	179.320	460.114	306.822	180.106	458.482	269.528	179.724
12761	25.52000	426.105	511.211	165.544	430.178	492.805	165.850	445.756	516.095	165.553	477.173	287.065	179.320	459.900	306.952	180.086	458.191	269.668	179.745
12762	25.52200	425.864	510.830	165.596	430.183	492.540	165.922	445.493	515.953	165.581	476.934	287.172	179.351	459.559	307.028	180.190	457.886	269.767	179.795
12763	25.52400	425.624	510.511	165.600	430.105	492.213	165.919	445.222	515.810	165.612	476.603	287.276	179.353	459.375	307.151	180.188	457.582	269.908	179.814
12764	25.52600	425.410	510.202	165.555	430.044	491.904	165.884	444.915	515.703	165.578	476.353	287.381	179.353	459.106	307.287	180.154	457.311	270.037	179.788
12765	25.52800	425.155	509.847	165.560	430.027	491.657	165.893	444.638	515.595	165.576	476.109	287.492	179.336	458.863	307.427	180.146	457.036	270.185	179.791
12766	25.53000	424.936	509.511	165.628	430.010	491.401	165.920	444.368	515.462	165.589	475.811	287.607	179.349	458.654	307.567	180.140	456.761	270.299	179.802
12767	25.53200	424.707	509.193	165.567	429.926	491.065	165.870	444.062	515.319	165.555	475.564	287.720	179.365	458.358	307.699	180.189	456.471	270.423	179.826
12768	25.53400	424.477	508.847	165.524	429.871	490.764	165.882	443.763	515.177	165.522	475.294	287.828	179.395	458.137	307.833	180.125	456.169	270.529	179.858
12769	25.53600	424.235	508.501	165.578	429.855	490.526	165.876	443.460	515.008	165.566	475.055	287.948	179.360	457.863	307.974	180.111	455.849	270.675	179.829
12770	25.53800	424.034	508.183	165.582	429.824	490.260	165.856	443.165	514.874	165.612	474.782	288.053	179.359	457.672	308.095	180.079	455.579	270.845	179.776
12771	25.54000	423.822	507.830	165.491	429.757	489.951	165.789	442.840	514.731	165.642	474.516	288.165	179.341	457.412	308.194	180.167	455.337	270.984	179.766
12772	25.54200	423.556	507.493	165.560	429.699	489.659	165.849	442.563	514.606	165.639	474.255	288.286	179.339	457.138	308.332	180.129	455.063	271.105	179.759
12773	25.54400	423.340	507.174	165.565	429.667	489.430	165.859	442.256	514.481	165.637	473.996	288.391	179.339	456.902	308.472	180.122	454.763	271.229	179.785
12774	25.54600	423.110	506.820	165.506	429.631	489.165	165.805	441.941	514.338	165.604	473.767	288.478	179.345	456.711	308.596	180.153	454.470	271.328	179.833
12775	25.54800	422.885	506.475	165.528	429.578	488.873	165.770	441.666	514.214	165.569	473.441	288.584	179.379	456.448	308.681	180.275	454.226	271.442	179.845
12776	25.55000	422.668	506.191	165.564	429.504	488.590	165.845	441.342	514.045	165.583	473.197	288.682	179.395	456.205	308.825	180.221	453.909	271.588	179.814
12777	25.55200	422.407	505.828	165.521	429.487	488.352	165.871	441.033	513.911	165.597	472.970	288.794	179.378	455.972	308.964	180.182	453.647	271.729	179.836
12778	25.55400	422.191	505.501	165.512	429.419	488.113	165.803	440.707	513.741	165.643	472.672	288.922	179.358	455.760	309.093	180.165	453.405	271.860	179.842
12779	25.55600	421.965	505.173	165.565	429.366	487.830	165.782	440.382	513.599	165.672	472.411	289.029	179.389	455.557	309.223	180.145	453.123	271.985	179.867
12780	25.55800	421.751	504.854	165.507	429.317	487.565	165.825	440.098	513.482	165.655	472.177	289.126	179.408	455.230	309.330	180.213	452.797	272.107	179.895
12781	25.56000	421.504	504.482	165.513	429.270	487.336	165.836	439.776	513.322	165.621	471.917	289.239	179.389	455.008	309.478	180.190	452.516	272.250	179.836
12782	25.56200	421.286	504.181	165.551	429.206	487.080	165.862	439.454	513.188	165.603	471.675	289.358	179.355	454.790	309.642	180.165	452.269	272.396	179.806
12783	25.56400	421.070	503.854	165.541	429.138	486.823	165.825	439.125	513.037	165.554	471.391	289.473	179.369	454.610	309.770	180.115	451.988	272.545	179.807
12784	25.56600	420.847	503.517	165.515	429.090	486.558	165.837	438.792	512.885	165.599	471.115	289.594	179.367	454.258	309.821	180.239	451.712	272.666	179.803
12785	25.56800	420.590	503.154	165.569	429.058	486.328	165.847	438.469	512.751	165.581	470.879	289.699	179.368	454.026	309.975	180.201	451.413	272.792	179.858
12786	25.57000	420.390	502.871	165.543	428.997	486.081	165.827	438.127	512.564	165.658	470.611	289.806	179.398	453.832	310.103	180.152	451.121	272.899	179.889
12787	25.57200	420.153	502.517	165.487	428.928	485.816	165.806	437.811	512.439	165.656	470.320	289.900	179.387	453.605	310.250	180.129	450.823	273.037	179.879
12788	25.57400	419.911	502.171	165.542	428.881	485.577	165.801	437.456	512.252	165.670	470.029	289.997	179.404	453.352	310.375	180.155	450.542	273.166	179.855
12789	25.57600	419.686	501.853	165.578	428.825	485.338	165.828	437.143	512.119	165.620	469.802	290.110	179.387	453.059	310.482	180.226	450.280	273.319	179.807
12790	25.57800	419.459	501.525	165.474	428.772	485.117	165.791	436.789	511.950	165.603	469.543	290.221	179.370	452.835	310.651	180.154	450.020	273.426	179.836
12791	25.58000	419.218	501.162	165.498	428.690	484.861	165.722	436.435	511.807	165.599	469.249	290.317	179.391	452.634	310.764	180.137	449.721	273.554	179.814
12792	25.58200	418.991	500.844	165.568	428.626	484.613	165.765	436.103	511.629	165.629	468.988	290.398	179.412	452.374	310.885	180.100	449.385	273.702	179.817
12793	25.58400	418.756	500.498	165.464	428.562	484.384	165.807	435.740	511.477	165.643	468.734	290.528	179.389	452.111	310.961	180.208	449.134	273.823	179.812
12794	25.58600	418.525	500.179	165.440	428.509	484.163	165.768	435.409	511.326	165.656	468.492	290.647	179.355	451.879	311.097	180.175	448.869	273.962	179.800
12795	25.58800	418.282	499.817	165.558	428.426	483.933	165.715	435.062	511.139	165.670	468.232	290.752	179.357	451.641	311.237	180.168	448.595	274.083	179.794
12796	25.59000	418.090	499.498	165.502	428.347	483.694	165.743	434.717	511.005	165.622	467.947	290.865	179.372	451.420	311.367	180.147	448.303	274.217	179.833
12797	25.59200	417.847	499.179	165.415	428.292	483.464	165.754	434.341	510.818	165.603	467.713	290.968	179.341	451.211	311.519	180.189	448.043	274.324	179.863
12798	25.59400	417.619	498.852	165.501	428.229	483.243	165.779	434.033	510.684	165.587	467.470	291.066	179.359	450.933	311.614	180.215	447.745	274.438	179.875
12799	25.59600	417.379	498.489	165.525	428.146	483.013	165.725	433.639	510.479	165.632	467.171	291.170	179.360	450.656	311.757	180.128	447.438	274.593	179.862
12800	25.59800	417.166	498.178	165.423	428.068	482.774	165.721	433.323	510.346	165.644	466.900	291.266	179.380	450.454	311.887	180.107	447.189	274.736	179.803
12801	25.60000	416.925	497.833	165.479	428.008	482.570	165.684	432.935	510.141	165.691	466.666	291.398	179.389	450.263	312.017	180.090	446.933	274.885	179.804
12802	25.60200	416.722	497.515	165.549	427.952	482.376	165.694	432.613	509.998	165.658	466.438	291.510	179.373	449.988	312.117	180.177	446.636	275.013	179.781
12803	25.60400	416.469	497.152	165.479	427.890	482.138	165.719	432.205	509.803	165.655	466.114	291.607	179.392	449.699	312.255	180.139	446.353	275.144	179.789
12804	25.60600	416.285	496.877	165.439	427.798	481.881	165.683	431.907	509.669	165.607	465.861	291.711	179.393	449.481	312.411	180.133	446.062	275.248	179.789
12805	25.60800	416.019	496.514	165.527	427.721	481.686	165.661	431.482	509.473	165.637	465.605	291.824	179.375	449.311	312.553	180.158	445.780	275.382	179.826
12806	25.61000	415.820	496.187	165.487	427.666	481.492	165.671	431.181	509.313	165.666	465.354	291.936	179.359	449.014	312.625	180.237	445.514	275.518	179.785
12807	25.61200	415.558	495.850	165.465	427.575	481.297	165.647	430.750	509.134	165.665	465.102	292.050	179.373	448.729	312.764	180.195	445.239	275.652	179.824
12808	25.61400	415.373	495.549	165.472	427.452	481.067	165.626	430.416	508.948	165.741	464.812	292.162	179.356	448.542	312.901	180.161	444.966	275.783	179.830
12809	25.61600	415.093	495.177	165.515	427.388	480.837	165.669	430.040	508.787	165.707	464.591	292.274	179.341	448.335	313.039	180.125	444.690	275.897	179.843
12810	25.61800	414.895	494.868	165.442	427.309	480.634	165.694	429.640	508.608	165.676	464.317	292.381	179.370	448.134	313.171	180.137	444.367	276.035	179.835
12811	25.62000	414.646	494.549	165.483	427.217	480.439	165.670	429.280	508.422	165.658	464.040	292.495	179.386	447.783	313.288	180.218	444.094	276.173	179.824
12812	25.62200	414.422	494.222	165.505	427.148	480.254	165.663	428.885	508.235	165.703	463.763	292.592	179.406	447.571	313.435	180.197	443.837	276.312	179.813
12813	25.62400	414.174	493.849	165.518	427.055	480.059	165.671	428.528	508.031	165.779	463.520	292.697	179.406	447.383	313.589	180.159	443.580	276.448	179.772
12814	25.62600	413.968	493.566	165.461	426.962	479.847	165.681	428.174	507.853	165.777	463.287	292.827	179.384	447.168	313.703	180.143	443.290	276.582	179.810
12815	25.62800	413.734	493.239	165.518	426.846	479.626	165.676	427.742	507.682	165.793	462.972	292.921	179.373	446.804	313.763	180.283	442.983	276.713	179.819
12816	25.63000	413.481	492.858	165.482	426.762	479.449	165.652	427.367	507.505	165.727	462.711	293.018	179.391	446.609	313.900	180.249	442.714	276.829	179.862
12817	25.63200	413.279	492.557	165.491	426.691	479.272	165.661	426.982	507.309	165.728	462.468	293.140	179.387	446.404	314.030	180.231	442.448	276.944	179.874
12818	25.63400	413.041	492.255	165.469	426.591	479.086	165.654	426.628	507.105	165.741	462.194	293.261	179.384	446.177	314.193	180.172	442.144	277.089	179.846
12819	25.63600	412.808	491.901	165.480	426.469	478.882	165.616	426.249	506.900	165.787	461.957	293.366	179.387	445.973	314.326	180.183	441.878	277.218	179.823
12820	25.63800	412.547	491.555	165.444	426.384	478.661	165.610	425.832	506.712	165.804	461.675	293.495	179.366	445.642	314.441	180.270	441.627	277.356	179.813
12821	25.64000	412.362	491.263	165.438	426.304	478.458	165.667	425.449	506.543	165.755	461.424	293.600	179.366	445.449	314.593	180.203	441.307	277.497	179.834
12822	25.64200	412.122	490.927	165.448	426.211	478.281	165.676	425.056	506.330	165.754	461.181	293.704	179.367	445.186	314.713	180.133	441.015	277.632	179.796
12823	25.64400	411.891	490.564	165.442	426.087	478.112	165.668	424.703	506.125	165.737	460.903	293.801	179.387	444.995	314.843	180.114	440.748	277.766	179.834
12824	25.64600	411.666	490.254	165.468	425.988	477.926	165.630	424.286	505.921	165.752	460.632	293.914	179.405	444.741	314.911	180.240	440.490	277.895	179.811
12825	25.64800	411.450	489.944	165.463	425.890	477.749	165.576	423.900	505.716	165.799	460.376	294.020	179.403	444.486	315.047	180.207	440.223	278.026	179.819
12826	25.65000	411.225	489.573	165.474	425.780	477.545	165.601	423.491	505.520	165.798	460.148	294.125	179.404	444.249	315.195	180.182	439.949	278.148	179.814
12827	25.65200	410.986	489.237	165.485	425.687	477.360	165.625	423.112	505.315	165.845	459.873	294.219	179.392	444.057	315.337	180.209	439.679	278.264	179.859
12828	25.65400	410.761	488.944	165.479	425.563	477.183	165.633	422.728	505.093	165.828	459.604	294.333	179.407	443.864	315.476	180.206	439.391	278.395	179.865
12829	25.65600	410.531	488.590	165.459	425.446	477.006	165.641	422.306	504.897	165.796	459.353	294.445	179.391	443.571	315.566	180.282	439.115	278.516	179.861
12830	25.65800	410.298	488.236	165.471	425.339	476.846	165.617	421.905	504.675	165.813	459.102	294.567	179.388	443.245	315.692	180.196	438.796	278.679	179.828
12831	25.66000	410.060	487.935	165.450	425.224	476.669	165.594	421.495	504.453	165.858	458.828	294.679	179.372	443.083	315.830	180.161	438.555	278.808	179.805
12832	25.66200	409.820	487.616	165.460	425.085	476.474	165.603	421.109	504.240	165.888	458.560	294.783	179.374	442.892	315.960	180.143	438.280	278.939	179.813
12833	25.66400	409.589	487.262	165.440	424.977	476.298	165.610	420.687	504.035	165.872	458.304	294.896	179.356	442.623	316.053	180.246	438.000	279.075	179.772
12834	25.66600	409.365	486.917	165.467	424.875	476.121	165.649	420.280	503.830	165.824	458.052	295.011	179.369	442.312	316.207	180.206	437.687	279.206	179.779
12835	25.66800	409.141	486.634	165.476	424.758	475.953	165.671	419.865	503.599	165.824	457.783	295.107	179.389	442.094	316.371	180.182	437.420	279.330	179.806
12836	25.67000	408.887	486.270	165.441	424.620	475.794	165.647	419.463	503.360	165.869	457.491	295.221	179.405	441.938	316.487	180.199	437.154	279.454	179.830
12837	25.67200	408.654	485.925	165.469	424.499	475.634	165.591	419.061	503.146	165.900	457.248	295.309	179.409	441.593	316.544	180.310	436.864	279.603	179.834
12838	25.67400	408.438	485.616	165.465	424.362	475.465	165.552	418.615	502.941	165.885	456.991	295.441	179.418	441.341	316.680	180.240	436.588	279.717	179.847
12839	25.67600	408.207	485.306	165.459	424.230	475.287	165.561	418.247	502.719	165.869	456.740	295.546	179.418	441.154	316.827	180.220	436.315	279.855	179.837
12840	25.67800	407.975	484.934	165.474	424.098	475.120	165.584	417.800	502.488	165.869	456.446	295.649	179.422	440.947	316.972	180.167	436.025	279.976	179.832
12841	25.68000	407.735	484.615	165.486	423.958	474.952	165.606	417.399	502.239	165.900	456.210	295.762	179.405	440.738	317.113	180.159	435.712	280.132	179.819
12842	25.68200	407.503	484.323	165.480	423.850	474.801	165.598	416.998	502.017	165.917	455.945	295.874	179.389	440.510	317.260	180.138	435.470	280.270	179.809
