NO_OF_FRAMES	1221
NO_OF_CAMERAS	2
NO_OF_MARKERS	6
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-21, 20:46:41.397	960134.98948280
DATA_INCLUDED	3D
TITLE	Bevaring av rörelsemängdsmoment i plastisk stöt 82.2g vs 43.3g
MARKER_NAMES	h43_3g	hx	hy	v82_2g	vx	vy
COLLISION_TIME	0.62
TRAJECTORY_TYPES	Measured	Mixed	Mixed	Measured	Measured	Measured
Frame	Time	h43_3g X	h43_3g Y	h43_3g Z	hx X	hx Y	hx Z	hy X	hy Y	hy Z	v82_2g X	v82_2g Y	v82_2g Z	vx X	vx Y	vx Z	vy X	vy Y	vy Z	
7905	15.80800	584.605	685.278	163.763	553.369	732.676	165.057	542.190	649.306	164.481	494.948	353.311	179.308	495.820	379.793	180.061	469.260	353.793	179.457
7906	15.81000	584.597	685.278	163.762	553.367	732.666	165.071	542.188	649.314	164.498	494.900	353.321	179.320	495.768	379.810	180.025	469.206	353.792	179.456
7907	15.81200	584.597	685.278	163.762	553.360	732.666	165.071	542.188	649.314	164.498	494.833	353.339	179.313	495.704	379.820	180.037	469.150	353.793	179.487
7908	15.81400	584.591	685.271	163.745	553.352	732.666	165.071	542.181	649.314	164.497	494.798	353.356	179.309	495.650	379.820	180.035	469.086	353.802	179.502
7909	15.81600	584.599	685.271	163.745	553.345	732.659	165.053	542.188	649.314	164.498	494.752	353.364	179.291	495.603	379.837	180.031	469.022	353.803	179.533
7910	15.81800	584.591	685.271	163.745	553.352	732.666	165.071	542.190	649.306	164.481	494.692	353.381	179.288	495.548	379.856	180.026	468.962	353.820	179.528
7911	15.82000	584.589	685.262	163.759	553.337	732.649	165.067	542.189	649.297	164.495	494.615	353.387	179.273	495.502	379.855	180.025	468.925	353.845	179.507
7912	15.82200	584.589	685.260	163.760	553.337	732.648	165.067	542.189	649.297	164.495	494.558	353.405	179.301	495.445	379.865	180.037	468.882	353.871	179.485
7913	15.82400	584.588	685.251	163.774	553.328	732.639	165.081	542.195	649.287	164.510	494.529	353.412	179.285	495.357	379.864	180.070	468.845	353.879	179.467
7914	15.82600	584.588	685.251	163.774	553.321	732.638	165.081	542.188	649.286	164.511	494.502	353.414	179.314	495.269	379.871	180.087	468.793	353.896	179.462
7915	15.82800	584.588	685.234	163.771	553.314	732.620	165.078	542.195	649.269	164.508	494.476	353.430	179.278	495.208	379.871	180.086	468.763	353.904	179.444
7916	15.83000	584.581	685.233	163.772	553.314	732.620	165.078	542.186	649.259	164.523	494.442	353.440	179.292	495.163	379.888	180.083	468.742	353.912	179.427
7917	15.83200	584.589	685.232	163.772	553.307	732.603	165.074	542.192	649.250	164.537	494.387	353.448	179.307	495.101	379.906	180.078	468.670	353.929	179.388
