NO_OF_FRAMES	1077
NO_OF_CAMERAS	2
NO_OF_MARKERS	6
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-21, 20:49:17.962	960291.55419360
DATA_INCLUDED	3D
TITLE	Bevaring av rörelsemängdsmoment i plastisk stöt 82.2 g vs 82.4 g #1
MARKER_NAMES	h82_4g	hx	hy	v82_2g	vx	vy
COLLISION_TIME	0.5
TRAJECTORY_TYPES	Mixed	Mixed	Measured	Measured	Mixed	Measured
Frame	Time	h82_4g X	h82_4g Y	h82_4g Z	hx X	hx Y	hx Z	hy X	hy Y	hy Z	v82_2g X	v82_2g Y	v82_2g Z	vx X	vx Y	vx Z	vy X	vy Y	vy Z	
3899	7.79600	580.050	592.549	180.033	605.743	589.843	179.600	582.414	618.285	179.345	549.373	325.043	179.146	564.089	303.192	179.866	570.524	340.079	179.502
3900	7.79800	579.839	592.258	179.999	605.533	590.157	179.554	581.521	617.955	179.380	549.112	325.463	179.146	563.370	303.265	179.864	570.665	339.981	179.476
3901	7.80000	579.527	591.940	180.006	605.369	590.598	179.453	580.566	617.614	179.430	548.924	325.931	179.076	562.589	303.343	179.881	570.800	339.874	179.437
3902	7.80200	579.296	591.615	180.057	605.182	590.917	179.527	579.653	617.397	179.400	548.713	326.345	179.094	561.788	303.429	179.844	570.919	339.735	179.466
3903	7.80400	579.031	591.297	180.037	604.925	591.223	179.495	578.746	617.122	179.377	548.489	326.768	179.094	560.943	303.531	179.839	571.027	339.602	179.449
3904	7.80600	578.783	590.997	179.957	604.592	591.603	179.453	577.807	616.682	179.466	548.248	327.222	179.089	560.135	303.654	179.825	571.126	339.478	179.444
3905	7.80800	578.563	590.646	180.022	604.371	591.938	179.498	576.929	616.363	179.396	548.037	327.651	179.074	559.316	303.810	179.806	571.202	339.337	179.442
3906	7.81000	578.254	590.325	180.032	604.115	592.257	179.510	576.031	616.036	179.451	547.821	328.074	179.107	558.554	304.012	179.789	571.273	339.215	179.435
3907	7.81200	578.034	590.038	179.965	603.709	592.635	179.438	575.059	615.634	179.481	547.594	328.509	179.117	557.772	304.179	179.851	571.316	339.080	179.384
3908	7.81400	577.791	589.682	180.005	603.407	592.967	179.513	574.203	615.219	179.418	547.359	328.950	179.072	556.893	304.337	179.896	571.361	338.929	179.335
3909	7.81600	577.520	589.391	179.999	603.075	593.267	179.524	573.282	614.823	179.467	547.135	329.364	179.091	555.994	304.514	179.968	571.361	338.761	179.321
3910	7.81800	577.236	589.065	179.992	602.682	593.643	179.403	572.356	614.381	179.447	546.889	329.794	179.107	555.182	304.759	179.991	571.371	338.594	179.306
3911	7.82000	576.969	588.714	179.999	602.284	593.973	179.509	571.468	613.916	179.460	546.682	330.235	179.104	554.420	305.020	179.912	571.362	338.402	179.313
3912	7.82200	576.769	588.451	179.950	601.885	594.293	179.508	570.586	613.470	179.475	546.470	330.665	179.088	553.599	305.277	179.768	571.313	338.205	179.399
3913	7.82400	576.449	588.111	179.990	601.454	594.639	179.382	569.666	612.970	179.484	546.198	331.097	179.137	552.671	305.542	179.885	571.253	338.026	179.371
3914	7.82600	576.214	587.772	179.981	601.026	594.947	179.488	568.786	612.489	179.496	545.975	331.550	179.070	551.698	305.801	179.976	571.207	337.877	179.319
3915	7.82800	575.926	587.454	179.960	600.528	595.243	179.529	567.886	611.965	179.519	545.793	331.988	179.070	550.883	306.059	179.941	571.134	337.687	179.213
3916	7.83000	575.699	587.170	179.912	600.077	595.607	179.455	566.973	611.432	179.495	545.480	332.391	179.078	550.113	306.445	179.895	571.032	337.489	179.157
3917	7.83200	575.415	586.826	179.965	599.581	595.898	179.478	566.068	610.862	179.532	545.267	332.851	179.102	549.249	306.786	179.913	570.937	337.271	179.217
3918	7.83400	575.121	586.506	179.977	599.115	596.189	179.522	565.234	610.340	179.495	545.022	333.275	179.062	548.300	307.080	179.893	570.816	337.058	179.336
3919	7.83600	574.929	586.231	179.863	598.552	596.488	179.469	564.334	609.724	179.545	544.843	333.713	179.173	547.398	307.461	179.921	570.681	336.817	179.381
3920	7.83800	574.652	585.898	179.922	598.055	596.797	179.453	563.507	609.156	179.552	544.694	334.148	179.045	546.508	307.834	179.866	570.519	336.568	179.366
