NO_OF_FRAMES	957
NO_OF_CAMERAS	2
NO_OF_MARKERS	6
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-21, 20:49:17.962	960291.55419360
DATA_INCLUDED	3D
TITLE	Bevaring av rörelsemängdsmoment i plastisk stöt 82.2 g vs 82.4 g #2
MARKER_NAMES	h82_4g	hx	hy	v82_2g	vx	vy
COLLISION_TIME	0.54
TRAJECTORY_TYPES	Measured	Measured	Measured	Mixed	Measured	Measured
Frame	Time	h82_4g X	h82_4g Y	h82_4g Z	hx X	hx Y	hx Z	hy X	hy Y	hy Z	v82_2g X	v82_2g Y	v82_2g Z	vx X	vx Y	vx Z	vy X	vy Y	vy Z	
22585	45.16800	565.165	574.226	179.708	581.275	594.329	179.490	544.849	590.277	179.578	478.043	393.088	179.313	503.412	401.073	179.778	469.849	417.629	179.655
22586	45.17000	564.941	573.914	179.680	580.593	594.303	179.481	544.258	589.517	179.649	478.006	393.149	179.320	503.274	401.451	179.769	469.506	417.567	179.703
22587	45.17200	564.663	573.492	179.749	579.898	594.273	179.514	543.775	588.815	179.571	477.937	393.202	179.311	503.132	401.888	179.909	469.100	417.503	179.689
22588	45.17400	564.360	573.193	179.702	579.276	594.207	179.517	543.211	588.045	179.689	477.874	393.247	179.351	502.918	402.319	179.757	468.697	417.432	179.690
22589	45.17600	564.136	572.942	179.661	578.606	594.166	179.536	542.640	587.321	179.643	477.836	393.299	179.343	502.689	402.725	179.823	468.346	417.360	179.694
22590	45.17800	563.882	572.516	179.765	577.931	594.109	179.523	542.116	586.590	179.582	477.769	393.360	179.349	502.563	403.125	179.907	467.933	417.296	179.647
22591	45.18000	563.645	572.190	179.733	577.271	594.025	179.524	541.601	585.805	179.670	477.722	393.413	179.373	502.382	403.564	179.707	467.569	417.189	179.653
22592	45.18200	563.377	571.920	179.640	576.557	593.960	179.525	541.068	585.063	179.625	477.669	393.475	179.379	502.141	404.005	179.835	467.139	417.100	179.623
22593	45.18400	563.073	571.563	179.716	575.891	593.883	179.512	540.493	584.304	179.549	477.629	393.537	179.384	501.974	404.340	179.848	466.769	417.002	179.678
22594	45.18600	562.888	571.196	179.698	575.182	593.792	179.526	540.133	583.541	179.609	477.586	393.606	179.374	501.725	404.818	179.736	466.404	416.896	179.652
22595	45.18800	562.617	570.892	179.655	574.484	593.690	179.525	539.565	582.753	179.610	477.558	393.676	179.364	501.539	405.200	179.854	465.970	416.788	179.692
22596	45.19000	562.290	570.592	179.639	573.776	593.581	179.539	539.114	581.967	179.673	477.524	393.738	179.370	501.350	405.560	179.817	465.642	416.690	179.682
22597	45.19200	562.054	570.187	179.742	573.093	593.459	179.539	538.608	581.235	179.585	477.457	393.815	179.342	501.101	406.049	179.782	465.267	416.574	179.673
22598	45.19400	561.812	569.868	179.636	572.385	593.333	179.551	538.103	580.424	179.571	477.403	393.867	179.336	500.856	406.389	179.784	464.920	416.457	179.635
22599	45.19600	561.622	569.585	179.624	571.664	593.231	179.550	537.733	579.605	179.664	477.364	393.928	179.343	500.599	406.761	179.821	464.593	416.342	179.627
22600	45.19800	561.286	569.176	179.759	570.962	593.094	179.517	537.184	578.860	179.626	477.296	393.990	179.347	500.441	407.207	179.777	464.152	416.198	179.607
22601	45.20000	561.045	568.857	179.662	570.228	592.930	179.559	536.853	578.043	179.629	477.252	394.051	179.322	500.199	407.540	179.794	463.830	416.075	179.616
22602	45.20200	560.792	568.571	179.621	569.507	592.760	179.553	536.355	577.234	179.615	477.185	394.104	179.312	499.862	407.955	179.843	463.484	415.933	179.594
22603	45.20400	560.506	568.195	179.730	568.793	592.560	179.623	536.019	576.417	179.680	477.147	394.156	179.304	499.630	408.353	179.761	463.110	415.782	179.623
22604	45.20600	560.253	567.855	179.696	568.059	592.382	179.601	535.465	575.628	179.537	477.081	394.216	179.278	499.414	408.697	179.789	462.759	415.649	179.585
22605	45.20800	559.963	567.548	179.604	567.274	592.220	179.549	535.126	574.804	179.616	477.026	394.270	179.300	499.128	409.076	179.845	462.400	415.472	179.599
22606	45.21000	559.747	567.230	179.620	566.545	592.029	179.544	534.727	574.042	179.613	476.989	394.322	179.292	498.833	409.451	179.778	462.061	415.320	179.534
22607	45.21200	559.463	566.844	179.715	565.802	591.839	179.538	534.360	573.187	179.567	476.935	394.367	179.300	498.560	409.835	179.757	461.677	415.126	179.583
22608	45.21400	559.245	566.543	179.559	565.074	591.609	179.573	533.895	572.360	179.551	476.891	394.427	179.276	498.301	410.196	179.817	461.383	414.991	179.515
22609	45.21600	558.920	566.226	179.574	564.327	591.377	179.548	533.621	571.586	179.607	476.852	394.471	179.285	498.000	410.548	179.796	461.005	414.814	179.565
22610	45.21800	558.663	565.858	179.700	563.579	591.130	179.512	533.270	570.757	179.580	476.807	394.523	179.276	497.720	410.915	179.778	460.704	414.671	179.480
22611	45.22000	558.443	565.542	179.594	562.817	590.889	179.532	532.878	569.901	179.529	476.769	394.585	179.282	497.424	411.280	179.763	460.337	414.468	179.515
22612	45.22200	558.184	565.223	179.581	562.074	590.671	179.488	532.614	569.077	179.668	476.723	394.637	179.274	497.149	411.606	179.794	460.042	414.307	179.468
22613	45.22400	557.865	564.871	179.655	561.344	590.409	179.511	532.158	568.282	179.635	476.646	394.699	179.280	496.839	411.967	179.820	459.691	414.096	179.488
22614	45.22600	557.568	564.549	179.675	560.585	590.099	179.579	531.964	567.495	179.571	476.600	394.760	179.286	496.557	412.323	179.760	459.407	413.919	179.504
22615	45.22800	557.371	564.235	179.569	559.788	589.771	179.593	531.639	566.653	179.650	476.547	394.822	179.292	496.235	412.655	179.777	459.038	413.698	179.511
