NO_OF_FRAMES	5700
NO_OF_CAMERAS	2
NO_OF_MARKERS	15
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-21, 21:15:25.973	961859.55993530
DATA_INCLUDED	3D
MARKER_NAMES	a396_1g	ax	ay	b31_6g	bx	by	c27_7g	cx	cy	d14_6g	dx	dy	e5_9g	ex	ey
TRAJECTORY_TYPES	Mixed	Mixed	Mixed	Measured	Measured	Measured	Mixed	Mixed	Mixed	Measured	Mixed	Measured	Measured	Measured	Measured
Frame	Time	a396_1g X	a396_1g Y	a396_1g Z	ax X	ax Y	ax Z	ay X	ay Y	ay Z	b31_6g X	b31_6g Y	b31_6g Z	bx X	bx Y	bx Z	by X	by Y	by Z	c27_7g X	c27_7g Y	c27_7g Z	cx X	cx Y	cx Z	cy X	cy Y	cy Z	d14_6g X	d14_6g Y	d14_6g Z	dx X	dx Y	dx Z	dy X	dy Y	dy Z	e5_9g X	e5_9g Y	e5_9g Z	ex X	ex Y	ex Z	ey X	ey Y	ey Z	
32513	65.02400	327.432	578.959	172.254	297.077	565.379	170.992	340.346	546.911	170.707	386.864	719.286	166.140	392.351	738.839	166.064	366.453	723.036	165.698	529.165	588.493	165.099	527.078	608.520	165.067	508.387	584.260	164.985	311.495	450.855	166.072	331.045	440.341	166.369	323.129	471.126	166.045	158.197	496.728	162.487	173.921	508.905	165.922	145.045	511.136	166.062
32514	65.02600	327.348	579.047	172.258	297.781	563.761	171.008	342.026	547.745	170.682	386.414	719.871	166.135	391.985	739.424	166.041	365.914	723.701	165.776	529.790	588.595	165.098	528.295	608.726	165.065	508.848	584.856	164.912	311.091	450.570	165.996	330.588	439.818	166.391	322.896	470.720	166.036	157.079	496.990	162.491	172.850	509.131	165.899	143.977	511.445	166.086
32515	65.02800	327.273	579.135	172.261	298.638	562.242	170.987	343.699	548.710	170.741	385.979	720.502	166.204	391.606	740.046	166.108	365.512	724.482	165.578	530.351	588.730	165.037	529.501	608.850	165.104	509.445	585.557	164.972	310.691	450.261	166.061	330.066	439.356	166.303	322.795	470.286	166.013	155.969	497.252	162.495	171.772	509.366	165.892	142.922	511.768	166.078
32516	65.03000	327.197	579.214	172.249	299.526	560.739	171.001	345.326	549.799	170.740	385.479	721.146	166.086	391.189	740.655	165.996	365.072	725.058	165.815	530.986	588.780	165.093	530.574	608.951	165.174	509.866	586.160	164.917	310.365	449.925	166.114	329.623	438.833	166.325	322.588	469.861	165.945	154.884	497.523	162.515	170.706	509.593	165.932	141.842	512.083	166.055
32517	65.03200	327.105	579.284	172.282	300.522	559.272	171.018	346.892	550.949	170.786	385.074	721.748	166.198	390.836	741.240	166.085	364.645	725.843	165.694	531.582	588.861	165.153	531.610	609.051	165.154	510.549	586.835	164.961	309.965	449.657	166.005	329.103	438.337	166.272	322.432	469.446	165.952	153.764	497.813	162.503	169.645	509.818	165.940	140.785	512.373	166.111
32518	65.03400	327.038	579.363	172.302	301.602	557.929	171.013	348.359	552.178	170.787	384.581	722.380	166.127	390.414	741.846	166.006	364.217	726.535	165.770	532.091	589.006	165.076	532.689	609.181	165.087	511.008	587.447	164.922	309.614	449.381	166.005	328.615	437.866	166.259	322.252	468.995	165.961	152.657	498.101	162.460	168.582	510.035	165.933	139.729	512.697	166.104
32519	65.03600	326.978	579.441	172.353	302.789	556.640	170.983	349.735	553.406	170.850	384.118	723.023	166.153	390.059	742.452	166.040	363.757	727.224	165.756	532.887	589.194	164.970	533.826	609.278	165.048	511.605	588.145	164.895	309.198	449.046	166.058	328.132	437.345	166.316	322.041	468.580	165.970	151.554	498.363	162.464	167.490	510.262	165.942	138.656	513.011	166.081
32520	65.03800	326.902	579.520	172.372	304.031	555.394	171.001	351.087	554.793	170.856	383.691	723.595	166.197	389.662	743.037	166.018	363.333	727.801	165.853	533.464	589.367	164.993	535.015	609.366	165.024	512.169	588.752	164.962	308.821	448.736	166.093	327.607	436.874	166.274	321.925	468.146	165.977	150.439	498.626	162.501	166.422	510.508	165.952	137.594	513.309	166.089
32521	65.04000	326.857	579.598	172.422	305.358	554.218	171.023	352.356	556.294	170.818	383.183	724.261	166.133	389.292	743.672	166.011	362.872	728.670	165.645	534.004	589.471	164.989	536.147	609.446	165.044	512.861	589.437	164.901	308.457	448.460	166.061	327.116	436.355	166.393	321.750	467.705	165.973	149.349	498.922	162.472	165.371	510.735	165.993	136.537	513.616	166.145
32522	65.04200	326.804	579.676	172.440	306.730	553.158	171.005	353.495	557.786	170.826	382.771	724.843	166.164	388.887	744.245	166.036	362.421	729.249	165.707	534.654	589.594	164.978	537.264	609.516	165.049	513.364	590.098	164.903	308.097	448.176	166.078	326.615	435.901	166.350	321.560	467.281	165.998	148.254	499.201	162.476	164.280	510.952	166.017	135.462	513.924	166.170
