NO_OF_FRAMES	846
NO_OF_CAMERAS	2
NO_OF_MARKERS	6
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-21, 11:24:41.213	926414.95854500
DATA_INCLUDED	3D
MARKER_NAMES	v43_3g_origo	v43_3g_X	v43_3g_Y	h43_5g_origo	h43_5g_X	h43_5g_Y
TRAJECTORY_TYPES	Measured	Measured	Mixed	Measured	Measured	Measured
Frame	Time	v43_3g_origo X	v43_3g_origo Y	v43_3g_origo Z	v43_3g_X X	v43_3g_X Y	v43_3g_X Z	v43_3g_Y X	v43_3g_Y Y	v43_3g_Y Z	h43_5g_origo X	h43_5g_origo Y	h43_5g_origo Z	h43_5g_X X	h43_5g_X Y	h43_5g_X Z	h43_5g_Y X	h43_5g_Y Y	h43_5g_Y Z	
1489	2.97600	437.145	287.569	162.644	459.531	235.359	163.250	484.867	315.344	163.081	423.985	494.359	163.211	409.917	548.142	164.576	370.578	479.604	163.681
1490	2.97800	436.762	287.750	162.607	458.256	235.176	163.300	484.972	314.683	163.086	423.522	493.837	163.237	408.477	547.412	164.605	370.412	478.128	163.678
1491	2.98000	436.394	287.914	162.576	456.961	235.007	163.312	485.073	314.045	163.038	423.074	493.393	163.217	407.031	546.640	164.551	370.253	476.652	163.709
1492	2.98200	436.059	288.122	162.547	455.690	234.856	163.318	485.169	313.377	163.061	422.613	492.896	163.164	405.576	545.822	164.547	370.123	475.204	163.727
1493	2.98400	435.752	288.311	162.604	454.403	234.698	163.342	485.244	312.706	163.054	422.148	492.400	163.209	404.165	545.012	164.652	369.966	473.744	163.636
1494	2.98600	435.355	288.479	162.639	453.125	234.556	163.362	485.329	312.027	163.031	421.687	491.938	163.157	402.795	544.186	164.633	369.821	472.296	163.721
1495	2.98800	434.978	288.653	162.621	451.826	234.439	163.355	485.363	311.348	163.042	421.214	491.442	163.202	401.364	543.352	164.567	369.754	470.865	163.713
1496	2.99000	434.618	288.810	162.606	450.506	234.331	163.366	485.394	310.641	163.011	420.766	490.971	163.198	399.940	542.464	164.564	369.688	469.416	163.706
1497	2.99200	434.170	288.968	162.624	449.187	234.226	163.407	485.413	309.946	163.025	420.303	490.484	163.195	398.531	541.602	164.580	369.628	467.995	163.782
1498	2.99400	433.886	289.179	162.630	447.885	234.163	163.419	485.403	309.230	163.013	419.862	490.005	163.209	397.190	540.696	164.610	369.592	466.581	163.778
1499	2.99600	433.575	289.381	162.619	446.568	234.109	163.443	485.394	308.516	163.000	419.393	489.499	163.175	395.789	539.772	164.611	369.580	465.158	163.731
1500	2.99800	433.213	289.547	162.620	445.266	234.073	163.462	485.360	307.793	163.005	418.934	489.020	163.252	394.403	538.831	164.581	369.590	463.755	163.811
1501	3.00000	432.821	289.718	162.571	443.943	234.060	163.457	485.320	307.068	162.979	418.457	488.524	163.203	393.096	537.883	164.503	369.606	462.361	163.878
1502	3.00200	432.451	289.882	162.535	442.633	234.061	163.498	485.238	306.318	162.977	418.031	488.054	163.233	391.710	536.933	164.460	369.625	460.955	163.837
1503	3.00400	432.105	290.050	162.572	441.306	234.085	163.516	485.177	305.594	162.951	417.585	487.557	163.184	390.355	535.930	164.448	369.690	459.604	163.825
1504	3.00600	431.720	290.241	162.661	439.996	234.127	163.528	485.070	304.845	162.981	417.145	487.096	163.198	389.045	534.910	164.467	369.777	458.254	163.877
1505	3.00800	431.416	290.418	162.673	438.680	234.155	163.575	484.970	304.094	162.945	416.683	486.599	163.150	387.690	533.916	164.444	369.856	456.868	163.905
1506	3.01000	430.972	290.595	162.610	437.333	234.213	163.581	484.831	303.352	162.924	416.220	486.111	163.149	386.380	532.878	164.435	369.944	455.490	163.917
1507	3.01200	430.584	290.767	162.559	435.956	234.295	163.562	484.678	302.587	162.958	415.772	485.632	163.163	385.071	531.822	164.428	370.069	454.158	163.944
1508	3.01400	430.297	290.936	162.477	434.593	234.378	163.545	484.524	301.853	162.919	415.308	485.135	163.149	383.754	530.775	164.377	370.187	452.842	163.972
1509	3.01600	429.874	291.149	162.513	433.249	234.490	163.564	484.333	301.050	162.931	414.860	484.657	163.164	382.491	529.711	164.325	370.335	451.537	164.018
1510	3.01800	429.526	291.333	162.620	431.966	234.672	163.564	484.166	300.300	162.895	414.382	484.151	163.134	381.212	528.620	164.322	370.508	450.213	164.033
1511	3.02000	429.265	291.485	162.657	430.656	234.849	163.536	483.954	299.542	162.912	413.941	483.681	163.165	379.902	527.502	164.307	370.681	448.915	164.033
1512	3.02200	428.817	291.641	162.644	429.272	234.948	163.592	483.690	298.794	162.945	413.470	483.175	163.167	378.616	526.376	164.276	370.876	447.653	164.033
1513	3.02400	428.440	291.811	162.597	427.972	235.077	163.608	483.483	298.015	162.903	413.016	482.714	163.119	377.368	525.241	164.230	371.078	446.383	164.084
1514	3.02600	428.058	292.035	162.534	426.662	235.296	163.626	483.226	297.221	162.897	412.543	482.209	163.184	376.143	524.106	164.186	371.273	445.121	164.118
1515	3.02800	427.658	292.255	162.553	425.251	235.584	163.664	482.893	296.469	162.864	412.090	481.738	163.121	374.886	522.936	164.178	371.538	443.878	164.183
1516	3.03000	427.316	292.433	162.601	423.906	235.806	163.631	482.643	295.708	162.929	411.648	481.251	163.155	373.630	521.739	164.121	371.773	442.642	164.171
1517	3.03200	426.956	292.583	162.604	422.658	236.008	163.575	482.265	294.947	162.919	411.178	480.745	163.126	372.420	520.542	164.068	372.037	441.433	164.177
1518	3.03400	426.610	292.734	162.640	421.260	236.313	163.605	481.955	294.153	162.913	410.706	480.275	163.159	371.272	519.354	164.032	372.317	440.191	164.248
1519	3.03600	426.243	292.918	162.635	419.892	236.574	163.713	481.683	293.363	162.826	410.265	479.753	163.194	370.092	518.131	163.997	372.621	439.025	164.204
1520	3.03800	425.858	293.133	162.593	418.545	236.888	163.638	481.195	292.566	162.940	409.780	479.290	163.118	368.858	516.881	163.948	372.909	437.836	164.274
1521	3.04000	425.496	293.327	162.603	417.337	237.208	163.626	480.885	291.848	162.867	409.354	478.777	163.199	367.724	515.632	163.934	373.251	436.689	164.263
1522	3.04200	425.112	293.520	162.613	415.956	237.514	163.656	480.552	291.061	162.923	408.861	478.297	163.125	366.613	514.391	163.937	373.561	435.534	164.303
1523	3.04400	424.756	293.679	162.632	414.593	237.857	163.705	479.946	290.270	162.908	408.412	477.819	163.174	365.487	513.124	163.894	373.904	434.397	164.340
1524	3.04600	424.381	293.862	162.628	413.262	238.249	163.628	479.719	289.521	162.763	407.972	477.313	163.148	364.369	511.830	163.839	374.300	433.285	164.331
1525	3.04800	424.018	294.029	162.630	412.017	238.606	163.636	479.070	288.718	162.893	407.488	476.851	163.103	363.265	510.528	163.802	374.658	432.175	164.353
