NO_OF_FRAMES	1598
NO_OF_CAMERAS	2
NO_OF_MARKERS	6
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-21, 11:34:23.998	926997.74098940
DATA_INCLUDED	3D
MARKER_NAMES	v43_3g_orgio	v43_3g_X	v43_3g_Y	h43_5g_origo	h43_5g_X	h43_5g_Y
TRAJECTORY_TYPES	Measured	Mixed	Measured	Measured	Measured	Measured
Frame	Time	v43_3g_orgio X	v43_3g_orgio Y	v43_3g_orgio Z	v43_3g_X X	v43_3g_X Y	v43_3g_X Z	v43_3g_Y X	v43_3g_Y Y	v43_3g_Y Z	h43_5g_origo X	h43_5g_origo Y	h43_5g_origo Z	h43_5g_X X	h43_5g_X Y	h43_5g_X Z	h43_5g_Y X	h43_5g_Y Y	h43_5g_Y Z	
4190	8.37800	393.588	351.489	162.740	419.892	401.856	164.098	341.549	371.078	163.179	535.901	582.319	163.344	579.420	547.336	163.650	569.394	626.033	164.607
4191	8.38000	393.713	352.087	162.697	420.926	401.913	164.109	342.046	372.563	163.170	535.742	581.910	163.385	579.771	547.511	163.629	568.802	626.166	164.479
4192	8.38200	393.822	352.589	162.687	421.954	401.951	164.091	342.550	374.057	163.177	535.637	581.444	163.344	580.126	547.689	163.575	568.096	626.248	164.426
4193	8.38400	394.018	353.141	162.745	422.951	401.997	164.055	343.094	375.489	163.179	535.505	581.036	163.355	580.483	547.878	163.567	567.326	626.288	164.402
4194	8.38600	394.112	353.669	162.715	423.943	401.999	164.010	343.629	376.940	163.213	535.356	580.611	163.363	580.846	548.090	163.576	566.564	626.309	164.440
4195	8.38800	394.228	354.241	162.695	424.945	402.000	163.965	344.194	378.389	163.188	535.236	580.134	163.401	581.193	548.323	163.522	565.781	626.293	164.475
4196	8.39000	394.370	354.764	162.713	425.906	401.993	163.938	344.767	379.820	163.167	535.094	579.777	163.355	581.504	548.545	163.515	564.974	626.276	164.510
4197	8.39200	394.493	355.311	162.713	426.877	401.969	163.911	345.349	381.252	163.149	534.980	579.309	163.407	581.815	548.748	163.508	564.139	626.245	164.511
4198	8.39400	394.602	355.849	162.699	427.840	401.918	163.872	345.992	382.660	163.184	534.857	578.874	163.403	582.120	548.963	163.484	563.289	626.230	164.513
4199	8.39600	394.728	356.404	162.681	428.802	401.850	163.867	346.595	384.065	163.158	534.713	578.494	163.368	582.408	549.202	163.478	562.537	626.181	164.545
4200	8.39800	394.843	356.909	162.705	429.773	401.773	163.846	347.246	385.455	163.200	534.584	577.960	163.499	582.711	549.459	163.472	561.716	626.140	164.560
4201	8.40000	395.022	357.476	162.734	430.713	401.669	163.813	347.904	386.851	163.163	534.436	577.599	163.342	582.975	549.697	163.465	560.867	626.090	164.559
4202	8.40200	395.103	357.995	162.690	431.636	401.549	163.814	348.569	388.222	163.150	534.304	577.149	163.426	583.249	549.949	163.441	559.993	626.031	164.573
