NO_OF_FRAMES	1453
NO_OF_CAMERAS	2
NO_OF_MARKERS	6
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-21, 11:41:31.017	927424.75938200
DATA_INCLUDED	3D
MARKER_NAMES	v43_3g_origo	v43_3g_X	v43_3g_Y	h43_5g_origo	h43_5g_X	h43_5g_Y
TRAJECTORY_TYPES	Measured	Measured	Measured	Mixed	Measured	Mixed
Frame	Time	v43_3g_origo X	v43_3g_origo Y	v43_3g_origo Z	v43_3g_X X	v43_3g_X Y	v43_3g_X Z	v43_3g_Y X	v43_3g_Y Y	v43_3g_Y Z	h43_5g_origo X	h43_5g_origo Y	h43_5g_origo Z	h43_5g_X X	h43_5g_X Y	h43_5g_X Z	h43_5g_Y X	h43_5g_Y Y	h43_5g_Y Z	
3364	6.72600	270.894	409.237	162.973	269.038	352.642	163.938	326.162	413.909	163.335	547.273	642.866	163.346	559.146	697.828	164.637	493.525	654.049	163.719
3365	6.72800	270.909	409.422	162.935	270.164	352.754	163.971	326.089	415.127	163.316	546.829	642.467	163.312	558.642	697.505	164.611	493.035	653.587	163.780
3366	6.73000	270.941	409.618	162.976	271.253	352.887	164.062	325.993	416.364	163.327	546.367	642.069	163.391	558.115	697.087	164.645	492.578	653.146	163.721
3367	6.73200	270.984	409.807	163.063	272.327	353.102	164.187	325.853	417.635	163.364	545.876	641.656	163.352	557.592	696.663	164.630	492.037	652.683	163.752
3368	6.73400	270.976	409.967	163.076	273.450	353.363	164.178	325.719	418.889	163.376	545.343	641.210	163.361	557.048	696.299	164.611	491.565	652.231	163.769
3369	6.73600	270.968	410.134	163.040	274.585	353.616	164.042	325.553	420.098	163.347	544.923	640.844	163.394	556.537	695.860	164.705	491.040	651.781	163.693
3370	6.73800	270.957	410.325	162.953	275.701	353.839	164.006	325.350	421.324	163.316	544.357	640.386	163.335	555.962	695.459	164.600	490.556	651.310	163.769
3371	6.74000	270.962	410.552	162.864	276.742	354.102	164.058	325.131	422.551	163.318	543.899	639.967	163.363	555.449	695.029	164.649	490.030	650.878	163.695
3372	6.74200	270.981	410.749	162.934	277.820	354.381	164.076	324.882	423.777	163.320	543.409	639.555	163.408	554.902	694.612	164.653	489.534	650.390	163.739
3373	6.74400	271.007	410.893	163.012	278.967	354.757	164.063	324.625	424.988	163.358	542.874	639.098	163.349	554.361	694.199	164.594	488.988	649.967	163.711
3374	6.74600	271.017	411.026	163.043	280.031	355.091	164.019	324.346	426.205	163.378	542.366	638.661	163.345	553.827	693.726	164.682	488.490	649.479	163.696
3375	6.74800	271.017	411.194	163.039	281.069	355.412	163.982	324.065	427.406	163.373	541.898	638.234	163.386	553.300	693.353	164.647	487.957	649.020	163.695
3376	6.75000	271.049	411.412	162.995	282.170	355.826	164.026	323.723	428.606	163.368	541.319	637.765	163.314	552.719	692.851	164.666	487.429	648.576	163.669
3377	6.75200	271.039	411.630	162.921	283.279	356.218	164.009	323.390	429.788	163.396	540.856	637.336	163.388	552.189	692.459	164.660	486.910	648.063	163.694
3378	6.75400	271.055	411.833	162.912	284.294	356.633	163.937	323.001	430.979	163.377	540.289	636.885	163.349	551.620	692.018	164.643	486.358	647.648	163.654
