NO_OF_FRAMES	1375
NO_OF_CAMERAS	2
NO_OF_MARKERS	2
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-21, 14:06:52.819	936146.53543960
DATA_INCLUDED	3D
TITLE	Bevaring av rörelsemängd i plastisk stöt 82.1 g vs 82.4 g #1
MARKER_NAMES	v82_1g	h82_4g
COLLISION_TIME	0.67
TRAJECTORY_TYPES	Measured	Mixed
Frame	Time	v82_1g X	v82_1g Y	v82_1g Z	h82_4g X	h82_4g Y	h82_4g Z	
2794	5.58600	350.706	287.478	179.428	296.898	601.020	180.343
2795	5.58800	350.767	287.768	179.438	297.137	600.627	180.302
2796	5.59000	350.813	288.058	179.446	297.320	600.278	180.313
2797	5.59200	350.891	288.362	179.418	297.492	599.788	180.312
2798	5.59400	350.953	288.659	179.407	297.648	599.457	180.230
2799	5.59600	351.045	288.958	179.429	297.883	599.034	180.325
2800	5.59800	351.076	289.248	179.437	298.067	598.578	180.294
2801	5.60000	351.154	289.545	179.427	298.235	598.249	180.247
2802	5.60200	351.238	289.859	179.413	298.428	597.799	180.389
2803	5.60400	351.308	290.156	179.403	298.603	597.408	180.256
2804	5.60600	351.362	290.431	179.447	298.828	597.040	180.264
2805	5.60800	351.423	290.730	179.469	299.047	596.572	180.372
2806	5.61000	351.516	291.054	179.469	299.174	596.209	180.261
2807	5.61200	351.586	291.349	179.428	299.392	595.823	180.365
2808	5.61400	351.632	291.639	179.439	299.571	595.367	180.367
2809	5.61600	351.700	291.932	179.481	299.777	595.003	180.222
2810	5.61800	351.778	292.236	179.454	299.990	594.560	180.379
2811	5.62000	351.863	292.548	179.410	300.146	594.179	180.266
2812	5.62200	351.909	292.848	179.433	300.329	593.796	180.247
2813	5.62400	351.947	293.138	179.443	300.553	593.363	180.423
2814	5.62600	352.009	293.435	179.435	300.742	592.963	180.276
2815	5.62800	352.079	293.767	179.417	300.917	592.559	180.315
2816	5.63000	352.187	294.066	179.441	301.084	592.164	180.370
2817	5.63200	352.225	294.349	179.468	301.248	591.783	180.228
2818	5.63400	352.286	294.646	179.460	301.507	591.334	180.342
2819	5.63600	352.380	294.970	179.462	301.710	590.973	180.398
2820	5.63800	352.449	295.250	179.457	301.843	590.566	180.269
2821	5.64000	352.525	295.543	179.499	302.026	590.117	180.353
