NO_OF_FRAMES	1450
NO_OF_CAMERAS	2
NO_OF_MARKERS	2
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-21, 14:29:35.977	937509.69054340
DATA_INCLUDED	3D
TITLE	Bevaring av rörelsemängd i plastisk stöt 82.1g vs 82.4g #2
MARKER_NAMES	v82_1g	h82_4g
COLLISION_TIME	0.55
TRAJECTORY_TYPES	Mixed	Measured
Frame	Time	v82_1g X	v82_1g Y	v82_1g Z	h82_4g X	h82_4g Y	h82_4g Z	
8113	16.22400	311.898	401.958	179.623	280.532	634.631	180.238
8114	16.22600	311.936	401.986	179.636	280.661	634.040	180.346
8115	16.22800	311.943	402.012	179.618	280.790	633.548	180.189
8116	16.23000	311.981	402.029	179.617	280.924	632.965	180.378
8117	16.23200	311.996	402.047	179.615	281.027	632.465	180.173
8118	16.23400	312.019	402.082	179.611	281.151	631.900	180.332
8119	16.23600	312.050	402.109	179.623	281.243	631.372	180.203
8120	16.23800	312.050	402.136	179.635	281.402	630.816	180.317
8121	16.24000	312.081	402.162	179.617	281.487	630.313	180.206
8122	16.24200	312.096	402.179	179.615	281.633	629.731	180.335
8123	16.24400	312.119	402.224	179.625	281.762	629.244	180.224
8124	16.24600	312.150	402.241	179.622	281.853	628.639	180.305
8125	16.24800	312.179	402.267	179.606	281.987	628.186	180.263
8126	16.25000	312.203	402.303	179.632	282.081	627.573	180.265
8127	16.25200	312.234	402.321	179.630	282.210	627.101	180.283
8128	16.25400	312.249	402.347	179.611	282.324	626.488	180.253
8129	16.25600	312.287	402.391	179.622	282.445	626.034	180.242
8130	16.25800	312.303	402.418	179.634	282.564	625.429	180.293
8131	16.26000	312.333	402.436	179.633	282.697	624.957	180.249
8132	16.26200	312.356	402.463	179.645	282.818	624.379	180.321
8133	16.26400	312.386	402.489	179.627	282.938	623.882	180.292
8134	16.26600	312.409	402.516	179.640	283.101	623.312	180.316
8135	16.26800	312.456	402.543	179.652	283.188	622.773	180.237
8136	16.27000	312.486	402.560	179.650	283.340	622.235	180.358
8137	16.27200	312.524	402.586	179.632	283.453	621.695	180.215
8138	16.27400	312.547	402.613	179.645	283.545	621.151	180.322
8139	16.27600	312.577	402.631	179.643	283.669	620.612	180.213
8140	16.27800	312.600	402.649	179.642	283.781	620.084	180.290
8141	16.28000	312.646	402.684	179.638	283.906	619.537	180.198
8142	16.28200	312.676	402.711	179.651	284.088	619.008	180.306
8143	16.28400	312.723	402.736	179.631	284.219	618.468	180.227
8144	16.28600	312.753	402.762	179.613	284.309	617.907	180.272
8145	16.28800	312.785	402.796	179.608	284.427	617.400	180.228
8146	16.29000	312.800	402.814	179.606	284.530	616.840	180.243
8147	16.29200	312.823	402.849	179.601	284.634	616.332	180.231
8148	16.29400	312.854	402.866	179.600	284.780	615.745	180.227
8149	16.29600	312.877	402.893	179.612	284.886	615.255	180.248
8150	16.29800	312.900	402.919	179.593	285.032	614.670	180.216
8151	16.30000	312.923	402.945	179.605	285.178	614.195	180.269
8152	16.30200	312.939	402.963	179.603	285.233	613.584	180.220
