NO_OF_FRAMES	1622
NO_OF_CAMERAS	2
NO_OF_MARKERS	2
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-21, 14:33:50.109	937763.82269820
DATA_INCLUDED	3D
TITLE	Bevaring av rörelsemängd i plastisk stöt 82.1g vs 82.4g #3
MARKER_NAMES	v82_1g	h82_4g
COLLISION_TIME	0
TRAJECTORY_TYPES	Measured	Mixed
Frame	Time	v82_1g X	v82_1g Y	v82_1g Z	h82_4g X	h82_4g Y	h82_4g Z	
2239	4.47600	299.987	290.721	179.566	162.249	607.854	180.248
2240	4.47800	299.980	290.978	179.613	162.491	607.724	180.226
2241	4.48000	300.025	291.228	179.567	162.702	607.538	180.229
2242	4.48200	300.069	291.514	179.514	162.962	607.338	180.233
2243	4.48400	300.073	291.833	179.562	163.225	607.162	180.284
2244	4.48600	300.097	292.071	179.584	163.508	606.992	180.320
2245	4.48800	300.158	292.317	179.588	163.694	606.875	180.254
2246	4.49000	300.204	292.605	179.566	163.942	606.732	180.245
2247	4.49200	300.197	292.931	179.597	164.200	606.603	180.224
2248	4.49400	300.274	293.177	179.573	164.489	606.419	180.229
2249	4.49600	300.321	293.416	179.596	164.714	606.224	180.279
2250	4.49800	300.368	293.708	179.637	164.934	606.029	180.296
2251	4.50000	300.376	293.988	179.632	165.219	605.873	180.320
2252	4.50200	300.382	294.253	179.551	165.475	605.764	180.272
2253	4.50400	300.398	294.506	179.538	165.722	605.625	180.234
2254	4.50600	300.439	294.803	179.641	165.955	605.464	180.223
2255	4.50800	300.447	295.055	179.626	166.253	605.265	180.229
2256	4.51000	300.453	295.303	179.550	166.498	605.073	180.250
2257	4.51200	300.491	295.599	179.512	166.766	604.897	180.270
2258	4.51400	300.509	295.893	179.582	167.033	604.730	180.277
2259	4.51600	300.531	296.118	179.559	167.264	604.601	180.225
2260	4.51800	300.539	296.362	179.532	167.563	604.492	180.208
2261	4.52000	300.570	296.679	179.552	167.796	604.322	180.212
2262	4.52200	300.586	296.956	179.517	168.053	604.119	180.215
2263	4.52400	300.609	297.191	179.507	168.337	603.929	180.237
2264	4.52600	300.656	297.440	179.544	168.591	603.771	180.260
2265	4.52800	300.695	297.767	179.578	168.847	603.622	180.237
2266	4.53000	300.724	298.044	179.513	169.079	603.475	180.183
2267	4.53200	300.793	298.304	179.484	169.317	603.357	180.181
2268	4.53400	300.863	298.580	179.531	169.629	603.179	180.202
2269	4.53600	300.889	298.867	179.622	169.879	602.983	180.220
2270	4.53800	301.041	299.144	179.559	170.155	602.792	180.241
2271	4.54000	301.101	299.402	179.498	170.415	602.637	180.235
2272	4.54200	301.133	299.695	179.541	170.689	602.497	180.229
2273	4.54400	301.135	299.955	179.621	170.921	602.357	180.191
2274	4.54600	301.150	300.180	179.599	171.149	602.230	180.172
