NO_OF_FRAMES	1416
NO_OF_CAMERAS	2
NO_OF_MARKERS	2
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-21, 14:42:25.102	938278.81421620
DATA_INCLUDED	3D
TITLE	Bevaring av rörelsemängd i plastisk stöt 82.1 g vs 82.4 g #5
MARKER_NAMES	v82_1g	h82_4g
COLLISION_TIME	0.66
TRAJECTORY_TYPES	Measured	Measured
Frame	Time	v82_1g X	v82_1g Y	v82_1g Z	h82_4g X	h82_4g Y	h82_4g Z	
1619	3.23600	311.919	227.293	179.529	508.706	430.437	179.775
1620	3.23800	311.888	227.734	179.500	508.323	430.473	179.762
1621	3.24000	311.866	228.205	179.593	507.764	430.513	179.767
1622	3.24200	311.791	228.669	179.510	507.375	430.539	179.740
1623	3.24400	311.718	229.154	179.566	506.823	430.552	179.764
1624	3.24600	311.651	229.566	179.581	506.433	430.605	179.750
1625	3.24800	311.635	230.109	179.522	505.896	430.620	179.739
1626	3.25000	311.581	230.519	179.536	505.460	430.663	179.742
1627	3.25200	311.529	231.005	179.592	504.954	430.705	179.746
1628	3.25400	311.487	231.470	179.459	504.485	430.722	179.767
1629	3.25600	311.436	231.951	179.566	504.009	430.756	179.754
1630	3.25800	311.390	232.376	179.545	503.534	430.788	179.776
1631	3.26000	311.373	232.902	179.491	503.078	430.807	179.795
1632	3.26200	311.313	233.314	179.508	502.574	430.838	179.817
1633	3.26400	311.284	233.816	179.561	502.126	430.866	179.818
1634	3.26600	311.266	234.283	179.430	501.615	430.879	179.843
1635	3.26800	311.202	234.768	179.571	501.202	430.918	179.858
1636	3.27000	311.187	235.224	179.509	500.656	430.921	179.869
1637	3.27200	311.113	235.749	179.509	500.246	430.949	179.871
1638	3.27400	311.070	236.157	179.577	499.744	430.971	179.880
1639	3.27600	311.011	236.691	179.589	499.297	430.998	179.882
1640	3.27800	310.916	237.132	179.536	498.825	431.020	179.890
1641	3.28000	310.888	237.609	179.695	498.348	431.029	179.895
1642	3.28200	310.863	238.075	179.536	497.898	431.071	179.900
1643	3.28400	310.820	238.580	179.622	497.406	431.087	179.921
1644	3.28600	310.791	238.990	179.611	496.978	431.103	179.912
1645	3.28800	310.782	239.553	179.582	496.474	431.135	179.933
1646	3.29000	310.745	239.953	179.557	496.051	431.162	179.937
1647	3.29200	310.725	240.451	179.663	495.526	431.184	179.944
1648	3.29400	310.706	240.916	179.505	495.131	431.203	179.964
1649	3.29600	310.664	241.418	179.643	494.592	431.234	179.954
1650	3.29800	310.632	241.823	179.599	494.179	431.254	179.971
1651	3.30000	310.608	242.378	179.559	493.671	431.294	179.978
1652	3.30200	310.547	242.752	179.557	493.237	431.304	179.981
1653	3.30400	310.518	243.272	179.609	492.728	431.345	179.986
1654	3.30600	310.484	243.713	179.475	492.282	431.362	179.974
1655	3.30800	310.435	244.214	179.614	491.786	431.395	179.996
1656	3.31000	310.379	244.638	179.484	491.343	431.437	179.966
1657	3.31200	310.319	245.172	179.502	490.864	431.479	179.971
1658	3.31400	310.251	245.557	179.514	490.373	431.513	179.957
1659	3.31600	310.202	246.110	179.528	489.925	431.545	179.948
1660	3.31800	310.045	246.520	179.518	489.428	431.579	179.936
1661	3.32000	310.040	247.002	179.633	489.008	431.612	179.925
1662	3.32200	309.977	247.468	179.477	488.473	431.636	179.930
1663	3.32400	309.973	247.967	179.588	488.074	431.672	179.916
1664	3.32600	309.912	248.376	179.577	487.510	431.694	179.924
1665	3.32800	309.919	248.939	179.524	487.136	431.737	179.896
1666	3.33000	309.859	249.341	179.533	486.566	431.750	179.889
1667	3.33200	309.869	249.847	179.626	486.190	431.786	179.875
1668	3.33400	309.819	250.313	179.471	485.656	431.808	179.850
1669	3.33600	309.816	250.788	179.607	485.250	431.843	179.870
1670	3.33800	309.761	251.245	179.551	484.739	431.875	179.859
1671	3.34000	309.777	251.778	179.541	484.304	431.900	179.833
1672	3.34200	309.724	252.165	179.587	483.814	431.942	179.835
1673	3.34400	309.718	252.690	179.596	483.332	431.966	179.842
1674	3.34600	309.677	253.164	179.536	482.874	431.992	179.814
1675	3.34800	309.659	253.628	179.628	482.376	432.007	179.836
1676	3.35000	309.626	254.116	179.533	481.976	432.043	179.822
