NO_OF_FRAMES	922
NO_OF_CAMERAS	2
NO_OF_MARKERS	2
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-21, 14:47:50.924	938604.63487330
DATA_INCLUDED	3D
TITLE	Bevaring av rörelsemängd i plastisk stöt 82.1g vs 82.4g #6
MARKER_NAMES	v82_1g	h82_4g
COLLISION_TIME	0
TRAJECTORY_TYPES	Measured	Measured
Frame	Time	v82_1g X	v82_1g Y	v82_1g Z	h82_4g X	h82_4g Y	h82_4g Z	
3613	7.22400	517.165	362.199	179.060	525.736	487.283	180.008
3614	7.22600	516.606	362.412	179.139	525.257	487.118	179.957
3615	7.22800	516.232	362.636	179.234	524.777	486.937	179.961
3616	7.23000	515.727	362.845	179.292	524.295	486.752	179.913
3617	7.23200	515.263	363.037	179.210	523.771	486.561	179.966
3618	7.23400	514.761	363.321	179.069	523.326	486.372	180.022
3619	7.23600	514.324	363.562	179.090	522.821	486.242	179.995
3620	7.23800	513.758	363.786	179.180	522.346	486.075	179.976
3621	7.24000	513.324	363.952	179.225	521.877	485.904	179.965
3622	7.24200	512.743	364.119	179.231	521.369	485.735	179.885
3623	7.24400	512.395	364.387	179.198	520.860	485.546	179.936
3624	7.24600	511.905	364.720	179.126	520.390	485.345	179.980
3625	7.24800	511.424	364.900	179.173	519.877	485.191	179.998
3626	7.25000	510.945	365.090	179.169	519.421	485.051	179.995
3627	7.25200	510.554	365.276	179.242	518.908	484.871	179.967
3628	7.25400	509.980	365.540	179.280	518.474	484.713	179.934
3629	7.25600	509.590	365.823	179.179	517.948	484.530	179.939
3630	7.25800	509.008	366.056	179.113	517.472	484.348	179.983
3631	7.26000	508.567	366.246	179.140	516.970	484.185	180.017
3632	7.26200	508.047	366.462	179.249	516.517	484.012	180.012
3633	7.26400	507.516	366.685	179.376	516.010	483.866	180.015
3634	7.26600	507.074	366.911	179.294	515.556	483.699	179.967
3635	7.26800	506.667	367.186	179.143	515.037	483.525	179.988
3636	7.27000	506.134	367.400	179.152	514.591	483.352	179.953
3637	7.27200	505.691	367.646	179.269	514.061	483.179	179.973
3638	7.27400	505.258	367.815	179.309	513.588	482.988	180.031
3639	7.27600	504.717	368.015	179.314	513.079	482.834	180.019
3640	7.27800	504.319	368.263	179.220	512.645	482.684	180.003
3641	7.28000	503.786	368.566	179.177	512.152	482.512	179.991
3642	7.28200	503.303	368.792	179.196	511.651	482.336	179.928
3643	7.28400	502.785	368.962	179.266	511.145	482.146	179.948
3644	7.28600	502.315	369.117	179.299	510.690	481.955	180.008
3645	7.28800	501.842	369.390	179.289	510.176	481.782	180.029
3646	7.29000	501.472	369.710	179.180	509.722	481.642	179.994
3647	7.29200	500.863	369.926	179.184	509.216	481.471	179.982
3648	7.29400	500.484	370.093	179.162	508.732	481.294	179.920
3649	7.29600	499.986	370.275	179.276	508.227	481.121	179.941
3650	7.29800	499.532	370.537	179.323	507.768	480.929	179.971
3651	7.30000	499.047	370.809	179.281	507.238	480.766	180.005
3652	7.30200	498.575	371.051	179.129	506.778	480.601	180.017
3653	7.30400	498.032	371.253	179.130	506.288	480.437	179.991
3654	7.30600	497.604	371.456	179.235	505.810	480.260	179.929
3655	7.30800	497.044	371.681	179.358	505.308	480.107	179.916
3656	7.31000	496.633	371.897	179.333	504.830	479.922	179.931
3657	7.31200	496.171	372.165	179.165	504.307	479.750	179.983
3658	7.31400	495.676	372.403	179.157	503.843	479.551	180.027
3659	7.31600	495.212	372.648	179.242	503.355	479.424	180.028
3660	7.31800	494.661	372.840	179.333	502.885	479.264	179.966
3661	7.32000	494.250	373.010	179.337	502.399	479.102	179.969
3662	7.32200	493.863	373.253	179.291	501.909	478.925	179.970
3663	7.32400	493.319	373.571	179.217	501.412	478.744	179.975
3664	7.32600	492.835	373.816	179.231	500.913	478.552	180.036
3665	7.32800	492.314	373.984	179.272	500.451	478.374	180.039
3666	7.33000	491.827	374.150	179.318	499.954	478.223	180.023
3667	7.33200	491.383	374.379	179.335	499.484	478.061	179.995
3668	7.33400	490.939	374.711	179.302	499.006	477.901	179.965
3669	7.33600	490.422	374.940	179.214	498.526	477.739	179.937
3670	7.33800	489.994	375.127	179.217	498.015	477.537	179.985
3671	7.34000	489.453	375.299	179.282	497.524	477.366	180.003
3672	7.34200	489.050	375.536	179.386	497.029	477.199	180.019
3673	7.34400	488.606	375.772	179.387	496.571	477.047	180.005
3674	7.34600	488.088	376.043	179.210	496.085	476.887	179.974
3675	7.34800	487.652	376.257	179.156	495.607	476.717	179.931
3676	7.35000	487.109	376.472	179.267	495.106	476.522	179.964
3677	7.35200	486.633	376.677	179.401	494.610	476.360	179.968
3678	7.35400	486.140	376.888	179.386	494.088	476.167	180.030
3679	7.35600	485.706	377.116	179.267	493.656	476.016	180.046
3680	7.35800	485.192	377.401	179.166	493.140	475.872	180.017
3681	7.36000	484.826	377.625	179.262	492.676	475.703	179.972
3682	7.36200	484.184	377.835	179.347	492.166	475.516	179.959
3683	7.36400	483.872	378.004	179.358	491.693	475.363	179.947
3684	7.36600	483.255	378.219	179.330	491.160	475.160	179.996
3685	7.36800	482.927	378.513	179.247	490.716	475.002	180.058
3686	7.37000	482.384	378.794	179.220	490.191	474.840	180.030
3687	7.37200	481.921	378.969	179.283	489.746	474.690	180.013
3688	7.37400	481.389	379.129	179.340	489.255	474.511	179.955
3689	7.37600	480.969	379.328	179.352	488.781	474.350	179.957
3690	7.37800	480.431	379.634	179.340	488.250	474.172	179.991
3691	7.38000	480.014	379.917	179.244	487.787	473.978	180.025
3692	7.38200	479.550	380.096	179.231	487.266	473.808	180.044
3693	7.38400	479.026	380.266	179.268	486.857	473.658	180.028
3694	7.38600	478.615	380.485	179.374	486.325	473.488	180.015
3695	7.38800	478.083	380.727	179.429	485.871	473.328	179.955
3696	7.39000	477.665	380.995	179.263	485.348	473.132	179.990
3697	7.39200	477.223	381.227	179.173	484.896	472.989	179.992
3698	7.39400	476.705	381.421	179.261	484.359	472.802	180.011
3699	7.39600	476.238	381.644	179.393	483.928	472.645	180.072
3700	7.39800	475.723	381.839	179.446	483.405	472.483	180.044
3701	7.40000	475.272	382.062	179.374	482.941	472.315	179.999
3702	7.40200	474.793	382.343	179.213	482.432	472.144	179.988
3703	7.40400	474.353	382.584	179.273	481.952	471.993	179.942
3704	7.40600	473.788	382.793	179.363	481.421	471.805	179.993
3705	7.40800	473.381	382.975	179.413	480.986	471.621	180.042
3706	7.41000	472.832	383.153	179.400	480.451	471.468	180.060
3707	7.41200	472.445	383.449	179.311	480.013	471.310	180.029
3708	7.41400	471.884	383.740	179.266	479.520	471.131	180.002
3709	7.41600	471.457	383.946	179.297	479.041	470.979	179.957
3710	7.41800	470.987	384.096	179.344	478.521	470.809	179.977
3711	7.42000	470.481	384.290	179.399	478.051	470.632	180.011
3712	7.42200	470.046	384.524	179.406	477.514	470.462	180.029
3713	7.42400	469.535	384.854	179.315	477.087	470.296	180.045
3714	7.42600	469.024	385.058	179.247	476.587	470.134	180.019
3715	7.42800	468.540	385.226	179.290	476.121	469.975	179.987
3716	7.43000	468.184	385.407	179.377	475.604	469.804	179.977
3717	7.43200	467.589	385.661	179.474	475.151	469.645	179.978
3718	7.43400	467.256	385.922	179.393	474.593	469.475	179.998
3719	7.43600	466.635	386.166	179.242	474.171	469.283	180.061
3720	7.43800	466.281	386.361	179.265	473.654	469.120	180.035
3721	7.44000	465.687	386.572	179.352	473.204	468.970	179.989
3722	7.44200	465.314	386.797	179.481	472.686	468.800	179.977
3723	7.44400	464.800	386.998	179.455	472.221	468.631	179.965
3724	7.44600	464.354	387.259	179.271	471.694	468.469	179.969
3725	7.44800	463.825	387.519	179.224	471.244	468.294	180.033
3726	7.45000	463.389	387.741	179.358	470.740	468.133	180.036
3727	7.45200	462.912	387.922	179.440	470.278	467.956	180.039
3728	7.45400	462.408	388.084	179.430	469.777	467.804	179.995
3729	7.45600	462.008	388.347	179.345	469.306	467.634	179.952
3730	7.45800	461.495	388.636	179.273	468.800	467.465	179.970
3731	7.46000	461.043	388.877	179.298	468.325	467.297	179.989
3732	7.46200	460.488	389.057	179.350	467.796	467.127	180.009
3733	7.46400	460.082	389.203	179.406	467.332	466.960	180.057
3734	7.46600	459.655	389.428	179.401	466.857	466.800	180.059
3735	7.46800	459.143	389.741	179.343	466.364	466.630	179.985
3736	7.47000	458.663	390.016	179.267	465.868	466.461	179.972
3737	7.47200	458.127	390.165	179.280	465.386	466.292	179.992
3738	7.47400	457.671	390.350	179.359	464.866	466.149	179.995
3739	7.47600	457.171	390.573	179.455	464.404	465.963	180.046
3740	7.47800	456.834	390.846	179.452	463.933	465.804	180.078
3741	7.48000	456.214	391.099	179.284	463.423	465.634	180.036
3742	7.48200	455.863	391.308	179.244	462.973	465.466	179.991
3743	7.48400	455.247	391.499	179.308	462.477	465.297	180.011
3744	7.48600	454.903	391.709	179.467	461.966	465.154	179.982
3745	7.48800	454.300	391.925	179.477	461.466	464.967	180.033
3746	7.49000	453.940	392.166	179.337	460.990	464.799	180.052
3747	7.49200	453.467	392.415	179.216	460.486	464.620	180.058
3748	7.49400	452.952	392.635	179.287	460.047	464.462	180.027
3749	7.49600	452.455	392.840	179.420	459.524	464.300	180.001
3750	7.49800	451.980	393.017	179.480	459.074	464.140	179.973
3751	7.50000	451.608	393.216	179.394	458.561	463.980	180.007
3752	7.50200	451.047	393.506	179.287	458.072	463.829	179.994
3753	7.50400	450.671	393.761	179.287	457.581	463.659	180.047
3754	7.50600	450.039	393.988	179.374	457.140	463.484	180.079
3755	7.50800	449.688	394.132	179.402	456.632	463.313	180.007
3756	7.51000	449.114	394.330	179.420	456.174	463.153	179.978
3757	7.51200	448.772	394.583	179.357	455.647	462.984	179.999
3758	7.51400	448.165	394.911	179.338	455.210	462.843	179.999
3759	7.51600	447.792	395.113	179.314	454.689	462.673	180.053
3760	7.51800	447.292	395.272	179.376	454.226	462.505	180.101
3761	7.52000	446.840	395.439	179.424	453.702	462.344	180.075
3762	7.52200	446.350	395.696	179.520	453.257	462.167	180.047
3763	7.52400	445.883	395.988	179.409	452.753	462.006	180.051
3764	7.52600	445.460	396.230	179.301	452.295	461.847	180.023
3765	7.52800	444.876	396.393	179.322	451.760	461.694	180.042
3766	7.53000	444.535	396.602	179.451	451.307	461.527	180.061
3767	7.53200	443.905	396.819	179.526	450.772	461.375	180.080
3768	7.53400	443.548	397.065	179.479	450.323	461.190	180.130
3769	7.53600	442.963	397.300	179.319	449.830	461.029	180.073
3770	7.53800	442.574	397.529	179.306	449.378	460.878	180.059
3771	7.54000	441.988	397.701	179.376	448.868	460.744	180.046
3772	7.54200	441.602	397.866	179.493	448.394	460.654	180.044
3773	7.54400	441.068	397.950	179.478	447.921	460.616	180.041
3774	7.54600	440.624	397.952	179.527	447.463	460.659	180.045
3775	7.54800	440.135	397.923	179.508	446.989	460.736	180.047
3776	7.55000	439.615	397.886	179.503	446.525	460.839	180.033
3777	7.55200	439.158	397.847	179.472	446.088	460.952	180.063
3778	7.55400	438.639	397.801	179.452	445.587	461.073	180.079
3779	7.55600	438.168	397.744	179.392	445.148	461.178	180.092
3780	7.55800	437.651	397.696	179.341	444.647	461.289	180.094
3781	7.56000	437.192	397.642	179.342	444.218	461.384	180.094
3782	7.56200	436.666	397.640	179.333	443.716	461.478	180.064
3783	7.56400	436.299	397.623	179.355	443.280	461.521	180.069
3784	7.56600	435.672	397.662	179.328	442.801	461.571	180.059
3785	7.56800	435.359	397.699	179.376	442.340	461.562	180.064
3786	7.57000	434.684	397.775	179.406	441.853	461.576	180.058
3787	7.57200	434.385	397.840	179.463	441.400	461.541	180.081
3788	7.57400	433.695	397.889	179.481	440.891	461.546	180.060
3789	7.57600	433.390	397.953	179.508	440.438	461.511	180.083
3790	7.57800	432.710	398.001	179.496	439.945	461.525	180.045
3791	7.58000	432.366	398.065	179.551	439.498	461.516	180.082
3792	7.58200	431.732	398.103	179.496	439.026	461.531	180.075
3793	7.58400	431.374	398.158	179.536	438.536	461.521	180.081
3794	7.58600	430.763	398.195	179.482	438.094	461.545	180.057
3795	7.58800	430.376	398.233	179.524	437.613	461.570	180.062
3796	7.59000	429.786	398.245	179.489	437.161	461.604	180.083
3797	7.59200	429.394	398.272	179.487	436.689	461.645	180.056
3798	7.59400	428.889	398.303	179.446	436.268	461.697	180.074
3799	7.59600	428.417	398.294	179.483	435.767	461.729	180.035
3800	7.59800	427.927	398.300	179.460	435.337	461.799	180.052
3801	7.60000	427.430	398.317	179.480	434.849	461.832	180.074
3802	7.60200	427.042	398.316	179.470	434.398	461.883	180.061
3803	7.60400	426.454	398.330	179.461	433.941	461.925	180.067
3804	7.60600	426.083	398.347	179.448	433.483	461.976	180.055
3805	7.60800	425.476	398.370	179.455	433.032	462.009	180.077
3806	7.61000	425.121	398.395	179.426	432.543	462.034	180.082
3807	7.61200	424.492	398.462	179.441	432.115	462.077	180.087
3808	7.61400	424.158	398.497	179.427	431.597	462.074	180.079
3809	7.61600	423.507	398.572	179.426	431.183	462.108	180.100
3810	7.61800	423.166	398.625	179.439	430.695	462.124	180.091
3811	7.62000	422.522	398.692	179.424	430.237	462.149	180.096
3812	7.62200	422.181	398.735	179.422	429.763	462.156	180.103
3813	7.62400	421.507	398.792	179.392	429.312	462.181	180.108
3814	7.62600	421.187	398.837	179.423	428.838	462.205	180.114
3815	7.62800	420.514	398.867	179.381	428.381	462.230	180.089
3816	7.63000	420.180	398.903	179.396	427.900	462.254	180.095
3817	7.63200	419.513	398.915	179.358	427.434	462.279	180.101
3818	7.63400	419.187	398.952	179.402	426.974	462.321	180.104
3819	7.63600	418.552	398.973	179.348	426.481	462.354	180.096
3820	7.63800	418.186	398.992	179.395	426.044	462.379	180.100
3821	7.64000	417.590	399.021	179.324	425.544	462.420	180.108
3822	7.64200	417.193	399.050	179.386	425.106	462.428	180.113
3823	7.64400	416.734	399.040	179.393	424.637	462.478	180.105
3824	7.64600	416.207	399.082	179.396	424.176	462.494	180.093
3825	7.64800	415.834	399.082	179.415	423.698	462.527	180.085
3826	7.65000	415.214	399.131	179.405	423.244	462.544	180.105
3827	7.65200	414.862	399.141	179.438	422.775	462.584	180.082
3828	7.65400	414.243	399.199	179.442	422.321	462.601	180.101
3829	7.65600	413.908	399.190	179.445	421.851	462.633	180.062
3830	7.65800	413.280	399.248	179.451	421.414	462.659	180.098
3831	7.66000	412.938	399.249	179.468	420.920	462.683	180.074
3832	7.66200	412.286	399.298	179.490	420.461	462.717	180.095
3833	7.66400	411.967	399.307	179.491	419.997	462.758	180.070
3834	7.66600	411.307	399.349	179.529	419.531	462.765	180.076
3835	7.66800	410.996	399.367	179.545	419.081	462.816	180.065
3836	7.67000	410.345	399.425	179.549	418.614	462.832	180.086
3837	7.67200	410.033	399.435	179.582	418.164	462.857	180.092
3838	7.67400	409.367	399.484	179.570	417.714	462.908	180.081
3839	7.67600	409.055	399.511	179.602	417.248	462.932	180.087
3840	7.67800	408.412	399.552	179.606	416.798	462.975	180.092
3841	7.68000	408.078	399.570	179.624	416.346	462.982	180.097
3842	7.68200	407.460	399.610	179.593	415.866	463.033	180.119
3843	7.68400	407.093	399.637	179.630	415.415	463.049	180.108
3844	7.68600	406.546	399.660	179.598	414.928	463.082	180.100
3845	7.68800	406.118	399.693	179.590	414.469	463.098	180.120
3846	7.69000	405.682	399.735	179.551	414.012	463.140	180.095
3847	7.69200	405.128	399.767	179.547	413.538	463.148	180.132
3848	7.69400	404.699	399.801	179.525	413.089	463.198	180.090
3849	7.69600	404.137	399.850	179.518	412.637	463.206	180.127
3850	7.69800	403.739	399.865	179.470	412.181	463.247	180.102
3851	7.70000	403.145	399.916	179.492	411.722	463.255	180.108
3852	7.70200	402.763	399.931	179.445	411.266	463.296	180.084
3853	7.70400	402.184	399.989	179.451	410.814	463.313	180.103
3854	7.70600	401.794	399.996	179.420	410.358	463.346	180.096
3855	7.70800	401.215	400.064	179.441	409.899	463.370	180.101
3856	7.71000	400.831	400.071	179.409	409.441	463.404	180.090
3857	7.71200	400.245	400.130	179.416	408.983	463.429	180.128
3858	7.71400	399.854	400.154	179.382	408.519	463.461	180.087
3859	7.71600	399.283	400.214	179.420	408.068	463.478	180.109
3860	7.71800	398.899	400.221	179.388	407.589	463.519	180.084
3861	7.72000	398.321	400.273	179.442	407.154	463.544	180.090
3862	7.72200	397.905	400.297	179.409	406.665	463.586	180.094
3863	7.72400	397.545	400.343	179.469	406.231	463.611	180.100
3864	7.72600	396.926	400.383	179.443	405.742	463.635	180.105
3865	7.72800	396.575	400.427	179.472	405.308	463.669	180.096
3866	7.73000	395.939	400.451	179.481	404.828	463.702	180.117
3867	7.73200	395.589	400.477	179.509	404.385	463.744	180.091
3868	7.73400	394.947	400.509	179.502	403.896	463.778	180.111
3869	7.73600	394.597	400.527	179.516	403.453	463.794	180.133
3870	7.73800	393.970	400.559	179.510	402.987	463.836	180.138
3871	7.74000	393.605	400.576	179.522	402.517	463.869	180.130
3872	7.74200	392.992	400.600	179.535	402.072	463.903	180.117
3873	7.74400	392.628	400.625	179.530	401.593	463.936	180.140
3874	7.74600	392.030	400.649	179.544	401.141	463.960	180.113
3875	7.74800	391.643	400.666	179.554	400.663	463.993	180.106
3876	7.75000	391.046	400.689	179.537	400.226	464.018	180.110
3877	7.75200	390.681	400.706	179.550	399.755	464.069	180.101
3878	7.75400	390.099	400.739	179.545	399.304	464.076	180.106
3879	7.75600	389.689	400.765	179.572	398.840	464.118	180.082
3880	7.75800	389.238	400.790	179.580	398.381	464.125	180.120
3881	7.76000	388.720	400.805	179.566	397.917	464.167	180.062
3882	7.76200	388.423	400.830	179.569	397.472	464.183	180.114
3883	7.76400	387.743	400.854	179.575	396.994	464.224	180.058
3884	7.76600	387.454	400.889	179.591	396.550	464.232	180.096
3885	7.76800	386.774	400.930	179.594	396.086	464.282	180.054
3886	7.77000	386.500	400.965	179.612	395.635	464.290	180.091
3887	7.77200	385.797	400.997	179.601	395.178	464.332	180.066
3888	7.77400	385.524	401.040	179.601	394.735	464.348	180.088
3889	7.77600	384.821	401.081	179.603	394.254	464.381	180.076
3890	7.77800	384.563	401.134	179.620	393.819	464.398	180.098
3891	7.78000	383.876	401.164	179.576	393.338	464.440	180.103
3892	7.78200	383.595	401.226	179.607	392.903	464.473	180.093
3893	7.78400	382.891	401.258	179.593	392.422	464.480	180.099
3894	7.78600	382.619	401.310	179.610	391.980	464.531	180.119
3895	7.78800	381.916	401.324	179.567	391.491	464.538	180.126
3896	7.79000	381.642	401.385	179.598	391.042	464.589	180.116
3897	7.79200	380.947	401.399	179.555	390.561	464.605	180.136
3898	7.79400	380.630	401.459	179.554	390.135	464.639	180.128
3899	7.79600	380.090	401.464	179.525	389.646	464.655	180.150
3900	7.79800	379.653	401.516	179.545	389.220	464.697	180.156
3901	7.80000	379.247	401.530	179.496	388.768	464.722	180.160
3902	7.80200	378.662	401.580	179.488	388.305	464.764	180.167
3903	7.80400	378.277	401.595	179.471	387.815	464.779	180.155
3904	7.80600	377.691	401.638	179.480	387.390	464.822	180.164
3905	7.80800	377.308	401.644	179.448	386.924	464.846	180.169
3906	7.81000	376.691	401.686	179.457	386.476	464.879	180.128
3907	7.81200	376.337	401.701	179.440	386.018	464.913	180.149
3908	7.81400	375.721	401.753	179.464	385.553	464.946	180.139
3909	7.81600	375.382	401.759	179.433	385.088	464.971	180.145
3910	7.81800	374.714	401.802	179.471	384.623	465.012	180.119
3911	7.82000	374.411	401.818	179.456	384.172	465.029	180.140
3912	7.82200	373.744	401.861	179.493	383.693	465.070	180.115
3913	7.82400	373.441	401.876	179.479	383.257	465.086	180.105
3914	7.82600	372.821	401.920	179.516	382.763	465.119	180.096
