NO_OF_FRAMES	1238
NO_OF_CAMERAS	2
NO_OF_MARKERS	2
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-21, 16:52:58.940	946112.61639330
DATA_INCLUDED	3D
TITLE	Bevaring av rörelsemängd i inelastisk stöt 14.6g vs 43.3g
MARKER_NAMES	v14_6g	h43_3g
COLLISION_TIME	0
TRAJECTORY_TYPES	Measured	Measured
Frame	Time	v14_6g X	v14_6g Y	v14_6g Z	h43_3g X	h43_3g Y	h43_3g Z	
28430	56.85800	569.077	305.168	165.213	584.158	526.950	163.318
28431	56.86000	568.854	305.256	165.220	583.888	526.882	163.303
28432	56.86200	568.545	305.352	165.208	583.681	526.837	163.284
28433	56.86400	568.256	305.449	165.195	583.517	526.776	163.296
28434	56.86600	568.018	305.534	165.173	583.341	526.696	163.341
28435	56.86800	567.692	305.629	165.164	583.161	526.616	163.353
28436	56.87000	567.417	305.735	165.129	582.887	526.565	163.307
28437	56.87200	567.144	305.831	165.118	582.657	526.483	163.351
28438	56.87400	566.874	305.922	165.114	582.452	526.394	163.380
28439	56.87600	566.499	306.022	165.130	582.257	526.317	163.391
28440	56.87800	566.271	306.122	165.149	582.007	526.268	163.343
28441	56.88000	565.998	306.220	165.170	581.695	526.184	163.357
28442	56.88200	565.648	306.336	165.184	581.485	526.089	163.367
28443	56.88400	565.372	306.415	165.211	581.325	525.996	163.346
28444	56.88600	565.062	306.514	165.229	581.022	525.903	163.344
28445	56.88800	564.691	306.626	165.215	580.716	525.812	163.309
28446	56.89000	564.442	306.750	165.214	580.512	525.727	163.272
28447	56.89200	564.196	306.887	165.178	580.276	525.620	163.301
28448	56.89400	563.821	307.032	165.198	579.946	525.543	163.269
28449	56.89600	563.505	307.156	165.154	579.687	525.454	163.296
28450	56.89800	563.192	307.290	165.163	579.420	525.364	163.324
28451	56.90000	562.861	307.417	165.155	579.143	525.283	163.305
28452	56.90200	562.535	307.527	165.144	578.769	525.195	163.321
28453	56.90400	562.162	307.634	165.178	578.516	525.099	163.363
28454	56.90600	561.838	307.744	165.208	578.277	525.013	163.356
28455	56.90800	561.492	307.879	165.210	577.852	524.889	163.341
28456	56.91000	561.166	308.025	165.231	577.590	524.788	163.333
28457	56.91200	560.831	308.166	165.223	577.326	524.658	163.342
28458	56.91400	560.493	308.303	165.188	576.933	524.545	163.311
28459	56.91600	560.075	308.442	165.181	576.646	524.431	163.321
28460	56.91800	559.795	308.574	165.159	576.364	524.306	163.348
28461	56.92000	559.418	308.698	165.156	575.962	524.200	163.333
28462	56.92200	559.001	308.826	165.172	575.653	524.075	163.392
28463	56.92400	558.731	308.954	165.234	575.412	523.961	163.403
28464	56.92600	558.296	309.098	165.255	575.004	523.830	163.371
28465	56.92800	558.008	309.206	165.254	574.710	523.691	163.365
28466	56.93000	557.593	309.336	165.269	574.439	523.528	163.373
28467	56.93200	557.239	309.464	165.217	574.033	523.387	163.326
28468	56.93400	556.906	309.609	165.198	573.731	523.230	163.320
28469	56.93600	556.530	309.769	165.148	573.434	523.086	163.349
28470	56.93800	556.221	309.901	165.161	573.016	522.961	163.334
28471	56.94000	555.818	310.054	165.158	572.723	522.802	163.393
28472	56.94200	555.483	310.175	165.199	572.476	522.665	163.387
28473	56.94400	555.133	310.304	165.182	572.043	522.488	163.371
28474	56.94600	554.724	310.455	165.186	571.760	522.325	163.348
28475	56.94800	554.412	310.562	165.223	571.449	522.141	163.359
28476	56.95000	554.089	310.711	165.232	571.047	521.999	163.344
28477	56.95200	553.673	310.884	165.184	570.722	521.820	163.404
28478	56.95400	553.385	311.050	165.157	570.429	521.697	163.399
28479	56.95600	553.017	311.194	165.179	569.998	521.512	163.432
28480	56.95800	552.603	311.335	165.129	569.737	521.359	163.423
28481	56.96000	552.311	311.445	165.161	569.343	521.171	163.404
28482	56.96200	551.912	311.580	165.168	568.989	520.982	163.386
28483	56.96400	551.590	311.703	165.201	568.637	520.805	163.413
28484	56.96600	551.213	311.847	165.260	568.241	520.673	163.414
