NO_OF_FRAMES	801
NO_OF_CAMERAS	2
NO_OF_MARKERS	2
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-21, 15:34:38.724	941412.42850260
DATA_INCLUDED	3D
MARKER_NAMES	v14_6g	h82_4g
TRAJECTORY_TYPES	Measured	Mixed
Frame	Time	v14_6g X	v14_6g Y	v14_6g Z	h82_4g X	h82_4g Y	h82_4g Z	
22117	44.23200	547.592	330.395	165.267	557.960	526.649	179.862
22118	44.23400	547.149	330.777	165.359	557.619	526.469	179.829
22119	44.23600	546.914	331.179	165.412	557.288	526.311	179.824
22120	44.23800	546.708	331.666	165.239	556.923	526.113	179.822
22121	44.24000	546.222	332.043	165.338	556.581	525.883	179.849
22122	44.24200	545.932	332.436	165.412	556.208	525.687	179.876
22123	44.24400	545.684	332.927	165.266	555.858	525.511	179.840
22124	44.24600	545.322	333.331	165.345	555.550	525.342	179.852
22125	44.24800	544.947	333.696	165.442	555.187	525.171	179.804
22126	44.25000	544.721	334.214	165.310	554.825	524.993	179.831
22127	44.25200	544.355	334.617	165.320	554.467	524.745	179.858
22128	44.25400	544.001	335.001	165.447	554.113	524.559	179.869
22129	44.25600	543.723	335.471	165.311	553.729	524.364	179.865
22130	44.25800	543.386	335.896	165.314	553.432	524.205	179.830
22131	44.26000	543.036	336.277	165.410	553.060	524.043	179.797
22132	44.26200	542.719	336.749	165.308	552.721	523.858	179.808
22133	44.26400	542.391	337.170	165.316	552.344	523.627	179.835
22134	44.26600	542.059	337.542	165.438	551.999	523.407	179.877
22135	44.26800	541.745	338.003	165.358	551.669	523.221	179.857
22136	44.27000	541.421	338.418	165.383	551.305	523.078	179.823
22137	44.27200	541.111	338.813	165.453	550.946	522.917	179.821
22138	44.27400	540.817	339.281	165.359	550.615	522.748	179.802
22139	44.27600	540.449	339.684	165.372	550.253	522.500	179.861
22140	44.27800	540.145	340.090	165.456	549.895	522.279	179.872
22141	44.28000	539.870	340.574	165.293	549.567	522.101	179.839
22142	44.28200	539.434	340.962	165.373	549.203	521.940	179.805
22143	44.28400	539.188	341.365	165.464	548.851	521.772	179.786
22144	44.28600	538.976	341.854	165.294	548.504	521.592	179.815
22145	44.28800	538.514	342.248	165.360	548.127	521.346	179.842
22146	44.29000	538.199	342.641	165.471	547.798	521.133	179.870
22147	44.29200	537.986	343.129	165.303	547.436	520.963	179.821
22148	44.29400	537.593	343.543	165.330	547.077	520.793	179.803
22149	44.29600	537.214	343.901	165.480	546.754	520.635	179.799
22150	44.29800	537.015	344.382	165.331	546.388	520.430	179.812
