NO_OF_FRAMES	1131
NO_OF_CAMERAS	2
NO_OF_MARKERS	2
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-21, 16:42:01.085	945454.76887100
DATA_INCLUDED	3D
TITLE	Bevaring av rörelsemängd i inelastisk stöt 27.7g vs 82.4g
MARKER_NAMES	v27_7g	h82_4g
COLLISION_TIME	0.47
TRAJECTORY_TYPES	Measured	Measured
Frame	Time	v27_7g X	v27_7g Y	v27_7g Z	h82_4g X	h82_4g Y	h82_4g Z	
13933	27.86400	552.475	348.403	164.345	561.055	522.175	179.711
13934	27.86600	552.123	348.614	164.330	560.753	521.953	179.725
13935	27.86800	551.913	348.829	164.313	560.451	521.750	179.677
13936	27.87000	551.607	349.049	164.348	560.080	521.511	179.627
13937	27.87200	551.175	349.238	164.410	559.782	521.237	179.672
13938	27.87400	550.867	349.466	164.359	559.448	520.997	179.717
13939	27.87600	550.678	349.698	164.306	559.135	520.793	179.699
13940	27.87800	550.347	349.909	164.293	558.823	520.580	179.666
13941	27.88000	549.995	350.120	164.380	558.488	520.331	179.635
13942	27.88200	549.762	350.344	164.412	558.139	520.049	179.724
13943	27.88400	549.420	350.553	164.366	557.859	519.826	179.771
13944	27.88600	548.996	350.744	164.392	557.518	519.623	179.721
13945	27.88800	548.772	350.990	164.340	557.180	519.409	179.658
13946	27.89000	548.600	351.232	164.335	556.883	519.155	179.671
13947	27.89200	548.217	351.435	164.372	556.541	518.886	179.734
13948	27.89400	547.809	351.626	164.398	556.219	518.657	179.732
13949	27.89600	547.536	351.839	164.382	555.919	518.463	179.729
13950	27.89800	547.293	352.086	164.363	555.594	518.215	179.666
13951	27.90000	546.954	352.294	164.387	555.264	517.940	179.682
13952	27.90200	546.670	352.524	164.336	554.959	517.694	179.771
13953	27.90400	546.421	352.732	164.335	554.641	517.480	179.740
13954	27.90600	546.085	352.931	164.345	554.332	517.274	179.695
13955	27.90800	545.663	353.139	164.402	554.002	517.047	179.659
13956	27.91000	545.439	353.378	164.367	553.679	516.780	179.691
13957	27.91200	545.242	353.611	164.314	553.350	516.541	179.736
13958	27.91400	544.872	353.813	164.318	553.043	516.312	179.735
13959	27.91600	544.522	354.006	164.377	552.733	516.108	179.687
13960	27.91800	544.298	354.237	164.393	552.376	515.851	179.640
13961	27.92000	543.972	354.453	164.333	552.074	515.578	179.716
13962	27.92200	543.564	354.654	164.373	551.743	515.345	179.748
13963	27.92400	543.343	354.893	164.305	551.431	515.133	179.717
13964	27.92600	543.141	355.118	164.302	551.121	514.912	179.669
13965	27.92800	542.781	355.319	164.377	550.791	514.654	179.654
13966	27.93000	542.374	355.517	164.388	550.469	514.380	179.731
13967	27.93200	542.098	355.730	164.340	550.158	514.152	179.761
13968	27.93400	541.858	355.970	164.304	549.847	513.955	179.730
13969	27.93600	541.520	356.197	164.391	549.507	513.732	179.685
13970	27.93800	541.258	356.409	164.345	549.198	513.461	179.667
13971	27.94000	540.991	356.625	164.360	548.838	513.210	179.762
13972	27.94200	540.599	356.823	164.371	548.532	512.989	179.746
13973	27.94400	540.205	357.023	164.413	548.224	512.795	179.744
13974	27.94600	540.018	357.273	164.393	547.892	512.547	179.683
13975	27.94800	539.828	357.504	164.342	547.568	512.281	179.715
13976	27.95000	539.398	357.678	164.371	547.235	512.018	179.774
13977	27.95200	539.061	357.916	164.404	546.932	511.829	179.761
13978	27.95400	538.845	358.147	164.421	546.599	511.606	179.716
