NO_OF_FRAMES	1406
NO_OF_CAMERAS	2
NO_OF_MARKERS	2
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-21, 15:40:10.855	941744.55889980
DATA_INCLUDED	3D
TITLE	Bevaring av rörelsemängd i inelastisk stöt 27.7g vs 82.4g (Faulty)
MARKER_NAMES	h82_4g	v27_7g
COLLISION_TIME	1.21
TRAJECTORY_TYPES	Mixed	Measured
Frame	Time	h82_4g X	h82_4g Y	h82_4g Z	v27_7g X	v27_7g Y	v27_7g Z	
14466	28.93000	611.651	564.489	179.863	581.946	270.187	164.562
14467	28.93200	611.340	564.278	179.881	581.719	270.368	164.596
14468	28.93400	611.142	564.094	179.916	581.496	270.630	164.631
14469	28.93600	610.892	563.937	179.927	581.302	270.885	164.569
14470	28.93800	610.603	563.772	179.902	581.019	271.066	164.533
14471	28.94000	610.300	563.589	179.875	580.814	271.236	164.521
14472	28.94200	610.079	563.443	179.870	580.541	271.456	164.583
14473	28.94400	609.788	563.244	179.892	580.305	271.697	164.592
14474	28.94600	609.488	563.014	179.941	580.095	271.902	164.533
14475	28.94800	609.304	562.835	179.913	579.775	272.056	164.558
14476	28.95000	609.024	562.644	179.892	579.518	272.244	164.548
14477	28.95200	608.762	562.471	179.903	579.319	272.473	164.511
14478	28.95400	608.531	562.261	179.922	579.182	272.720	164.506
14479	28.95600	608.276	562.043	179.954	578.780	272.870	164.544
14480	28.95800	607.999	561.809	179.946	578.440	273.002	164.586
14481	28.96000	607.820	561.605	179.924	578.234	273.149	164.560
14482	28.96200	607.555	561.395	179.913	578.062	273.342	164.535
14483	28.96400	607.317	561.193	179.888	577.775	273.564	164.552
14484	28.96600	607.029	560.933	179.924	577.479	273.718	164.585
14485	28.96800	606.817	560.698	179.918	577.284	273.872	164.576
14486	28.97000	606.616	560.482	179.891	577.053	274.040	164.504
14487	28.97200	606.395	560.285	179.854	576.820	274.189	164.474
14488	28.97400	606.123	560.063	179.860	576.452	274.308	164.544
14489	28.97600	605.829	559.794	179.942	576.193	274.477	164.612
14490	28.97800	605.701	559.586	179.932	575.948	274.684	164.595
14491	28.98000	605.431	559.370	179.895	575.739	274.856	164.508
14492	28.98200	605.199	559.175	179.887	575.467	274.973	164.512
14493	28.98400	604.910	558.954	179.892	575.165	275.116	164.533
14494	28.98600	604.724	558.699	179.958	574.968	275.292	164.478
14495	28.98800	604.452	558.491	179.966	574.766	275.491	164.516
14496	28.99000	604.218	558.287	179.944	574.419	275.647	164.610
14497	28.99200	603.986	558.074	179.937	574.058	275.775	164.666
14498	28.99400	603.745	557.863	179.927	573.819	275.915	164.622
14499	28.99600	603.482	557.619	180.027	573.678	276.070	164.578
14500	28.99800	603.200	557.406	179.987	573.346	276.264	164.585
14501	29.00000	603.031	557.194	179.981	573.063	276.438	164.681
14502	29.00200	602.747	556.976	179.924	572.843	276.613	164.662
14503	29.00400	602.537	556.759	179.950	572.642	276.780	164.592
14504	29.00600	602.207	556.490	180.032	572.315	276.917	164.586
14505	29.00800	602.033	556.293	180.005	571.959	277.029	164.604
14506	29.01000	601.781	556.062	179.998	571.758	277.184	164.629
14507	29.01200	601.551	555.865	179.961	571.504	277.385	164.629
14508	29.01400	601.263	555.626	179.967	571.248	277.568	164.591
14509	29.01600	601.063	555.381	180.017	570.974	277.682	164.642
14510	29.01800	600.799	555.165	180.041	570.702	277.831	164.612
14511	29.02000	600.566	554.944	179.988	570.515	277.997	164.544
14512	29.02200	600.349	554.731	179.982	570.282	278.146	164.514
14513	29.02400	600.111	554.503	179.941	569.960	278.292	164.630
14514	29.02600	599.848	554.260	180.041	569.605	278.458	164.709
14515	29.02800	599.552	554.047	180.002	569.362	278.628	164.670
14516	29.03000	599.371	553.836	179.965	569.209	278.763	164.599
14517	29.03200	599.110	553.617	179.910	568.851	278.895	164.608
14518	29.03400	598.846	553.376	179.918	568.571	279.037	164.630
14519	29.03600	598.522	553.097	180.017	568.385	279.221	164.592
14520	29.03800	598.362	552.901	179.960	568.169	279.438	164.590
14521	29.04000	598.091	552.688	179.953	567.811	279.569	164.636
14522	29.04200	597.853	552.476	179.915	567.483	279.672	164.639
14523	29.04400	597.572	552.242	179.939	567.269	279.808	164.601
14524	29.04600	597.356	551.992	180.002	567.006	279.980	164.558
14525	29.04800	597.075	551.788	179.979	566.739	280.144	164.527
14526	29.05000	596.842	551.568	179.926	566.490	280.314	164.630
14527	29.05200	596.582	551.347	179.904	566.194	280.495	164.638
14528	29.05400	596.380	551.119	179.926	565.964	280.663	164.566
14529	29.05600	596.092	550.861	179.993	565.774	280.790	164.515
14530	29.05800	595.799	550.657	179.940	565.368	280.913	164.578
14531	29.06000	595.582	550.455	179.918	565.054	281.065	164.615
14532	29.06200	595.397	550.244	179.881	564.879	281.250	164.611
14533	29.06400	595.107	550.002	179.889	564.681	281.447	164.619
14534	29.06600	594.785	549.741	179.959	564.312	281.587	164.644
14535	29.06800	594.605	549.533	179.920	564.028	281.710	164.638
14536	29.07000	594.359	549.319	179.915	563.890	281.863	164.563
14537	29.07200	594.092	549.098	179.862	563.664	282.051	164.520
14538	29.07400	593.792	548.838	179.901	563.280	282.201	164.593
14539	29.07600	593.594	548.596	179.950	562.975	282.342	164.688
14540	29.07800	593.331	548.392	179.929	562.743	282.520	164.667
14541	29.08000	593.111	548.194	179.926	562.510	282.670	164.602
14542	29.08200	592.849	547.955	179.904	562.214	282.797	164.584
14543	29.08400	592.612	547.737	179.940	561.979	282.928	164.632
14544	29.08600	592.298	547.488	179.962	561.701	283.127	164.635
14545	29.08800	592.051	547.290	179.959	561.493	283.350	164.616
14546	29.09000	591.824	547.078	179.953	561.223	283.485	164.616
14547	29.09200	591.589	546.875	179.932	560.845	283.601	164.663
14548	29.09400	591.307	546.635	179.940	560.565	283.749	164.634
14549	29.09600	591.003	546.383	179.996	560.405	283.914	164.570
14550	29.09800	590.798	546.193	179.956	560.107	284.099	164.600
14551	29.10000	590.538	545.980	179.952	559.775	284.264	164.716
14552	29.10200	590.290	545.758	179.931	559.533	284.424	164.701
14553	29.10400	590.018	545.488	179.987	559.402	284.570	164.644
14554	29.10600	589.790	545.257	180.020	559.105	284.729	164.592
14555	29.10800	589.524	545.049	180.002	558.723	284.849	164.626
14556	29.11000	589.283	544.837	179.967	558.506	284.998	164.669
14557	29.11200	589.063	544.605	179.963	558.270	285.216	164.701
14558	29.11400	588.813	544.360	179.984	558.015	285.383	164.667
14559	29.11600	588.533	544.118	180.025	557.673	285.493	164.688
14560	29.11800	588.266	543.932	179.974	557.479	285.621	164.671
14561	29.12000	588.072	543.709	179.955	557.227	285.780	164.585
14562	29.12200	587.829	543.507	179.934	557.045	285.966	164.545
14563	29.12400	587.557	543.249	179.974	556.726	286.127	164.592
14564	29.12600	587.256	542.988	180.015	556.373	286.293	164.706
14565	29.12800	587.072	542.800	179.945	556.137	286.451	164.657
14566	29.13000	586.811	542.584	179.943	555.958	286.597	164.565
14567	29.13200	586.561	542.362	179.922	555.649	286.720	164.588
14568	29.13400	586.290	542.086	179.963	555.325	286.869	164.637
14569	29.13600	586.085	541.860	179.984	555.099	287.056	164.631
14570	29.13800	585.789	541.663	179.951	554.979	287.260	164.623
14571	29.14000	585.527	541.431	179.947	554.598	287.414	164.614
14572	29.14200	585.312	541.202	179.941	554.250	287.529	164.663
14573	29.14400	585.058	540.956	179.995	554.043	287.665	164.590
14574	29.14600	584.779	540.713	180.007	553.887	287.832	164.559
14575	29.14800	584.503	540.544	179.988	553.526	288.011	164.606
14576	29.15000	584.294	540.326	179.966	553.199	288.173	164.691
14577	29.15200	584.042	540.121	179.946	553.026	288.332	164.714
14578	29.15400	583.741	539.844	179.987	552.809	288.493	164.661
14579	29.15600	583.483	539.615	179.981	552.551	288.631	164.622
14580	29.15800	583.279	539.405	179.976	552.207	288.768	164.654
14581	29.16000	583.019	539.215	179.959	551.971	288.936	164.689
14582	29.16200	582.732	538.965	179.986	551.744	289.145	164.708
14583	29.16400	582.496	538.694	180.024	551.449	289.300	164.663
14584	29.16600	582.247	538.474	180.002	551.149	289.407	164.690
14585	29.16800	582.000	538.267	180.016	550.879	289.558	164.659
14586	29.17000	581.756	538.072	179.982	550.691	289.718	164.610
14587	29.17200	581.538	537.828	179.975	550.508	289.893	164.594
14588	29.17400	581.263	537.568	180.048	550.149	290.078	164.695
14589	29.17600	580.969	537.352	180.015	549.853	290.231	164.732
14590	29.17800	580.732	537.160	179.948	549.633	290.373	164.687
14591	29.18000	580.534	536.948	179.975	549.469	290.535	164.628
14592	29.18200	580.243	536.726	179.955	549.028	290.673	164.656
14593	29.18400	579.945	536.439	180.044	548.753	290.819	164.711
14594	29.18600	579.727	536.230	180.007	548.601	291.015	164.722
14595	29.18800	579.465	536.018	180.003	548.396	291.212	164.694
14596	29.19000	579.210	535.824	179.968	548.035	291.348	164.692
14597	29.19200	578.944	535.589	180.028	547.709	291.459	164.677
14598	29.19400	578.711	535.286	180.064	547.551	291.613	164.637
14599	29.19600	578.423	535.090	180.030	547.301	291.795	164.611
14600	29.19800	578.164	534.876	179.997	546.927	291.969	164.664
14601	29.20000	577.914	534.656	180.008	546.670	292.122	164.773
14602	29.20200	577.672	534.428	180.002	546.419	292.274	164.740
14603	29.20400	577.358	534.171	180.042	546.223	292.434	164.690
14604	29.20600	577.073	533.955	180.011	545.960	292.563	164.673
14605	29.20800	576.865	533.771	179.991	545.632	292.710	164.718
14606	29.21000	576.618	533.566	179.974	545.363	292.899	164.744
14607	29.21200	576.335	533.318	180.000	545.154	293.088	164.736
14608	29.21400	576.023	533.033	180.058	544.902	293.230	164.720
14609	29.21600	575.843	532.834	179.975	544.476	293.351	164.716
14610	29.21800	575.552	532.619	179.973	544.236	293.484	164.692
14611	29.22000	575.255	532.397	179.986	544.098	293.632	164.634
14612	29.22200	575.018	532.161	179.995	543.823	293.805	164.663
14613	29.22400	574.763	531.890	180.034	543.440	293.979	164.716
14614	29.22600	574.474	531.657	179.972	543.203	294.143	164.689
14615	29.22800	574.213	531.462	179.969	543.006	294.313	164.653
14616	29.23000	573.978	531.252	179.965	542.735	294.442	164.599
14617	29.23200	573.707	531.014	179.944	542.331	294.568	164.618
14618	29.23400	573.383	530.737	180.018	542.155	294.709	164.648
14619	29.23600	573.123	530.550	179.939	541.908	294.923	164.694
14620	29.23800	572.915	530.341	179.935	541.672	295.086	164.710
14621	29.24000	572.636	530.137	179.916	541.366	295.222	164.745
14622	29.24200	572.329	529.902	179.977	541.040	295.367	164.687
14623	29.24400	572.089	529.615	180.017	540.830	295.517	164.624
14624	29.24600	571.864	529.411	179.968	540.666	295.701	164.590
14625	29.24800	571.606	529.206	179.952	540.241	295.872	164.648
14626	29.25000	571.327	528.985	179.934	539.935	296.045	164.712
14627	29.25200	571.084	528.759	179.989	539.735	296.179	164.687
14628	29.25400	570.804	528.491	180.018	539.617	296.335	164.645
14629	29.25600	570.512	528.275	179.987	539.206	296.466	164.656
14630	29.25800	570.268	528.082	179.953	538.892	296.607	164.684
14631	29.26000	570.018	527.871	179.950	538.741	296.800	164.666
14632	29.26200	569.728	527.639	179.979	538.531	297.009	164.685
14633	29.26400	569.418	527.368	180.041	538.105	297.160	164.682
14634	29.26600	569.203	527.163	179.971	537.799	297.273	164.701
14635	29.26800	568.937	526.948	179.972	537.661	297.403	164.648
14636	29.27000	568.688	526.744	179.954	537.425	297.583	164.624
14637	29.27200	568.407	526.504	180.029	537.085	297.726	164.683
14638	29.27400	568.154	526.243	180.054	536.807	297.909	164.756
14639	29.27600	567.880	526.035	180.009	536.565	298.103	164.698
14640	29.27800	567.614	525.822	179.977	536.370	298.263	164.649
14641	29.28000	567.387	525.611	179.974	536.051	298.387	164.603
14642	29.28200	567.123	525.374	180.017	535.691	298.516	164.654
14643	29.28400	566.812	525.122	180.078	535.463	298.690	164.683
14644	29.28600	566.553	524.917	180.000	535.289	298.890	164.723
14645	29.28800	566.345	524.698	179.983	535.088	299.040	164.768
14646	29.29000	566.067	524.486	179.950	534.675	299.153	164.784
14647	29.29200	565.771	524.245	180.025	534.422	299.308	164.708
14648	29.29400	565.528	523.981	180.053	534.286	299.473	164.646
14649	29.29600	565.284	523.769	179.990	534.015	299.640	164.651
14650	29.29800	565.015	523.566	179.973	533.578	299.821	164.688
14651	29.30000	564.748	523.343	179.988	533.346	299.974	164.726
14652	29.30200	564.514	523.090	180.030	533.237	300.131	164.684
14653	29.30400	564.237	522.842	180.028	532.968	300.266	164.657
14654	29.30600	563.954	522.627	179.967	532.583	300.377	164.678
14655	29.30800	563.728	522.432	179.936	532.357	300.532	164.672
14656	29.31000	563.497	522.214	179.948	532.177	300.747	164.677
14657	29.31200	563.201	521.973	179.963	531.961	300.930	164.722
14658	29.31400	562.869	521.694	180.011	531.523	301.061	164.692
14659	29.31600	562.676	521.493	179.932	531.284	301.190	164.710
14660	29.31800	562.415	521.280	179.931	531.074	301.344	164.677
14661	29.32000	562.142	521.077	179.914	530.882	301.506	164.661
14662	29.32200	561.863	520.819	179.991	530.548	301.670	164.739
14663	29.32400	561.641	520.575	180.018	530.240	301.852	164.820
14664	29.32600	561.366	520.368	179.973	530.042	302.018	164.756
14665	29.32800	561.074	520.157	179.940	529.857	302.175	164.677
14666	29.33000	560.837	519.927	179.971	529.497	302.304	164.653
