NO_OF_FRAMES	942
NO_OF_CAMERAS	2
NO_OF_MARKERS	2
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-21, 16:46:27.053	945720.73389790
DATA_INCLUDED	3D
MARKER_NAMES	v43_3g	h82_4g
TRAJECTORY_TYPES	Measured	Measured
Frame	Time	v43_3g X	v43_3g Y	v43_3g Z	h82_4g X	h82_4g Y	h82_4g Z	
13572	27.14200	482.140	323.169	162.935	510.552	534.106	179.870
13573	27.14400	481.815	323.401	162.974	510.148	533.903	179.879
13574	27.14600	481.484	323.699	162.970	509.822	533.724	179.876
13575	27.14800	481.163	324.003	162.917	509.431	533.554	179.886
13576	27.15000	480.860	324.239	162.875	509.027	533.350	179.864
13577	27.15200	480.512	324.470	162.914	508.726	533.137	179.860
13578	27.15400	480.233	324.763	162.959	508.322	532.926	179.882
13579	27.15600	479.878	325.031	162.915	507.923	532.720	179.864
13580	27.15800	479.543	325.294	162.884	507.586	532.560	179.858
13581	27.16000	479.231	325.556	162.854	507.173	532.365	179.852
13582	27.16200	478.906	325.817	162.971	506.856	532.179	179.861
13583	27.16400	478.584	326.065	162.976	506.456	531.949	179.855
13584	27.16600	478.233	326.334	162.928	506.023	531.735	179.851
13585	27.16800	477.899	326.619	162.847	505.732	531.557	179.847
13586	27.17000	477.609	326.906	162.941	505.296	531.371	179.855
13587	27.17200	477.299	327.138	162.983	504.982	531.205	179.832
13588	27.17400	476.927	327.398	162.921	504.597	530.990	179.860
13589	27.17600	476.609	327.691	162.966	504.188	530.785	179.870
13590	27.17800	476.322	327.979	162.951	503.859	530.582	179.881
13591	27.18000	475.981	328.217	162.940	503.454	530.387	179.874
13592	27.18200	475.624	328.475	162.991	503.072	530.203	179.851
13593	27.18400	475.342	328.751	163.042	502.734	530.023	179.879
13594	27.18600	475.006	329.030	163.010	502.306	529.836	179.859
13595	27.18800	474.659	329.306	162.914	501.970	529.616	179.899
13596	27.19000	474.351	329.545	162.937	501.614	529.412	179.879
13597	27.19200	474.046	329.832	163.032	501.192	529.216	179.904
13598	27.19400	473.725	330.092	162.974	500.873	529.057	179.869
13599	27.19600	473.375	330.345	162.930	500.504	528.869	179.881
13600	27.19800	473.055	330.634	162.911	500.121	528.667	179.919
13601	27.20000	472.788	330.909	162.964	499.788	528.434	179.919
13602	27.20200	472.423	331.140	163.006	499.347	528.238	179.913
13603	27.20400	472.089	331.393	162.963	499.019	528.063	179.876
13604	27.20600	471.773	331.689	162.931	498.630	527.865	179.875
13605	27.20800	471.458	331.987	162.928	498.289	527.699	179.883
13606	27.21000	471.127	332.210	162.955	497.918	527.476	179.926
13607	27.21200	470.813	332.447	162.948	497.507	527.262	179.921
13608	27.21400	470.466	332.762	162.943	497.156	527.070	179.883
13609	27.21600	470.140	333.035	162.963	496.785	526.888	179.884
13610	27.21800	469.837	333.289	162.920	496.415	526.713	179.877
13611	27.22000	469.467	333.538	162.957	496.019	526.510	179.916
13612	27.22200	469.192	333.840	163.021	495.659	526.304	179.929
13613	27.22400	468.840	334.084	162.997	495.269	526.075	179.924
13614	27.22600	468.475	334.344	162.937	494.882	525.897	179.889
13615	27.22800	468.182	334.636	162.953	494.509	525.710	179.870
13616	27.23000	467.870	334.886	163.025	494.098	525.518	179.892
13617	27.23200	467.552	335.150	162.994	493.768	525.338	179.922
13618	27.23400	467.168	335.426	162.934	493.367	525.108	179.947
13619	27.23600	466.852	335.693	162.970	492.995	524.913	179.912
13620	27.23800	466.567	335.984	162.986	492.616	524.708	179.894
13621	27.24000	466.237	336.213	162.997	492.217	524.535	179.853
13622	27.24200	465.895	336.467	162.955	491.880	524.371	179.885
13623	27.24400	465.574	336.769	163.018	491.516	524.169	179.895
13624	27.24600	465.236	337.038	162.977	491.116	523.948	179.905
13625	27.24800	464.934	337.291	162.933	490.777	523.742	179.889
13626	27.25000	464.608	337.532	162.991	490.431	523.567	179.882
13627	27.25200	464.331	337.841	163.005	490.019	523.388	179.880
13628	27.25400	463.954	338.117	162.946	489.666	523.200	179.893
13629	27.25600	463.634	338.355	162.939	489.292	522.980	179.934
13630	27.25800	463.328	338.610	162.930	488.944	522.775	179.916
13631	27.26000	463.007	338.912	162.994	488.540	522.572	179.896
13632	27.26200	462.686	339.157	162.971	488.131	522.395	179.829
13633	27.26400	462.335	339.410	162.931	487.784	522.215	179.891
13634	27.26600	461.988	339.701	162.947	487.436	522.013	179.900
13635	27.26800	461.730	339.976	163.002	487.042	521.818	179.926
13636	27.27000	461.372	340.214	162.994	486.634	521.604	179.893
13637	27.27200	461.029	340.502	162.946	486.284	521.428	179.858
13638	27.27400	460.717	340.791	162.968	485.910	521.214	179.857
13639	27.27600	460.395	341.066	162.986	485.570	521.047	179.866
13640	27.27800	460.081	341.314	162.994	485.145	520.852	179.892
13641	27.28000	459.719	341.575	162.970	484.769	520.654	179.954
13642	27.28200	459.393	341.870	163.050	484.395	520.444	179.916
13643	27.28400	459.055	342.140	163.009	483.993	520.239	179.899
13644	27.28600	458.728	342.385	162.985	483.693	520.081	179.894
13645	27.28800	458.396	342.669	163.019	483.255	519.876	179.906
13646	27.29000	458.115	342.944	163.075	482.901	519.697	179.936
13647	27.29200	457.749	343.212	163.001	482.516	519.485	179.962
13648	27.29400	457.398	343.475	162.975	482.144	519.291	179.928
13649	27.29600	457.120	343.758	163.011	481.778	519.088	179.909
13650	27.29800	456.812	344.025	163.048	481.382	518.909	179.875
13651	27.30000	456.451	344.277	163.010	481.020	518.732	179.903
13652	27.30200	456.121	344.541	163.017	480.662	518.528	179.946
13653	27.30400	455.773	344.849	163.033	480.264	518.325	179.957
13654	27.30600	455.497	345.097	163.043	479.918	518.118	179.943
13655	27.30800	455.162	345.342	163.020	479.544	517.952	179.891
13656	27.31000	454.816	345.616	163.041	479.140	517.748	179.872
13657	27.31200	454.512	345.931	163.044	478.837	517.553	179.902
13658	27.31400	454.198	346.179	163.053	478.420	517.358	179.928
13659	27.31600	453.863	346.424	163.030	478.018	517.144	179.927
13660	27.31800	453.568	346.717	163.081	477.660	516.950	179.892
13661	27.32000	453.219	347.006	163.071	477.248	516.754	179.890
13662	27.32200	452.882	347.253	163.081	476.955	516.586	179.903
13663	27.32400	452.547	347.523	163.039	476.571	516.391	179.932
13664	27.32600	452.253	347.814	163.059	476.169	516.204	179.974
13665	27.32800	451.931	348.079	163.067	475.796	516.009	179.973
13666	27.33000	451.578	348.331	163.030	475.393	515.806	179.923
13667	27.33200	451.228	348.619	162.985	475.041	515.611	179.920
13668	27.33400	450.948	348.905	163.054	474.673	515.433	179.918
13669	27.33600	450.658	349.168	163.030	474.263	515.239	179.944
13670	27.33800	450.267	349.437	162.989	473.932	515.043	180.005
13671	27.34000	449.934	349.703	163.030	473.530	514.839	179.956
13672	27.34200	449.648	350.002	163.035	473.142	514.635	179.939
13673	27.34400	449.321	350.257	163.026	472.797	514.459	179.935
13674	27.34600	448.970	350.510	162.989	472.378	514.264	179.902
13675	27.34800	448.658	350.786	163.045	472.075	514.085	179.964
13676	27.35000	448.294	351.084	163.049	471.675	513.873	179.992
13677	27.35200	447.999	351.338	163.010	471.257	513.677	179.990
13678	27.35400	447.694	351.583	162.991	470.945	513.484	179.924
13679	27.35600	447.377	351.894	163.038	470.495	513.279	179.907
13680	27.35800	447.036	352.155	163.020	470.172	513.111	179.921
13681	27.36000	446.700	352.410	163.013	469.802	512.915	179.951
13682	27.36200	446.396	352.691	162.986	469.388	512.721	179.978
13683	27.36400	446.114	352.983	163.042	469.053	512.525	179.978
13684	27.36600	445.747	353.246	163.018	468.651	512.338	179.930
13685	27.36800	445.408	353.502	163.045	468.254	512.126	179.896
13686	27.37000	445.093	353.782	163.022	467.931	511.948	179.927
13687	27.37200	444.793	354.083	163.056	467.528	511.763	179.969
13688	27.37400	444.480	354.329	163.035	467.155	511.558	179.984
13689	27.37600	444.128	354.599	162.997	466.782	511.355	179.935
