NO_OF_FRAMES	566
NO_OF_CAMERAS	2
NO_OF_MARKERS	2
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-21, 17:13:26.898	947340.56323890
DATA_INCLUDED	3D
MARKER_NAMES	v5_9g	h14_6g
TRAJECTORY_TYPES	Mixed	Measured
Frame	Time	v5_9g X	v5_9g Y	v5_9g Z	h14_6g X	h14_6g Y	h14_6g Z	
13368	26.73400	528.033	349.251	161.611	550.276	507.100	165.605
13369	26.73600	527.772	349.570	161.610	549.970	506.925	165.601
13370	26.73800	527.508	349.904	161.573	549.628	506.755	165.585
13371	26.74000	527.191	350.234	161.542	549.219	506.595	165.551
13372	26.74200	526.940	350.546	161.591	548.894	506.422	165.539
13373	26.74400	526.652	350.856	161.573	548.551	506.243	165.539
13374	26.74600	526.415	351.199	161.554	548.201	506.048	165.631
13375	26.74800	526.098	351.536	161.507	547.888	505.872	165.629
13376	26.75000	525.796	351.815	161.558	547.483	505.715	165.584
13377	26.75200	525.566	352.150	161.556	547.146	505.575	165.549
13378	26.75400	525.316	352.491	161.505	546.831	505.378	165.551
13379	26.75600	524.933	352.806	161.473	546.503	505.184	165.582
13380	26.75800	524.695	353.102	161.558	546.134	505.013	165.627
13381	26.76000	524.479	353.447	161.570	545.794	504.860	165.644
13382	26.76200	524.169	353.772	161.519	545.402	504.690	165.596
13383	26.76400	523.842	354.104	161.520	545.099	504.539	165.579
13384	26.76600	523.610	354.410	161.620	544.761	504.335	165.595
13385	26.76800	523.361	354.737	161.601	544.398	504.164	165.611
13386	26.77000	523.033	355.071	161.567	544.023	503.996	165.593
13387	26.77200	522.757	355.412	161.585	543.672	503.833	165.625
13388	26.77400	522.506	355.709	161.668	543.332	503.646	165.641
13389	26.77600	522.196	356.035	161.617	543.043	503.495	165.656
13390	26.77800	521.916	356.367	161.620	542.619	503.307	165.671
13391	26.78000	521.662	356.716	161.588	542.287	503.163	165.609
13392	26.78200	521.354	356.979	161.641	541.940	502.986	165.608
13393	26.78400	521.111	357.329	161.606	541.578	502.786	165.643
13394	26.78600	520.813	357.685	161.592	541.261	502.612	165.702
13395	26.78800	520.496	357.986	161.560	540.885	502.450	165.671
13396	26.79000	520.259	358.283	161.645	540.526	502.296	165.625
