NO_OF_FRAMES	861
NO_OF_CAMERAS	2
NO_OF_MARKERS	2
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-21, 17:02:58.334	946712.00425560
DATA_INCLUDED	3D
TITLE	Bevaring av rörelsemängd i inelastisk stöt 5.9 g vs 27.7 g
MARKER_NAMES	v5_9g	h27_7g
COLLISION_TIME	0.48
TRAJECTORY_TYPES	Mixed	Measured
Frame	Time	v5_9g X	v5_9g Y	v5_9g Z	h27_7g X	h27_7g Y	h27_7g Z	
15574	31.14600	509.001	335.462	161.705	535.363	541.072	164.816
15575	31.14800	508.765	335.797	161.696	535.036	540.823	164.840
15576	31.15000	508.502	336.133	161.720	534.688	540.547	164.849
15577	31.15200	508.247	336.495	161.723	534.402	540.299	164.842
15578	31.15400	508.028	336.838	161.697	534.095	540.077	164.820
15579	31.15600	507.779	337.184	161.735	533.797	539.864	164.783
15580	31.15800	507.539	337.528	161.744	533.459	539.579	164.839
15581	31.16000	507.306	337.879	161.700	533.136	539.313	164.831
15582	31.16200	507.097	338.233	161.722	532.805	539.090	164.810
15583	31.16400	506.842	338.567	161.716	532.567	538.869	164.788
15584	31.16600	506.585	338.917	161.674	532.270	538.611	164.830
15585	31.16800	506.388	339.295	161.643	531.913	538.369	164.840
15586	31.17000	506.163	339.631	161.668	531.594	538.102	164.865
15587	31.17200	505.916	339.965	161.664	531.319	537.872	164.828
15588	31.17400	505.681	340.336	161.649	531.021	537.658	164.792
15589	31.17600	505.467	340.678	161.626	530.691	537.408	164.848
15590	31.17800	505.209	341.006	161.670	530.378	537.132	164.890
15591	31.18000	504.967	341.352	161.710	530.041	536.882	164.854
15592	31.18200	504.739	341.712	161.684	529.758	536.680	164.830
15593	31.18400	504.509	342.047	161.678	529.469	536.429	164.858
15594	31.18600	504.265	342.402	161.734	529.137	536.180	164.853
15595	31.18800	504.026	342.739	161.760	528.778	535.903	164.894
15596	31.19000	503.799	343.100	161.732	528.511	535.692	164.856
15597	31.19200	503.554	343.454	161.789	528.212	535.460	164.821
15598	31.19400	503.300	343.771	161.787	527.885	535.229	164.846
15599	31.19600	503.078	344.124	161.780	527.570	534.953	164.919
15600	31.19800	502.856	344.503	161.782	527.240	534.703	164.883
15601	31.20000	502.604	344.828	161.763	526.950	534.491	164.846
15602	31.20200	502.372	345.173	161.773	526.670	534.260	164.872
15603	31.20400	502.168	345.533	161.747	526.352	534.002	164.884
15604	31.20600	501.940	345.877	161.724	526.010	533.725	164.895
15605	31.20800	501.710	346.229	161.717	525.720	533.496	164.857
15606	31.21000	501.483	346.592	161.757	525.445	533.265	164.822
15607	31.21200	501.264	346.918	161.737	525.138	533.042	164.802
15608	31.21400	501.031	347.272	161.762	524.811	532.765	164.908
15609	31.21600	500.799	347.624	161.757	524.498	532.517	164.871
15610	31.21800	500.566	347.960	161.786	524.193	532.277	164.820
15611	31.22000	500.322	348.313	161.778	523.932	532.056	164.799
