NO_OF_FRAMES	915
NO_OF_CAMERAS	2
NO_OF_MARKERS	2
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-21, 16:49:28.554	945902.23283880
DATA_INCLUDED	3D
TITLE	Bevaring av rörelsemängd i inelastisk stöt 5.9g vs 43.3g
MARKER_NAMES	v5_9g	h43_3g
COLLISION_TIME	0
TRAJECTORY_TYPES	Measured	Mixed
Frame	Time	v5_9g X	v5_9g Y	v5_9g Z	h43_3g X	h43_3g Y	h43_3g Z	
15251	30.50000	564.218	283.781	161.569	575.634	552.562	163.476
15252	30.50200	563.911	283.945	161.538	575.326	552.349	163.467
15253	30.50400	563.628	284.109	161.507	575.065	552.111	163.441
15254	30.50600	563.352	284.267	161.494	574.773	551.853	163.417
15255	30.50800	563.055	284.415	161.502	574.471	551.591	163.488
15256	30.51000	562.720	284.557	161.525	574.163	551.341	163.542
15257	30.51200	562.450	284.708	161.529	573.933	551.138	163.518
15258	30.51400	562.185	284.862	161.565	573.612	550.888	163.479
15259	30.51600	561.899	285.018	161.554	573.307	550.639	163.501
15260	30.51800	561.587	285.167	161.561	573.020	550.344	163.570
15261	30.52000	561.310	285.324	161.548	572.748	550.156	163.579
15262	30.52200	561.035	285.476	161.551	572.450	549.922	163.542
15263	30.52400	560.735	285.640	161.521	572.191	549.662	163.498
15264	30.52600	560.446	285.783	161.545	571.838	549.382	163.538
15265	30.52800	560.180	285.959	161.526	571.588	549.168	163.563
15266	30.53000	559.876	286.101	161.550	571.308	548.928	163.570
15267	30.53200	559.569	286.242	161.576	571.009	548.708	163.544
15268	30.53400	559.270	286.387	161.631	570.685	548.431	163.522
15269	30.53600	558.979	286.539	161.633	570.402	548.172	163.561
15270	30.53800	558.726	286.691	161.637	570.115	547.933	163.568
15271	30.54000	558.419	286.855	161.607	569.823	547.727	163.546
15272	30.54200	558.125	287.022	161.608	569.519	547.470	163.490
15273	30.54400	557.851	287.187	161.577	569.219	547.186	163.543
15274	30.54600	557.543	287.321	161.620	568.902	546.938	163.534
15275	30.54800	557.208	287.446	161.648	568.624	546.721	163.530
