NO_OF_FRAMES	575
NO_OF_CAMERAS	2
NO_OF_MARKERS	2
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-21, 15:27:24.764	940978.47065880
DATA_INCLUDED	3D
TITLE	Bevaring av rörelsemängd i inelastisk stöt 5.9 g vs 82.4 g
MARKER_NAMES	v5_9g	h82_4g
COLLISION_TIME	0.34
TRAJECTORY_TYPES	Measured	Measured
Frame	Time	v5_9g X	v5_9g Y	v5_9g Z	h82_4g X	h82_4g Y	h82_4g Z	
672	1.34200	395.382	290.561	161.875	503.919	501.503	179.962
673	1.34400	395.381	290.929	161.850	503.607	501.238	179.997
674	1.34600	395.410	291.418	161.909	503.266	500.928	180.049
675	1.34800	395.485	291.843	161.819	502.951	500.629	179.991
676	1.35000	395.493	292.265	161.930	502.644	500.337	179.981
677	1.35200	395.532	292.732	161.929	502.318	500.072	179.984
678	1.35400	395.613	293.159	161.872	502.003	499.771	180.020
679	1.35600	395.627	293.619	162.008	501.669	499.454	179.995
680	1.35800	395.729	294.052	161.906	501.349	499.197	179.952
681	1.36000	395.814	294.568	161.974	501.012	498.905	180.003
682	1.36200	395.791	294.926	161.936	500.691	498.606	180.008
683	1.36400	395.864	295.455	161.936	500.358	498.296	179.967
684	1.36600	395.998	295.863	161.849	500.028	498.031	179.971
685	1.36800	396.034	296.293	161.940	499.715	497.758	179.991
686	1.37000	396.087	296.738	161.879	499.379	497.439	179.998
687	1.37200	396.169	297.165	161.823	499.055	497.148	179.955
688	1.37400	396.205	297.597	161.946	498.739	496.874	179.977
689	1.37600	396.306	298.038	161.822	498.417	496.599	179.998
690	1.37800	396.393	298.542	161.847	498.107	496.291	179.989
691	1.38000	396.383	298.913	161.857	497.773	495.999	179.979
692	1.38200	396.445	299.417	161.882	497.466	495.725	179.969
693	1.38400	396.501	299.828	161.834	497.130	495.450	179.990
694	1.38600	396.524	300.267	161.944	496.843	495.123	179.984
695	1.38800	396.597	300.730	161.883	496.507	494.832	179.973
696	1.39000	396.665	301.136	161.887	496.185	494.584	179.979
697	1.39200	396.702	301.620	162.004	495.874	494.292	180.001
698	1.39400	396.777	302.036	161.906	495.523	493.966	179.992
699	1.39600	396.830	302.518	161.987	495.204	493.674	179.984
700	1.39800	396.809	302.909	161.911	494.890	493.399	179.975
701	1.40000	396.904	303.413	161.938	494.552	493.108	179.996
702	1.40200	396.980	303.807	161.891	494.236	492.799	179.989
703	1.40400	397.035	304.267	161.914	493.880	492.507	179.948
704	1.40600	397.101	304.697	161.892	493.586	492.260	179.953
705	1.40800	397.166	305.111	161.876	493.241	491.960	179.991
706	1.41000	397.179	305.580	161.914	492.924	491.668	179.983
707	1.41200	397.271	305.982	161.851	492.595	491.385	179.990
708	1.41400	397.364	306.474	161.946	492.272	491.120	179.996
709	1.41600	397.391	306.873	161.855	491.961	490.820	180.004
710	1.41800	397.484	307.372	161.933	491.633	490.502	180.012
711	1.42000	397.514	307.768	161.924	491.297	490.237	180.018
712	1.42200	397.542	308.236	161.934	490.983	489.963	180.011
713	1.42400	397.644	308.676	161.930	490.656	489.663	179.987
714	1.42600	397.691	309.092	161.955	490.332	489.354	179.980
715	1.42800	397.729	309.597	161.986	489.996	489.071	179.987
716	1.43000	397.803	309.981	161.930	489.710	488.824	179.993
717	1.43200	397.806	310.463	162.016	489.353	488.506	180.001
718	1.43400	397.835	310.887	161.903	489.019	488.197	179.995
719	1.43600	397.930	311.357	161.941	488.706	487.931	180.002
720	1.43800	397.965	311.753	161.931	488.383	487.666	180.010
721	1.44000	398.046	312.207	161.861	488.048	487.350	179.985
722	1.44200	398.127	312.660	161.901	487.739	487.040	179.981
723	1.44400	398.150	313.039	161.898	487.395	486.748	180.005
724	1.44600	398.213	313.534	161.917	487.079	486.501	180.010
725	1.44800	398.295	313.928	161.875	486.752	486.191	179.974
726	1.45000	398.346	314.402	161.980	486.428	485.891	179.983
727	1.45200	398.438	314.817	161.855	486.109	485.617	179.976
728	1.45400	398.539	315.261	161.887	485.814	485.352	179.984
729	1.45600	398.530	315.701	161.888	485.473	485.034	179.994
730	1.45800	398.630	316.121	161.831	485.147	484.734	180.003
731	1.46000	398.719	316.603	161.921	484.819	484.477	179.996
732	1.46200	398.710	317.005	161.867	484.497	484.203	179.989
733	1.46400	398.778	317.504	161.952	484.169	483.895	179.982
734	1.46600	398.821	317.872	161.902	483.850	483.595	179.992
735	1.46800	398.817	318.349	161.930	483.530	483.320	180.017
736	1.47000	398.869	318.778	161.882	483.201	483.037	179.995
737	1.47200	398.933	319.195	161.904	482.864	482.737	179.973
738	1.47400	398.925	319.670	161.898	482.556	482.445	180.000
739	1.47600	399.040	320.063	161.827	482.227	482.163	180.009
