NO_OF_FRAMES	763
NO_OF_CAMERAS	2
NO_OF_MARKERS	6
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-21, 18:01:50.353	950243.99451960
DATA_INCLUDED	3D
TITLE	Bevaring av energi i elastisk stöt 14.6g vs (stilla fjäderpuck) 31.6g
MARKER_NAMES	h31_6g	hx	hy	v14_6g	vx	vy
COLLISION_TIME	0
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured
Frame	Time	h31_6g X	h31_6g Y	h31_6g Z	hx X	hx Y	hx Z	hy X	hy Y	hy Z	v14_6g X	v14_6g Y	v14_6g Z	vx X	vx Y	vx Z	vy X	vy Y	vy Z	
606	1.21000	323.412	419.233	165.290	311.470	436.104	165.598	307.713	405.961	165.600	527.184	471.039	165.633	507.941	482.202	165.999	514.526	451.165	165.447
607	1.21200	323.412	419.233	165.290	311.478	436.095	165.583	307.713	405.952	165.616	526.502	470.875	165.635	507.361	482.086	165.978	513.992	451.014	165.465
608	1.21400	323.427	419.215	165.293	311.493	436.077	165.585	307.728	405.943	165.602	525.970	470.762	165.644	506.710	481.949	165.993	513.405	450.912	165.450
609	1.21600	323.427	419.206	165.278	311.501	436.078	165.586	307.735	405.934	165.588	525.307	470.622	165.696	506.109	481.815	165.972	512.894	450.745	165.501
610	1.21800	323.442	419.197	165.264	311.516	436.078	165.586	307.751	405.934	165.588	524.717	470.543	165.640	505.537	481.688	165.971	512.268	450.640	165.490
611	1.22000	323.450	419.188	165.281	311.539	436.078	165.586	307.758	405.925	165.605	524.152	470.458	165.655	504.950	481.553	165.984	511.802	450.522	165.516
612	1.22200	323.473	419.189	165.282	311.539	436.060	165.588	307.796	405.907	165.607	523.558	470.386	165.617	504.354	481.401	165.998	511.182	450.381	165.541
613	1.22400	323.488	419.180	165.267	311.562	436.060	165.588	307.796	405.907	165.607	522.998	470.305	165.564	503.780	481.283	166.012	510.609	450.267	165.520
614	1.22600	323.504	419.171	165.284	311.570	436.051	165.573	307.812	405.890	165.609	522.428	470.184	165.583	503.129	481.140	165.976	510.076	450.148	165.509
615	1.22800	323.511	419.162	165.270	311.592	436.042	165.559	307.827	405.890	165.609	521.851	470.079	165.545	502.548	480.995	166.006	509.510	450.023	165.477
