NO_OF_FRAMES	600
NO_OF_CAMERAS	2
NO_OF_MARKERS	6
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-21, 18:06:54.456	950548.09535660
DATA_INCLUDED	3D
TITLE	Bevaring av energi i elastisk stöt 27.7g vs (stilla fjäderpuck) 31.6g
MARKER_NAMES	h31_6g	hx	hy	v27_7g	vx	vy
COLLISION_TIME	0
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Mixed	Measured
Frame	Time	h31_6g X	h31_6g Y	h31_6g Z	hx X	hx Y	hx Z	hy X	hy Y	hy Z	v27_7g X	v27_7g Y	v27_7g Z	vx X	vx Y	vx Z	vy X	vy Y	vy Z	
9860	19.71800	306.427	433.313	165.237	295.327	450.670	165.851	290.015	420.812	165.605	527.817	471.482	164.711	514.052	486.245	164.896	513.771	455.640	164.973
9861	19.72000	306.427	433.296	165.239	295.342	450.670	165.851	290.015	420.820	165.588	527.136	471.329	164.725	513.373	486.083	164.892	513.090	455.487	164.991
9862	19.72200	306.435	433.278	165.241	295.357	450.679	165.835	290.015	420.820	165.588	526.456	471.167	164.724	512.686	485.921	164.888	512.376	455.324	165.024
9863	19.72400	306.434	433.269	165.227	295.380	450.661	165.837	290.000	420.829	165.603	525.789	471.006	164.754	511.995	485.757	164.920	511.713	455.182	165.023
9864	19.72600	306.450	433.261	165.243	295.388	450.662	165.838	290.007	420.820	165.588	525.084	470.852	164.769	511.320	485.631	164.882	511.018	455.037	165.023
9865	19.72800	306.457	433.252	165.229	295.411	450.670	165.821	290.008	420.830	165.603	524.430	470.690	164.737	510.673	485.496	164.862	510.385	454.894	165.024
9866	19.73000	306.457	433.252	165.229	295.428	450.680	165.837	290.000	420.829	165.603	523.759	470.564	164.734	510.010	485.353	164.857	509.672	454.751	165.055
9867	19.73200	306.465	433.235	165.231	295.450	450.679	165.837	290.000	420.830	165.603	523.056	470.419	164.733	509.333	485.189	164.919	508.977	454.595	165.043
9868	19.73400	306.473	433.226	165.247	295.459	450.671	165.854	289.993	420.848	165.602	522.384	470.275	164.731	508.610	485.009	164.979	508.307	454.453	165.040
9869	19.73600	306.465	433.217	165.232	295.474	450.680	165.838	289.985	420.847	165.601	521.696	470.095	164.732	507.931	484.865	164.976	507.614	454.291	165.011
9870	19.73800	306.473	433.208	165.249	295.489	450.671	165.854	289.978	420.839	165.617	520.998	469.934	164.761	507.287	484.730	164.924	506.926	454.156	165.026
9871	19.74000	306.465	433.199	165.235	295.504	450.680	165.838	289.977	420.839	165.617	520.334	469.772	164.761	506.634	484.622	164.886	506.232	453.985	165.013
9872	19.74200	306.473	433.191	165.251	295.542	450.679	165.838	289.977	420.856	165.615	519.670	469.628	164.759	505.946	484.443	164.914	505.554	453.832	164.998
9873	19.74400	306.473	433.173	165.253	295.542	450.671	165.854	289.970	420.857	165.615	518.961	469.492	164.741	505.238	484.297	164.975	504.821	453.705	164.997
9874	19.74600	306.465	433.173	165.252	295.557	450.671	165.854	289.955	420.865	165.629	518.280	469.340	164.755	504.530	484.117	165.037	504.173	453.561	164.997
9875	19.74800	306.481	433.165	165.269	295.573	450.671	165.855	289.955	420.865	165.629	517.575	469.196	164.784	503.854	483.983	165.014	503.486	453.418	164.997
9876	19.75000	306.466	433.147	165.271	295.588	450.671	165.855	289.947	420.865	165.629	516.903	469.034	164.784	503.192	483.838	164.980	502.790	453.265	165.014
9877	19.75200	306.473	433.147	165.270	295.604	450.662	165.840	289.932	420.865	165.628	516.201	468.873	164.782	502.565	483.705	164.927	502.101	453.104	165.046
9878	19.75400	306.465	433.129	165.272	295.627	450.671	165.855	289.924	420.883	165.627	515.527	468.720	164.797	501.859	483.551	164.971	501.396	452.943	165.079
9879	19.75600	306.465	433.129	165.272	295.626	450.662	165.840	289.924	420.874	165.612	514.848	468.558	164.797	501.157	483.379	164.955	500.717	452.817	165.078
9880	19.75800	306.473	433.104	165.291	295.642	450.662	165.841	289.909	420.883	165.626	514.154	468.422	164.778	500.472	483.243	164.935	500.007	452.673	165.078
9881	19.76000	306.473	433.104	165.291	295.657	450.662	165.841	289.909	420.883	165.626	513.489	468.269	164.794	499.818	483.108	164.914	499.374	452.529	165.079
9882	19.76200	306.481	433.094	165.276	295.681	450.662	165.842	289.909	420.883	165.626	512.803	468.133	164.776	499.140	482.965	164.909	498.662	452.375	165.097
