NO_OF_FRAMES	575
NO_OF_CAMERAS	2
NO_OF_MARKERS	6
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-21, 18:10:40.319	950773.95701150
DATA_INCLUDED	3D
TITLE	Bevaring av energi i elastisk stöt 34.0g vs (stilla fjäderpuck) 31.6g
MARKER_NAMES	h31_6g	hx	hy	v34_0g	vx	vy
COLLISION_TIME	0
TRAJECTORY_TYPES	Mixed	Measured	Mixed	Mixed	Mixed	Mixed
Frame	Time	h31_6g X	h31_6g Y	h31_6g Z	hx X	hx Y	hx Z	hy X	hy Y	hy Z	v34_0g X	v34_0g Y	v34_0g Z	vx X	vx Y	vx Z	vy X	vy Y	vy Z	
14968	29.93400	312.871	423.081	165.194	319.009	442.556	165.682	292.674	427.472	165.461	521.332	468.028	169.582	517.543	483.017	169.452	505.593	465.633	169.519
14969	29.93600	312.879	423.080	165.194	319.024	442.573	165.681	292.696	427.471	165.430	520.576	467.773	169.529	516.864	482.794	169.468	504.897	465.338	169.544
14970	29.93800	312.902	423.098	165.192	319.033	442.583	165.696	292.711	427.479	165.413	519.933	467.540	169.504	516.151	482.557	169.348	504.298	465.089	169.520
14971	29.94000	312.925	423.106	165.175	319.048	442.583	165.697	292.742	427.488	165.397	519.327	467.293	169.571	515.586	482.314	169.344	503.640	464.874	169.556
14972	29.94200	312.956	423.115	165.190	319.063	442.591	165.680	292.758	427.497	165.412	518.650	467.110	169.544	514.891	482.069	169.397	502.986	464.626	169.560
14973	29.94400	312.971	423.124	165.174	319.086	442.591	165.680	292.788	427.506	165.396	518.099	466.850	169.608	514.199	481.824	169.482	502.405	464.411	169.503
14974	29.94600	312.995	423.133	165.189	319.115	442.600	165.695	292.804	427.497	165.413	517.403	466.564	169.585	513.599	481.592	169.426	501.650	464.140	169.482
14975	29.94800	313.017	423.132	165.158	319.131	442.609	165.680	292.834	427.506	165.397	516.669	466.342	169.533	512.945	481.365	169.353	501.016	463.867	169.534
14976	29.95000	313.048	423.142	165.173	319.147	442.609	165.680	292.849	427.496	165.382	516.118	466.116	169.597	512.206	481.118	169.314	500.436	463.662	169.555
14977	29.95200	313.056	423.150	165.157	319.155	442.618	165.664	292.880	427.506	165.398	515.454	465.918	169.601	511.685	480.874	169.406	499.760	463.447	169.529
14978	29.95400	313.087	423.168	165.156	319.186	442.627	165.679	292.895	427.506	165.398	514.766	465.674	169.530	510.966	480.639	169.441	499.099	463.162	169.506
14979	29.95600	313.110	423.168	165.156	319.194	442.636	165.663	292.934	427.507	165.399	514.202	465.362	169.628	510.276	480.387	169.383	498.491	462.920	169.500
