NO_OF_FRAMES	741
NO_OF_CAMERAS	2
NO_OF_MARKERS	6
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-21, 17:57:43.027	949996.67041030
DATA_INCLUDED	3D
MARKER_NAMES	h31_6g	v5_9g	hx	hy	vx	vy
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured
Frame	Time	h31_6g X	h31_6g Y	h31_6g Z	v5_9g X	v5_9g Y	v5_9g Z	hx X	hx Y	hx Z	hy X	hy Y	hy Z	vx X	vx Y	vx Z	vy X	vy Y	vy Z	
503	1.00400	311.782	432.994	165.318	593.639	438.977	161.501	295.626	445.940	165.966	300.138	415.988	165.564	582.544	455.630	165.863	578.342	427.001	165.316
504	1.00600	311.804	432.994	165.319	592.903	438.945	161.478	295.649	445.941	165.967	300.145	415.979	165.580	581.808	455.602	165.805	577.597	426.921	165.391
505	1.00800	311.819	432.968	165.306	592.136	438.898	161.519	295.672	445.941	165.968	300.153	415.970	165.566	581.047	455.546	165.828	576.868	426.874	165.400
506	1.01000	311.843	432.959	165.323	591.395	438.854	161.557	295.710	445.942	165.969	300.169	415.970	165.567	580.266	455.480	165.870	576.129	426.848	165.437
507	1.01200	311.858	432.950	165.308	590.669	438.808	161.533	295.734	445.933	165.986	300.169	415.970	165.567	579.506	455.432	165.878	575.413	426.793	165.463
508	1.01400	311.881	432.933	165.311	589.931	438.786	161.525	295.756	445.934	165.987	300.177	415.962	165.584	578.788	455.396	165.867	574.691	426.712	165.540
509	1.01600	311.896	432.915	165.313	589.175	438.747	161.548	295.788	445.935	166.019	300.193	415.962	165.584	578.039	455.359	165.856	573.928	426.648	165.581
510	1.01800	311.927	432.907	165.330	588.429	438.702	161.555	295.810	445.926	166.005	300.200	415.954	165.600	577.258	455.302	165.913	573.199	426.602	165.590
511	1.02000	311.943	432.889	165.332	587.693	438.665	161.546	295.841	445.926	166.005	300.208	415.945	165.586	576.481	455.235	165.923	572.507	426.564	165.550
512	1.02200	311.989	432.871	165.334	586.958	438.634	161.522	295.864	445.927	166.006	300.223	415.945	165.586	575.719	455.179	165.947	571.764	426.508	165.545
513	1.02400	312.028	432.871	165.333	586.190	438.595	161.514	295.894	445.927	166.007	300.230	415.945	165.586	574.980	455.145	165.935	570.982	426.433	165.542
514	1.02600	312.059	432.853	165.335	585.458	438.576	161.535	295.917	445.910	166.009	300.238	415.927	165.589	574.224	455.097	165.911	570.255	426.378	165.535
515	1.02800	312.074	432.836	165.337	584.712	438.530	161.543	295.948	445.910	166.009	300.247	415.937	165.604	573.452	455.031	165.952	569.569	426.348	165.447
516	1.03000	312.098	432.827	165.354	583.985	438.499	161.519	296.002	445.927	166.008	300.261	415.927	165.589	572.678	454.974	166.009	568.827	426.282	165.427
517	1.03200	312.113	432.810	165.356	583.232	438.459	161.511	296.033	445.918	165.993	300.254	415.928	165.589	571.886	454.918	166.032	568.065	426.208	165.456
518	1.03400	312.136	432.792	165.358	582.479	438.414	161.518	296.064	445.918	165.994	300.297	415.909	165.590	571.161	454.865	166.022	567.325	426.161	165.432
519	1.03600	312.144	432.783	165.343	581.731	438.376	161.542	296.087	445.918	165.994	300.304	415.909	165.590	570.427	454.827	166.012	566.642	426.125	165.391
