NO_OF_FRAMES	670
NO_OF_CAMERAS	2
NO_OF_MARKERS	6
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-21, 18:16:52.217	951145.85218580
DATA_INCLUDED	3D
TITLE	Bevaring av energi i elastisk stöt 14.6g vs (fjäderpuck) 31.6g
MARKER_NAMES	v14_6g	vx	vy	h31_6g	hx	hy
COLLISION_TIME	0
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured
Frame	Time	v14_6g X	v14_6g Y	v14_6g Z	vx X	vx Y	vx Z	vy X	vy Y	vy Z	h31_6g X	h31_6g Y	h31_6g Z	hx X	hx Y	hx Z	hy X	hy Y	hy Z	
1751	3.50000	522.977	355.539	165.469	513.255	375.538	165.916	501.503	346.030	165.461	535.487	527.078	165.356	516.614	535.902	165.865	527.968	507.843	165.419
1752	3.50200	522.652	355.977	165.416	512.986	375.966	165.966	501.124	346.505	165.425	534.959	526.790	165.383	516.121	535.572	165.841	527.503	507.573	165.390
1753	3.50400	522.240	356.426	165.407	512.686	376.443	165.944	500.753	347.011	165.355	534.528	526.515	165.362	515.653	535.262	165.817	527.038	507.281	165.435
1754	3.50600	521.868	356.808	165.475	512.246	376.862	165.972	500.321	347.387	165.468	534.053	526.197	165.324	515.130	534.896	165.886	526.637	506.960	165.470
1755	3.50800	521.515	357.253	165.405	511.981	377.314	166.005	499.982	347.908	165.330	533.616	525.903	165.366	514.670	534.577	165.847	526.199	506.615	165.486
1756	3.51000	521.118	357.703	165.395	511.652	377.771	165.923	499.555	348.355	165.320	533.096	525.599	165.392	514.177	534.248	165.824	525.757	506.338	165.440
1757	3.51200	520.747	358.084	165.465	511.254	378.190	165.953	499.171	348.782	165.391	532.649	525.305	165.373	513.714	533.936	165.832	525.256	506.035	165.504
1758	3.51400	520.386	358.557	165.407	510.967	378.656	165.920	498.827	349.327	165.237	532.189	525.003	165.336	513.194	533.580	165.856	524.870	505.689	165.491
1759	3.51600	520.028	358.996	165.386	510.587	379.097	165.872	498.401	349.713	165.328	531.724	524.709	165.348	512.772	533.269	165.833	524.451	505.387	165.431
1760	3.51800	519.642	359.396	165.451	510.230	379.534	165.900	498.052	350.229	165.310	531.227	524.405	165.375	512.259	532.921	165.873	523.973	505.093	165.415
1761	3.52000	519.274	359.858	165.381	509.918	379.999	165.802	497.624	350.710	165.226	530.773	524.095	165.354	511.790	532.610	165.850	523.570	504.772	165.451
1762	3.52200	518.909	360.281	165.362	509.587	380.433	165.839	497.284	351.109	165.431	530.318	523.782	165.335	511.276	532.272	165.812	523.125	504.400	165.453
1763	3.52400	518.536	360.690	165.443	509.265	380.855	165.866	496.925	351.618	165.288	529.844	523.497	165.363	510.828	531.935	165.805	522.678	504.147	165.364
1764	3.52600	518.154	361.132	165.379	508.867	381.339	165.796	496.478	352.089	165.331	529.356	523.201	165.376	510.304	531.577	165.892	522.156	503.845	165.363
1765	3.52800	517.801	361.576	165.386	508.582	381.757	165.902	496.122	352.498	165.444	528.887	522.874	165.354	509.843	531.283	165.871	521.790	503.517	165.414
1766	3.53000	517.422	361.966	165.438	508.241	382.187	165.879	495.706	353.020	165.308	528.414	522.579	165.367	509.354	530.945	165.802	521.346	503.162	165.417
1767	3.53200	517.032	362.435	165.354	507.868	382.679	165.861	495.294	353.461	165.383	527.937	522.303	165.346	508.866	530.626	165.824	520.876	502.911	165.356
1768	3.53400	516.654	362.846	165.397	507.576	383.071	165.954	494.920	353.880	165.438	527.440	521.999	165.374	508.352	530.270	165.881	520.393	502.581	165.407
1769	3.53600	516.309	363.243	165.436	507.229	383.529	165.940	494.561	354.427	165.319	526.977	521.663	165.370	507.900	529.967	165.844	520.012	502.238	165.455
1770	3.53800	515.897	363.724	165.396	506.845	383.992	165.881	494.130	354.822	165.427	526.505	521.369	165.381	507.392	529.621	165.821	519.551	501.941	165.413
1771	3.54000	515.546	364.123	165.429	506.543	384.411	165.985	493.776	355.320	165.381	526.020	521.111	165.361	506.896	529.300	165.846	519.052	501.667	165.395
1772	3.54200	515.177	364.549	165.476	506.216	384.889	165.933	493.378	355.808	165.285	525.539	520.799	165.374	506.386	528.972	165.854	518.631	501.347	165.463
1773	3.54400	514.759	365.009	165.376	505.837	385.332	165.881	492.976	356.209	165.487	525.066	520.462	165.401	505.942	528.653	165.816	518.219	500.986	165.479
