NO_OF_FRAMES	874
NO_OF_CAMERAS	2
NO_OF_MARKERS	6
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-21, 18:19:44.834	951318.46868910
DATA_INCLUDED	3D
MARKER_NAMES	v27_7g	vx	vy	h31_6g	hx	hy
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Mixed	Measured
Frame	Time	v27_7g X	v27_7g Y	v27_7g Z	vx X	vx Y	vx Z	vy X	vy Y	vy Z	h31_6g X	h31_6g Y	h31_6g Z	hx X	hx Y	hx Z	hy X	hy Y	hy Z	
4562	9.12200	541.567	291.136	164.342	536.047	310.597	164.422	521.920	283.370	164.704	333.651	648.931	165.951	318.843	663.358	166.274	320.345	633.232	166.139
4563	9.12400	541.367	291.358	164.363	535.854	310.833	164.378	521.695	283.592	164.724	333.634	648.575	165.862	318.787	662.938	166.249	320.328	632.820	166.112
4564	9.12600	541.156	291.586	164.333	535.634	311.033	164.345	521.481	283.804	164.728	333.608	648.107	165.914	318.784	662.489	166.265	320.347	632.336	166.108
4565	9.12800	540.928	291.778	164.313	535.390	311.244	164.324	521.252	284.023	164.716	333.583	647.651	165.891	318.699	662.007	166.280	320.300	631.916	166.066
4566	9.13000	540.673	292.007	164.316	535.154	311.457	164.368	520.985	284.239	164.673	333.558	647.275	165.862	318.695	661.605	166.224	320.303	631.466	166.096
4567	9.13200	540.417	292.218	164.325	534.903	311.671	164.412	520.750	284.475	164.656	333.540	646.771	165.911	318.616	661.102	166.266	320.310	631.002	166.065
4568	9.13400	540.193	292.440	164.346	534.699	311.899	164.388	520.518	284.707	164.688	333.515	646.398	165.821	318.596	660.694	166.163	320.290	630.570	166.067
4569	9.13600	539.949	292.650	164.322	534.495	312.141	164.295	520.296	284.919	164.693	333.474	645.929	165.873	318.589	660.242	166.277	320.304	630.114	166.053
4570	9.13800	539.723	292.888	164.305	534.227	312.368	164.271	520.018	285.161	164.662	333.479	645.491	165.853	318.514	659.798	166.168	320.280	629.675	166.040
4571	9.14000	539.463	293.125	164.290	533.991	312.609	164.325	519.750	285.383	164.679	333.431	645.089	165.806	318.452	659.323	166.200	320.274	629.234	166.056
4572	9.14200	539.206	293.352	164.296	533.720	312.814	164.389	519.512	285.639	164.689	333.429	644.610	165.905	318.432	658.875	166.186	320.243	628.769	166.026
4573	9.14400	538.941	293.566	164.335	533.461	313.034	164.382	519.260	285.866	164.660	333.397	644.236	165.817	318.354	658.420	166.158	320.254	628.329	166.044
4574	9.14600	538.673	293.796	164.336	533.224	313.279	164.319	518.974	286.093	164.663	333.363	643.750	165.869	318.368	657.995	166.228	320.253	627.879	166.078
4575	9.14800	538.415	294.030	164.291	532.993	313.550	164.304	518.689	286.343	164.689	333.346	643.347	165.853	318.303	657.551	166.153	320.242	627.441	166.035
4576	9.15000	538.178	294.294	164.286	532.713	313.788	164.326	518.433	286.598	164.702	333.313	642.910	165.804	318.241	657.073	166.249	320.240	626.983	166.052
4577	9.15200	537.878	294.541	164.284	532.413	313.993	164.389	518.156	286.837	164.716	333.310	642.441	165.858	318.252	656.671	166.196	320.206	626.544	166.040
4578	9.15400	537.607	294.745	164.309	532.129	314.224	164.395	517.883	287.084	164.711	333.247	642.056	165.815	318.159	656.170	166.210	320.196	626.095	166.043
4579	9.15600	537.303	294.983	164.327	531.872	314.480	164.414	517.590	287.336	164.692	333.229	641.580	165.854	318.172	655.757	166.204	320.198	625.655	166.065
4580	9.15800	537.001	295.239	164.341	531.623	314.743	164.381	517.293	287.594	164.736	333.219	641.168	165.823	318.093	655.301	166.208	320.176	625.198	166.050
4581	9.16000	536.752	295.511	164.316	531.332	314.997	164.367	517.028	287.841	164.730	333.164	640.747	165.807	318.059	654.835	166.194	320.158	624.749	166.053
4582	9.16200	536.469	295.730	164.305	531.031	315.226	164.375	516.736	288.087	164.727	333.168	640.280	165.831	318.027	654.414	166.204	320.164	624.318	166.059
4583	9.16400	536.136	295.986	164.318	530.752	315.483	164.393	516.411	288.356	164.705	333.121	639.886	165.805	317.987	653.938	166.238	320.140	623.869	166.064
4584	9.16600	535.822	296.233	164.351	530.440	315.731	164.429	516.121	288.630	164.709	333.096	639.419	165.830	317.953	653.519	166.185	320.123	623.430	166.054
4585	9.16800	535.537	296.472	164.368	530.187	315.999	164.348	515.821	288.875	164.707	333.070	638.998	165.782	317.904	653.052	166.203	320.129	622.982	166.059
4586	9.17000	535.235	296.735	164.329	529.892	316.269	164.298	515.489	289.137	164.702	333.038	638.584	165.817	317.848	652.597	166.178	320.102	622.524	166.046
4587	9.17200	534.939	297.003	164.275	529.586	316.520	164.366	515.165	289.404	164.725	333.004	638.110	165.793	317.838	652.167	166.171	320.122	622.084	166.068
4588	9.17400	534.640	297.260	164.322	529.246	316.758	164.422	514.865	289.666	164.719	332.987	637.706	165.782	317.798	651.699	166.223	320.114	621.654	166.045
4589	9.17600	534.292	297.510	164.351	528.949	317.014	164.407	514.544	289.937	164.694	332.956	637.266	165.829	317.709	651.246	166.133	320.110	621.187	166.047
4590	9.17800	533.968	297.762	164.335	528.637	317.293	164.371	514.221	290.203	164.717	332.929	636.837	165.764	317.732	650.804	166.205	320.079	620.748	166.039
4591	9.18000	533.669	298.043	164.325	528.343	317.573	164.370	513.911	290.475	164.725	332.890	636.396	165.813	317.630	650.348	166.180	320.069	620.299	166.045
4592	9.18200	533.341	298.318	164.331	527.992	317.822	164.406	513.589	290.749	164.731	332.895	635.965	165.812	317.624	649.901	166.137	320.073	619.859	166.067
4593	9.18400	533.009	298.570	164.314	527.641	318.076	164.391	513.229	291.019	164.706	332.862	635.535	165.781	317.557	649.450	166.227	320.057	619.421	166.028
4594	9.18600	532.636	298.835	164.342	527.329	318.342	164.424	512.905	291.292	164.713	332.838	635.102	165.846	317.528	649.023	166.125	320.068	618.954	166.032
4595	9.18800	532.301	299.094	164.386	527.027	318.640	164.383	512.576	291.576	164.731	332.820	634.682	165.800	317.481	648.528	166.191	320.046	618.532	166.027
4596	9.19000	531.997	299.383	164.359	526.691	318.930	164.361	512.205	291.844	164.709	332.780	634.241	165.848	317.426	648.116	166.189	320.043	618.066	166.032
4597	9.19200	531.642	299.670	164.298	526.344	319.176	164.365	511.876	292.125	164.698	332.771	633.827	165.852	317.407	647.642	166.162	320.026	617.617	166.039
4598	9.19400	531.275	299.934	164.327	525.959	319.453	164.443	511.506	292.418	164.729	332.744	633.372	165.803	317.353	647.219	166.207	320.025	617.195	166.034
4599	9.19600	530.933	300.210	164.368	525.652	319.752	164.436	511.142	292.708	164.734	332.713	632.948	165.853	317.341	646.772	166.168	320.020	616.720	166.023
4600	9.19800	530.534	300.497	164.341	525.307	320.038	164.350	510.773	292.981	164.739	332.695	632.545	165.811	317.287	646.305	166.223	320.010	616.298	166.017
4601	9.20000	530.223	300.787	164.313	524.917	320.320	164.380	510.428	293.282	164.754	332.670	632.052	165.823	317.246	645.903	166.175	320.000	615.822	166.037
4602	9.20200	529.846	301.088	164.330	524.532	320.613	164.455	510.052	293.603	164.719	332.637	631.656	165.827	317.220	645.401	166.192	319.977	615.392	166.017
4603	9.20400	529.445	301.388	164.383	524.166	320.904	164.432	509.676	293.894	164.720	332.627	631.208	165.828	317.194	644.989	166.161	319.967	614.952	166.011
4604	9.20600	529.068	301.662	164.390	523.826	321.209	164.374	509.322	294.194	164.735	332.587	630.760	165.830	317.132	644.520	166.246	319.964	614.503	166.019
4605	9.20800	528.710	301.979	164.372	523.475	321.550	164.342	508.896	294.527	164.745	332.568	630.365	165.773	317.112	644.084	166.163	319.955	614.073	165.999
4606	9.21000	528.343	302.319	164.334	523.094	321.843	164.384	508.531	294.833	164.711	332.545	629.879	165.866	317.029	643.607	166.235	319.979	613.587	166.033
4607	9.21200	527.927	302.619	164.351	522.682	322.125	164.413	508.146	295.143	164.739	332.511	629.486	165.778	317.047	643.185	166.215	319.927	613.158	165.984
